N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.157675	0	4.26286e-06	3.02e-06	0	1.05657e-05	0	3.83714e-06	3.74286e-07
1	1000	0.15768	0	4.26e-06	3.02e-06	0	1.05714e-05	0	3.83714e-06	3.74286e-07
1	1000	0.157677	0	4.25714e-06	3.02286e-06	0	1.05629e-05	0	3.84286e-06	3.74286e-07
1	1000	0.15768	0	4.26571e-06	3.02286e-06	0	1.05657e-05	0	3.83714e-06	3.77143e-07
1	1000	0.157678	0	4.26e-06	3.02286e-06	0	1.05629e-05	0	3.83714e-06	3.8e-07
1	1000	0.157676	0	4.26286e-06	3.02e-06	0	1.05714e-05	0	3.83143e-06	3.74286e-07
1	1000	0.157691	0	4.26286e-06	3.02e-06	0	1.05686e-05	0	3.84e-06	3.77143e-07
1	1000	0.157681	0	4.26e-06	3.02286e-06	0	1.05657e-05	0	3.84e-06	3.77143e-07
1	1000	0.157681	0	4.26571e-06	3.02e-06	0	1.05686e-05	0	3.83429e-06	3.77143e-07
1	1000	0.157679	0	4.26286e-06	3.02286e-06	0	1.05657e-05	0	3.83714e-06	3.77143e-07
2	2000	0.157748	0.0999001	4.30571e-06	3.02e-06	5.71429e-09	1.05629e-05	0	3.83429e-06	3.85714e-07
2	2000	0.15774	0.049975	4.30571e-06	3.02e-06	8.57143e-09	1.056e-05	0	3.83714e-06	3.77143e-07
2	2000	0.157745	0.049975	4.30571e-06	3.02286e-06	5.71429e-09	1.05657e-05	0	3.83429e-06	3.8e-07
2	2000	0.157752	0.049975	4.30571e-06	3.02e-06	8.57143e-09	1.056e-05	0	3.83714e-06	3.8e-07
2	2000	0.157759	0.0999001	4.30571e-06	3.02286e-06	5.71429e-09	1.056e-05	0	3.84e-06	3.85714e-07
2	2000	0.157748	0.0999001	4.30857e-06	3.01714e-06	5.71429e-09	1.05629e-05	0	3.83714e-06	3.85714e-07
2	2000	0.157745	0.0999001	4.30286e-06	3.02e-06	5.71429e-09	1.05629e-05	0	3.83429e-06	3.85714e-07
2	2000	0.157748	0.049975	4.30571e-06	3.02e-06	5.71429e-09	1.05629e-05	0	3.83714e-06	3.77143e-07
2	2000	0.157747	0.0999001	4.30286e-06	3.02286e-06	5.71429e-09	1.056e-05	0	3.83714e-06	3.85714e-07
2	2000	0.157752	0.049975	4.30571e-06	3.02e-06	8.57143e-09	1.05629e-05	0	3.83429e-06	3.77143e-07
3	3000	0.157946	0.464499	4.30286e-06	3.02e-06	2.57143e-08	1.05886e-05	0	3.83714e-06	4.34286e-07
3	3000	0.157905	0.365327	4.30571e-06	3.01714e-06	2.85714e-08	1.05857e-05	0	3.83143e-06	4.22857e-07
3	3000	0.157949	0.464499	4.30286e-06	3.01714e-06	2.28571e-08	1.05971e-05	0	3.83429e-06	4.37143e-07
3	3000	0.15796	0.497512	4.31143e-06	3.01714e-06	2.57143e-08	1.05886e-05	0	3.83429e-06	4.45714e-07
3	3000	0.157954	0.497512	4.30571e-06	3.02e-06	2.57143e-08	1.05857e-05	0	3.83714e-06	4.37143e-07
3	3000	0.157904	0.431464	4.29714e-06	3.01714e-06	2e-08	1.05943e-05	0	3.83714e-06	4.28571e-07
3	3000	0.157938	0.464499	4.30571e-06	3.01714e-06	2.57143e-08	1.05886e-05	0	3.83143e-06	4.34286e-07
3	3000	0.157938	0.431464	4.30571e-06	3.01714e-06	2.85714e-08	1.058e-05	0	3.83143e-06	4.34286e-07
3	3000	0.157905	0.464499	4.30857e-06	3.02e-06	2.28571e-08	1.058e-05	0	3.83429e-06	4.31429e-07
3	3000	0.157907	0.431464	4.30286e-06	3.01714e-06	1.71429e-08	1.06029e-05	0	3.83429e-06	4.31429e-07
4	4000	0.157995	0.670474	4.31429e-06	3.01714e-06	4.57143e-08	1.05943e-05	0	3.84e-06	4.62857e-07
4	4000	0.157988	0.670474	4.32e-06	3.01714e-06	4e-08	1.06e-05	0	3.83429e-06	4.6e-07
4	4000	0.157974	0.670474	4.31429e-06	3.01714e-06	4e-08	1.05971e-05	0	3.83714e-06	4.62857e-07
4	4000	0.157989	0.719782	4.31714e-06	3.01429e-06	4.28571e-08	1.05971e-05	0	3.83429e-06	4.62857e-07
4	4000	0.157994	0.695134	4.32286e-06	3.01714e-06	4.85714e-08	1.05886e-05	0	3.83429e-06	4.6e-07
4	4000	0.157991	0.719782	4.31714e-06	3.01714e-06	3.71429e-08	1.06057e-05	0	3.83143e-06	4.62857e-07
4	4000	0.158001	0.719782	4.31714e-06	3.01714e-06	4.28571e-08	1.05971e-05	0	3.83429e-06	4.71429e-07
4	4000	0.157993	0.744417	4.31714e-06	3.01714e-06	4e-08	1.06e-05	0	3.83429e-06	4.71429e-07
4	4000	0.157987	0.695134	4.31429e-06	3.01714e-06	4e-08	1.06e-05	0	3.84e-06	4.62857e-07
4	4000	0.157979	0.670474	4.31714e-06	3.01714e-06	4.28571e-08	1.05914e-05	0	3.83143e-06	4.6e-07
5	5000	0.158155	1.1467	4.34857e-06	3.01429e-06	7.42857e-08	1.06114e-05	0	3.83143e-06	5.17143e-07
5	5000	0.158153	1.2053	4.35143e-06	3.01429e-06	7.71429e-08	1.06029e-05	0	3.83143e-06	5.25714e-07
5	5000	0.158166	1.28332	4.34857e-06	3.01429e-06	8e-08	1.06029e-05	0	3.83143e-06	5.37143e-07
5	5000	0.15816	1.24432	4.34286e-06	3.01429e-06	7.42857e-08	1.06086e-05	0	3.83143e-06	5.25714e-07
5	5000	0.158155	1.24432	4.35143e-06	3.01429e-06	7.71429e-08	1.05971e-05	0	3.83429e-06	5.28571e-07
5	5000	0.158148	1.18577	4.34571e-06	3.01429e-06	7.71429e-08	1.06029e-05	0	3.83143e-06	5.25714e-07
5	5000	0.158149	1.2053	4.34286e-06	3.01429e-06	7.14286e-08	1.06057e-05	0	3.83143e-06	5.31429e-07
5	5000	0.158171	1.38067	4.34857e-06	3.01429e-06	6.85714e-08	1.06086e-05	0	3.83143e-06	5.45714e-07
5	5000	0.158144	1.22481	4.34286e-06	3.01429e-06	7.71429e-08	1.05971e-05	0	3.83714e-06	5.28571e-07
5	5000	0.158163	1.32228	4.35143e-06	3.01429e-06	7.14286e-08	1.06114e-05	0	3.82857e-06	5.37143e-07
6	6000	0.158376	1.68769	4.39429e-06	3.01714e-06	1.22857e-07	1.06e-05	0	3.83429e-06	5.8e-07
6	6000	0.158389	1.76817	4.38857e-06	3.01714e-06	1.2e-07	1.06e-05	0	3.83143e-06	5.97143e-07
6	6000	0.158393	1.86457	4.38571e-06	3.01714e-06	1.2e-07	1.06057e-05	0	3.83714e-06	6.08571e-07
6	6000	0.158384	1.7038	4.38286e-06	3.01714e-06	1.22857e-07	1.06143e-05	0	3.83429e-06	5.88571e-07
6	6000	0.158385	1.75209	4.37714e-06	3.01714e-06	1.2e-07	1.06143e-05	0	3.83143e-06	6e-07
6	6000	0.158382	1.8164	4.38286e-06	3.01714e-06	1.14286e-07	1.06114e-05	0	3.83429e-06	6e-07
6	6000	0.158421	1.736	4.38857e-06	3.01714e-06	1.25714e-07	1.06171e-05	0	3.83143e-06	5.94286e-07
6	6000	0.158388	1.76817	4.38e-06	3.01714e-06	1.17143e-07	1.06171e-05	0	3.83429e-06	6e-07
6	6000	0.158379	1.8164	4.37429e-06	3.01714e-06	1.2e-07	1.06114e-05	0	3.82857e-06	5.97143e-07
6	6000	0.158386	1.78425	4.38e-06	3.01714e-06	1.22857e-07	1.06086e-05	0	3.83143e-06	6e-07
7	7000	0.159526	6.19137	4.47429e-06	3.01714e-06	2.77143e-07	1.05543e-05	1.14286e-08	3.84286e-06	1.31143e-06
7	7000	0.159457	5.77467	4.49143e-06	3.02e-06	2.94286e-07	1.05457e-05	2.85714e-09	3.84e-06	1.23714e-06
7	7000	0.159639	6.51709	4.49429e-06	3.01714e-06	3.11429e-07	1.05029e-05	5.71429e-09	3.84e-06	1.39714e-06
7	7000	0.15944	5.86337	4.49429e-06	3.02e-06	2.94286e-07	1.054e-05	2.85714e-09	3.83429e-06	1.22e-06
7	7000	0.1596	6.02765	4.48571e-06	3.02e-06	3.02857e-07	1.05229e-05	0	3.84e-06	1.31429e-06
7	7000	0.159437	5.48204	4.49143e-06	3.02e-06	2.97143e-07	1.05486e-05	2.85714e-09	3.83714e-06	1.17143e-06
7	7000	0.159493	5.96454	4.49714e-06	3.02e-06	2.97143e-07	1.05486e-05	0	3.83429e-06	1.26571e-06
7	7000	0.159551	6.49212	4.49143e-06	3.02e-06	3.08571e-07	1.05229e-05	2.85714e-09	3.84571e-06	1.32571e-06
7	7000	0.159527	6.09069	4.49143e-06	3.02e-06	2.91429e-07	1.05371e-05	0	3.83714e-06	1.32571e-06
7	7000	0.159626	6.36704	4.48571e-06	3.02e-06	2.91429e-07	1.05314e-05	5.71429e-09	3.84286e-06	1.35429e-06
8	8000	0.167038	25.6989	4.61714e-06	3.01714e-06	5.48571e-07	1.01629e-05	1.8e-07	3.85714e-06	7.37714e-06
8	8000	0.167449	25.2546	4.61429e-06	3.01714e-06	5.4e-07	1.01857e-05	1.74286e-07	3.85429e-06	7.13714e-06
8	8000	0.166998	25.5883	4.60571e-06	3.01714e-06	5.28571e-07	1.01914e-05	1.88571e-07	3.86e-06	7.23714e-06
8	8000	0.166621	25.2406	4.59714e-06	3.01714e-06	5.11429e-07	1.02314e-05	1.97143e-07	3.85429e-06	7.30571e-06
8	8000	0.166461	25.8367	4.60857e-06	3.01714e-06	5.28571e-07	1.01914e-05	1.85714e-07	3.85429e-06	7.36571e-06
8	8000	0.166519	25.616	4.59143e-06	3.01714e-06	5.2e-07	1.02229e-05	1.88571e-07	3.85714e-06	7.3e-06
8	8000	0.167086	24.3356	4.61714e-06	3.01714e-06	5.48571e-07	1.01771e-05	1.85714e-07	3.85714e-06	6.72571e-06
