N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.902015	0	0.000153811	1.51086e-05	0	0.00071676	0	1.33686e-05	3.77143e-07	0.98
1	1000	0.902496	0	0.000154274	1.51143e-05	0	0.000716763	0	1.338e-05	3.77143e-07	0.96
1	1000	0.902515	0	0.000154294	1.51114e-05	0	0.000716769	0	1.33743e-05	3.77143e-07	0.96
1	1000	0.900764	0	0.00015246	1.51143e-05	0	0.000716863	0	1.336e-05	3.77143e-07	0.95
1	1000	0.901587	0	0.000153386	1.51171e-05	0	0.000716763	0	1.33571e-05	3.77143e-07	0.96
1	1000	0.902669	0	0.000154403	1.51086e-05	0	0.000716823	0	1.33714e-05	3.77143e-07	0.96
1	1000	0.902503	0	0.000154274	1.51143e-05	0	0.000716777	0	1.33743e-05	3.77143e-07	0.96
1	1000	0.902504	0	0.00015422	1.51143e-05	0	0.000716826	0	1.338e-05	3.77143e-07	0.96
1	1000	0.902504	0	0.000154214	1.51143e-05	0	0.000716829	0	1.33829e-05	3.77143e-07	0.96
1	1000	0.902862	0	0.000154569	1.51143e-05	0	0.00071684	0	1.33771e-05	3.77143e-07	0.96
2	2000	0.974967	1.08803	0.000155269	1.51086e-05	5.36886e-05	0.000663389	0	1.338e-05	7.74571e-06	1.05
2	2000	0.979879	1.52634	0.000155014	1.51143e-05	5.31e-05	0.000663937	0	1.338e-05	1.13543e-05	1.06
2	2000	0.970867	1.08803	0.000155751	1.512e-05	5.43229e-05	0.00066284	0	1.33829e-05	7.67429e-06	1.05
2	2000	0.969098	1.33202	0.000154789	1.51143e-05	5.41686e-05	0.000662909	0	1.33886e-05	9.63429e-06	1.05
2	2000	0.969171	1.03909	0.000155094	1.51143e-05	5.42629e-05	0.000662809	0	1.33857e-05	7.24857e-06	1.05
2	2000	0.969902	1.03909	0.000155071	1.51143e-05	5.41486e-05	0.000662889	0	1.33829e-05	7.33143e-06	1.05
2	2000	0.970342	0.842836	0.000155877	1.51114e-05	5.43029e-05	0.000662614	0	1.33743e-05	6.05143e-06	1.05
2	2000	0.970258	1.08803	0.000155097	1.51114e-05	5.44486e-05	0.000662606	0	1.33857e-05	7.70286e-06	1.05
2	2000	0.969222	0.94106	0.000155503	1.51171e-05	5.44686e-05	0.000662646	0	1.33714e-05	6.62571e-06	1.05
2	2000	0.972695	1.08803	0.000155226	1.51143e-05	5.41429e-05	0.000662937	0	1.33943e-05	7.74286e-06	1.05
3	3000	1.03973	2.66061	0.000156746	1.512e-05	0.000107777	0.000609554	4.57143e-08	1.33971e-05	2.09714e-05	1.12
3	3000	1.042	2.81827	0.000155829	1.51143e-05	0.000106989	0.000610237	4.57143e-08	1.33886e-05	2.22057e-05	1.13
3	3000	1.0361	2.37553	0.000155986	1.51143e-05	0.000108023	0.000609254	6.57143e-08	1.34e-05	1.88743e-05	1.12
