N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.187109	0	1.47829e-05	1.35514e-05	0	0.000141369	0	8.99143e-06	1.02571e-06	0.25
1	1000	0.187096	0	1.47771e-05	1.35486e-05	0	0.000141383	0	8.97143e-06	1.02286e-06	0.23
1	1000	0.187126	0	1.47829e-05	1.35543e-05	0	0.000141389	0	8.97429e-06	1.02286e-06	0.23
1	1000	0.1871	0	1.47943e-05	1.35429e-05	0	0.000141377	0	8.96286e-06	1.02286e-06	0.23
1	1000	0.1871	0	1.47857e-05	1.35429e-05	0	0.000141377	0	8.98286e-06	1.02e-06	0.23
1	1000	0.18712	0	1.47971e-05	1.35429e-05	0	0.000141391	0	8.97429e-06	1.02e-06	0.23
1	1000	0.187108	0	1.47686e-05	1.35486e-05	0	0.000141389	0	8.97714e-06	1.02571e-06	0.23
1	1000	0.187126	0	1.47943e-05	1.35571e-05	0	0.000141383	0	8.97143e-06	1.02286e-06	0.23
1	1000	0.187126	0	1.47743e-05	1.35571e-05	0	0.000141394	0	8.98e-06	1.02571e-06	0.23
1	1000	0.187095	0	1.478e-05	1.35371e-05	0	0.0001414	0	8.96571e-06	1.01429e-06	0.23
2	2000	0.195372	0.199601	1.768e-05	1.41857e-05	3.14571e-06	0.000138949	5.71429e-09	9.26286e-06	1.36286e-06	0.27
2	2000	0.195405	0.447984	1.76057e-05	1.41257e-05	3.04571e-06	0.000139009	1.14286e-08	9.23429e-06	1.69143e-06	0.24
2	2000	0.195454	0.497512	1.75886e-05	1.41143e-05	3.02e-06	0.000139049	2e-08	9.23143e-06	1.76e-06	0.24
2	2000	0.195883	0.398406	1.76371e-05	1.41686e-05	3.1e-06	0.000138974	2.85714e-09	9.23714e-06	1.67714e-06	0.24
2	2000	0.195582	0.398406	1.76286e-05	1.41629e-05	3.10286e-06	0.000138974	1.42857e-08	9.25143e-06	1.60571e-06	0.24
2	2000	0.195671	0.299103	1.76629e-05	1.41829e-05	3.11143e-06	0.000138997	0	9.26286e-06	1.51714e-06	0.24
2	2000	0.196308	0.596421	1.76143e-05	1.414e-05	3.05143e-06	0.000138997	1.42857e-08	9.24286e-06	1.89429e-06	0.24
2	2000	0.195541	0.299103	1.76543e-05	1.41457e-05	3.07429e-06	0.000139011	2.85714e-09	9.23714e-06	1.51143e-06	0.24
2	2000	0.196039	0.596421	1.76143e-05	1.41486e-05	3.05714e-06	0.000138989	1.42857e-08	9.24571e-06	1.87714e-06	0.24
2	2000	0.195874	0.348779	1.764e-05	1.41371e-05	3.05143e-06	0.00013902	1.71429e-08	9.22286e-06	1.52286e-06	0.24
3	3000	0.199783	0.85922	1.87714e-05	1.39714e-05	4.42571e-06	0.000137954	1.14286e-07	9.22571e-06	2.43714e-06	0.27
3	3000	0.199733	0.924703	1.87029e-05	1.39657e-05	4.38571e-06	0.000138006	1.48571e-07	9.23714e-06	2.52286e-06	0.25
3	3000	0.200435	0.957412	1.90286e-05	1.40229e-05	4.54e-06	0.000137851	1.31429e-07	9.23143e-06	2.55143e-06	0.25
3	3000	0.200186	0.957412	1.872e-05	1.39629e-05	4.45714e-06	0.000137926	1.31429e-07	9.24e-06	2.58286e-06	0.25
3	3000	0.20004	0.957412	1.87257e-05	1.39686e-05	4.46857e-06	0.000137906	1.42857e-07	9.23714e-06	2.58e-06	0.25
3	3000	0.199823	0.793651	1.87743e-05	1.39771e-05	4.42571e-06	0.000137937	1.25714e-07	9.23714e-06	2.28571e-06	0.25
3	3000	0.199731	0.727995	1.87257e-05	1.39571e-05	4.42857e-06	0.000137931	1.22857e-07	9.22857e-06	2.20286e-06	0.24
3	3000	0.199962	0.924703	1.87429e-05	1.39771e-05	4.43143e-06	0.000137923	1.25714e-07	9.22571e-06	2.53143e-06	0.24
3	3000	0.19976	0.760834	1.88543e-05	1.39829e-05	4.48286e-06	0.000137886	1.11429e-07	9.22286e-06	2.23429e-06	0.24
3	3000	0.199728	0.727995	1.87371e-05	1.396e-05	4.43429e-06	0.000137917	1.14286e-07	9.21429e-06	2.20857e-06	0.24
4	4000	0.207033	1.33202	2.09686e-05	1.45571e-05	6.75429e-06	0.000136569	2.14286e-07	9.40571e-06	3.3e-06	0.27
4	4000	0.207368	1.38067	2.094e-05	1.45629e-05	6.75143e-06	0.000136577	2.17143e-07	9.41143e-06	3.4e-06	0.25
4	4000	0.208084	1.40498	2.09114e-05	1.456e-05	6.72e-06	0.000136594	2.02857e-07	9.41714e-06	3.40857e-06	0.25
4	4000	0.206385	1.03909	2.09457e-05	1.456e-05	6.76857e-06	0.000136551	2.57143e-07	9.41429e-06	2.76e-06	0.25
4	4000	0.207866	1.42928	2.09257e-05	1.458e-05	6.77143e-06	0.000136554	2.17143e-07	9.43143e-06	3.46286e-06	0.25
4	4000	0.207069	1.30767	2.08429e-05	1.45771e-05	6.72857e-06	0.00013658	3.08571e-07	9.44857e-06	3.20857e-06	0.25
4	4000	0.207325	1.40498	2.09514e-05	1.45714e-05	6.76e-06	0.000136543	1.85714e-07	9.40571e-06	3.46571e-06	0.25
4	4000	0.206972	1.23457	2.08857e-05	1.45543e-05	6.75143e-06	0.000136571	2.28571e-07	9.43429e-06	3.10571e-06	0.25
4	4000	0.207625	1.50209	2.09057e-05	1.45629e-05	6.74286e-06	0.000136563	2.51429e-07	9.42e-06	3.58e-06	0.25
4	4000	0.207353	1.40498	2.09571e-05	1.45629e-05	6.78857e-06	0.000136494	2.08571e-07	9.41714e-06	3.40571e-06	0.25
5	5000	0.215122	1.80676	2.29171e-05	1.53771e-05	8.56571e-06	0.000135966	5.42857e-07	9.77714e-06	4.10571e-06	0.28
5	5000	0.215868	1.92232	2.29343e-05	1.54114e-05	8.61429e-06	0.000135949	7.02857e-07	9.86e-06	4.33714e-06	0.26
