N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.163627	0	5.64286e-06	4.48857e-06	0	8.78571e-06	2.51429e-07	8.18571e-06	1.13429e-06
1	1000	0.163628	0	5.63429e-06	4.48857e-06	0	8.78857e-06	2.51429e-07	8.19143e-06	1.13143e-06
1	1000	0.163626	0	5.63714e-06	4.48857e-06	0	8.78857e-06	2.48571e-07	8.19143e-06	1.13143e-06
1	1000	0.16364	0	5.64571e-06	4.48857e-06	0	8.78857e-06	2.51429e-07	8.18857e-06	1.13143e-06
1	1000	0.163632	0	5.64e-06	4.48857e-06	0	8.78286e-06	2.51429e-07	8.19429e-06	1.13143e-06
1	1000	0.163636	0	5.64286e-06	4.49429e-06	0	8.78e-06	2.51429e-07	8.19143e-06	1.13143e-06
1	1000	0.163628	0	5.64286e-06	4.49143e-06	0	8.77714e-06	2.51429e-07	8.18857e-06	1.13429e-06
1	1000	0.163642	0	5.64286e-06	4.49143e-06	0	8.78571e-06	2.51429e-07	8.19143e-06	1.13143e-06
1	1000	0.163627	0	5.63429e-06	4.48857e-06	0	8.79143e-06	2.51429e-07	8.18857e-06	1.13143e-06
1	1000	0.163629	0	5.64e-06	4.48571e-06	0	8.79143e-06	2.48571e-07	8.19143e-06	1.13143e-06
2	2000	0.164354	2.91262	5.70286e-06	4.50571e-06	0	8.79143e-06	2.48571e-07	8.25143e-06	1.62857e-06
2	2000	0.164781	5.03324	5.73429e-06	4.50571e-06	0	8.78857e-06	2.48571e-07	8.26e-06	1.98286e-06
2	2000	0.164846	5.25817	5.72857e-06	4.50571e-06	0	8.79143e-06	2.48571e-07	8.25714e-06	2.05143e-06
2	2000	0.164638	4.44338	5.73429e-06	4.50571e-06	0	8.79143e-06	2.51429e-07	8.25714e-06	1.90857e-06
2	2000	0.164043	1.33202	5.68857e-06	4.50857e-06	0	8.78571e-06	2.51429e-07	8.25429e-06	1.36286e-06
2	2000	0.16467	4.44338	5.73143e-06	4.50571e-06	0	8.78857e-06	2.51429e-07	8.25714e-06	1.87714e-06
2	2000	0.164375	3.33494	5.71714e-06	4.50571e-06	0	8.78571e-06	2.48571e-07	8.25429e-06	1.67429e-06
2	2000	0.164056	1.38067	5.69429e-06	4.50571e-06	0	8.78857e-06	2.51429e-07	8.25714e-06	1.36571e-06
2	2000	0.164029	1.33202	5.68857e-06	4.50571e-06	0	8.78857e-06	2.51429e-07	8.24857e-06	1.36286e-06
2	2000	0.164471	3.7999	5.71429e-06	4.50571e-06	0	8.79429e-06	2.48571e-07	8.26e-06	1.76e-06
3	3000	0.165332	6.04447	5.7e-06	4.5e-06	0	8.78571e-06	2.48571e-07	8.22857e-06	2.31143e-06
3	3000	0.166077	9.20097	5.76857e-06	4.49714e-06	0	8.79143e-06	2.48571e-07	8.23143e-06	2.78571e-06
3	3000	0.166999	13.1944	5.77143e-06	4.49714e-06	0	8.78857e-06	2.48571e-07	8.23429e-06	3.82571e-06
3	3000	0.166179	9.85577	5.72571e-06	4.49714e-06	0	8.78857e-06	2.48571e-07	8.23143e-06	3.08286e-06
3	3000	0.166133	10.5012	5.73143e-06	4.49714e-06	0	8.78857e-06	2.48571e-07	8.22857e-06	3.14571e-06
3	3000	0.166493	11.5305	5.78857e-06	4.5e-06	0	8.78857e-06	2.48571e-07	8.22857e-06	3.31429e-06
3	3000	0.165759	8.36897	5.74857e-06	4.5e-06	0	8.78857e-06	2.48571e-07	8.23143e-06	2.72571e-06
3	3000	0.166237	9.77444	5.73143e-06	4.5e-06	0	8.78571e-06	2.48571e-07	8.22857e-06	3.11143e-06
3	3000	0.1663	11.7906	5.75429e-06	4.5e-06	0	8.78857e-06	2.48571e-07	8.22857e-06	3.33429e-06
3	3000	0.166497	13.119	5.75429e-06	4.5e-06	0	8.78857e-06	2.48571e-07	8.22571e-06	3.7e-06
4	4000	0.170092	22.2093	5.84571e-06	4.49714e-06	0	8.79143e-06	2.51429e-07	8.23429e-06	6.44571e-06
4	4000	0.171285	25.2476	5.81143e-06	4.5e-06	0	8.79429e-06	2.51429e-07	8.23429e-06	7.63143e-06
4	4000	0.170681	23.6204	5.80571e-06	4.49714e-06	0	8.79429e-06	2.48571e-07	8.23714e-06	7.04286e-06
4	4000	0.170583	23.9399	5.82286e-06	4.5e-06	0	8.78857e-06	2.42857e-07	8.24e-06	7.06286e-06
4	4000	0.170819	25.2336	5.82286e-06	4.49714e-06	0	8.79714e-06	2.51429e-07	8.23143e-06	7.74857e-06
4	4000	0.170027	24.0699	5.86857e-06	4.5e-06	0	8.78571e-06	2.51429e-07	8.23714e-06	6.98571e-06
4	4000	0.170734	23.3863	5.84e-06	4.49714e-06	0	8.79429e-06	2.48571e-07	8.23143e-06	6.89429e-06
4	4000	0.169995	23.254	5.85714e-06	4.49714e-06	0	8.79714e-06	2.45714e-07	8.24e-06	6.71714e-06
4	4000	0.170652	24.9812	5.82857e-06	4.5e-06	0	8.78857e-06	2.51429e-07	8.22857e-06	7.47143e-06
4	4000	0.169432	20	5.84e-06	4.5e-06	0	8.79429e-06	2.48571e-07	8.23429e-06	5.90571e-06
5	5000	0.182847	45.6049	5.97714e-06	4.50286e-06	0	8.79143e-06	2.42857e-07	8.25714e-06	1.876e-05
5	5000	0.186108	47.8515	5.99714e-06	4.5e-06	0	8.79429e-06	2.42857e-07	8.25429e-06	2.05371e-05
5	5000	0.184488	48.9952	6.00286e-06	4.50286e-06	0	8.78857e-06	2.42857e-07	8.25429e-06	2.09486e-05
5	5000	0.181759	45.0731	5.97714e-06	4.5e-06	0	8.79714e-06	2.42857e-07	8.25429e-06	1.77629e-05
5	5000	0.18465	48.208	6e-06	4.50286e-06	0	8.79143e-06	2.42857e-07	8.25714e-06	2.038e-05
5	5000	0.181062	43.7064	5.97714e-06	4.50286e-06	0	8.79714e-06	2.42857e-07	8.25429e-06	1.688e-05
5	5000	0.181676	44.9339	5.99429e-06	4.5e-06	0	8.79429e-06	2.42857e-07	8.25429e-06	1.75686e-05
5	5000	0.181874	45.664	5.98286e-06	4.50286e-06	0	8.79143e-06	2.42857e-07	8.25714e-06	1.85829e-05
5	5000	0.182669	45.8816	6e-06	4.50286e-06	0	8.79143e-06	2.42857e-07	8.25429e-06	1.854e-05
5	5000	0.183786	46.9834	5.97714e-06	4.5e-06	0	8.79714e-06	2.42857e-07	8.25429e-06	1.94429e-05
6	6000	0.211249	66.8252	6.11714e-06	4.50286e-06	0	8.79714e-06	2.4e-07	8.27714e-06	4.60486e-05
6	6000	0.209336	65.9207	6.12e-06	4.5e-06	0	8.79714e-06	2.4e-07	8.27429e-06	4.40886e-05
6	6000	0.212348	67.5606	6.11143e-06	4.50286e-06	0	8.8e-06	2.4e-07	8.27429e-06	4.77057e-05
6	6000	0.212492	67.5746	6.12857e-06	4.5e-06	0	8.79714e-06	2.4e-07	8.27429e-06	4.81e-05
6	6000	0.214166	68.2993	6.14e-06	4.50571e-06	0	8.79429e-06	2.4e-07	8.27714e-06	4.94943e-05
6	6000	0.214166	68.0136	6.12286e-06	4.50286e-06	0	8.8e-06	2.4e-07	8.27429e-06	4.91029e-05
6	6000	0.212399	67.3771	6.08286e-06	4.50857e-06	0	8.79429e-06	2.4e-07	8.27714e-06	4.732e-05
6	6000	0.215288	68.4692	6.12857e-06	4.50286e-06	0	8.79714e-06	2.4e-07	8.27429e-06	5.02629e-05
6	6000	0.214038	68.0919	6.16571e-06	4.50286e-06	0	8.79429e-06	2.4e-07	8.27714e-06	4.90171e-05
6	6000	0.212814	67.2507	6.11429e-06	4.50286e-06	0	8.8e-06	2.4e-07	8.26857e-06	4.70029e-05
7	7000	0.261941	79.1157	6.17143e-06	4.50286e-06	0	8.79429e-06	2.4e-07	8.27714e-06	9.34e-05
7	7000	0.259798	79.3565	6.16571e-06	4.50286e-06	0	8.79143e-06	2.4e-07	8.28286e-06	9.45771e-05
7	7000	0.259649	78.9379	6.16286e-06	4.50286e-06	0	8.79714e-06	2.4e-07	8.27429e-06	9.21743e-05
7	7000	0.258204	79.1425	6.18286e-06	4.50286e-06	0	8.8e-06	2.4e-07	8.28286e-06	9.29971e-05
7	7000	0.259801	79.2924	6.16286e-06	4.50286e-06	0	8.79714e-06	2.4e-07	8.27714e-06	9.43714e-05
7	7000	0.260482	79.2881	6.16e-06	4.50286e-06	0	8.79429e-06	2.4e-07	8.28286e-06	9.39343e-05
7	7000	0.2627	79.6257	6.16286e-06	4.50286e-06	0	8.79714e-06	2.4e-07	8.28286e-06	9.58457e-05
7	7000	0.262331	79.4752	6.14857e-06	4.50286e-06	0	8.79714e-06	2.4e-07	8.28e-06	9.59971e-05
7	7000	0.257412	78.6227	6.16857e-06	4.50286e-06	0	8.79429e-06	2.4e-07	8.27714e-06	8.96629e-05
7	7000	0.260806	79.2205	6.15429e-06	4.50286e-06	0	8.79714e-06	2.4e-07	8.27429e-06	9.33e-05
8	8000	0.317877	85.0988	6.16571e-06	4.50286e-06	0	8.80286e-06	2.48571e-07	8.27714e-06	0.000150143
8	8000	0.308471	84.3985	6.18286e-06	4.50286e-06	0	8.80286e-06	2.45714e-07	8.28e-06	0.000140354
8	8000	0.322562	85.1731	6.16286e-06	4.50286e-06	0	8.80286e-06	2.48571e-07	8.27714e-06	0.000151634
8	8000	0.314747	84.8694	6.19143e-06	4.50286e-06	0	8.80286e-06	2.45714e-07	8.28e-06	0.000147337
8	8000	0.312275	84.862	6.15143e-06	4.50286e-06	0	8.79714e-06	2.45714e-07	8.28e-06	0.00014632
8	8000	0.316452	84.8292	6.18e-06	4.50286e-06	0	8.8e-06	2.4e-07	8.28571e-06	0.000147206
8	8000	0.315633	85.0464	6.17143e-06	4.50286e-06	0	8.79714e-06	2.48571e-07	8.28e-06	0.00014858
8	8000	0.321028	85.1447	6.16571e-06	4.50286e-06	0	8.8e-06	2.48571e-07	8.27714e-06	0.000150637
8	8000	0.312521	84.6452	6.16857e-06	4.50286e-06	0	8.80571e-06	2.45714e-07	8.28e-06	0.000143803
8	8000	0.315386	85.0702	6.14857e-06	4.50286e-06	0	8.8e-06	2.48571e-07	8.27714e-06	0.000148963
9	9000	0.38236	88.2988	6.15143e-06	4.50286e-06	0	8.80286e-06	2.31429e-07	8.30857e-06	0.000209454
9	9000	0.389013	88.6698	6.15143e-06	4.5e-06	0	8.80857e-06	2.31429e-07	8.3e-06	0.000218591
9	9000	0.3778	88.2913	6.18286e-06	4.50286e-06	0	8.80286e-06	2.31429e-07	8.3e-06	0.000209814
9	9000	0.379745	88.3632	6.17143e-06	4.5e-06	0	8.79714e-06	2.31429e-07	8.30571e-06	0.000210297
9	9000	0.379923	88.3093	6.14857e-06	4.50286e-06	0	8.8e-06	2.31429e-07	8.29714e-06	0.000211
9	9000	0.375746	88.1571	6.17143e-06	4.5e-06	0	8.80857e-06	2.31429e-07	8.30571e-06	0.000207031
9	9000	0.37904	88.3731	6.16857e-06	4.5e-06	0	8.8e-06	2.31429e-07	8.3e-06	0.000212109
9	9000	0.384276	88.5929	6.15143e-06	4.50286e-06	0	8.79429e-06	2.31429e-07	8.3e-06	0.000216417
9	9000	0.387965	88.5184	6.16286e-06	4.5e-06	0	8.81143e-06	2.31429e-07	8.30571e-06	0.00021556
9	9000	0.375925	88.2799	6.15714e-06	4.5e-06	0	8.80571e-06	2.31429e-07	8.3e-06	0.000208657
10	10000	0.463069	90.751	6.13714e-06	4.5e-06	0	8.80286e-06	2.28571e-07	8.31429e-06	0.000289246
10	10000	0.456873	90.5247	6.16e-06	4.5e-06	0	8.80857e-06	2.28571e-07	8.31143e-06	0.000281129
10	10000	0.459995	90.7362	6.12286e-06	4.5e-06	0	8.80571e-06	2.28571e-07	8.31429e-06	0.000290446
10	10000	0.449717	90.5111	6.14571e-06	4.5e-06	0	8.80571e-06	2.28571e-07	8.30857e-06	0.000279534
10	10000	0.455134	90.6312	6.14e-06	4.5e-06	0	8.80571e-06	2.28571e-07	8.31429e-06	0.000284557
10	10000	0.461093	90.714	6.14857e-06	4.5e-06	0	8.80571e-06	2.28571e-07	8.30857e-06	0.000288577
10	10000	0.461833	90.7326	6.12857e-06	4.50286e-06	0	8.79714e-06	2.28571e-07	8.31429e-06	0.000289017
10	10000	0.469237	90.929	6.13429e-06	4.50286e-06	0	8.79429e-06	2.28571e-07	8.31143e-06	0.000296189
10	10000	0.458599	90.7098	6.12571e-06	4.5e-06	0	8.80857e-06	2.28571e-07	8.31143e-06	0.00028756
10	10000	0.459357	90.6266	6.13429e-06	4.5e-06	0	8.80571e-06	2.28571e-07	8.31429e-06	0.000285926
11	11000	0.529673	91.9743	6.12571e-06	4.5e-06	0	8.81714e-06	2.48571e-07	8.30286e-06	0.000351594
11	11000	0.544993	92.2619	6.11714e-06	4.5e-06	0	8.81143e-06	2.48571e-07	8.30286e-06	0.000370686
11	11000	0.536565	91.9952	6.13429e-06	4.5e-06	0	8.80857e-06	2.42857e-07	8.30571e-06	0.000354223
11	11000	0.541203	92.219	6.11143e-06	4.50286e-06	0	8.81429e-06	2.48571e-07	8.30286e-06	0.000366849
11	11000	0.520017	91.9812	6.16571e-06	4.50286e-06	0	8.81143e-06	2.4e-07	8.31143e-06	0.000351769
11	11000	0.530047	92.104	6.14286e-06	4.50286e-06	0	8.81429e-06	2.45714e-07	8.30571e-06	0.000359111
11	11000	0.529133	92.0579	6.13714e-06	4.5e-06	0	8.81429e-06	2.42857e-07	8.30571e-06	0.000357757
11	11000	0.530498	92.1059	6.12571e-06	4.50286e-06	0	8.81143e-06	2.42857e-07	8.31143e-06	0.000358911
11	11000	0.52647	91.8672	6.14571e-06	4.5e-06	0	8.81429e-06	2.45714e-07	8.30857e-06	0.000346834
11	11000	0.542784	92.1967	6.12286e-06	4.50286e-06	0	8.81143e-06	2.48571e-07	8.3e-06	0.000367254
12	12000	0.668748	93.263	6.54286e-06	4.86857e-06	0	9.52857e-06	2.4e-07	8.92286e-06	0.000485106
12	12000	0.664862	93.1547	6.56286e-06	4.85714e-06	0	9.51143e-06	2.4e-07	8.90571e-06	0.000472406
12	12000	0.669606	93.1454	6.53714e-06	4.86e-06	0	9.52571e-06	2.4e-07	8.91714e-06	0.000475177
12	12000	0.674912	93.2548	6.52286e-06	4.85714e-06	0	9.49714e-06	2.4e-07	8.89714e-06	0.000485523
12	12000	0.663117	93.1606	6.54571e-06	4.86857e-06	0	9.51429e-06	2.4e-07	8.91714e-06	0.00047332
12	12000	0.666958	93.2371	6.58571e-06	4.86857e-06	0	9.52e-06	2.4e-07	8.92e-06	0.000480691
12	12000	0.660303	93.1169	6.56e-06	4.87143e-06	0	9.51714e-06	2.4e-07	8.92e-06	0.000469631
12	12000	0.662503	93.1703	6.53714e-06	4.85143e-06	0	9.49429e-06	2.4e-07	8.89429e-06	0.000474114
12	12000	0.669179	93.214	6.52857e-06	4.85143e-06	0	9.49429e-06	2.4e-07	8.89429e-06	0.000476743
12	12000	0.65848	93.1172	6.54e-06	4.86571e-06	0	9.51429e-06	2.42857e-07	8.90571e-06	0.000471563
