N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.02647	0	0.000203237	5.61171e-05	0	0.000672083	2.51429e-07	9.18429e-05	1.13429e-06	1.44
1	1000	1.02656	0	0.000203231	5.61171e-05	0	0.000672149	2.51429e-07	9.18771e-05	1.13429e-06	1.45
1	1000	1.02639	0	0.000203234	5.61e-05	0	0.000672043	2.48571e-07	9.18343e-05	1.12857e-06	1.45
1	1000	1.02634	0	0.000203214	5.61086e-05	0	0.00067202	2.48571e-07	9.18229e-05	1.13143e-06	1.45
1	1000	1.02657	0	0.000203229	5.61257e-05	0	0.000672137	2.51429e-07	9.18971e-05	1.13143e-06	1.45
1	1000	1.02657	0	0.000203217	5.61171e-05	0	0.000672146	2.51429e-07	9.19057e-05	1.13143e-06	1.45
1	1000	1.02626	0	0.000203189	5.61e-05	0	0.000672066	2.48571e-07	9.17229e-05	1.13143e-06	1.45
1	1000	1.02651	0	0.000203229	5.61171e-05	0	0.0006721	2.51429e-07	9.18771e-05	1.13429e-06	1.45
1	1000	1.02659	0	0.000203249	5.61143e-05	0	0.000672134	2.51429e-07	9.19114e-05	1.13143e-06	1.45
1	1000	1.02644	0	0.000203234	5.61e-05	0	0.000672069	2.51429e-07	9.18543e-05	1.13143e-06	1.45
2	2000	1.04161	2.00882	0.000203943	5.62286e-05	0	0.000672329	2.51429e-07	9.252e-05	1.42486e-05	1.47
2	2000	1.03717	1.52634	0.000204009	5.62229e-05	0	0.000672337	2.51429e-07	9.23371e-05	1.01229e-05	1.48
2	2000	1.0369	1.38067	0.000204049	5.62229e-05	0	0.00067234	2.51429e-07	9.22086e-05	9.58e-06	1.47
2	2000	1.04005	1.67158	0.000203971	5.62171e-05	0	0.000672309	2.51429e-07	9.25257e-05	1.15771e-05	1.48
2	2000	1.04047	1.67158	0.000203963	5.624e-05	0	0.000672406	2.48571e-07	9.254e-05	1.25829e-05	1.47
2	2000	1.03736	1.52634	0.000204026	5.62257e-05	0	0.000672414	2.51429e-07	9.24171e-05	1.01257e-05	1.47
2	2000	1.03683	1.38067	0.000204037	5.622e-05	0	0.000672354	2.51429e-07	9.22057e-05	9.58857e-06	1.47
2	2000	1.04166	2.00882	0.000203897	5.62143e-05	0	0.000672329	2.51429e-07	9.25943e-05	1.426e-05	1.47
2	2000	1.0372	1.52634	0.000204	5.62114e-05	0	0.000672343	2.48571e-07	9.23771e-05	1.012e-05	1.47
2	2000	1.03995	1.67158	0.000203997	5.62257e-05	0	0.000672349	2.45714e-07	9.23571e-05	1.158e-05	1.47
3	3000	1.05647	3.00679	0.000204917	5.63514e-05	0	0.000672543	2.48571e-07	9.3e-05	2.08286e-05	1.57
3	3000	1.05304	3.22581	0.000204857	5.63543e-05	0	0.000672529	2.48571e-07	9.29514e-05	2.28743e-05	1.49
3	3000	1.05233	3.13206	0.000204923	5.63686e-05	0	0.000672551	2.48571e-07	9.29829e-05	2.13857e-05	1.50
3	3000	1.05317	3.06947	0.000204814	5.63457e-05	0	0.000672466	2.48571e-07	9.30943e-05	2.11257e-05	1.50
3	3000	1.0495	2.72374	0.00020492	5.63629e-05	0	0.000672523	2.48571e-07	9.28229e-05	1.94714e-05	1.49
3	3000	1.05267	2.84974	0.000204957	5.63543e-05	0	0.00067252	2.48571e-07	9.28829e-05	2.03857e-05	1.48
3	3000	1.05079	3.03814	0.000204914	5.63657e-05	0	0.000672626	2.48571e-07	9.28486e-05	2.10286e-05	1.49
3	3000	1.0528	3.19458	0.000204903	5.63429e-05	0	0.000672523	2.48571e-07	9.30429e-05	2.08286e-05	1.50
3	3000	1.05569	3.13206	0.000204954	5.63714e-05	0	0.000672649	2.48571e-07	9.3e-05	2.14857e-05	1.50
3	3000	1.05425	3.35052	0.000204871	5.636e-05	0	0.000672511	2.48571e-07	9.28743e-05	2.28914e-05	1.49
4	4000	1.06506	4.48902	0.000205966	5.64943e-05	0	0.000672583	2.48571e-07	9.41571e-05	3.05514e-05	1.59
4	4000	1.06598	4.51182	0.000205951	5.65171e-05	0	0.000672866	2.51429e-07	9.38171e-05	3.14514e-05	1.59
4	4000	1.06841	4.16866	0.000206074	5.64971e-05	0	0.000672734	2.48571e-07	9.38771e-05	2.77571e-05	1.59
4	4000	1.06274	4.37485	0.000206031	5.64914e-05	0	0.000672731	2.48571e-07	9.38514e-05	2.93686e-05	1.58
4	4000	1.06529	4.26041	0.00020608	5.64771e-05	0	0.000672726	2.51429e-07	9.408e-05	2.85429e-05	1.58
4	4000	1.06534	4.71653	0.000206011	5.64886e-05	0	0.000672726	2.48571e-07	9.412e-05	3.16571e-05	1.59
4	4000	1.06123	4.03071	0.000205997	5.64829e-05	0	0.000672597	2.42857e-07	9.37457e-05	2.68114e-05	1.58
4	4000	1.06438	4.1457	0.000205983	5.64914e-05	0	0.000672771	2.45714e-07	9.41114e-05	2.73314e-05	1.58
4	4000	1.06544	4.67112	0.000206186	5.648e-05	0	0.000672734	2.48571e-07	9.40114e-05	3.18743e-05	1.59
4	4000	1.06226	4.00768	0.000205894	5.64971e-05	0	0.000672743	2.48571e-07	9.38314e-05	2.57486e-05	1.58
5	5000	1.07865	5.64257	0.000207509	5.66343e-05	0	0.000672991	2.42857e-07	9.54886e-05	4.08229e-05	1.77
5	5000	1.08385	6.3495	0.00020752	5.66629e-05	0	0.000672966	2.42857e-07	9.49229e-05	4.54486e-05	1.69
5	5000	1.08018	5.83804	0.000207614	5.66457e-05	0	0.000672931	2.42857e-07	9.51429e-05	3.92314e-05	1.70
5	5000	1.08421	5.92662	0.000207531	5.66686e-05	0	0.000672937	2.42857e-07	9.47371e-05	4.03914e-05	1.70
5	5000	1.07682	5.57129	0.000207674	5.66514e-05	0	0.000672937	2.42857e-07	9.49857e-05	3.832e-05	1.70
5	5000	1.08155	5.69596	0.000207529	5.66657e-05	0	0.000672934	2.42857e-07	9.48114e-05	3.89457e-05	1.70
5	5000	1.07959	5.87349	0.000207529	5.66743e-05	0	0.000672966	2.42857e-07	9.48371e-05	4.048e-05	1.70
5	5000	1.08066	5.83804	0.000207543	5.66514e-05	0	0.000672917	2.42857e-07	9.49057e-05	4.05829e-05	1.70
5	5000	1.08162	6.10329	0.000207597	5.66571e-05	0	0.000672931	2.42857e-07	9.50286e-05	4.27971e-05	1.70
5	5000	1.0845	5.96201	0.000207566	5.66629e-05	0	0.000672931	2.42857e-07	9.502e-05	4.01171e-05	1.70
6	6000	1.09339	7.49306	0.000209483	5.68457e-05	0	0.000673309	2.4e-07	9.63286e-05	5.15657e-05	1.89
6	6000	1.08979	6.90458	0.000209297	5.68543e-05	0	0.000673223	2.4e-07	9.59714e-05	4.78943e-05	1.81
6	6000	1.09484	7.49306	0.000209374	5.68314e-05	0	0.000673194	2.4e-07	9.60914e-05	5.20314e-05	1.82
6	6000	1.09795	7.22128	0.000209314	5.68514e-05	0	0.000673289	2.4e-07	9.60771e-05	5.12171e-05	1.81
