N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.65959	0	0.00039	0.000168591	0	0.000838069	2.48571e-07	0.000253674	2.39143e-06	2.09
1	1000	1.65918	0	0.000389843	0.000168609	0	0.000837903	2.51429e-07	0.000253549	2.39714e-06	2.09
1	1000	1.65904	0	0.000389829	0.000168531	0	0.000837817	2.51429e-07	0.000253591	2.39143e-06	2.09
1	1000	1.65907	0	0.000389777	0.000168571	0	0.000837889	2.48571e-07	0.000253563	2.39429e-06	2.08
1	1000	1.65952	0	0.000389989	0.000168569	0	0.000837854	2.51429e-07	0.000253854	2.38571e-06	2.08
1	1000	1.65908	0	0.000389811	0.000168569	0	0.000837869	2.51429e-07	0.000253557	2.39143e-06	2.07
1	1000	1.65903	0	0.000389723	0.000168569	0	0.000837874	2.51429e-07	0.000253586	2.38571e-06	2.08
1	1000	1.65896	0	0.000389806	0.000168443	0	0.000837954	2.48571e-07	0.000253491	2.38857e-06	2.08
1	1000	1.65913	0	0.00038982	0.00016856	0	0.000837891	2.51429e-07	0.000253589	2.39429e-06	2.08
1	1000	1.65962	0	0.000389894	0.000168717	0	0.000837891	2.51429e-07	0.000253866	2.38286e-06	2.08
2	2000	1.71521	1.52634	0.000405043	0.000174417	0	0.000849017	2.51429e-07	0.000262349	1.70686e-05	2.14
2	2000	1.71813	1.76817	0.000404754	0.00017438	0	0.00084926	2.51429e-07	0.000262209	1.972e-05	2.15
2	2000	1.71748	1.52634	0.00040494	0.000174734	0	0.000848751	2.51429e-07	0.000262046	1.75743e-05	2.15
2	2000	1.71859	1.8164	0.000404489	0.000174191	0	0.000848923	2.48571e-07	0.000263103	2.048e-05	2.14
2	2000	1.71844	1.7199	0.000404797	0.00017434	0	0.000849163	2.48571e-07	0.000262611	1.90571e-05	2.15
2	2000	1.71849	1.67158	0.000404849	0.000174377	0	0.000848969	2.51429e-07	0.000262674	1.83543e-05	2.15
2	2000	1.71887	1.67158	0.000404991	0.000174537	0	0.000849054	2.48571e-07	0.000262669	1.83657e-05	2.16
2	2000	1.71836	1.67158	0.000404789	0.000174389	0	0.000848929	2.48571e-07	0.00026264	1.83543e-05	2.15
2	2000	1.71566	1.67158	0.000404634	0.000174383	0	0.00084888	2.48571e-07	0.000262623	1.77714e-05	2.15
2	2000	1.71855	1.67158	0.000404866	0.00017434	0	0.000849003	2.51429e-07	0.000262734	1.83629e-05	2.15
3	3000	1.79405	2.94403	0.000425194	0.000183734	0	0.000865489	2.48571e-07	0.0002765	3.24914e-05	2.31
3	3000	1.79657	2.97542	0.000425003	0.000183571	0	0.000865411	2.48571e-07	0.000276751	3.48143e-05	2.24
3	3000	1.7972	3.16333	0.000424857	0.000184066	0	0.000864783	2.48571e-07	0.00027496	3.44086e-05	2.23
3	3000	1.80024	3.41275	0.000424809	0.000183431	0	0.000865449	2.48571e-07	0.000276783	3.75e-05	2.24
3	3000	1.7953	3.06947	0.000424997	0.000183823	0	0.000865303	2.48571e-07	0.000276103	3.43029e-05	2.23
3	3000	1.79237	2.91262	0.000425211	0.000183691	0	0.000865686	2.48571e-07	0.00027696	3.272e-05	2.23
3	3000	1.79787	3.00679	0.000425434	0.000183943	0	0.00086536	2.48571e-07	0.000276354	3.27371e-05	2.24
3	3000	1.79611	2.88119	0.000425006	0.000183489	0	0.000865791	2.48571e-07	0.000277123	3.45914e-05	2.23
3	3000	1.79897	3.19458	0.000425109	0.000183457	0	0.000865731	2.48571e-07	0.000277171	3.53029e-05	2.24
3	3000	1.79361	2.66061	0.000424694	0.00018376	0	0.000864929	2.48571e-07	0.000275609	2.89029e-05	2.23
4	4000	1.90578	4.12272	0.000454854	0.000197123	0	0.000889551	2.51429e-07	0.00029792	5.048e-05	2.42
4	4000	1.90752	4.19162	0.000454877	0.000197683	0	0.000889677	2.51429e-07	0.00029784	5.15457e-05	2.42
4	4000	1.91094	4.44338	0.00045514	0.000198009	0	0.000889586	2.48571e-07	0.00029724	5.25571e-05	2.43
4	4000	1.90188	3.98464	0.000454597	0.000197926	0	0.000889009	2.51429e-07	0.000296431	4.67486e-05	2.41
4	4000	1.91313	4.53461	0.000454997	0.000197257	0	0.000889714	2.48571e-07	0.000298249	5.41743e-05	2.43
4	4000	1.90464	4.16866	0.000454983	0.000197209	0	0.000889917	2.48571e-07	0.000298497	4.96429e-05	2.43
4	4000	1.91781	4.35198	0.00045468	0.000197346	0	0.000889737	2.48571e-07	0.000298257	5.13543e-05	2.43
4	4000	1.9043	4.35198	0.000454994	0.000197889	0	0.00088926	2.48571e-07	0.0002968	5.12486e-05	2.42
4	4000	1.90816	4.28332	0.000455177	0.000197677	0	0.000889774	2.48571e-07	0.000298089	5.12857e-05	2.42
4	4000	1.89982	4.19162	0.0004552	0.000197934	0	0.000889511	2.51429e-07	0.000297246	4.80914e-05	2.41
5	5000	2.07977	5.94432	0.000502749	0.000219377	0	0.000926826	2.42857e-07	0.000333006	7.65229e-05	2.70
5	5000	2.07457	5.67817	0.000501537	0.00021968	0	0.00092552	2.42857e-07	0.000330226	7.46057e-05	2.69
