N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.145175	0	5.00571e-06	6.66571e-06	0	8.78286e-06	2.51429e-07	5.26286e-06	1.19714e-06
1	1000	0.145176	0	5.00571e-06	6.66286e-06	0	8.78857e-06	2.51429e-07	5.26571e-06	1.19429e-06
1	1000	0.145174	0	5.00857e-06	6.66286e-06	0	8.78857e-06	2.48571e-07	5.26e-06	1.19429e-06
1	1000	0.145176	0	5.00286e-06	6.66571e-06	0	8.78571e-06	2.51429e-07	5.26571e-06	1.19714e-06
1	1000	0.145173	0	5.00571e-06	6.66286e-06	0	8.79143e-06	2.48571e-07	5.26286e-06	1.19143e-06
1	1000	0.145171	0	5.00286e-06	6.66286e-06	0	8.78857e-06	2.51429e-07	5.26286e-06	1.19429e-06
1	1000	0.145168	0	5.00857e-06	6.66571e-06	0	8.78286e-06	2.51429e-07	5.26e-06	1.19429e-06
1	1000	0.145171	0	5.00857e-06	6.66286e-06	0	8.78571e-06	2.51429e-07	5.26e-06	1.19714e-06
1	1000	0.145168	0	5.00857e-06	6.66286e-06	0	8.78571e-06	2.51429e-07	5.25143e-06	1.19714e-06
1	1000	0.145166	0	5.00286e-06	6.66286e-06	0	8.78571e-06	2.51429e-07	5.26e-06	1.19429e-06
2	2000	0.145271	0.299103	5.00571e-06	6.66571e-06	0	8.78571e-06	2.51429e-07	5.26286e-06	1.24286e-06
2	2000	0.14526	0.398406	5.00857e-06	6.66571e-06	0	8.78571e-06	2.51429e-07	5.26286e-06	1.24571e-06
2	2000	0.145303	0.645802	5.01429e-06	6.66286e-06	0	8.79143e-06	2.51429e-07	5.26857e-06	1.27714e-06
2	2000	0.145299	0.695134	5.01429e-06	6.66286e-06	0	8.79143e-06	2.51429e-07	5.26286e-06	1.27714e-06
2	2000	0.145256	0.447984	5.01143e-06	6.66286e-06	0	8.78857e-06	2.51429e-07	5.26571e-06	1.24286e-06
2	2000	0.145261	0.348779	5.01143e-06	6.66286e-06	0	8.78857e-06	2.51429e-07	5.26e-06	1.22857e-06
