N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.963979	0	0.000164329	9.28714e-05	0	0.000672071	2.51429e-07	3.152e-05	1.13143e-06	1.39
1	1000	0.963964	0	0.000164303	9.29e-05	0	0.000672054	2.51429e-07	3.15229e-05	1.13143e-06	1.39
1	1000	0.963985	0	0.000164309	9.29057e-05	0	0.000672054	2.51429e-07	3.15314e-05	1.13143e-06	1.39
1	1000	0.963949	0	0.000164286	9.28886e-05	0	0.000672063	2.51429e-07	3.15257e-05	1.13429e-06	1.39
1	1000	0.963956	0	0.000164309	9.286e-05	0	0.000672083	2.51429e-07	3.15229e-05	1.13143e-06	1.39
1	1000	0.963988	0	0.000164306	9.28886e-05	0	0.000672071	2.48571e-07	3.154e-05	1.13143e-06	1.39
1	1000	0.963928	0	0.000164303	9.28514e-05	0	0.000672066	2.51429e-07	3.15257e-05	1.13143e-06	1.39
1	1000	0.963959	0	0.000164311	9.28771e-05	0	0.000672077	2.51429e-07	3.15086e-05	1.13143e-06	1.39
1	1000	0.963984	0	0.000164294	9.29114e-05	0	0.000672066	2.48571e-07	3.15286e-05	1.13429e-06	1.39
1	1000	0.963967	0	0.000164309	9.28857e-05	0	0.000672074	2.51429e-07	3.15143e-05	1.13429e-06	1.39
2	2000	0.978136	1.7199	0.000165589	9.32686e-05	0	0.000672369	2.51429e-07	3.17857e-05	1.15286e-05	1.41
2	2000	0.977644	1.67158	0.000165609	9.33086e-05	0	0.000672423	2.51429e-07	3.18914e-05	1.12486e-05	1.41
2	2000	0.976262	1.52634	0.000165611	9.32657e-05	0	0.000672374	2.51429e-07	3.192e-05	9.99143e-06	1.41
2	2000	0.979013	1.8164	0.000165469	9.32857e-05	0	0.00067248	2.51429e-07	3.17114e-05	1.20086e-05	1.41
2	2000	0.977297	1.62322	0.000165597	9.326e-05	0	0.000672391	2.51429e-07	3.18429e-05	1.09943e-05	1.41
2	2000	0.975911	1.5748	0.000165497	9.32857e-05	0	0.000672391	2.51429e-07	3.182e-05	1.046e-05	1.41
2	2000	0.977008	1.62322	0.000165537	9.33e-05	0	0.000672409	2.51429e-07	3.17714e-05	1.11314e-05	1.41
2	2000	0.976526	1.62322	0.000165586	9.33e-05	0	0.000672426	2.51429e-07	3.176e-05	1.07771e-05	1.41
2	2000	0.976503	1.62322	0.000165571	9.32686e-05	0	0.000672403	2.51429e-07	3.17914e-05	1.07743e-05	1.41
2	2000	0.975828	1.76817	0.000165446	9.32914e-05	0	0.000672486	2.48571e-07	3.16914e-05	1.05371e-05	1.41
3	3000	0.99285	3.13206	0.000166677	9.37257e-05	0	0.000672563	2.48571e-07	3.20714e-05	2.12943e-05	1.43
3	3000	0.991275	3.06947	0.000166757	9.372e-05	0	0.000672571	2.48571e-07	3.20571e-05	2.02257e-05	1.43
