N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.207714	0	1.58714e-05	2.94943e-05	0	0.000137669	2.51429e-07	1.55914e-05	2.38857e-06	0.62
1	1000	0.207727	0	1.58543e-05	2.95114e-05	0	0.000137666	2.51429e-07	1.56086e-05	2.38857e-06	0.60
1	1000	0.207706	0	1.588e-05	2.95114e-05	0	0.000137623	2.51429e-07	1.56057e-05	2.38e-06	0.60
1	1000	0.207722	0	1.58771e-05	2.948e-05	0	0.000137683	2.51429e-07	1.56e-05	2.38857e-06	0.58
1	1000	0.20775	0	1.58743e-05	2.95086e-05	0	0.000137677	2.48571e-07	1.56057e-05	2.38857e-06	0.60
1	1000	0.207749	0	1.58657e-05	2.95057e-05	0	0.000137686	2.51429e-07	1.56086e-05	2.38571e-06	0.60
1	1000	0.207748	0	1.58714e-05	2.94943e-05	0	0.000137703	2.51429e-07	1.55971e-05	2.38571e-06	0.60
1	1000	0.207763	0	1.58771e-05	2.95143e-05	0	0.000137691	2.51429e-07	1.56e-05	2.38857e-06	0.60
1	1000	0.207739	0	1.58743e-05	2.95057e-05	0	0.000137654	2.51429e-07	1.56086e-05	2.38857e-06	0.60
1	1000	0.207701	0	1.58743e-05	2.95086e-05	0	0.00013762	2.48571e-07	1.56143e-05	2.38286e-06	0.60
2	2000	0.21121	0.447984	1.63743e-05	3.04371e-05	0	0.000138291	2.51429e-07	1.60457e-05	3.10286e-06	0.70
2	2000	0.212156	0.596421	1.64486e-05	3.07229e-05	0	0.000138434	2.51429e-07	1.62486e-05	3.34e-06	0.61
2	2000	0.210891	0.645802	1.62714e-05	3.02314e-05	0	0.00013826	2.51429e-07	1.59257e-05	3.22857e-06	0.61
2	2000	0.211584	0.546992	1.63943e-05	3.04914e-05	0	0.000138343	2.51429e-07	1.61e-05	3.23714e-06	0.61
2	2000	0.211945	0.546992	1.64286e-05	3.06343e-05	0	0.0001384	2.48571e-07	1.61886e-05	3.23143e-06	0.61
2	2000	0.212044	0.645802	1.63771e-05	3.052e-05	0	0.00013838	2.51429e-07	1.62257e-05	3.35714e-06	0.61
2	2000	0.211712	0.645802	1.63914e-05	3.05229e-05	0	0.000138386	2.51429e-07	1.61143e-05	3.36e-06	0.61
2	2000	0.210796	0.497512	1.62914e-05	3.02343e-05	0	0.000138234	2.48571e-07	1.59314e-05	3.06571e-06	0.61
2	2000	0.212403	0.695134	1.64657e-05	3.06943e-05	0	0.000138429	2.51429e-07	1.62229e-05	3.46e-06	0.61
2	2000	0.211951	0.596421	1.64714e-05	3.06714e-05	0	0.000138394	2.48571e-07	1.61543e-05	3.26857e-06	0.61
3	3000	0.21535	0.990099	1.70143e-05	3.154e-05	0	0.000139129	2.48571e-07	1.66143e-05	3.65429e-06	0.63
3	3000	0.21635	1.02276	1.71514e-05	3.18743e-05	0	0.000139317	2.48571e-07	1.68371e-05	3.82571e-06	0.62
3	3000	0.216172	0.924703	1.71086e-05	3.17171e-05	0	0.00013924	2.48571e-07	1.66571e-05	3.85143e-06	0.62
3	3000	0.21661	1.18577	1.712e-05	3.18086e-05	0	0.000139274	2.48571e-07	1.67714e-05	4.12571e-06	0.62
3	3000	0.216663	1.21831	1.71286e-05	3.184e-05	0	0.000139289	2.48571e-07	1.68029e-05	4.12286e-06	0.62
3	3000	0.216008	1.12063	1.70171e-05	3.15571e-05	0	0.000139189	2.48571e-07	1.66857e-05	4.03714e-06	0.62
3	3000	0.215701	1.02276	1.70086e-05	3.15114e-05	0	0.000139169	2.48571e-07	1.66314e-05	3.96571e-06	0.62
3	3000	0.215867	1.02276	1.702e-05	3.15743e-05	0	0.000139186	2.48571e-07	1.67143e-05	3.81429e-06	0.62
3	3000	0.216582	1.38067	1.70286e-05	3.16086e-05	0	0.000139189	2.48571e-07	1.66943e-05	4.28571e-06	0.62
3	3000	0.216894	1.18577	1.71486e-05	3.18229e-05	0	0.000139303	2.48571e-07	1.67686e-05	4.25714e-06	0.62
4	4000	0.225852	2.10475	1.84829e-05	3.428e-05	0	0.00014074	2.51429e-07	1.80686e-05	5.68571e-06	0.73
4	4000	0.222305	1.47783	1.80486e-05	3.33914e-05	0	0.000140326	2.48571e-07	1.75971e-05	4.48e-06	0.71
4	4000	0.224515	2.10475	1.83914e-05	3.40886e-05	0	0.000140666	2.51429e-07	1.79029e-05	5.38857e-06	0.71
4	4000	0.224157	1.98481	1.82371e-05	3.38114e-05	0	0.000140509	2.48571e-07	1.778e-05	5.30857e-06	0.70
4	4000	0.223406	1.93675	1.81114e-05	3.35314e-05	0	0.000140383	2.45714e-07	1.76686e-05	5.20857e-06	0.71
4	4000	0.223229	1.59902	1.82114e-05	3.37343e-05	0	0.000140483	2.48571e-07	1.776e-05	4.74e-06	0.70
4	4000	0.225409	1.93675	1.84e-05	3.41657e-05	0	0.000140714	2.51429e-07	1.80486e-05	5.34857e-06	0.71
4	4000	0.223958	2.08078	1.81714e-05	3.36257e-05	0	0.000140454	2.45714e-07	1.77086e-05	5.59714e-06	0.70
4	4000	0.224601	2.05681	1.82371e-05	3.37657e-05	0	0.000140509	2.51429e-07	1.78143e-05	5.33714e-06	0.71
4	4000	0.222874	1.96078	1.80057e-05	3.326e-05	0	0.00014032	2.48571e-07	1.76e-05	5.42571e-06	0.71
5	5000	0.234052	2.55311	1.986e-05	3.66657e-05	0	0.00014232	2.42857e-07	1.93543e-05	6.54e-06	0.91
5	5000	0.234684	2.43902	2.00257e-05	3.70257e-05	0	0.000142457	2.42857e-07	1.95229e-05	6.19429e-06	0.81
5	5000	0.232801	2.64798	1.96571e-05	3.62857e-05	0	0.000142126	2.42857e-07	1.91429e-05	6.52286e-06	0.82
5	5000	0.235	2.74266	2.00571e-05	3.70971e-05	0	0.000142511	2.42857e-07	1.95314e-05	6.46e-06	0.82
5	5000	0.233044	2.34375	1.97943e-05	3.66e-05	0	0.000142229	2.42857e-07	1.92743e-05	5.93429e-06	0.82
5	5000	0.233438	2.66693	1.97943e-05	3.64886e-05	0	0.000142251	2.42857e-07	1.92429e-05	6.54e-06	0.82
5	5000	0.233462	2.95031	1.97457e-05	3.64286e-05	0	0.000142171	2.42857e-07	1.92086e-05	6.85429e-06	0.82
5	5000	0.232471	2.30559	1.978e-05	3.65171e-05	0	0.0001422	2.42857e-07	1.91914e-05	5.89143e-06	0.82
5	5000	0.233747	2.68587	1.98029e-05	3.65914e-05	0	0.000142283	2.42857e-07	1.93714e-05	6.71714e-06	0.81
5	5000	0.235705	2.89377	2.01e-05	3.71971e-05	0	0.000142546	2.42857e-07	1.95457e-05	6.71429e-06	0.81
6	6000	0.246204	3.1477	2.19914e-05	4.04286e-05	0	0.000144663	2.4e-07	2.14086e-05	7.51714e-06	1.03
6	6000	0.245921	3.30379	2.18657e-05	4.018e-05	0	0.00014448	2.4e-07	2.11371e-05	7.68571e-06	0.95
6	6000	0.245172	2.83401	2.18943e-05	4.02429e-05	0	0.00014458	2.4e-07	2.10971e-05	7.07143e-06	0.92
6	6000	0.245995	3.38164	2.19e-05	4.02143e-05	0	0.000144566	2.4e-07	2.11029e-05	8.04571e-06	0.93
6	6000	0.246776	3.64542	2.19057e-05	4.02657e-05	0	0.000144543	2.4e-07	2.11486e-05	8.33143e-06	0.93
6	6000	0.245807	3.13206	2.19e-05	4.02857e-05	0	0.000144537	2.4e-07	2.12543e-05	7.7e-06	0.92
6	6000	0.245152	3.10078	2.17971e-05	3.99543e-05	0	0.00014444	2.4e-07	2.10257e-05	7.76286e-06	0.92
6	6000	0.247524	3.10078	2.20971e-05	4.06743e-05	0	0.000144743	2.4e-07	2.14514e-05	7.47714e-06	0.93
6	6000	0.243667	3.16333	2.15257e-05	3.93886e-05	0	0.000144189	2.4e-07	2.072e-05	7.68571e-06	0.92
6	6000	0.247668	3.66089	2.19886e-05	4.04114e-05	0	0.00014462	2.4e-07	2.13171e-05	8.42571e-06	0.93
7	7000	0.262117	4.07017	2.47371e-05	4.52914e-05	0	0.000147586	2.4e-07	2.38114e-05	9.39714e-06	1.06
7	7000	0.26193	4.21456	2.45171e-05	4.48657e-05	0	0.000147411	2.4e-07	2.35971e-05	9.74e-06	1.05
7	7000	0.262723	4.07017	2.47371e-05	4.528e-05	0	0.000147551	2.4e-07	2.36743e-05	9.5e-06	1.06
7	7000	0.262365	3.72714	2.45486e-05	4.48857e-05	0	0.000147411	2.4e-07	2.35714e-05	9.05143e-06	1.06
7	7000	0.261434	3.88576	2.46571e-05	4.50943e-05	0	0.000147563	2.4e-07	2.38657e-05	9.29143e-06	1.06
7	7000	0.263549	4.38465	2.48886e-05	4.57086e-05	0	0.000147769	2.4e-07	2.40114e-05	9.91714e-06	1.06
7	7000	0.261496	4.41076	2.44886e-05	4.46886e-05	0	0.000147343	2.4e-07	2.33e-05	9.96286e-06	1.06
7	7000	0.264539	3.93852	2.50086e-05	4.594e-05	0	0.000147886	2.4e-07	2.42543e-05	9.64e-06	1.06
7	7000	0.26233	4.09645	2.48e-05	4.54771e-05	0	0.00014762	2.4e-07	2.37743e-05	9.70286e-06	1.06
7	7000	0.263547	4.25386	2.486e-05	4.55943e-05	0	0.000147746	2.4e-07	2.39429e-05	9.61429e-06	1.06
8	8000	0.282674	4.78458	2.81286e-05	5.13514e-05	0	0.000151263	2.51429e-07	2.70343e-05	1.15171e-05	1.17
8	8000	0.282721	4.29477	2.854e-05	5.21457e-05	0	0.000151603	2.51429e-07	2.73057e-05	1.05029e-05	1.18
8	8000	0.283725	4.81856	2.842e-05	5.19886e-05	0	0.000151534	2.51429e-07	2.73486e-05	1.156e-05	1.18
8	8000	0.283807	5.06705	2.842e-05	5.19886e-05	0	0.000151551	2.51429e-07	2.72229e-05	1.18143e-05	1.18
8	8000	0.28432	4.43197	2.85257e-05	5.23657e-05	0	0.000151649	2.51429e-07	2.74571e-05	1.10629e-05	1.19
8	8000	0.281916	4.68247	2.83143e-05	5.162e-05	0	0.000151386	2.51429e-07	2.7e-05	1.10086e-05	1.18
8	8000	0.282944	4.63702	2.83314e-05	5.174e-05	0	0.000151434	2.51429e-07	2.72086e-05	1.13857e-05	1.17
8	8000	0.280855	4.52321	2.80914e-05	5.126e-05	0	0.000151154	2.51429e-07	2.67143e-05	1.04657e-05	1.17
8	8000	0.284445	4.79591	2.83914e-05	5.19457e-05	0	0.000151509	2.51429e-07	2.73914e-05	1.15686e-05	1.18
8	8000	0.280762	4.4548	2.802e-05	5.08057e-05	0	0.000151031	2.51429e-07	2.64114e-05	1.09143e-05	1.17
9	9000	0.308196	5.81833	3.25171e-05	5.90514e-05	0	0.000155823	2.31429e-07	3.09771e-05	1.41e-05	1.38
9	9000	0.30707	5.44232	3.24343e-05	5.90143e-05	0	0.000155777	2.31429e-07	3.09743e-05	1.34857e-05	1.31
9	9000	0.306807	5.15334	3.25e-05	5.91771e-05	0	0.000155894	2.31429e-07	3.13229e-05	1.28743e-05	1.30
9	9000	0.308094	5.92662	3.24514e-05	5.89714e-05	0	0.0001558	2.31429e-07	3.09429e-05	1.466e-05	1.31
9	9000	0.306622	5.41251	3.25257e-05	5.93143e-05	0	0.000155886	2.31429e-07	3.10971e-05	1.34114e-05	1.30
9	9000	0.308508	5.62081	3.25629e-05	5.93429e-05	0	0.000155926	2.31429e-07	3.12686e-05	1.40314e-05	1.31
9	9000	0.305812	5.34287	3.23971e-05	5.87571e-05	0	0.000155709	2.31429e-07	3.07686e-05	1.34486e-05	1.30
9	9000	0.306807	5.38267	3.25114e-05	5.90686e-05	0	0.000155817	2.31429e-07	3.09029e-05	1.37257e-05	1.30
9	9000	0.306838	5.61091	3.25371e-05	5.92114e-05	0	0.000155823	2.31429e-07	3.098e-05	1.36171e-05	1.30
9	9000	0.307071	5.69992	3.25571e-05	5.928e-05	0	0.000155877	2.31429e-07	3.09229e-05	1.38314e-05	1.31
10	10000	0.335286	6.05918	3.75257e-05	6.81886e-05	0	0.000161054	2.28571e-07	3.56657e-05	1.58857e-05	1.51
10	10000	0.336257	6.35827	3.75143e-05	6.83114e-05	0	0.000161023	2.28571e-07	3.56057e-05	1.63829e-05	1.44
10	10000	0.336049	6.24414	3.76486e-05	6.85343e-05	0	0.00016112	2.28571e-07	3.56829e-05	1.60314e-05	1.43
10	10000	0.336294	6.47213	3.74114e-05	6.79657e-05	0	0.00016098	2.28571e-07	3.57514e-05	1.64743e-05	1.43
10	10000	0.334869	6.44588	3.73629e-05	6.76371e-05	0	0.000160857	2.28571e-07	3.52086e-05	1.642e-05	1.43
10	10000	0.337073	6.25293	3.73857e-05	6.79171e-05	0	0.000160969	2.28571e-07	3.57257e-05	1.628e-05	1.44
10	10000	0.335923	6.12092	3.74486e-05	6.81343e-05	0	0.000161037	2.28571e-07	3.568e-05	1.59e-05	1.43
10	10000	0.336065	6.36704	3.74914e-05	6.82686e-05	0	0.000161043	2.28571e-07	3.588e-05	1.63429e-05	1.43
10	10000	0.335055	5.97085	3.73857e-05	6.80657e-05	0	0.000161034	2.28571e-07	3.59114e-05	1.57914e-05	1.43
