N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.145918	0	4.98857e-06	9.54571e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.19429e-06
1	1000	0.145926	0	4.99714e-06	9.54286e-06	0	8.78857e-06	2.51429e-07	3.14286e-06	1.19429e-06
1	1000	0.145917	0	5e-06	9.53143e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.19714e-06
1	1000	0.145922	0	5e-06	9.54286e-06	0	8.78286e-06	2.51429e-07	3.14286e-06	1.19429e-06
1	1000	0.145927	0	4.99714e-06	9.54857e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.19429e-06
1	1000	0.14592	0	4.99714e-06	9.53714e-06	0	8.78571e-06	2.51429e-07	3.14571e-06	1.19429e-06
1	1000	0.145931	0	5e-06	9.54571e-06	0	8.78e-06	2.48571e-07	3.14571e-06	1.19714e-06
1	1000	0.145934	0	5.00286e-06	9.54857e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.19429e-06
1	1000	0.14594	0	5.00286e-06	9.54857e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.19714e-06
1	1000	0.145921	0	4.99714e-06	9.54e-06	0	8.78571e-06	2.48571e-07	3.14571e-06	1.19429e-06
2	2000	0.146037	0.299103	5e-06	9.55143e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.25143e-06
2	2000	0.146072	0.596421	5.00286e-06	9.55714e-06	0	8.78571e-06	2.48571e-07	3.14571e-06	1.28286e-06
2	2000	0.146075	0.645802	5.00286e-06	9.56e-06	0	8.78857e-06	2.48571e-07	3.14571e-06	1.28857e-06
2	2000	0.146109	0.842836	5e-06	9.55714e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.33143e-06
2	2000	0.146102	0.891972	5.00571e-06	9.55429e-06	0	8.78857e-06	2.45714e-07	3.14857e-06	1.32571e-06
2	2000	0.146016	0.299103	4.99714e-06	9.54857e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.22571e-06
2	2000	0.146122	0.842836	5e-06	9.54857e-06	0	8.78857e-06	2.51429e-07	3.14286e-06	1.34857e-06
2	2000	0.146038	0.299103	4.99714e-06	9.54857e-06	0	8.78857e-06	2.51429e-07	3.14286e-06	1.25143e-06
2	2000	0.146107	0.744417	5e-06	9.55143e-06	0	8.78571e-06	2.51429e-07	3.14286e-06	1.33714e-06
2	2000	0.146128	0.793651	5.00571e-06	9.55429e-06	0	8.78857e-06	2.51429e-07	3.14286e-06	1.34e-06
3	3000	0.146201	0.891972	5e-06	9.54857e-06	0	8.79429e-06	2.48571e-07	3.14571e-06	1.32571e-06
3	3000	0.146169	0.826446	5.00286e-06	9.54857e-06	0	8.79143e-06	2.48571e-07	3.14286e-06	1.32857e-06
3	3000	0.146173	0.891972	5.00571e-06	9.55143e-06	0	8.79143e-06	2.48571e-07	3.14571e-06	1.28571e-06
3	3000	0.146154	0.891972	5.00286e-06	9.55143e-06	0	8.79143e-06	2.48571e-07	3.14286e-06	1.31714e-06
3	3000	0.146151	0.629347	5e-06	9.55143e-06	0	8.78571e-06	2.48571e-07	3.14286e-06	1.26571e-06
3	3000	0.146132	0.563474	5.00286e-06	9.54857e-06	0	8.78571e-06	2.48571e-07	3.14571e-06	1.26857e-06
3	3000	0.14614	0.596421	5e-06	9.56286e-06	0	8.78857e-06	2.48571e-07	3.14571e-06	1.27143e-06
3	3000	0.146152	0.727995	5e-06	9.55429e-06	0	8.78571e-06	2.48571e-07	3.14571e-06	1.30571e-06
3	3000	0.146117	0.727995	5.00571e-06	9.55429e-06	0	8.78571e-06	2.48571e-07	3.14286e-06	1.26857e-06
3	3000	0.146306	1.18577	5.00571e-06	9.56e-06	0	8.78857e-06	2.48571e-07	3.14286e-06	1.41143e-06
4	4000	0.146411	1.64741	5.00286e-06	9.56571e-06	0	8.79143e-06	2.51429e-07	3.14286e-06	1.42286e-06
4	4000	0.146271	1.5748	4.99714e-06	9.55429e-06	0	8.79714e-06	2.48571e-07	3.14571e-06	1.35714e-06
4	4000	0.146279	0.891972	5.00286e-06	9.56857e-06	0	8.79143e-06	2.51429e-07	3.14286e-06	1.3e-06
4	4000	0.146257	1.21018	5.00286e-06	9.56286e-06	0	8.78857e-06	2.51429e-07	3.14e-06	1.36571e-06
4	4000	0.146318	1.16135	5.00286e-06	9.56286e-06	0	8.79143e-06	2.45714e-07	3.14857e-06	1.33429e-06
4	4000	0.146185	1.38067	5e-06	9.56286e-06	0	8.79429e-06	2.51429e-07	3.14286e-06	1.33714e-06
4	4000	0.146255	1.5748	5.00571e-06	9.56571e-06	0	8.79143e-06	2.51429e-07	3.14286e-06	1.34857e-06
4	4000	0.146349	1.8164	5e-06	9.56e-06	0	8.79429e-06	2.45714e-07	3.14571e-06	1.41429e-06
4	4000	0.146295	1.52634	5.00286e-06	9.56571e-06	0	8.79143e-06	2.48571e-07	3.14571e-06	1.35143e-06
4	4000	0.146344	1.9127	5.00286e-06	9.55714e-06	0	8.79143e-06	2.48571e-07	3.14571e-06	1.41714e-06
5	5000	0.146311	1.65224	5e-06	9.56857e-06	0	8.79714e-06	2.42857e-07	3.14286e-06	1.38e-06
5	5000	0.146443	2.2865	5e-06	9.56e-06	0	8.79429e-06	2.42857e-07	3.14286e-06	1.46857e-06
5	5000	0.146386	1.94156	5e-06	9.56571e-06	0	8.79714e-06	2.42857e-07	3.14286e-06	1.44286e-06
5	5000	0.14627	1.76817	5e-06	9.56e-06	0	8.79714e-06	2.42857e-07	3.14286e-06	1.39143e-06
5	5000	0.146221	1.65224	5e-06	9.56286e-06	0	8.79429e-06	2.42857e-07	3.14286e-06	1.36e-06
5	5000	0.146539	2.41998	5.00286e-06	9.56e-06	0	8.79429e-06	2.42857e-07	3.14286e-06	1.46857e-06
5	5000	0.146386	2.09516	5.00286e-06	9.56857e-06	0	8.79143e-06	2.42857e-07	3.14286e-06	1.41429e-06
5	5000	0.146397	1.86457	5.00286e-06	9.56e-06	0	8.79429e-06	2.42857e-07	3.14286e-06	1.45143e-06
5	5000	0.14664	2.4961	5e-06	9.56857e-06	0	8.79429e-06	2.42857e-07	3.14286e-06	1.56286e-06
5	5000	0.146506	2.24829	5.00286e-06	9.55714e-06	0	8.79714e-06	2.42857e-07	3.14286e-06	1.44e-06
6	6000	0.14649	2.70796	5.00571e-06	9.57143e-06	0	8.79714e-06	2.4e-07	3.15429e-06	1.46571e-06
6	6000	0.146441	2.39141	5.00571e-06	9.57143e-06	0	8.79429e-06	2.4e-07	3.15429e-06	1.44571e-06
6	6000	0.146472	2.02482	5.00571e-06	9.56857e-06	0	8.79714e-06	2.4e-07	3.15143e-06	1.45429e-06
6	6000	0.146428	2.37553	5.00571e-06	9.56286e-06	0	8.79429e-06	2.4e-07	3.15429e-06	1.47714e-06
6	6000	0.146549	2.70796	5.00857e-06	9.57429e-06	0	8.8e-06	2.4e-07	3.15429e-06	1.55143e-06
6	6000	0.14643	2.35964	5.00571e-06	9.57714e-06	0	8.8e-06	2.4e-07	3.15429e-06	1.45714e-06
6	6000	0.146541	2.39141	5.00571e-06	9.57429e-06	0	8.79429e-06	2.4e-07	3.15429e-06	1.51143e-06
6	6000	0.146453	2.72374	5.00857e-06	9.57143e-06	0	8.79143e-06	2.4e-07	3.15429e-06	1.48571e-06
6	6000	0.146422	1.9768	5.00571e-06	9.57429e-06	0	8.79143e-06	2.4e-07	3.15143e-06	1.47429e-06
6	6000	0.146412	2.35964	5.00571e-06	9.57143e-06	0	8.8e-06	2.4e-07	3.15143e-06	1.44857e-06
7	7000	0.146661	2.45262	5.00571e-06	9.58286e-06	0	8.79714e-06	2.4e-07	3.14e-06	1.49143e-06
7	7000	0.146674	3.66089	5.00857e-06	9.58286e-06	0	8.8e-06	2.4e-07	3.14e-06	1.58857e-06
7	7000	0.146773	3.141	5.00571e-06	9.57714e-06	0	8.80286e-06	2.4e-07	3.14e-06	1.56571e-06
7	7000	0.146531	2.85873	5.00286e-06	9.58e-06	0	8.80571e-06	2.4e-07	3.14286e-06	1.5e-06
7	7000	0.146728	3.11419	5e-06	9.58e-06	0	8.80571e-06	2.4e-07	3.14e-06	1.58571e-06
7	7000	0.146809	3.72714	5.00571e-06	9.58e-06	0	8.80571e-06	2.4e-07	3.14e-06	1.7e-06
7	7000	0.146829	3.63436	5.00571e-06	9.57714e-06	0	8.80571e-06	2.4e-07	3.14e-06	1.61143e-06
7	7000	0.146907	2.99335	5.00286e-06	9.58571e-06	0	8.80571e-06	2.4e-07	3.14e-06	1.59429e-06
7	7000	0.146493	2.9799	5e-06	9.57714e-06	0	8.80857e-06	2.4e-07	3.14e-06	1.55143e-06
7	7000	0.146728	3.12759	5.00857e-06	9.58857e-06	0	8.79714e-06	2.4e-07	3.14286e-06	1.57714e-06
8	8000	0.146675	3.82303	5.00571e-06	9.6e-06	0	8.80571e-06	2.48571e-07	3.13429e-06	1.62857e-06
8	8000	0.146826	3.13597	5.00571e-06	9.58571e-06	0	8.8e-06	2.48571e-07	3.13429e-06	1.58857e-06
8	8000	0.146975	3.57961	5.00857e-06	9.59143e-06	0	8.80857e-06	2.42857e-07	3.14e-06	1.64571e-06
8	8000	0.146944	3.85771	5.00571e-06	9.59429e-06	0	8.80286e-06	2.42857e-07	3.14e-06	1.65429e-06
8	8000	0.146798	3.06555	5.00857e-06	9.59143e-06	0	8.80857e-06	2.51429e-07	3.13143e-06	1.57429e-06
8	8000	0.146786	3.92698	5.00857e-06	9.59429e-06	0	8.8e-06	2.4e-07	3.14286e-06	1.66e-06
8	8000	0.146793	4.13421	5.00571e-06	9.59143e-06	0	8.80571e-06	2.48571e-07	3.13429e-06	1.69714e-06
8	8000	0.14677	3.49819	5.01429e-06	9.59714e-06	0	8.80857e-06	2.42857e-07	3.14e-06	1.67714e-06
8	8000	0.146628	3.01855	5.00857e-06	9.59429e-06	0	8.8e-06	2.48571e-07	3.13429e-06	1.57429e-06
8	8000	0.14692	3.62607	5.00571e-06	9.58571e-06	0	8.81429e-06	2.42857e-07	3.14e-06	1.63714e-06
9	9000	0.146794	3.54732	5.01429e-06	9.60571e-06	0	8.80571e-06	2.31429e-07	3.16286e-06	1.64571e-06
9	9000	0.146938	4.07163	5.01429e-06	9.60286e-06	0	8.81143e-06	2.31429e-07	3.16286e-06	1.71429e-06
9	9000	0.146903	3.95902	5.01429e-06	9.59714e-06	0	8.80571e-06	2.31429e-07	3.16286e-06	1.65714e-06
9	9000	0.147181	4.47888	5.01429e-06	9.6e-06	0	8.80571e-06	2.31429e-07	3.16286e-06	1.81714e-06
9	9000	0.146977	4.38755	5.01143e-06	9.60286e-06	0	8.80857e-06	2.31429e-07	3.16286e-06	1.73429e-06
9	9000	0.146958	4.10229	5.01429e-06	9.6e-06	0	8.80571e-06	2.31429e-07	3.16286e-06	1.72857e-06
9	9000	0.146915	4.8022	5.01429e-06	9.60571e-06	0	8.80286e-06	2.31429e-07	3.16286e-06	1.76857e-06
9	9000	0.147074	4.53967	5.01429e-06	9.60286e-06	0	8.80286e-06	2.31429e-07	3.16286e-06	1.77429e-06
9	9000	0.147091	4.25532	5.01429e-06	9.60571e-06	0	8.80286e-06	2.31429e-07	3.16286e-06	1.76e-06
9	9000	0.146852	4.28587	5.01429e-06	9.6e-06	0	8.80857e-06	2.31429e-07	3.16286e-06	1.75143e-06
10	10000	0.147478	5.78481	5.02857e-06	9.61714e-06	0	8.79714e-06	2.28571e-07	3.16286e-06	1.98857e-06
10	10000	0.147088	4.93393	5.02e-06	9.62286e-06	0	8.80571e-06	2.28571e-07	3.16286e-06	1.86e-06
10	10000	0.147421	5.55346	5.02e-06	9.62286e-06	0	8.80857e-06	2.28571e-07	3.16571e-06	1.92571e-06
10	10000	0.147027	4.62566	5.02e-06	9.61714e-06	0	8.80286e-06	2.28571e-07	3.16e-06	1.76e-06
10	10000	0.14721	4.61656	5.02e-06	9.61143e-06	0	8.80571e-06	2.28571e-07	3.16571e-06	1.81143e-06
10	10000	0.147072	4.74376	5.02e-06	9.62571e-06	0	8.80571e-06	2.28571e-07	3.16286e-06	1.80286e-06
10	10000	0.147475	5.52669	5.01429e-06	9.61714e-06	0	8.81714e-06	2.28571e-07	3.16e-06	1.86857e-06
10	10000	0.147256	4.23291	5.02286e-06	9.61143e-06	0	8.80857e-06	2.28571e-07	3.16e-06	1.74571e-06
10	10000	0.147175	5.00617	5.02286e-06	9.62e-06	0	8.80571e-06	2.28571e-07	3.16286e-06	1.79429e-06
10	10000	0.147055	4.86157	5.02857e-06	9.61714e-06	0	8.80571e-06	2.28571e-07	3.16e-06	1.80286e-06
11	11000	0.147571	5.80579	5.02857e-06	9.63714e-06	0	8.81429e-06	2.45714e-07	3.14857e-06	1.98e-06
11	11000	0.147621	5.12334	5.02857e-06	9.63143e-06	0	8.81143e-06	2.45714e-07	3.14857e-06	1.85143e-06
11	11000	0.147485	5.53886	5.02857e-06	9.63143e-06	0	8.81714e-06	2.48571e-07	3.14571e-06	1.98e-06
11	11000	0.147364	5.86222	5.02857e-06	9.63143e-06	0	8.81143e-06	2.45714e-07	3.14857e-06	1.92286e-06
11	11000	0.147737	6.48644	5.02857e-06	9.63429e-06	0	8.81714e-06	2.45714e-07	3.14857e-06	2.06e-06
11	11000	0.147807	5.53075	5.02857e-06	9.64286e-06	0	8.80571e-06	2.48571e-07	3.14571e-06	1.94e-06
11	11000	0.147317	5.03324	5.02857e-06	9.63143e-06	0	8.82e-06	2.51429e-07	3.14286e-06	1.82857e-06
11	11000	0.147294	5.52263	5.02857e-06	9.63714e-06	0	8.81143e-06	2.48571e-07	3.14571e-06	1.9e-06
11	11000	0.14742	5.70081	5.02857e-06	9.64e-06	0	8.80571e-06	2.45714e-07	3.14857e-06	1.95714e-06
