N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.967436	0	0.000164363	0.000107214	0	0.000672103	2.51429e-07	2.05714e-05	1.13429e-06	1.46
1	1000	0.967402	0	0.000164346	0.000107226	0	0.000672071	2.51429e-07	2.05743e-05	1.13429e-06	1.40
1	1000	0.967461	0	0.000164377	0.000107209	0	0.000672114	2.51429e-07	2.05771e-05	1.13143e-06	1.39
1	1000	0.967372	0	0.000164369	0.000107191	0	0.000672054	2.51429e-07	2.05714e-05	1.13429e-06	1.39
1	1000	0.967357	0	0.000164351	0.000107177	0	0.000672069	2.51429e-07	2.05771e-05	1.13143e-06	1.40
1	1000	0.967395	0	0.000164371	0.0001072	0	0.000672071	2.51429e-07	2.05657e-05	1.13429e-06	1.40
1	1000	0.967381	0	0.000164351	0.000107209	0	0.000672063	2.51429e-07	2.05714e-05	1.13429e-06	1.39
1	1000	0.967421	0	0.000164454	0.000107243	0	0.000672023	2.51429e-07	2.05171e-05	1.13143e-06	1.39
1	1000	0.967361	0	0.000164331	0.000107191	0	0.000672066	2.51429e-07	2.05886e-05	1.13143e-06	1.39
1	1000	0.967352	0	0.000164351	0.000107183	0	0.00067206	2.51429e-07	2.05743e-05	1.13143e-06	1.39
2	2000	0.983125	1.7199	0.000165757	0.000107829	0	0.000672331	2.48571e-07	2.08743e-05	1.21514e-05	1.42
2	2000	0.982117	1.7199	0.000165657	0.000107803	0	0.000672406	2.51429e-07	2.08829e-05	1.21457e-05	1.41
2	2000	0.981466	1.67158	0.000165714	0.000107886	0	0.000672317	2.51429e-07	2.08714e-05	1.15771e-05	1.41
2	2000	0.979084	1.5748	0.000165614	0.000107809	0	0.000672409	2.48571e-07	2.08486e-05	1.008e-05	1.41
2	2000	0.981092	1.7199	0.000165671	0.000107797	0	0.00067238	2.51429e-07	2.08514e-05	1.15543e-05	1.41
2	2000	0.982335	1.7199	0.000165737	0.000107851	0	0.000672477	2.51429e-07	2.08943e-05	1.21486e-05	1.41
2	2000	0.979051	1.5748	0.00016568	0.000107797	0	0.000672317	2.48571e-07	2.08629e-05	1.00829e-05	1.41
2	2000	0.982123	1.8164	0.000165711	0.000107814	0	0.00067238	2.48571e-07	2.08714e-05	1.252e-05	1.41
2	2000	0.981624	1.86457	0.000165691	0.000107834	0	0.000672414	2.51429e-07	2.088e-05	1.26886e-05	1.41
2	2000	0.982218	1.7199	0.000165743	0.00010782	0	0.000672417	2.51429e-07	2.08714e-05	1.21514e-05	1.41
3	3000	0.993163	2.72374	0.000166954	0.000108449	0	0.000672497	2.48571e-07	2.11771e-05	1.91086e-05	1.44
3	3000	0.995082	3.10078	0.000166977	0.00010848	0	0.00067258	2.48571e-07	2.11971e-05	2.15057e-05	1.44
3	3000	1.00047	3.4749	0.000166934	0.000108474	0	0.000672526	2.48571e-07	2.11686e-05	2.35514e-05	1.44
3	3000	0.999028	3.00679	0.00016702	0.000108477	0	0.00067248	2.48571e-07	2.11714e-05	2.03e-05	1.44
3	3000	0.994375	3.35052	0.000167049	0.000108503	0	0.000672463	2.48571e-07	2.11543e-05	2.29971e-05	1.44
3	3000	0.993224	3.10078	0.000166911	0.000108409	0	0.000672526	2.48571e-07	2.11743e-05	2.09771e-05	1.43
3	3000	1.00247	3.56798	0.000166926	0.000108474	0	0.000672523	2.48571e-07	2.12057e-05	2.40171e-05	1.44
3	3000	0.998155	3.59897	0.000167	0.000108537	0	0.000672569	2.48571e-07	2.11371e-05	2.40429e-05	1.44
3	3000	0.995693	2.78678	0.000167057	0.000108503	0	0.000672577	2.48571e-07	2.12e-05	1.80857e-05	1.43
3	3000	1.00009	3.56798	0.000167011	0.000108531	0	0.000672586	2.48571e-07	2.11771e-05	2.42343e-05	1.45
4	4000	1.01159	4.62566	0.00016836	0.000109191	0	0.000672757	2.45714e-07	2.14029e-05	3.11086e-05	1.60
4	4000	1.00739	4.23749	0.000168366	0.000109191	0	0.0006727	2.51429e-07	2.13914e-05	2.86914e-05	1.53
4	4000	1.00988	4.28332	0.000168409	0.000109194	0	0.000672826	2.51429e-07	2.13829e-05	2.986e-05	1.51
4	4000	1.01078	4.67112	0.000168466	0.000109334	0	0.000672769	2.45714e-07	2.14114e-05	3.174e-05	1.53
4	4000	1.00777	3.89236	0.000168411	0.000109243	0	0.000672806	2.48571e-07	2.13971e-05	2.56886e-05	1.52
4	4000	1.01434	4.73922	0.000168434	0.000109246	0	0.000672777	2.48571e-07	2.14057e-05	3.36686e-05	1.53
4	4000	1.00491	4.12272	0.0001684	0.00010924	0	0.000672783	2.48571e-07	2.13886e-05	2.87e-05	1.53
4	4000	1.00904	4.51182	0.000168494	0.000109271	0	0.000672717	2.42857e-07	2.14229e-05	3.08343e-05	1.53
4	4000	1.00569	4.07674	0.000168426	0.000109237	0	0.000672766	2.48571e-07	2.13971e-05	2.85114e-05	1.52
4	4000	1.00464	4.19162	0.000168411	0.000109251	0	0.000672811	2.48571e-07	2.14114e-05	2.76971e-05	1.53
5	5000	1.01923	5.76706	0.000170126	0.000110197	0	0.000673	2.42857e-07	2.16714e-05	3.84771e-05	1.64
5	5000	1.02186	5.66038	0.000170009	0.000110051	0	0.000672991	2.42857e-07	2.17029e-05	3.91829e-05	1.63
5	5000	1.02038	5.66038	0.00017004	0.00011018	0	0.000672934	2.42857e-07	2.16771e-05	3.93371e-05	1.64
5	5000	1.01419	5.0693	0.000170054	0.00011024	0	0.00067296	2.42857e-07	2.16457e-05	3.36686e-05	1.63
5	5000	1.02242	5.74929	0.000170006	0.000110194	0	0.000672991	2.42857e-07	2.168e-05	4.03571e-05	1.64
5	5000	1.01653	5.58912	0.00016994	0.000110146	0	0.000672966	2.42857e-07	2.16514e-05	3.79971e-05	1.64
5	5000	1.02662	6.06801	0.000169971	0.000110106	0	0.000672977	2.42857e-07	2.168e-05	4.14857e-05	1.64
5	5000	1.01657	5.0693	0.000170031	0.000110131	0	0.000673006	2.42857e-07	2.168e-05	3.43371e-05	1.63
5	5000	1.02679	5.83804	0.000170077	0.000110203	0	0.000672957	2.42857e-07	2.16571e-05	3.94143e-05	1.64
5	5000	1.02812	5.85577	0.000170157	0.000110146	0	0.000672994	2.42857e-07	2.17143e-05	4.03971e-05	1.64
6	6000	1.03821	7.0344	0.000171791	0.000111277	0	0.000673266	2.4e-07	2.19771e-05	4.84657e-05	1.76
6	6000	1.03064	6.89013	0.000171877	0.000111277	0	0.000673326	2.4e-07	2.19686e-05	4.75e-05	1.74
6	6000	1.03341	6.6874	0.000171763	0.000111197	0	0.000673357	2.4e-07	2.19686e-05	4.58857e-05	1.75
6	6000	1.03478	6.60025	0.000171749	0.0001111	0	0.000673174	2.4e-07	2.19686e-05	4.62171e-05	1.75
6	6000	1.04213	6.99116	0.000171791	0.000111151	0	0.000673354	2.4e-07	2.19657e-05	4.77314e-05	1.77
6	6000	1.03125	6.99116	0.000171854	0.000111286	0	0.000673194	2.4e-07	2.20029e-05	4.86343e-05	1.75
6	6000	1.03511	6.74541	0.000171891	0.0001113	0	0.000673286	2.4e-07	2.198e-05	4.57971e-05	1.75
6	6000	1.03129	6.75991	0.000171811	0.000111283	0	0.000673246	2.4e-07	2.19571e-05	4.54886e-05	1.74
6	6000	1.03339	7.12074	0.000171737	0.000111226	0	0.000673254	2.4e-07	2.198e-05	4.91114e-05	1.76
6	6000	1.03596	6.6874	0.000171806	0.000111191	0	0.000673386	2.4e-07	2.19571e-05	4.71571e-05	1.75
7	7000	1.04696	7.73692	0.000173809	0.000112617	0	0.000673543	2.4e-07	2.23229e-05	5.29886e-05	1.87
7	7000	1.04998	8.49673	0.000173809	0.000112583	0	0.000673631	2.4e-07	2.22943e-05	5.90686e-05	1.86
7	7000	1.0517	8.28092	0.000173743	0.000112489	0	0.000673617	2.4e-07	2.22743e-05	5.60257e-05	1.87
7	7000	1.05198	7.99159	0.000173763	0.000112657	0	0.000673714	2.4e-07	2.22771e-05	5.59543e-05	1.87
7	7000	1.05096	7.89474	0.000173823	0.000112654	0	0.00067366	2.4e-07	2.23286e-05	5.50229e-05	1.87
7	7000	1.05002	8.12443	0.000173723	0.000112537	0	0.000673646	2.4e-07	2.23143e-05	5.71343e-05	1.87
7	7000	1.05202	8.46083	0.000173809	0.000112643	0	0.000673671	2.4e-07	2.22971e-05	5.84029e-05	1.88
7	7000	1.04959	7.94319	0.000173757	0.000112517	0	0.000673769	2.4e-07	2.23486e-05	5.48514e-05	1.87
7	7000	1.04478	7.99159	0.000173731	0.000112491	0	0.000673663	2.4e-07	2.22771e-05	5.54657e-05	1.87
7	7000	1.04513	7.93108	0.00017376	0.000112669	0	0.000673737	2.4e-07	2.23543e-05	5.48486e-05	1.86
8	8000	1.07247	9.60452	0.000176191	0.000114211	0	0.000674251	2.51429e-07	2.26943e-05	6.75886e-05	1.99
8	8000	1.0647	9.36898	0.00017602	0.000114211	0	0.000674291	2.51429e-07	2.27029e-05	6.73143e-05	1.97
8	8000	1.06462	9.54319	0.000176054	0.000114077	0	0.000674223	2.51429e-07	2.27086e-05	6.67257e-05	1.99
8	8000	1.06383	9.52273	0.000176066	0.000114109	0	0.000674303	2.51429e-07	2.27543e-05	6.78343e-05	1.99
8	8000	1.0652	9.45105	0.000176263	0.00011422	0	0.000674291	2.51429e-07	2.27029e-05	6.77857e-05	1.98
8	8000	1.06256	9.56364	0.000176071	0.000114129	0	0.0006743	2.51429e-07	2.27314e-05	6.67514e-05	1.98
8	8000	1.08013	9.98087	0.000176114	0.000114303	0	0.0006743	2.48571e-07	2.27171e-05	7.15057e-05	2.00
8	8000	1.06827	9.49202	0.000176211	0.000114183	0	0.000674263	2.51429e-07	2.272e-05	6.69514e-05	1.99
8	8000	1.07455	9.5943	0.000176134	0.000114303	0	0.000674306	2.48571e-07	2.274e-05	6.83857e-05	1.99
8	8000	1.05893	9.13221	0.000176171	0.000114297	0	0.000674257	2.51429e-07	2.27629e-05	6.33514e-05	1.97
9	9000	1.07925	10.8028	0.000178914	0.00011606	0	0.000674971	2.31429e-07	2.32771e-05	7.814e-05	2.10
9	9000	1.07898	10.2244	0.000178843	0.000115937	0	0.000675077	2.31429e-07	2.326e-05	7.33943e-05	2.10
9	9000	1.09144	10.4745	0.000178854	0.000115957	0	0.000675071	2.31429e-07	2.322e-05	7.57029e-05	2.11
9	9000	1.08441	10.944	0.000178857	0.0001159	0	0.000675097	2.31429e-07	2.32171e-05	7.99e-05	2.10
