N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.39047	0	0.000252843	0.000250371	0	0.000836934	2.51429e-07	4.108e-05	2.38e-06	1.81
1	1000	1.39036	0	0.000252471	0.000250169	0	0.000837474	2.51429e-07	4.10343e-05	2.37714e-06	1.81
1	1000	1.39042	0	0.000252854	0.000250203	0	0.000837086	2.48571e-07	4.10714e-05	2.37714e-06	1.81
1	1000	1.39042	0	0.000252677	0.000250349	0	0.00083712	2.51429e-07	4.10429e-05	2.38e-06	1.81
1	1000	1.39031	0	0.00025272	0.000250146	0	0.000837189	2.51429e-07	4.10514e-05	2.38e-06	1.81
1	1000	1.39045	0	0.000252634	0.00025024	0	0.0008373	2.51429e-07	4.10629e-05	2.38e-06	1.81
1	1000	1.39027	0	0.000252534	0.00025018	0	0.000837303	2.51429e-07	4.10457e-05	2.37714e-06	1.82
1	1000	1.39037	0	0.00025266	0.000250197	0	0.000837251	2.48571e-07	4.10543e-05	2.38e-06	1.82
1	1000	1.39039	0	0.00025258	0.000250209	0	0.000837323	2.48571e-07	4.10657e-05	2.38e-06	1.81
1	1000	1.39032	0	0.000252809	0.000250134	0	0.000837117	2.51429e-07	4.106e-05	2.37714e-06	1.81
2	2000	1.42511	1.18577	0.000258586	0.000260751	0	0.000841937	2.51429e-07	4.24143e-05	1.23571e-05	1.93
2	2000	1.42788	1.42928	0.000258337	0.000260074	0	0.000842023	2.51429e-07	4.24743e-05	1.53857e-05	1.86
2	2000	1.42388	1.38067	0.000257969	0.000259669	0	0.00084172	2.51429e-07	4.24686e-05	1.45343e-05	1.85
2	2000	1.43072	1.7199	0.000257623	0.000259337	0	0.000841769	2.51429e-07	4.24571e-05	1.76943e-05	1.86
2	2000	1.4277	1.62322	0.000257994	0.000259869	0	0.000841923	2.48571e-07	4.242e-05	1.61657e-05	1.86
2	2000	1.4256	1.47783	0.000258234	0.000260354	0	0.000841817	2.48571e-07	4.24229e-05	1.52086e-05	1.86
2	2000	1.42584	1.38067	0.00025832	0.000259669	0	0.000841937	2.48571e-07	4.25171e-05	1.52143e-05	1.85
2	2000	1.42506	1.47783	0.000258223	0.000260291	0	0.000841689	2.51429e-07	4.24229e-05	1.49171e-05	1.86
2	2000	1.43121	1.67158	0.000258446	0.000260534	0	0.000842054	2.51429e-07	4.25543e-05	1.86257e-05	1.87
2	2000	1.42776	1.5748	0.000257934	0.000259997	0	0.000842057	2.48571e-07	4.25257e-05	1.596e-05	1.86
3	3000	1.50652	3.72272	0.000271911	0.000273103	0	0.00086114	2.48571e-07	4.47429e-05	4.15914e-05	1.94
3	3000	1.4927	2.94403	0.000271271	0.000273189	0	0.000859786	2.48571e-07	4.45571e-05	3.04857e-05	1.91
3	3000	1.49204	2.88119	0.000271403	0.000273991	0	0.000859477	2.48571e-07	4.43886e-05	3.03286e-05	1.93
3	3000	1.49837	3.22581	0.000271826	0.000273463	0	0.000860637	2.48571e-07	4.46486e-05	3.47743e-05	1.94
3	3000	1.49048	2.78678	0.000271446	0.000273969	0	0.000859523	2.48571e-07	4.45514e-05	2.932e-05	1.93
3	3000	1.4926	2.75527	0.000271523	0.000273991	0	0.00085978	2.48571e-07	4.44943e-05	2.93314e-05	1.93
3	3000	1.50524	3.50595	0.000271549	0.0002744	0	0.000859589	2.48571e-07	4.43771e-05	3.62943e-05	1.94
3	3000	1.5012	2.91262	0.000271574	0.000273889	0	0.000860069	2.48571e-07	4.45457e-05	3.34943e-05	1.94
3	3000	1.50002	3.53698	0.000271523	0.000273037	0	0.000860369	2.48571e-07	4.46657e-05	3.87743e-05	1.93
3	3000	1.48676	2.62902	0.000271654	0.000273131	0	0.000860417	2.48571e-07	4.46114e-05	2.76657e-05	1.93
4	4000	1.58134	4.53461	0.00029096	0.000293403	0	0.000884111	2.51429e-07	4.79543e-05	5.026e-05	2.17
4	4000	1.58651	4.69383	0.000291103	0.000292986	0	0.000884606	2.51429e-07	4.802e-05	5.38629e-05	2.10
4	4000	1.57194	4.09974	0.000290923	0.000293449	0	0.00088402	2.48571e-07	4.77686e-05	4.58e-05	2.09
4	4000	1.56891	3.4283	0.000290017	0.000292569	0	0.000882783	2.51429e-07	4.78457e-05	3.78086e-05	2.08
4	4000	1.57603	4.26041	0.000290497	0.000292634	0	0.000883343	2.48571e-07	4.79114e-05	4.79486e-05	2.10
4	4000	1.57399	4.39771	0.000290414	0.000293671	0	0.000883014	2.51429e-07	4.76229e-05	4.81086e-05	2.08
4	4000	1.57872	4.00768	0.000290663	0.000292657	0	0.000884023	2.51429e-07	4.794e-05	4.43857e-05	2.10
4	4000	1.57549	4.32911	0.000290666	0.000293017	0	0.000883709	2.51429e-07	4.78286e-05	4.80571e-05	2.09
4	4000	1.5845	4.48902	0.000291337	0.000293863	0	0.000884623	2.48571e-07	4.78714e-05	5.03286e-05	2.10
4	4000	1.5775	4.37485	0.000290857	0.000293417	0	0.00088372	2.48571e-07	4.78714e-05	4.76714e-05	2.09
5	5000	1.69669	5.64257	0.000319143	0.000323997	0	0.000916194	2.42857e-07	5.288e-05	6.578e-05	2.39
5	5000	1.69779	5.87349	0.000320571	0.000325091	0	0.000918197	2.42857e-07	5.31029e-05	6.75371e-05	2.31
5	5000	1.69871	5.82031	0.000319669	0.00032422	0	0.000917069	2.42857e-07	5.286e-05	6.92514e-05	2.32
5	5000	1.69167	5.3568	0.000319637	0.000323677	0	0.000917329	2.42857e-07	5.31571e-05	6.32943e-05	2.31
5	5000	1.69929	5.73152	0.000319843	0.000323029	0	0.000917674	2.42857e-07	5.32686e-05	6.98371e-05	2.31
5	5000	1.68861	5.05127	0.000319414	0.000324391	0	0.000916594	2.42857e-07	5.28343e-05	5.97857e-05	2.31
5	5000	1.69074	5.17732	0.00031988	0.0003249	0	0.000917197	2.42857e-07	5.27486e-05	6.02171e-05	2.31
5	5000	1.68953	4.88872	0.0003195	0.000323966	0	0.000916751	2.42857e-07	5.28943e-05	5.77314e-05	2.31
5	5000	1.70575	6.0327	0.000319151	0.00032316	0	0.000916671	2.42857e-07	5.30629e-05	7.06057e-05	2.32
5	5000	1.69246	5.58912	0.000318737	0.000322377	0	0.000916331	2.42857e-07	5.28914e-05	6.38114e-05	2.31
6	6000	1.86005	6.8323	0.000360174	0.000366594	0	0.000962263	2.4e-07	6.01514e-05	8.90886e-05	2.64
6	6000	1.85777	6.91902	0.000360283	0.000365957	0	0.00096258	2.4e-07	6.04886e-05	8.76343e-05	2.57
6	6000	1.85457	6.73092	0.000360414	0.000363777	0	0.000963323	2.4e-07	6.07571e-05	8.69571e-05	2.57
6	6000	1.85553	6.71642	0.000360349	0.000365126	0	0.000962911	2.4e-07	6.04914e-05	8.82e-05	2.57
6	6000	1.85694	6.57116	0.000360209	0.000366523	0	0.000962283	2.4e-07	6.01371e-05	8.37886e-05	2.57
6	6000	1.85646	6.45463	0.000360334	0.000366677	0	0.000962389	2.4e-07	6.01029e-05	8.21114e-05	2.57
6	6000	1.85579	6.48379	0.000359666	0.000365666	0	0.000961743	2.4e-07	6.00086e-05	8.46743e-05	2.57
6	6000	1.85702	6.64385	0.000360849	0.000364829	0	0.000963623	2.4e-07	6.06543e-05	8.52286e-05	2.57
6	6000	1.8536	6.58571	0.000360206	0.000366509	0	0.000962209	2.4e-07	6.02543e-05	8.57057e-05	2.56
6	6000	1.85619	6.75991	0.000359874	0.000366429	0	0.000961863	2.4e-07	6.02029e-05	8.87543e-05	2.57
