N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.150788	0	8.03143e-06	5.28286e-06	0	1.00486e-05	4.08571e-07	7.81143e-06	1.16286e-06
1	1000	0.150779	0	8.03143e-06	5.28286e-06	0	1.00457e-05	4.08571e-07	7.81143e-06	1.16286e-06
1	1000	0.15081	0	8.04e-06	5.28286e-06	0	1.00514e-05	4.08571e-07	7.82286e-06	1.16286e-06
1	1000	0.150801	0	8.03429e-06	5.28571e-06	0	1.00457e-05	4.08571e-07	7.82286e-06	1.16286e-06
1	1000	0.150792	0	8.03143e-06	5.28286e-06	0	1.00486e-05	4.05714e-07	7.82e-06	1.16571e-06
1	1000	0.150792	0	8.03429e-06	5.28286e-06	0	1.00457e-05	4.08571e-07	7.81143e-06	1.16286e-06
1	1000	0.150811	0	8.04286e-06	5.28286e-06	0	1.00457e-05	4.08571e-07	7.82286e-06	1.16571e-06
1	1000	0.150805	0	8.04286e-06	5.28571e-06	0	1.004e-05	4.08571e-07	7.82286e-06	1.16571e-06
1	1000	0.150789	0	8.03714e-06	5.28286e-06	0	1.00457e-05	4.08571e-07	7.81143e-06	1.16286e-06
1	1000	0.150788	0	8.03143e-06	5.28286e-06	0	1.00486e-05	4.08571e-07	7.81429e-06	1.16286e-06
2	2000	0.150885	0	8.03714e-06	5.28571e-06	0	1.00457e-05	4.42857e-07	7.82e-06	1.16e-06
2	2000	0.150894	0	8.04e-06	5.28571e-06	0	1.00457e-05	4.45714e-07	7.81714e-06	1.16571e-06
2	2000	0.150864	0	8.03429e-06	5.28571e-06	0	1.00429e-05	4.4e-07	7.81429e-06	1.16e-06
2	2000	0.150873	0	8.04e-06	5.28286e-06	0	1.00457e-05	4.45714e-07	7.81143e-06	1.16286e-06
2	2000	0.150877	0	8.03714e-06	5.28286e-06	0	1.00486e-05	4.45714e-07	7.81429e-06	1.16571e-06
2	2000	0.150872	0	8.04e-06	5.28e-06	0	1.00486e-05	4.48571e-07	7.80857e-06	1.16286e-06
2	2000	0.150892	0	8.04286e-06	5.28286e-06	0	1.00457e-05	4.42857e-07	7.82e-06	1.16e-06
2	2000	0.15088	0	8.03714e-06	5.28286e-06	0	1.00514e-05	4.42857e-07	7.81429e-06	1.16e-06
2	2000	0.150878	0	8.04e-06	5.28286e-06	0	1.00486e-05	4.48571e-07	7.80857e-06	1.16286e-06
2	2000	0.150885	0	8.03714e-06	5.28286e-06	0	1.00514e-05	4.45714e-07	7.81714e-06	1.16e-06
3	3000	0.151096	0	8.03429e-06	5.28e-06	0	1.00486e-05	5.91429e-07	7.80857e-06	1.15714e-06
3	3000	0.151103	0	8.04e-06	5.28e-06	0	1.00457e-05	5.91429e-07	7.80857e-06	1.15714e-06
3	3000	0.151108	0	8.04e-06	5.28e-06	0	1.00514e-05	5.88571e-07	7.80857e-06	1.16e-06
3	3000	0.1511	0	8.03429e-06	5.28e-06	0	1.00514e-05	5.94286e-07	7.81143e-06	1.16e-06
3	3000	0.151087	0	8.03714e-06	5.28e-06	0	1.00457e-05	5.8e-07	7.80857e-06	1.15714e-06
3	3000	0.151089	0	8.03429e-06	5.28e-06	0	1.00514e-05	5.82857e-07	7.81143e-06	1.15714e-06
3	3000	0.151097	0	8.03714e-06	5.28e-06	0	1.00543e-05	5.85714e-07	7.81143e-06	1.16e-06
3	3000	0.151116	0	8.04e-06	5.28286e-06	0	1.00457e-05	5.91429e-07	7.81143e-06	1.16e-06
3	3000	0.151115	0	8.03714e-06	5.28e-06	0	1.00514e-05	5.94286e-07	7.81429e-06	1.15714e-06
3	3000	0.151098	0	8.04e-06	5.28e-06	0	1.00457e-05	5.88571e-07	7.81429e-06	1.16e-06
4	4000	0.151227	0.0249938	8.04e-06	5.28e-06	0	1.00457e-05	7.37143e-07	7.80857e-06	1.17143e-06
4	4000	0.151239	0.0249938	8.03429e-06	5.28e-06	0	1.00543e-05	7.42857e-07	7.81429e-06	1.17143e-06
4	4000	0.151224	0.0249938	8.04e-06	5.28e-06	0	1.00486e-05	7.4e-07	7.80571e-06	1.16857e-06
4	4000	0.151237	0.0249938	8.04e-06	5.28e-06	0	1.00514e-05	7.45714e-07	7.81143e-06	1.16571e-06
4	4000	0.151249	0.0249938	8.04286e-06	5.27714e-06	0	1.00514e-05	7.42857e-07	7.81429e-06	1.16286e-06
4	4000	0.151247	0.0249938	8.04e-06	5.28e-06	0	1.00543e-05	7.42857e-07	7.81143e-06	1.16857e-06
4	4000	0.151254	0.0249938	8.04e-06	5.28e-06	0	1.00543e-05	7.51429e-07	7.81429e-06	1.16286e-06
4	4000	0.15125	0.0249938	8.04e-06	5.28e-06	0	1.00543e-05	7.4e-07	7.81429e-06	1.16286e-06
4	4000	0.151222	0.0249938	8.03714e-06	5.28e-06	0	1.00543e-05	7.37143e-07	7.80571e-06	1.16286e-06
4	4000	0.151252	0.0249938	8.04e-06	5.28e-06	0	1.00543e-05	7.45714e-07	7.80857e-06	1.16571e-06
5	5000	0.151616	0.039984	8.04857e-06	5.27429e-06	0	1.00571e-05	1.11429e-06	7.80857e-06	1.16857e-06
5	5000	0.151599	0.039984	8.04286e-06	5.28e-06	0	1.00571e-05	1.09429e-06	7.81143e-06	1.16857e-06
5	5000	0.151623	0.039984	8.05143e-06	5.27714e-06	0	1.00543e-05	1.10857e-06	7.80857e-06	1.16857e-06
5	5000	0.151642	0.059964	8.04571e-06	5.27714e-06	0	1.006e-05	1.12857e-06	7.80571e-06	1.17143e-06
5	5000	0.151636	0.059964	8.04857e-06	5.27429e-06	0	1.006e-05	1.11714e-06	7.80857e-06	1.17429e-06
5	5000	0.151618	0.059964	8.04857e-06	5.27429e-06	0	1.006e-05	1.12e-06	7.80571e-06	1.17143e-06
5	5000	0.15163	0.059964	8.04857e-06	5.27429e-06	0	1.00571e-05	1.11429e-06	7.80571e-06	1.17429e-06
5	5000	0.151614	0.0799361	8.04857e-06	5.27429e-06	0	1.00629e-05	1.10286e-06	7.80857e-06	1.17429e-06
5	5000	0.15163	0.059964	8.04286e-06	5.27714e-06	0	1.006e-05	1.11429e-06	7.81143e-06	1.17143e-06
5	5000	0.151628	0.039984	8.04857e-06	5.28e-06	0	1.00514e-05	1.11429e-06	7.81143e-06	1.16857e-06
6	6000	0.152541	0.265957	8.06286e-06	5.28e-06	0	1.006e-05	1.92286e-06	7.81429e-06	1.22857e-06
6	6000	0.152612	0.182998	8.06571e-06	5.28e-06	0	1.00543e-05	1.94571e-06	7.80571e-06	1.20857e-06
6	6000	0.152545	0.23279	8.06286e-06	5.28e-06	0	1.00571e-05	1.94e-06	7.80857e-06	1.22e-06
6	6000	0.152542	0.282533	8.06571e-06	5.28e-06	0	1.00514e-05	1.94286e-06	7.80571e-06	1.22857e-06
6	6000	0.152557	0.23279	8.06857e-06	5.28e-06	0	1.00514e-05	1.94e-06	7.81143e-06	1.22e-06
6	6000	0.152581	0.332226	8.05714e-06	5.28e-06	0	1.00543e-05	1.91714e-06	7.81429e-06	1.24286e-06
6	6000	0.152612	0.216198	8.06286e-06	5.28e-06	0	1.006e-05	1.93714e-06	7.80857e-06	1.22e-06
6	6000	0.152562	0.249377	8.06857e-06	5.28e-06	0	1.00543e-05	1.95714e-06	7.80286e-06	1.22571e-06
6	6000	0.152574	0.332226	8.06571e-06	5.28e-06	0	1.00571e-05	1.92286e-06	7.80571e-06	1.25143e-06
6	6000	0.15256	0.182998	8.06571e-06	5.28e-06	0	1.00543e-05	1.94571e-06	7.81429e-06	1.20857e-06
7	7000	0.15317	0.412576	8.08571e-06	5.28e-06	0	1.00571e-05	2.38857e-06	7.80857e-06	1.27143e-06
7	7000	0.153106	0.355872	8.07714e-06	5.28e-06	0	1.00571e-05	2.40286e-06	7.80286e-06	1.25143e-06
7	7000	0.153204	0.426743	8.07714e-06	5.28e-06	0	1.006e-05	2.39143e-06	7.80857e-06	1.27714e-06
7	7000	0.153079	0.440905	8.07429e-06	5.28e-06	0	1.006e-05	2.37429e-06	7.80857e-06	1.28571e-06
7	7000	0.153205	0.469217	8.08e-06	5.28e-06	0	1.00657e-05	2.38286e-06	7.81143e-06	1.29429e-06
7	7000	0.153076	0.327495	8.08e-06	5.28e-06	0	1.00571e-05	2.36857e-06	7.80857e-06	1.25143e-06
7	7000	0.153165	0.469217	8.07429e-06	5.28e-06	0	1.00629e-05	2.38857e-06	7.81143e-06	1.29429e-06
7	7000	0.153232	0.525792	8.07714e-06	5.28e-06	0	1.006e-05	2.4e-06	7.80286e-06	1.30286e-06
7	7000	0.153124	0.440905	8.07714e-06	5.28e-06	0	1.006e-05	2.40571e-06	7.81714e-06	1.29143e-06
7	7000	0.153101	0.398406	8.08e-06	5.28e-06	0	1.00571e-05	2.37714e-06	7.80857e-06	1.26857e-06
