N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.11654	0	0.000293237	5.736e-05	0	0.000702549	4.08571e-07	5.99886e-05	1.16571e-06	1.60
1	1000	1.11661	0	0.000293283	5.73686e-05	0	0.00070256	4.08571e-07	6e-05	1.16286e-06	1.53
1	1000	1.1166	0	0.000293271	5.73714e-05	0	0.000702571	4.08571e-07	5.99886e-05	1.16286e-06	1.54
1	1000	1.11657	0	0.000293243	5.73714e-05	0	0.000702557	4.08571e-07	5.99943e-05	1.16286e-06	1.52
1	1000	1.11675	0	0.000293457	5.73543e-05	0	0.000702583	4.08571e-07	5.99514e-05	1.16286e-06	1.54
1	1000	1.11673	0	0.000293369	5.73657e-05	0	0.000702603	4.08571e-07	5.99857e-05	1.16571e-06	1.53
1	1000	1.11668	0	0.000293354	5.73743e-05	0	0.000702591	4.08571e-07	5.996e-05	1.16286e-06	1.54
1	1000	1.11663	0	0.000293237	5.73771e-05	0	0.000702609	4.08571e-07	6.00057e-05	1.16286e-06	1.54
1	1000	1.11672	0	0.000293351	5.73714e-05	0	0.00070262	4.08571e-07	5.99743e-05	1.16286e-06	1.54
1	1000	1.11673	0	0.00029336	5.73714e-05	0	0.00070262	4.08571e-07	5.99714e-05	1.16286e-06	1.55
2	2000	1.21828	1.23457	0.000295774	5.74514e-05	1.61143e-06	0.000701334	7.71086e-05	6.07514e-05	1.56629e-05	1.72
2	2000	1.23044	1.52634	0.000295994	5.74457e-05	1.59714e-06	0.000701326	7.65143e-05	6.076e-05	1.93057e-05	1.65
2	2000	1.22158	1.42928	0.000295983	5.74543e-05	1.58e-06	0.00070134	7.726e-05	6.06771e-05	1.81886e-05	1.66
2	2000	1.22621	1.67158	0.00029598	5.74371e-05	1.5e-06	0.000701371	7.68629e-05	6.078e-05	2.11457e-05	1.65
2	2000	1.22672	1.23457	0.000295949	5.746e-05	1.79714e-06	0.000701117	7.676e-05	6.068e-05	1.58229e-05	1.65
2	2000	1.23396	1.52634	0.000296014	5.74429e-05	1.69429e-06	0.000701231	7.64114e-05	6.07714e-05	1.94686e-05	1.66
2	2000	1.22353	1.86457	0.000295817	5.74371e-05	1.4e-06	0.000701497	7.65714e-05	6.08457e-05	2.33e-05	1.66
2	2000	1.22498	1.86457	0.000295937	5.744e-05	1.34571e-06	0.000701543	7.68743e-05	6.082e-05	2.34e-05	1.66
2	2000	1.23471	1.7199	0.000296017	5.74486e-05	1.49429e-06	0.000701423	7.62771e-05	6.078e-05	2.16686e-05	1.66
2	2000	1.23085	1.38067	0.000296066	5.74486e-05	1.72857e-06	0.000701174	7.67143e-05	6.07257e-05	1.77114e-05	1.65
3	3000	1.2593	3.66089	0.000298603	5.752e-05	1.97714e-06	0.00070104	7.96086e-05	6.22114e-05	4.44257e-05	1.76
3	3000	1.25531	3.22581	0.000298503	5.75343e-05	2.25714e-06	0.000700774	7.95029e-05	6.20914e-05	3.94914e-05	1.69
3	3000	1.26205	3.56798	0.000298714	5.74943e-05	1.84571e-06	0.000701169	7.95486e-05	6.236e-05	4.34171e-05	1.70
3	3000	1.25632	3.50595	0.000298689	5.75171e-05	2.03429e-06	0.000701046	7.97171e-05	6.21829e-05	4.24457e-05	1.69
3	3000	1.24574	3.03814	0.00029848	5.752e-05	2.19714e-06	0.000700846	7.98514e-05	6.20486e-05	3.694e-05	1.69
3	3000	1.26127	3.59897	0.0002988	5.74914e-05	1.84571e-06	0.000701194	7.96714e-05	6.22343e-05	4.36686e-05	1.70
3	3000	1.26272	3.53698	0.000298657	5.75057e-05	2.18571e-06	0.000700831	7.95314e-05	6.224e-05	4.318e-05	1.69
3	3000	1.2592	3.75361	0.000298529	5.74971e-05	1.80857e-06	0.000701203	7.936e-05	6.23029e-05	4.53971e-05	1.68
3	3000	1.25844	3.35052	0.000298731	5.75e-05	2.09143e-06	0.000700949	7.94257e-05	6.22486e-05	4.06057e-05	1.69
3	3000	1.26014	3.69181	0.000298031	5.75457e-05	2.28286e-06	0.0007008	7.92229e-05	6.19686e-05	4.46371e-05	1.69
4	4000	1.29387	5.34785	0.000310654	5.75629e-05	1.84e-06	0.000701326	8.15029e-05	6.54029e-05	6.53086e-05	1.87
4	4000	1.29293	5.23573	0.000311031	5.75629e-05	1.76286e-06	0.00070146	8.15486e-05	6.51629e-05	6.414e-05	1.81
4	4000	1.28921	5.07831	0.000311331	5.75629e-05	2.22e-06	0.000700971	8.15e-05	6.54571e-05	6.19629e-05	1.80
4	4000	1.29258	5.16833	0.000311309	5.756e-05	1.93429e-06	0.000701266	8.13657e-05	6.55371e-05	6.32429e-05	1.81
4	4000	1.2931	5.14584	0.000310783	5.75657e-05	2.04286e-06	0.00070116	8.16857e-05	6.51743e-05	6.29057e-05	1.81
4	4000	1.29289	5.10083	0.00031072	5.75571e-05	2.00571e-06	0.000701197	8.16057e-05	6.538e-05	6.22229e-05	1.81
4	4000	1.29051	5.14584	0.00031078	5.75629e-05	1.95429e-06	0.00070126	8.15629e-05	6.52e-05	6.29114e-05	1.79
4	4000	1.28724	5.03324	0.000310429	5.75829e-05	2.53429e-06	0.000700706	8.15829e-05	6.494e-05	6.15857e-05	1.80
4	4000	1.30132	5.05578	0.000310837	5.756e-05	2.01429e-06	0.000701166	8.13514e-05	6.54143e-05	6.19057e-05	1.80
4	4000	1.29228	4.98812	0.000310894	5.75886e-05	2.14e-06	0.000701129	8.15657e-05	6.51543e-05	6.096e-05	1.82
5	5000	1.3204	5.78481	0.000321291	5.774e-05	3.38857e-06	0.000700066	8.34914e-05	6.79543e-05	7.17171e-05	2.00
5	5000	1.33619	6.24414	0.000322054	5.77257e-05	3e-06	0.00070038	8.35743e-05	6.80229e-05	7.83143e-05	1.95
5	5000	1.33579	6.66418	0.000320851	5.77343e-05	2.96857e-06	0.000700426	8.35029e-05	6.78143e-05	8.32886e-05	1.94
5	5000	1.34229	6.82072	0.000323451	5.76943e-05	2.98286e-06	0.000700377	8.38114e-05	6.87029e-05	8.53857e-05	1.96
5	5000	1.32829	6.0327	0.000323197	5.77086e-05	2.81429e-06	0.000700526	8.37257e-05	6.866e-05	7.49829e-05	1.94
5	5000	1.32456	6.36704	0.000323717	5.77314e-05	3.21143e-06	0.000700063	8.38371e-05	6.80829e-05	7.95629e-05	1.94
5	5000	1.32421	5.82031	0.0003212	5.77314e-05	3.5e-06	0.000699923	8.36229e-05	6.80257e-05	7.22771e-05	1.94
5	5000	1.32908	6.22656	0.000322971	5.77086e-05	2.85143e-06	0.000700531	8.37943e-05	6.85486e-05	7.76086e-05	1.95
5	5000	1.31964	6.06801	0.000321471	5.77371e-05	3.15143e-06	0.000700257	8.38514e-05	6.82029e-05	7.528e-05	1.93
5	5000	1.33199	6.62932	0.000323566	5.76829e-05	2.71714e-06	0.000700651	8.38629e-05	6.87686e-05	8.28743e-05	1.94
6	6000	1.34019	6.80336	0.000323217	5.80343e-05	5.14571e-06	0.000698726	8.48457e-05	6.95486e-05	8.63429e-05	2.12
6	6000	1.33731	6.30856	0.000323209	5.804e-05	5.13714e-06	0.00069872	8.47457e-05	6.94457e-05	7.90314e-05	2.05
6	6000	1.33786	6.8323	0.000322471	5.806e-05	5.18857e-06	0.000698674	8.46029e-05	6.89886e-05	8.656e-05	2.04
6	6000	1.34301	6.46921	0.000323463	5.80457e-05	5.29143e-06	0.000698557	8.45914e-05	6.94914e-05	8.17629e-05	2.05
6	6000	1.35059	6.93346	0.000324823	5.79743e-05	4.72e-06	0.000699069	8.52829e-05	7.03743e-05	8.74886e-05	2.06
6	6000	1.32602	5.83804	0.000320817	5.81171e-05	5.26571e-06	0.000698671	8.39914e-05	6.818e-05	7.34829e-05	2.03
6	6000	1.35529	7.16386	0.000323626	5.80114e-05	4.84e-06	0.000698974	8.47486e-05	6.98971e-05	9.05314e-05	2.06
6	6000	1.34329	6.71642	0.000322409	5.80629e-05	5.22e-06	0.0006987	8.44943e-05	6.89429e-05	8.47714e-05	2.05
6	6000	1.33705	6.90458	0.000323606	5.80229e-05	4.91714e-06	0.000698946	8.47457e-05	6.968e-05	8.75829e-05	2.05
6	6000	1.34327	6.81783	0.000323351	5.80657e-05	5.13429e-06	0.000698743	8.43257e-05	6.89943e-05	8.69029e-05	2.05
7	7000	1.37244	7.99159	0.000326454	5.82943e-05	7.10286e-06	0.000697263	8.58914e-05	7.146e-05	0.000103231	2.25
7	7000	1.35806	7.28477	0.000324754	5.842e-05	7.74286e-06	0.000696711	8.54314e-05	7.032e-05	9.328e-05	2.16
7	7000	1.35075	7.11253	0.000325497	5.842e-05	7.48571e-06	0.000696951	8.50029e-05	7.00343e-05	9.13714e-05	2.16
7	7000	1.36839	7.38291	0.000325494	5.83771e-05	7.66e-06	0.000696746	8.544e-05	7.06171e-05	9.50771e-05	2.17
7	7000	1.36964	7.12485	0.000324391	5.84343e-05	7.68286e-06	0.000696783	8.48143e-05	6.98086e-05	9.10114e-05	2.18
7	7000	1.35917	7.23562	0.000325077	5.83971e-05	7.81143e-06	0.000696606	8.53343e-05	7.03857e-05	9.25829e-05	2.17
