N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.228115	0	2.36514e-05	2.32371e-05	0	0.000140357	6.8e-07	3.11771e-05	2.50571e-06	0.70
1	1000	0.22822	0	2.36743e-05	2.326e-05	0	0.000140366	6.71429e-07	3.12257e-05	2.52286e-06	0.62
1	1000	0.22821	0	2.36886e-05	2.32686e-05	0	0.000140334	6.77143e-07	3.122e-05	2.51714e-06	0.62
1	1000	0.228264	0	2.368e-05	2.32714e-05	0	0.000140366	6.74286e-07	3.12486e-05	2.52857e-06	0.62
1	1000	0.228242	0	2.36943e-05	2.326e-05	0	0.000140349	6.74286e-07	3.12371e-05	2.53429e-06	0.62
1	1000	0.228219	0	2.36829e-05	2.32686e-05	0	0.000140349	6.74286e-07	3.12229e-05	2.52e-06	0.62
1	1000	0.228214	0	2.368e-05	2.32686e-05	0	0.000140346	6.77143e-07	3.12171e-05	2.52571e-06	0.62
1	1000	0.228258	0	2.36943e-05	2.32657e-05	0	0.000140369	6.77143e-07	3.12257e-05	2.51714e-06	0.62
1	1000	0.228248	0	2.36857e-05	2.328e-05	0	0.000140363	6.74286e-07	3.12143e-05	2.51429e-06	0.62
1	1000	0.228259	0	2.36857e-05	2.32686e-05	0	0.000140357	6.77143e-07	3.12343e-05	2.53714e-06	0.62
2	2000	0.241357	0.398406	2.44829e-05	2.40714e-05	2.85714e-08	0.000141186	9.15429e-06	3.20657e-05	3.37143e-06	0.66
2	2000	0.24136	0.348779	2.442e-05	2.39857e-05	3.14286e-08	0.000141117	9.10571e-06	3.222e-05	3.31714e-06	0.64
2	2000	0.241441	0.398406	2.444e-05	2.40171e-05	2.85714e-08	0.00014112	9.18286e-06	3.22e-05	3.43429e-06	0.64
2	2000	0.241513	0.398406	2.43629e-05	2.39657e-05	2.85714e-08	0.000141089	9.12571e-06	3.22657e-05	3.41714e-06	0.64
2	2000	0.241515	0.299103	2.446e-05	2.40086e-05	3.42857e-08	0.000141137	9.16857e-06	3.21343e-05	3.22857e-06	0.63
2	2000	0.241138	0.348779	2.454e-05	2.40686e-05	3.42857e-08	0.000141169	9.18286e-06	3.20771e-05	3.31143e-06	0.64
2	2000	0.241261	0.348779	2.45314e-05	2.40743e-05	3.14286e-08	0.000141154	9.18e-06	3.20971e-05	3.31143e-06	0.64
2	2000	0.241446	0.299103	2.446e-05	2.40029e-05	3.42857e-08	0.000141126	9.14e-06	3.21371e-05	3.22286e-06	0.64
2	2000	0.241379	0.348779	2.44114e-05	2.39943e-05	3.14286e-08	0.000141071	9.14571e-06	3.22571e-05	3.32e-06	0.65
2	2000	0.241106	0.348779	2.45229e-05	2.40486e-05	3.42857e-08	0.000141163	9.17714e-06	3.20971e-05	3.30857e-06	0.63
3	3000	0.25044	1.15321	2.56971e-05	2.52857e-05	5.71429e-08	0.0001424	9.63714e-06	3.4e-05	5.29429e-06	0.75
3	3000	0.250052	1.18577	2.55829e-05	2.52886e-05	3.71429e-08	0.000142423	9.68571e-06	3.41486e-05	5.33429e-06	0.65
3	3000	0.25079	1.18577	2.562e-05	2.52714e-05	4.28571e-08	0.000142434	9.70857e-06	3.42229e-05	5.3e-06	0.65
3	3000	0.249944	0.793651	2.56314e-05	2.52771e-05	5.71429e-08	0.000142351	9.70571e-06	3.40657e-05	4.45143e-06	0.65
3	3000	0.249851	0.924703	2.57114e-05	2.54057e-05	4.28571e-08	0.000142454	9.7e-06	3.42686e-05	4.69714e-06	0.66
3	3000	0.249294	0.891972	2.55886e-05	2.52286e-05	5.14286e-08	0.000142337	9.72571e-06	3.428e-05	4.71143e-06	0.65
3	3000	0.250656	0.727995	2.57286e-05	2.548e-05	4.85714e-08	0.000142494	9.77429e-06	3.46686e-05	4.28e-06	0.65
3	3000	0.250559	1.18577	2.56143e-05	2.53257e-05	5.14286e-08	0.000142431	9.72e-06	3.43771e-05	5.29429e-06	0.65
3	3000	0.251015	1.28332	2.57543e-05	2.54714e-05	4.57143e-08	0.000142523	9.69714e-06	3.42314e-05	5.44857e-06	0.66
3	3000	0.250741	1.05541	2.57229e-05	2.54714e-05	4.57143e-08	0.000142526	9.76286e-06	3.45857e-05	5.06286e-06	0.65
4	4000	0.26202	1.30767	2.75514e-05	2.74771e-05	7.14286e-08	0.000144294	1.038e-05	3.78686e-05	5.90286e-06	0.83
4	4000	0.262307	1.96078	2.73857e-05	2.71914e-05	7.71429e-08	0.000144143	1.02743e-05	3.72571e-05	7.45143e-06	0.75
4	4000	0.262239	1.47783	2.75686e-05	2.74229e-05	7.42857e-08	0.0001443	1.02657e-05	3.74229e-05	6.29714e-06	0.74
4	4000	0.262885	1.50209	2.76086e-05	2.75286e-05	9.42857e-08	0.000144294	1.03857e-05	3.79886e-05	6.38e-06	0.75
4	4000	0.263117	1.64741	2.75486e-05	2.74086e-05	8.85714e-08	0.000144249	1.03829e-05	3.798e-05	6.63143e-06	0.74
4	4000	0.260999	1.50209	2.74886e-05	2.73429e-05	9.14286e-08	0.000144189	1.026e-05	3.71143e-05	6.36e-06	0.74
4	4000	0.264481	1.62322	2.77371e-05	2.77343e-05	8.85714e-08	0.000144397	1.04171e-05	3.83114e-05	6.54571e-06	0.75
4	4000	0.261802	1.52634	2.74457e-05	2.73571e-05	7.14286e-08	0.000144214	1.024e-05	3.71429e-05	6.38857e-06	0.75
4	4000	0.261262	1.45356	2.75286e-05	2.73486e-05	9.14286e-08	0.000144174	1.028e-05	3.73371e-05	6.21714e-06	0.74
4	4000	0.26178	1.62322	2.73743e-05	2.71914e-05	8e-08	0.000144134	1.02771e-05	3.74171e-05	6.68e-06	0.75
5	5000	0.277726	1.80676	3.02143e-05	3.03571e-05	1.08571e-07	0.000146809	1.11286e-05	4.21086e-05	7.47143e-06	0.95
5	5000	0.279747	2.13349	3.02e-05	3.03429e-05	1e-07	0.00014682	1.11343e-05	4.20743e-05	8.36286e-06	0.85
5	5000	0.28087	2.09516	3.04029e-05	3.07829e-05	8.85714e-08	0.000147069	1.12971e-05	4.30743e-05	8.32286e-06	0.86
5	5000	0.279891	2.03762	3.04429e-05	3.06971e-05	8.28571e-08	0.00014716	1.12371e-05	4.28886e-05	8.16286e-06	0.86
