N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.145895	0	5.63429e-06	5.78571e-06	0	1.00486e-05	3.42857e-07	4.89143e-06	1.16286e-06
1	1000	0.145914	0	5.64e-06	5.78857e-06	0	1.00429e-05	3.45714e-07	4.88857e-06	1.16286e-06
1	1000	0.14591	0	5.64e-06	5.78857e-06	0	1.00486e-05	3.42857e-07	4.89143e-06	1.16286e-06
1	1000	0.145913	0	5.63714e-06	5.78571e-06	0	1.00514e-05	3.45714e-07	4.89714e-06	1.16286e-06
1	1000	0.145918	0	5.63714e-06	5.78857e-06	0	1.00457e-05	3.42857e-07	4.89143e-06	1.16286e-06
1	1000	0.145902	0	5.63429e-06	5.78571e-06	0	1.00514e-05	3.45714e-07	4.88857e-06	1.16286e-06
1	1000	0.145918	0	5.64e-06	5.78857e-06	0	1.00457e-05	3.45714e-07	4.89143e-06	1.16286e-06
1	1000	0.145908	0	5.64286e-06	5.78857e-06	0	1.00457e-05	3.42857e-07	4.88857e-06	1.16286e-06
1	1000	0.145905	0	5.63429e-06	5.78571e-06	0	1.00543e-05	3.42857e-07	4.88571e-06	1.16286e-06
1	1000	0.145903	0	5.63714e-06	5.78571e-06	0	1.00486e-05	3.42857e-07	4.88857e-06	1.16286e-06
2	2000	0.145989	0	5.64e-06	5.78857e-06	0	1.00486e-05	3.8e-07	4.89143e-06	1.16286e-06
2	2000	0.145987	0	5.63714e-06	5.78571e-06	0	1.00514e-05	3.77143e-07	4.89143e-06	1.16e-06
2	2000	0.145974	0	5.64e-06	5.78857e-06	0	1.00457e-05	3.77143e-07	4.88857e-06	1.16e-06
2	2000	0.145996	0	5.64e-06	5.78857e-06	0	1.00486e-05	3.8e-07	4.88571e-06	1.16e-06
2	2000	0.145996	0	5.63714e-06	5.78857e-06	0	1.00514e-05	3.8e-07	4.88857e-06	1.16286e-06
2	2000	0.145987	0	5.63429e-06	5.78571e-06	0	1.00514e-05	3.77143e-07	4.88857e-06	1.16e-06
2	2000	0.145994	0	5.64286e-06	5.78857e-06	0	1.00457e-05	3.77143e-07	4.89429e-06	1.16e-06
2	2000	0.145998	0	5.64e-06	5.78857e-06	0	1.00486e-05	3.8e-07	4.89429e-06	1.16e-06
2	2000	0.145999	0	5.63429e-06	5.78286e-06	0	1.00571e-05	3.77143e-07	4.89714e-06	1.16e-06
2	2000	0.146004	0	5.64e-06	5.78857e-06	0	1.00514e-05	3.8e-07	4.89143e-06	1.16e-06
3	3000	0.146218	0.0666223	5.64e-06	5.78571e-06	0	1.00486e-05	5.05714e-07	4.89429e-06	1.16e-06
3	3000	0.146219	0	5.64571e-06	5.78571e-06	0	1.00486e-05	5.11429e-07	4.88857e-06	1.15714e-06
3	3000	0.146222	0.0666223	5.64e-06	5.78571e-06	0	1.00486e-05	5.08571e-07	4.89143e-06	1.16571e-06
3	3000	0.146221	0.0333222	5.64286e-06	5.78286e-06	0	1.00486e-05	5.11429e-07	4.88857e-06	1.16286e-06
3	3000	0.146212	0.0333222	5.63714e-06	5.78286e-06	0	1.00571e-05	5.11429e-07	4.88286e-06	1.16286e-06
3	3000	0.146207	0.0666223	5.63714e-06	5.78571e-06	0	1.00514e-05	5e-07	4.88857e-06	1.16571e-06
3	3000	0.146213	0	5.64286e-06	5.78571e-06	0	1.00514e-05	5.08571e-07	4.89429e-06	1.16286e-06
3	3000	0.146216	0	5.64286e-06	5.78857e-06	0	1.00457e-05	5.05714e-07	4.88857e-06	1.16e-06
3	3000	0.146223	0.0666223	5.64e-06	5.78571e-06	0	1.00514e-05	5.14286e-07	4.89429e-06	1.16286e-06
3	3000	0.14621	0.0333222	5.63714e-06	5.78571e-06	0	1.00514e-05	5.08571e-07	4.88571e-06	1.16571e-06
4	4000	0.146302	0.199601	5.64e-06	5.78286e-06	0	1.00543e-05	6.05714e-07	4.89143e-06	1.17714e-06
4	4000	0.14628	0.149775	5.64e-06	5.78286e-06	0	1.00543e-05	6e-07	4.89143e-06	1.16571e-06
4	4000	0.146295	0.199601	5.64e-06	5.78286e-06	0	1.00543e-05	6.02857e-07	4.89429e-06	1.17143e-06
4	4000	0.146298	0.174694	5.64286e-06	5.78286e-06	0	1.00543e-05	6.11429e-07	4.89429e-06	1.16857e-06
