N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.00432	0	0.000229057	4.83514e-05	0	0.000696134	3.45714e-07	2.74371e-05	1.16571e-06	1.43
1	1000	1.00418	0	0.00022904	4.81171e-05	0	0.000696266	3.45714e-07	2.742e-05	1.16286e-06	1.43
1	1000	1.00458	0	0.000229134	4.83771e-05	0	0.000696323	3.45714e-07	2.74057e-05	1.16571e-06	1.43
1	1000	1.00462	0	0.000229163	4.83857e-05	0	0.000696317	3.45714e-07	2.74086e-05	1.16571e-06	1.44
1	1000	1.00452	0	0.000229089	4.838e-05	0	0.000696263	3.45714e-07	2.74429e-05	1.16571e-06	1.42
1	1000	1.00454	0	0.000229123	4.83543e-05	0	0.000696317	3.45714e-07	2.74086e-05	1.16286e-06	1.43
1	1000	1.00449	0	0.00022914	4.83829e-05	0	0.000696223	3.42857e-07	2.74086e-05	1.16286e-06	1.43
1	1000	1.00431	0	0.000229094	4.81686e-05	0	0.000696271	3.45714e-07	2.74343e-05	1.16571e-06	1.42
1	1000	1.00454	0	0.000229151	4.83743e-05	0	0.000696269	3.45714e-07	2.74029e-05	1.16286e-06	1.42
1	1000	1.00464	0	0.00022914	4.84143e-05	0	0.000696334	3.45714e-07	2.74114e-05	1.16286e-06	1.43
2	2000	1.0948	1.42928	0.000231606	4.85057e-05	1.38e-06	0.000695331	7.44571e-05	2.75543e-05	1.02486e-05	1.59
2	2000	1.09807	1.8164	0.000232	4.85571e-05	1.62e-06	0.000695057	7.42343e-05	2.758e-05	1.36257e-05	1.53
2	2000	1.09428	1.38067	0.00023164	4.86286e-05	1.35429e-06	0.0006953	7.42286e-05	2.75571e-05	1.05029e-05	1.52
2	2000	1.09671	1.86457	0.000231897	4.83571e-05	1.54e-06	0.000695069	7.40286e-05	2.75743e-05	1.41029e-05	1.53
2	2000	1.09161	1.13693	0.000232114	4.854e-05	1.54857e-06	0.000695131	7.43429e-05	2.75914e-05	8.87143e-06	1.52
2	2000	1.0949	1.28332	0.000231489	4.86457e-05	1.45429e-06	0.000695174	7.46371e-05	2.75314e-05	9.59143e-06	1.53
2	2000	1.09344	1.5748	0.000231169	4.86286e-05	1.18857e-06	0.000695409	7.46771e-05	2.756e-05	1.13343e-05	1.53
2	2000	1.0945	1.47783	0.00023162	4.862e-05	1.32e-06	0.000695414	7.43829e-05	2.75371e-05	1.10371e-05	1.53
