N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	10000	0.748312	0	2.26571e-06	2.89429e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.82
1	10000	0.748328	0	2.26286e-06	2.89429e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748331	0	2.26286e-06	2.89429e-06	0	6.92286e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748325	0	2.26571e-06	2.89714e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748344	0	2.26286e-06	2.89714e-06	0	6.92286e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748332	0	2.26286e-06	2.89714e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748327	0	2.26286e-06	2.89714e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748332	0	2.26286e-06	2.89429e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748327	0	2.26286e-06	2.89714e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
1	10000	0.748321	0	2.26286e-06	2.89429e-06	0	6.92257e-05	3.45714e-07	2.29714e-06	1.16286e-06	0.80
2	20000	0.761664	0.328915	2.28857e-06	2.89429e-06	1.14286e-08	6.92714e-05	1.39429e-06	2.3e-06	1.37714e-06	0.84
2	20000	0.761341	0.289161	2.28857e-06	2.89714e-06	1.14286e-08	6.92686e-05	1.39714e-06	2.29714e-06	1.35143e-06	0.82
2	20000	0.761365	0.309042	2.28857e-06	2.89429e-06	1.14286e-08	6.92714e-05	1.39714e-06	2.3e-06	1.36286e-06	0.81
2	20000	0.761303	0.299103	2.28857e-06	2.89714e-06	1.14286e-08	6.92686e-05	1.39143e-06	2.3e-06	1.35714e-06	0.81
2	20000	0.761414	0.294132	2.28857e-06	2.89429e-06	1.14286e-08	6.92714e-05	1.39714e-06	2.29714e-06	1.35714e-06	0.81
2	20000	0.76151	0.304073	2.28857e-06	2.89429e-06	1.14286e-08	6.92686e-05	1.39143e-06	2.29714e-06	1.36e-06	0.81
2	20000	0.761493	0.309042	2.28571e-06	2.89714e-06	1.42857e-08	6.92714e-05	1.39714e-06	2.29714e-06	1.36e-06	0.81
