N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.161687	0	5.02857e-06	8.31429e-06	0	9.29143e-06	3.45714e-07	2.36857e-06	1.16286e-06
1	1000	0.161669	0	5.02857e-06	8.30286e-06	0	9.29143e-06	3.42857e-07	2.37143e-06	1.16286e-06
1	1000	0.161692	0	5.02857e-06	8.31714e-06	0	9.29429e-06	3.42857e-07	2.37143e-06	1.16286e-06
1	1000	0.161684	0	5.02857e-06	8.31429e-06	0	9.29143e-06	3.42857e-07	2.37143e-06	1.16286e-06
1	1000	0.161689	0	5.03143e-06	8.31429e-06	0	9.28857e-06	3.45714e-07	2.36857e-06	1.16286e-06
1	1000	0.161672	0	5.02e-06	8.30571e-06	0	9.29429e-06	3.45714e-07	2.36857e-06	1.16286e-06
1	1000	0.161685	0	5.02857e-06	8.31429e-06	0	9.28857e-06	3.45714e-07	2.36857e-06	1.16286e-06
1	1000	0.161665	0	5.02286e-06	8.3e-06	0	9.28571e-06	3.45714e-07	2.36857e-06	1.16286e-06
1	1000	0.161689	0	5.03143e-06	8.31143e-06	0	9.29143e-06	3.42857e-07	2.37143e-06	1.16286e-06
1	1000	0.161686	0	5.02857e-06	8.31143e-06	0	9.29714e-06	3.45714e-07	2.36857e-06	1.16286e-06
2	2000	0.161763	0.398406	5.03714e-06	8.33429e-06	2.85714e-09	9.28857e-06	3.48571e-07	2.38e-06	1.18e-06
2	2000	0.161758	0.348779	5.03143e-06	8.32571e-06	2.85714e-09	9.29143e-06	3.48571e-07	2.37714e-06	1.18e-06
2	2000	0.161753	0.398406	5.03429e-06	8.32571e-06	2.85714e-09	9.28857e-06	3.48571e-07	2.38e-06	1.18286e-06
2	2000	0.161762	0.398406	5.03143e-06	8.32857e-06	2.85714e-09	9.29143e-06	3.48571e-07	2.37714e-06	1.18286e-06
2	2000	0.161758	0.299103	5.04e-06	8.33429e-06	2.85714e-09	9.29143e-06	3.51429e-07	2.37714e-06	1.17714e-06
2	2000	0.161739	0.398406	5.03714e-06	8.31714e-06	2.85714e-09	9.28857e-06	3.48571e-07	2.37429e-06	1.18e-06
2	2000	0.161761	0.299103	5.03714e-06	8.33143e-06	2.85714e-09	9.28571e-06	3.51429e-07	2.37714e-06	1.17429e-06
2	2000	0.161751	0.299103	5.04e-06	8.32571e-06	2.85714e-09	9.28571e-06	3.51429e-07	2.37714e-06	1.17714e-06
2	2000	0.16176	0.299103	5.03429e-06	8.33143e-06	2.85714e-09	9.28571e-06	3.51429e-07	2.37429e-06	1.18e-06
2	2000	0.161761	0.299103	5.03429e-06	8.32286e-06	2.85714e-09	9.28857e-06	3.51429e-07	2.37714e-06	1.17714e-06
3	3000	0.161927	1.99281	5.04857e-06	8.31429e-06	1.14286e-08	9.28e-06	3.8e-07	2.37429e-06	1.25714e-06
3	3000	0.161929	1.99281	5.04571e-06	8.31429e-06	1.42857e-08	9.28286e-06	3.8e-07	2.37429e-06	1.25714e-06
3	3000	0.161923	1.99281	5.04e-06	8.32e-06	1.42857e-08	9.27714e-06	3.74286e-07	2.37143e-06	1.26e-06
3	3000	0.161952	1.92873	5.04571e-06	8.32286e-06	1.14286e-08	9.28286e-06	3.71429e-07	2.37143e-06	1.26571e-06
3	3000	0.161914	1.86457	5.04e-06	8.31143e-06	1.14286e-08	9.28571e-06	3.77143e-07	2.38e-06	1.24857e-06
3	3000	0.161937	1.86457	5.04571e-06	8.32286e-06	1.14286e-08	9.28286e-06	3.8e-07	2.37714e-06	1.25714e-06
3	3000	0.161954	1.96078	5.04286e-06	8.32e-06	1.14286e-08	9.28286e-06	3.74286e-07	2.37429e-06	1.26571e-06
3	3000	0.161927	2.08877	5.04571e-06	8.31429e-06	1.14286e-08	9.28e-06	3.74286e-07	2.37714e-06	1.26e-06
3	3000	0.161941	2.15264	5.04571e-06	8.32571e-06	1.14286e-08	9.27714e-06	3.8e-07	2.37143e-06	1.26857e-06
3	3000	0.161936	1.51018	5.04571e-06	8.31714e-06	1.42857e-08	9.27714e-06	3.77143e-07	2.37429e-06	1.24286e-06
4	4000	0.162062	3.98464	5.05429e-06	8.31714e-06	2.85714e-08	9.26571e-06	4e-07	2.37714e-06	1.35714e-06
4	4000	0.162066	3.82303	5.05429e-06	8.32e-06	3.14286e-08	9.26857e-06	4.05714e-07	2.37714e-06	1.35143e-06
4	4000	0.162068	4.03071	5.05429e-06	8.31714e-06	3.14286e-08	9.26571e-06	4.08571e-07	2.37143e-06	1.35714e-06
4	4000	0.162065	3.84615	5.05714e-06	8.31714e-06	2.85714e-08	9.26857e-06	4.08571e-07	2.37143e-06	1.34857e-06
4	4000	0.162105	3.59123	5.05429e-06	8.31143e-06	3.14286e-08	9.26571e-06	4.05714e-07	2.37429e-06	1.38e-06
4	4000	0.162064	3.98464	5.05714e-06	8.31429e-06	2.85714e-08	9.26571e-06	4.08571e-07	2.37429e-06	1.35429e-06
4	4000	0.162053	3.73045	5.05714e-06	8.32e-06	3.14286e-08	9.25429e-06	4.05714e-07	2.37714e-06	1.34571e-06
4	4000	0.16208	4.09974	5.05714e-06	8.32e-06	2.85714e-08	9.26857e-06	4.02857e-07	2.37714e-06	1.36857e-06
4	4000	0.16206	3.75361	5.06e-06	8.31714e-06	3.42857e-08	9.26e-06	4.11429e-07	2.37429e-06	1.34286e-06
4	4000	0.162053	3.96158	5.05143e-06	8.30571e-06	3.14286e-08	9.26571e-06	4.11429e-07	2.37143e-06	1.35429e-06
5	5000	0.162316	5.94432	5.06857e-06	8.32571e-06	4.85714e-08	9.25429e-06	4.45714e-07	2.37714e-06	1.47143e-06
5	5000	0.162436	6.17377	5.06571e-06	8.31429e-06	5.14286e-08	9.24857e-06	4.48571e-07	2.37429e-06	1.57143e-06
5	5000	0.162268	6.08565	5.06571e-06	8.32e-06	4.85714e-08	9.24286e-06	4.4e-07	2.37714e-06	1.47429e-06
5	5000	0.162325	6.17377	5.07429e-06	8.32571e-06	4.85714e-08	9.24e-06	4.45714e-07	2.37429e-06	1.48286e-06
5	5000	0.162274	6.17377	5.06857e-06	8.30286e-06	5.14286e-08	9.24571e-06	4.45714e-07	2.37429e-06	1.48857e-06
5	5000	0.162253	5.71375	5.07143e-06	8.31714e-06	4.57143e-08	9.24857e-06	4.45714e-07	2.37429e-06	1.46e-06
5	5000	0.162294	6.36704	5.06571e-06	8.31143e-06	5.42857e-08	9.24857e-06	4.45714e-07	2.38e-06	1.49429e-06
5	5000	0.162294	5.90892	5.06857e-06	8.32857e-06	5.14286e-08	9.24e-06	4.45714e-07	2.37429e-06	1.48857e-06
5	5000	0.162385	5.57129	5.07429e-06	8.31714e-06	5.42857e-08	9.24571e-06	4.42857e-07	2.37714e-06	1.50286e-06
5	5000	0.162439	6.15616	5.06571e-06	8.31429e-06	4.28571e-08	9.25429e-06	4.48571e-07	2.37429e-06	1.58857e-06
6	6000	0.163399	13.1819	5.10571e-06	8.32e-06	1.17143e-07	9.17714e-06	5.65714e-07	2.37714e-06	2.14571e-06
6	6000	0.163244	13.2823	5.11714e-06	8.32857e-06	1.28571e-07	9.16286e-06	5.74286e-07	2.37429e-06	2.03429e-06
6	6000	0.163309	12.9299	5.11143e-06	8.32e-06	1.34286e-07	9.16e-06	5.91429e-07	2.37429e-06	2.17143e-06
6	6000	0.163125	12.778	5.11143e-06	8.32857e-06	1.31429e-07	9.16857e-06	5.91429e-07	2.37429e-06	1.97143e-06
6	6000	0.163173	13.2196	5.10857e-06	8.31429e-06	1.22857e-07	9.18286e-06	5.74286e-07	2.38e-06	2.03714e-06
6	6000	0.163328	13.0939	5.11143e-06	8.33143e-06	1.22857e-07	9.17429e-06	5.8e-07	2.37714e-06	2.06857e-06
6	6000	0.163222	12.651	5.11714e-06	8.32e-06	1.28571e-07	9.16857e-06	5.94286e-07	2.37429e-06	2.03429e-06
6	6000	0.163589	13.4699	5.11714e-06	8.32571e-06	1.22857e-07	9.17143e-06	5.82857e-07	2.37143e-06	2.16e-06
6	6000	0.163146	13.3699	5.11429e-06	8.32e-06	1.17143e-07	9.17429e-06	5.71429e-07	2.37714e-06	2.01429e-06
6	6000	0.163708	14.6515	5.11143e-06	8.32286e-06	1.22857e-07	9.17429e-06	5.77143e-07	2.37714e-06	2.36571e-06
7	7000	0.178604	50.6243	5.20286e-06	8.34e-06	2.88571e-07	9.01429e-06	9.88571e-07	2.37143e-06	1.60343e-05
7	7000	0.182295	53.1992	5.19714e-06	8.33714e-06	2.74286e-07	9.02857e-06	9.8e-07	2.38286e-06	1.85457e-05
7	7000	0.180147	52.381	5.20857e-06	8.32857e-06	2.94286e-07	9.01143e-06	9.94286e-07	2.38e-06	1.74571e-05
7	7000	0.181591	51.8933	5.20857e-06	8.32e-06	2.91429e-07	9.01143e-06	9.94286e-07	2.38e-06	1.72229e-05
7	7000	0.180788	52.7665	5.20571e-06	8.34286e-06	2.85714e-07	9.01429e-06	9.82857e-07	2.37429e-06	1.792e-05
7	7000	0.182004	53.4605	5.20857e-06	8.33429e-06	2.94286e-07	9.00857e-06	9.94286e-07	2.38286e-06	1.83886e-05
7	7000	0.181309	53.3396	5.20286e-06	8.34286e-06	2.82857e-07	9.01714e-06	9.91429e-07	2.37429e-06	1.82857e-05
7	7000	0.180422	51.89	5.20571e-06	8.34e-06	2.97143e-07	9.00571e-06	1.00286e-06	2.37714e-06	1.72143e-05
7	7000	0.180992	52.4779	5.20857e-06	8.34e-06	3.05714e-07	8.99714e-06	1.00571e-06	2.37429e-06	1.78029e-05
7	7000	0.181746	52.8079	5.2e-06	8.34e-06	2.85714e-07	9.01429e-06	9.88571e-07	2.37714e-06	1.77086e-05
8	8000	0.203637	67.7237	5.25143e-06	8.35429e-06	3.4e-07	8.96571e-06	1.17714e-06	2.38e-06	3.85e-05
8	8000	0.200198	66.65	5.24857e-06	8.36e-06	3.48571e-07	8.95429e-06	1.18571e-06	2.37714e-06	3.572e-05
8	8000	0.201864	67.6349	5.24286e-06	8.36e-06	3.48571e-07	8.95714e-06	1.17429e-06	2.37714e-06	3.81543e-05
8	8000	0.201792	67.9923	5.25714e-06	8.35429e-06	3.57143e-07	8.94571e-06	1.19714e-06	2.38e-06	3.822e-05
8	8000	0.200853	66.8806	5.25143e-06	8.36571e-06	3.65714e-07	8.94286e-06	1.19429e-06	2.38e-06	3.65686e-05
8	8000	0.201377	67.2641	5.24857e-06	8.35714e-06	3.48571e-07	8.95143e-06	1.18571e-06	2.38e-06	3.66229e-05
8	8000	0.200701	66.4992	5.25143e-06	8.36e-06	3.65714e-07	8.94286e-06	1.18857e-06	2.38286e-06	3.58543e-05
8	8000	0.199379	65.9922	5.25143e-06	8.35143e-06	3.6e-07	8.94571e-06	1.19143e-06	2.37429e-06	3.44686e-05
8	8000	0.201406	67.1579	5.25714e-06	8.36e-06	3.54286e-07	8.95143e-06	1.18857e-06	2.37714e-06	3.68229e-05
8	8000	0.201643	67.0999	5.24571e-06	8.36e-06	3.45714e-07	8.96e-06	1.17714e-06	2.37714e-06	3.70286e-05
9	9000	0.224179	75.2032	5.28286e-06	8.37429e-06	4e-07	8.91429e-06	1.29714e-06	2.38e-06	5.97171e-05
9	9000	0.228227	75.4875	5.27714e-06	8.38e-06	3.94286e-07	8.91429e-06	1.26571e-06	2.38571e-06	6.13886e-05
9	9000	0.227265	75.3141	5.28e-06	8.37714e-06	3.91429e-07	8.92857e-06	1.27143e-06	2.37714e-06	6.076e-05
9	9000	0.224392	75.2244	5.27714e-06	8.36857e-06	3.94286e-07	8.92e-06	1.26857e-06	2.38e-06	5.99143e-05
9	9000	0.225451	74.9937	5.28571e-06	8.38e-06	3.91429e-07	8.91714e-06	1.28e-06	2.37429e-06	5.90886e-05
9	9000	0.226469	75.1628	5.28e-06	8.37714e-06	3.8e-07	8.92571e-06	1.27714e-06	2.38e-06	5.98086e-05
9	9000	0.226878	75.0968	5.28857e-06	8.37714e-06	4e-07	8.91143e-06	1.28e-06	2.38286e-06	6.01229e-05
9	9000	0.224879	75.0844	5.27714e-06	8.37714e-06	3.94286e-07	8.91143e-06	1.28571e-06	2.38e-06	5.94086e-05
9	9000	0.230496	75.0139	5.27429e-06	8.37429e-06	3.91429e-07	8.92e-06	1.27429e-06	2.37429e-06	5.91371e-05
9	9000	0.22487	75.0402	5.26286e-06	8.38286e-06	3.77143e-07	8.93143e-06	1.26857e-06	2.37429e-06	5.98914e-05
10	10000	0.255867	80.2796	5.3e-06	8.38571e-06	3.94286e-07	8.92286e-06	1.31143e-06	2.38857e-06	8.77029e-05
10	10000	0.253447	80.3223	5.3e-06	8.39429e-06	3.97143e-07	8.91143e-06	1.32571e-06	2.38e-06	8.75514e-05
10	10000	0.256892	80.0008	5.28857e-06	8.39143e-06	3.91429e-07	8.92e-06	1.30571e-06	2.37714e-06	8.57543e-05
10	10000	0.253746	80.0602	5.3e-06	8.39143e-06	4.08571e-07	8.90286e-06	1.32857e-06	2.38e-06	8.60886e-05
10	10000	0.253634	80.3219	5.30286e-06	8.39714e-06	4.17143e-07	8.89714e-06	1.33143e-06	2.38286e-06	8.71057e-05
10	10000	0.252742	79.98	5.29429e-06	8.39143e-06	3.97143e-07	8.92e-06	1.31429e-06	2.38286e-06	8.47371e-05
10	10000	0.249594	79.8476	5.29429e-06	8.39143e-06	4.05714e-07	8.91143e-06	1.33143e-06	2.37714e-06	8.36714e-05
10	10000	0.252047	80.1646	5.29429e-06	8.39143e-06	4.02857e-07	8.92571e-06	1.33143e-06	2.37714e-06	8.59429e-05
10	10000	0.253702	80.03	5.29714e-06	8.38857e-06	4.08571e-07	8.91143e-06	1.34286e-06	2.38e-06	8.528e-05
10	10000	0.252864	80.0008	5.29143e-06	8.39429e-06	3.91429e-07	8.92286e-06	1.32e-06	2.37714e-06	8.47943e-05
11	11000	0.285747	83.767	5.30857e-06	8.40857e-06	4.05714e-07	8.92571e-06	1.32857e-06	2.38857e-06	0.000117337
11	11000	0.281788	83.4499	5.31429e-06	8.41143e-06	4.2e-07	8.9e-06	1.34857e-06	2.38286e-06	0.000113897
11	11000	0.282202	83.3874	5.30571e-06	8.41143e-06	4.08571e-07	8.91714e-06	1.35143e-06	2.38e-06	0.000113454
11	11000	0.284624	83.5752	5.30857e-06	8.41143e-06	4.14286e-07	8.90571e-06	1.34286e-06	2.38571e-06	0.000114266
11	11000	0.281364	83.4557	5.30571e-06	8.42e-06	4.2e-07	8.90857e-06	1.34857e-06	2.39143e-06	0.00011374
11	11000	0.281493	83.5006	5.31143e-06	8.41143e-06	4.31429e-07	8.89429e-06	1.34571e-06	2.38571e-06	0.000113974
11	11000	0.284718	83.5001	5.30571e-06	8.41143e-06	4.02857e-07	8.92571e-06	1.34286e-06	2.38571e-06	0.000113814
11	11000	0.281315	83.0995	5.29429e-06	8.41143e-06	3.88571e-07	8.92857e-06	1.33429e-06	2.38286e-06	0.000110491
11	11000	0.278833	83.1853	5.31143e-06	8.40857e-06	4.22857e-07	8.90286e-06	1.35714e-06	2.38286e-06	0.000110829
11	11000	0.2818	83.5162	5.31143e-06	8.40857e-06	4.05714e-07	8.93429e-06	1.34857e-06	2.37714e-06	0.000114237
12	12000	0.335377	85.83	5.62286e-06	8.81429e-06	4.34286e-07	9.57714e-06	1.42857e-06	2.56286e-06	0.000154463
12	12000	0.332484	85.8672	5.62286e-06	8.81714e-06	4.31429e-07	9.59714e-06	1.44286e-06	2.56571e-06	0.000154057
12	12000	0.330009	85.5212	5.62286e-06	8.81429e-06	4.57143e-07	9.57429e-06	1.45429e-06	2.56286e-06	0.000148709
12	12000	0.328936	85.6428	5.62857e-06	8.81429e-06	4.51429e-07	9.56571e-06	1.44857e-06	2.56857e-06	0.000150389
12	12000	0.333408	85.8878	5.62e-06	8.81429e-06	4.45714e-07	9.56571e-06	1.44571e-06	2.56286e-06	0.000153771
12	12000	0.331367	85.8037	5.61714e-06	8.82e-06	4.4e-07	9.59143e-06	1.44e-06	2.56857e-06	0.000152963
12	12000	0.336521	85.9004	5.61143e-06	8.80286e-06	4.31429e-07	9.55714e-06	1.43429e-06	2.55429e-06	0.000154506
12	12000	0.333038	85.9368	5.62e-06	8.82571e-06	4.4e-07	9.58571e-06	1.44286e-06	2.56571e-06	0.000155266
12	12000	0.329428	85.6279	5.61143e-06	8.80571e-06	4.45714e-07	9.56e-06	1.45143e-06	2.56e-06	0.000149251
12	12000	0.336586	85.8487	5.61714e-06	8.81429e-06	4.34286e-07	9.58286e-06	1.43143e-06	2.56286e-06	0.000153226
