N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.978956	0	0.000218869	6.15543e-05	0	0.000679806	3.45714e-07	1.53886e-05	1.16286e-06	1.47
1	1000	0.978773	0	0.000218454	6.16114e-05	0	0.000679994	3.45714e-07	1.53714e-05	1.16571e-06	1.40
1	1000	0.978743	0	0.000218443	6.162e-05	0	0.000679983	3.45714e-07	1.53543e-05	1.16286e-06	1.41
1	1000	0.978957	0	0.00021876	6.15829e-05	0	0.0006799	3.45714e-07	1.53714e-05	1.16571e-06	1.40
1	1000	0.978953	0	0.000218877	6.15429e-05	0	0.000679806	3.45714e-07	1.53857e-05	1.16286e-06	1.40
1	1000	0.978612	0	0.00021838	6.162e-05	0	0.0006799	3.42857e-07	1.53743e-05	1.16571e-06	1.41
1	1000	0.978921	0	0.00021864	6.16029e-05	0	0.00067994	3.45714e-07	1.53943e-05	1.16286e-06	1.41
1	1000	0.978961	0	0.000218903	6.15371e-05	0	0.0006798	3.45714e-07	1.538e-05	1.16286e-06	1.41
1	1000	0.978355	0	0.000218103	6.16657e-05	0	0.000679883	3.45714e-07	1.53629e-05	1.16286e-06	1.41
1	1000	0.978744	0	0.000218437	6.16029e-05	0	0.000680003	3.45714e-07	1.53571e-05	1.16286e-06	1.40
2	2000	1.06699	1.42928	0.000219546	6.23457e-05	1.66857e-06	0.000678574	7.48343e-05	1.55457e-05	1.07543e-05	1.57
2	2000	1.06762	1.47783	0.000219409	6.23943e-05	1.6e-06	0.000678634	7.48657e-05	1.55629e-05	1.08143e-05	1.51
2	2000	1.06814	1.47783	0.000219806	6.23543e-05	1.60286e-06	0.000678554	7.50914e-05	1.55686e-05	1.082e-05	1.50
2	2000	1.07175	1.8164	0.000219417	6.238e-05	1.56e-06	0.000678689	7.44543e-05	1.55714e-05	1.35257e-05	1.51
2	2000	1.06812	1.47783	0.000219783	6.23457e-05	1.60571e-06	0.000678606	7.50371e-05	1.55714e-05	1.082e-05	1.49
2	2000	1.06874	1.62322	0.000219769	6.23229e-05	1.42857e-06	0.00067878	7.48743e-05	1.55743e-05	1.22829e-05	1.51
2	2000	1.06802	1.47783	0.000219834	6.23229e-05	1.60571e-06	0.000678469	7.50286e-05	1.558e-05	1.082e-05	1.50
