N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.206849	0	1.754e-05	3.07429e-05	0	0.000139891	6.08571e-07	9.2e-06	2.46286e-06	0.69
1	1000	0.206859	0	1.75371e-05	3.076e-05	0	0.000139883	6.08571e-07	9.2e-06	2.45714e-06	0.59
1	1000	0.206825	0	1.75257e-05	3.07657e-05	0	0.000139857	6.08571e-07	9.20857e-06	2.46571e-06	0.60
1	1000	0.206849	0	1.75371e-05	3.07571e-05	0	0.000139871	6.05714e-07	9.20857e-06	2.46571e-06	0.60
1	1000	0.206874	0	1.754e-05	3.07743e-05	0	0.000139883	6.08571e-07	9.20857e-06	2.45143e-06	0.59
1	1000	0.206888	0	1.75743e-05	3.07171e-05	0	0.000139914	6.08571e-07	9.17714e-06	2.46857e-06	0.59
1	1000	0.20688	0	1.75486e-05	3.07657e-05	0	0.000139891	6.08571e-07	9.18571e-06	2.46571e-06	0.60
1	1000	0.206836	0	1.75257e-05	3.07571e-05	0	0.000139883	6.08571e-07	9.20286e-06	2.46571e-06	0.60
1	1000	0.206896	0	1.756e-05	3.076e-05	0	0.000139909	6.08571e-07	9.17714e-06	2.46571e-06	0.60
1	1000	0.206851	0	1.75343e-05	3.07686e-05	0	0.000139871	6.08571e-07	9.22e-06	2.45429e-06	0.60
2	2000	0.216434	0.546992	1.80714e-05	3.18514e-05	4.85714e-08	0.000140577	6.43429e-06	9.41143e-06	3.15714e-06	0.70
2	2000	0.215772	0.398406	1.80029e-05	3.16429e-05	4.85714e-08	0.000140471	6.43429e-06	9.35429e-06	3.00286e-06	0.61
2	2000	0.216962	0.596421	1.81457e-05	3.21057e-05	2.57143e-08	0.000140623	6.47714e-06	9.42571e-06	3.24571e-06	0.61
2	2000	0.215742	0.447984	1.80029e-05	3.16286e-05	4.85714e-08	0.000140517	6.36571e-06	9.34e-06	3.05714e-06	0.62
2	2000	0.2162	0.546992	1.80314e-05	3.17543e-05	4.85714e-08	0.000140534	6.40857e-06	9.38571e-06	3.14571e-06	0.62
2	2000	0.215854	0.398406	1.80086e-05	3.16714e-05	4.85714e-08	0.000140494	6.42857e-06	9.35429e-06	3.00857e-06	0.61
2	2000	0.216369	0.596421	1.80543e-05	3.18286e-05	4.57143e-08	0.000140531	6.40571e-06	9.38e-06	3.19429e-06	0.61
2	2000	0.216247	0.695134	1.80114e-05	3.16914e-05	2.85714e-08	0.00014056	6.39429e-06	9.38e-06	3.33429e-06	0.61
2	2000	0.216229	0.447984	1.80686e-05	3.18371e-05	4.85714e-08	0.000140546	6.40571e-06	9.37429e-06	3.13143e-06	0.61
2	2000	0.215701	0.398406	1.798e-05	3.15771e-05	4.85714e-08	0.000140514	6.42e-06	9.32286e-06	3.00286e-06	0.61
3	3000	0.222116	1.02276	1.89e-05	3.34629e-05	6.85714e-08	0.000141611	6.68857e-06	9.80286e-06	4.02e-06	0.72
3	3000	0.222994	1.21831	1.89257e-05	3.35514e-05	7.71429e-08	0.000141609	6.72571e-06	9.82e-06	4.53429e-06	0.63
3	3000	0.22292	0.957412	1.90771e-05	3.39543e-05	7.14286e-08	0.000141726	6.79143e-06	9.91714e-06	3.94571e-06	0.63
3	3000	0.222205	0.957412	1.90171e-05	3.36486e-05	7.42857e-08	0.00014166	6.71429e-06	9.80571e-06	3.87143e-06	0.62
3	3000	0.221843	1.02276	1.88971e-05	3.34829e-05	6.28571e-08	0.000141597	6.72571e-06	9.79429e-06	3.97429e-06	0.63
3	3000	0.221892	1.12063	1.88771e-05	3.34257e-05	6e-08	0.000141583	6.68857e-06	9.76286e-06	4.17429e-06	0.63
3	3000	0.222315	1.25082	1.88543e-05	3.33514e-05	6.85714e-08	0.000141569	6.69429e-06	9.81714e-06	4.52571e-06	0.63
3	3000	0.222732	1.21831	1.89286e-05	3.35743e-05	6.57143e-08	0.000141614	6.74857e-06	9.84571e-06	4.12571e-06	0.62
3	3000	0.221933	1.05541	1.89e-05	3.35457e-05	7.42857e-08	0.000141563	6.74286e-06	9.83143e-06	4.07429e-06	0.63
3	3000	0.222379	1.25082	1.896e-05	3.36343e-05	5.42857e-08	0.000141671	6.72857e-06	9.86571e-06	4.15714e-06	0.63
4	4000	0.230416	1.67158	2.02629e-05	3.61171e-05	1.25714e-07	0.000142983	7.05429e-06	1.04571e-05	5.33429e-06	0.80
4	4000	0.231272	1.7199	2.03686e-05	3.63257e-05	1.11429e-07	0.000143114	7.07143e-06	1.05229e-05	5.00286e-06	0.70
4	4000	0.232402	2.00882	2.05429e-05	3.67857e-05	1.11429e-07	0.000143263	7.13429e-06	1.06314e-05	5.76e-06	0.72
4	4000	0.231991	2.08078	2.03686e-05	3.63886e-05	1.05714e-07	0.000143157	7.11143e-06	1.05686e-05	5.75714e-06	0.71
4	4000	0.231267	1.86457	2.03543e-05	3.632e-05	1.37143e-07	0.000143017	7.05714e-06	1.05171e-05	5.50286e-06	0.71
4	4000	0.231336	1.86457	2.03171e-05	3.62514e-05	1.2e-07	0.00014306	7.09429e-06	1.054e-05	5.61714e-06	0.72
4	4000	0.232116	2.03282	2.05229e-05	3.67429e-05	1.11429e-07	0.00014322	7.13143e-06	1.05857e-05	5.57429e-06	0.71
4	4000	0.229521	1.93675	2.01457e-05	3.57657e-05	1.14286e-07	0.000142869	7.02286e-06	1.03914e-05	5.24e-06	0.71
4	4000	0.231842	1.98481	2.04943e-05	3.67829e-05	1.05714e-07	0.000143209	7.11429e-06	1.056e-05	5.24e-06	0.71
4	4000	0.231296	1.67158	2.03571e-05	3.632e-05	1.22857e-07	0.000143129	7.08857e-06	1.05286e-05	5.14286e-06	0.72
5	5000	0.243255	2.53411	2.23943e-05	4.03314e-05	1.6e-07	0.00014524	7.57429e-06	1.14886e-05	6.33429e-06	0.91
5	5000	0.245505	2.81827	2.24714e-05	4.064e-05	1.4e-07	0.000145409	7.62857e-06	1.164e-05	7.23143e-06	0.82
