N_POINTS	N_THREADS	TIME	ENERGY
200000	4	0.355362	24.051086
200000	4	0.338463	22.761597
200000	4	0.343513	23.324463
100000000	4	178.673	12268.980286
100000000	4	178.636	12269.027954
100000000	4	175.722	12089.002197
200000000	4	356.83	24316.304260
200000000	4	369.559	25003.352539
200000000	4	356.846	24306.167664
300000000	4	525.449	36111.486023
300000000	4	533.141	36759.298279
300000000	4	547.275	36951.014526
400000000	4	733.737	50199.339417
400000000	4	715.859	49124.017700
400000000	4	719.131	49275.363159
500000000	4	880.532	60764.749268
500000000	4	905.613	62254.183105
500000000	4	904.01	62036.938110
