N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	8.97093	0	1.59629e-05	1.13343e-05	0	6.45657e-05	0	3.80857e-06	3.77143e-07
1	4096	8.96849	0	1.596e-05	1.13286e-05	0	6.45514e-05	0	3.80571e-06	3.77143e-07
1	4096	8.97076	0	1.59629e-05	1.13343e-05	0	6.45657e-05	0	3.80857e-06	3.77143e-07
1	4096	8.97055	0	1.59629e-05	1.13314e-05	0	6.45657e-05	0	3.80857e-06	3.77143e-07
1	4096	8.96881	0	1.596e-05	1.13286e-05	0	6.45543e-05	0	3.80857e-06	3.77143e-07
1	4096	8.97103	0	1.59629e-05	1.13343e-05	0	6.45686e-05	0	3.80857e-06	3.77143e-07
1	4096	8.97063	0	1.59657e-05	1.13343e-05	0	6.45629e-05	0	3.80857e-06	3.77143e-07
1	4096	8.96918	0	1.596e-05	1.13286e-05	0	6.45571e-05	0	3.80857e-06	3.77143e-07
1	4096	8.96968	0	1.596e-05	1.13314e-05	0	6.456e-05	0	3.80857e-06	3.77143e-07
1	4096	8.97105	0	1.59629e-05	1.13343e-05	0	6.45714e-05	0	3.80857e-06	3.74286e-07
2	4096	4.4927	0.121921	1.59743e-05	1.13286e-05	3.42857e-08	6.452e-05	2.85714e-09	3.80857e-06	4.02857e-07
2	4096	4.49363	0.121921	1.598e-05	1.13286e-05	3.71429e-08	6.45343e-05	2.85714e-09	3.80857e-06	4e-07
2	4096	4.49389	0.121921	1.598e-05	1.13314e-05	3.71429e-08	6.45371e-05	2.85714e-09	3.81143e-06	4.11429e-07
2	4096	4.49384	0.14627	1.59771e-05	1.13314e-05	3.71429e-08	6.45371e-05	2.85714e-09	3.80857e-06	4.08571e-07
2	4096	4.4939	0.121921	1.59771e-05	1.13314e-05	4e-08	6.45343e-05	2.85714e-09	3.80857e-06	4.11429e-07
2	4096	4.49286	0.097561	1.59714e-05	1.13286e-05	4e-08	6.45229e-05	2.85714e-09	3.80857e-06	4.11429e-07
2	4096	4.49364	0.170607	1.59771e-05	1.13314e-05	3.71429e-08	6.45314e-05	2.85714e-09	3.80857e-06	4.08571e-07
2	4096	4.49308	0.097561	1.59771e-05	1.13314e-05	3.71429e-08	6.45257e-05	2.85714e-09	3.80857e-06	4e-07
2	4096	4.49338	0.14627	1.59771e-05	1.13314e-05	4e-08	6.45286e-05	0	3.81143e-06	4.14286e-07
2	4096	4.49291	0.097561	1.59743e-05	1.13257e-05	4.28571e-08	6.45229e-05	2.85714e-09	3.80857e-06	4.08571e-07
3	4096	3.00138	0.243546	1.59743e-05	1.13286e-05	2.28571e-08	6.45486e-05	0	3.80571e-06	4.94286e-07
3	4096	3.00143	0.219245	1.59829e-05	1.13257e-05	2.85714e-08	6.45486e-05	0	3.80571e-06	4.91429e-07
3	4096	3.00091	0.340633	1.59829e-05	1.13257e-05	4e-08	6.45229e-05	0	3.80857e-06	5.05714e-07
3	4096	3.00117	0.316379	1.598e-05	1.13314e-05	4e-08	6.45257e-05	0	3.80857e-06	4.94286e-07
3	4096	3.00103	0.267835	1.59743e-05	1.13286e-05	2.57143e-08	6.45371e-05	0	3.80571e-06	4.97143e-07
3	4096	3.00135	0.389105	1.59857e-05	1.13257e-05	6.57143e-08	6.45029e-05	2.85714e-09	3.80571e-06	5.6e-07
3	4096	3.00131	0.364875	1.59829e-05	1.13286e-05	3.71429e-08	6.45343e-05	0	3.80857e-06	5e-07
3	4096	3.00093	0.316379	1.59829e-05	1.13257e-05	3.71429e-08	6.45314e-05	0	3.81143e-06	5e-07
3	4096	3.00103	0.243546	1.59771e-05	1.13257e-05	3.14286e-08	6.45343e-05	0	3.80571e-06	4.94286e-07
3	4096	3.00188	0.219245	1.59829e-05	1.13314e-05	2.57143e-08	6.456e-05	0	3.80571e-06	4.97143e-07
4	4096	2.25554	0.461725	1.60114e-05	1.13257e-05	1.25714e-07	6.44543e-05	5.71429e-09	3.80857e-06	5.51429e-07
4	4096	2.25587	0.43753	1.59943e-05	1.13257e-05	8.28571e-08	6.45e-05	2.85714e-09	3.80857e-06	5.6e-07
4	4096	2.25603	0.413324	1.59914e-05	1.13314e-05	7.71429e-08	6.45086e-05	5.71429e-09	3.80857e-06	5.57143e-07
4	4096	2.25606	0.43753	1.59971e-05	1.13257e-05	8.57143e-08	6.45086e-05	8.57143e-09	3.80286e-06	5.48571e-07
4	4096	2.25544	0.413324	1.59971e-05	1.13257e-05	9.14286e-08	6.448e-05	8.57143e-09	3.80286e-06	5.42857e-07
4	4096	2.25583	0.51008	1.60114e-05	1.13257e-05	1.28571e-07	6.44629e-05	5.71429e-09	3.80857e-06	5.57143e-07
4	4096	2.25532	0.485909	1.60057e-05	1.13257e-05	1.22857e-07	6.44457e-05	2.85714e-09	3.80857e-06	5.48571e-07
4	4096	2.25597	0.895233	1.60257e-05	1.13257e-05	1.51429e-07	6.44514e-05	1.14286e-08	3.80571e-06	6.8e-07
4	4096	2.2552	0.461725	1.60029e-05	1.13257e-05	1.08571e-07	6.446e-05	5.71429e-09	3.80571e-06	5.34286e-07
4	4096	2.25587	0.51008	1.59971e-05	1.13257e-05	1.02857e-07	6.44886e-05	8.57143e-09	3.80571e-06	5.91429e-07
5	4096	1.81054	0.823245	1.60257e-05	1.13314e-05	1.65714e-07	6.44314e-05	2e-08	3.79429e-06	6.85714e-07
5	4096	1.81037	0.606649	1.59971e-05	1.13286e-05	9.14286e-08	6.44971e-05	2e-08	3.80571e-06	6.37143e-07
5	4096	1.81055	0.871249	1.60114e-05	1.13314e-05	1.22857e-07	6.44771e-05	1.71429e-08	3.80286e-06	6.68571e-07
5	4096	1.8104	0.847252	1.60257e-05	1.13286e-05	1.6e-07	6.44286e-05	1.14286e-08	3.8e-06	6.8e-07
5	4096	1.81104	0.582524	1.60086e-05	1.13314e-05	9.42857e-08	6.452e-05	2e-08	3.80286e-06	6.34286e-07
5	4096	1.81034	0.678952	1.60057e-05	1.13257e-05	9.42857e-08	6.44914e-05	2.28571e-08	3.8e-06	6.42857e-07
5	4096	1.81019	0.799225	1.60171e-05	1.13229e-05	1.54286e-07	6.44229e-05	1.42857e-08	3.80286e-06	6.94286e-07
5	4096	1.81005	0.775194	1.60286e-05	1.13257e-05	1.65714e-07	6.44114e-05	1.42857e-08	3.8e-06	6.8e-07
5	4096	1.81053	0.799225	1.60286e-05	1.13286e-05	1.62857e-07	6.44286e-05	1.71429e-08	3.8e-06	6.8e-07
5	4096	1.81018	0.606649	1.60057e-05	1.13286e-05	9.71429e-08	6.44829e-05	2.28571e-08	3.8e-06	6.17143e-07
6	4096	1.51134	1.32498	1.60829e-05	1.13257e-05	3.05714e-07	6.43143e-05	3.71429e-08	3.80286e-06	9.08571e-07
6	4096	1.51128	1.4437	1.608e-05	1.13257e-05	3.08571e-07	6.43057e-05	4e-08	3.8e-06	9.11429e-07
6	4096	1.51153	1.2298	1.61057e-05	1.13257e-05	3.65714e-07	6.42429e-05	3.14286e-08	3.80286e-06	8.88571e-07
6	4096	1.51147	1.51479	1.61057e-05	1.13257e-05	3.6e-07	6.42571e-05	3.71429e-08	3.80286e-06	9.85714e-07
6	4096	1.51104	1.4911	1.608e-05	1.13229e-05	3.11429e-07	6.428e-05	4e-08	3.79429e-06	9.37143e-07
6	4096	1.51112	1.4911	1.60829e-05	1.13257e-05	3.11429e-07	6.42914e-05	3.71429e-08	3.80286e-06	9.48571e-07
