N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.5147	0	5.48743e-05	5.03257e-05	0	0.000101391	0	1.51486e-05	1.01714e-06	9.58
1	4096	9.51353	0	5.48457e-05	5.034e-05	0	0.000101397	0	1.51514e-05	1.02e-06	9.59
1	4096	9.51422	0	5.48057e-05	5.04e-05	0	0.00010144	0	1.51543e-05	1.02286e-06	9.59
1	4096	9.51456	0	5.48771e-05	5.03171e-05	0	0.000101383	0	1.51514e-05	1.02e-06	9.59
1	4096	9.51441	0	5.47971e-05	5.03886e-05	0	0.000101417	0	1.51486e-05	1.02286e-06	9.58
1	4096	9.51463	0	5.48914e-05	5.03114e-05	0	0.000101383	0	1.51514e-05	1.01714e-06	9.58
1	4096	9.5146	0	5.48771e-05	5.032e-05	0	0.000101389	0	1.51543e-05	1.01714e-06	9.58
1	4096	9.51253	0	5.48286e-05	5.03771e-05	0	0.000101351	0	1.51457e-05	1.02571e-06	9.59
1	4096	9.51462	0	5.48857e-05	5.032e-05	0	0.00010138	0	1.51514e-05	1.02e-06	9.59
1	4096	9.5147	0	5.48971e-05	5.03114e-05	0	0.000101386	0	1.51486e-05	1.02286e-06	9.59
2	4096	4.76719	0.0488043	5.49714e-05	5.036e-05	1.48571e-07	0.000101331	1.14286e-08	1.51771e-05	1.03714e-06	4.84
2	4096	4.76731	0.0488043	5.49743e-05	5.03714e-05	1.54286e-07	0.000101343	1.42857e-08	1.51886e-05	1.04e-06	4.84
2	4096	4.76719	0.0488043	5.49686e-05	5.03657e-05	1.54286e-07	0.000101317	1.14286e-08	1.51714e-05	1.04286e-06	4.84
2	4096	4.76723	0.0488043	5.498e-05	5.03686e-05	1.48571e-07	0.000101326	1.42857e-08	1.51743e-05	1.04286e-06	4.84
2	4096	4.76694	0.0488043	5.49429e-05	5.03771e-05	1.54286e-07	0.00010134	1.14286e-08	1.51771e-05	1.04286e-06	4.84
2	4096	4.76721	0.0488043	5.49714e-05	5.036e-05	1.54286e-07	0.000101317	1.14286e-08	1.51771e-05	1.03714e-06	4.84
2	4096	4.76671	0.0488043	5.494e-05	5.03857e-05	1.48571e-07	0.000101334	1.14286e-08	1.51686e-05	1.04286e-06	4.85
2	4096	4.76716	0.0244081	5.49629e-05	5.03686e-05	1.48571e-07	0.000101346	1.42857e-08	1.51771e-05	1.03429e-06	4.84
2	4096	4.76726	0.0244081	5.498e-05	5.03743e-05	1.51429e-07	0.000101343	1.14286e-08	1.51771e-05	1.03143e-06	4.84
2	4096	4.76726	0.0488043	5.49771e-05	5.03657e-05	1.65714e-07	0.000101309	1.14286e-08	1.51743e-05	1.04286e-06	4.85
3	4096	3.18565	0.316379	5.494e-05	5.046e-05	2.14286e-07	0.000101463	1.14286e-08	1.51971e-05	1.5e-06	3.26
3	4096	3.18496	0.364875	5.49886e-05	5.04114e-05	2.34286e-07	0.000101383	1.42857e-08	1.52e-05	1.49143e-06	3.26
3	4096	3.18549	0.316379	5.50229e-05	5.038e-05	2.48571e-07	0.00010136	0	1.52e-05	1.33714e-06	3.26
3	4096	3.1855	0.194932	5.50057e-05	5.03857e-05	2.08571e-07	0.000101406	2.85714e-09	1.52029e-05	1.35714e-06	3.27
3	4096	3.18577	0.316379	5.502e-05	5.03971e-05	2.28571e-07	0.000101397	5.71429e-09	1.52114e-05	1.52286e-06	3.26
3	4096	3.18512	0.267835	5.50229e-05	5.03943e-05	2.2e-07	0.000101371	2.85714e-09	1.51971e-05	1.33714e-06	3.26
3	4096	3.18551	0.194932	5.5e-05	5.03886e-05	2.14286e-07	0.000101403	2.85714e-09	1.52057e-05	1.36e-06	3.26
3	4096	3.1857	0.364875	5.50229e-05	5.03886e-05	2.14286e-07	0.000101431	5.71429e-09	1.52057e-05	1.49714e-06	3.25
3	4096	3.18535	0.316379	5.498e-05	5.04029e-05	2.2e-07	0.000101409	1.14286e-08	1.52029e-05	1.50286e-06	3.27
3	4096	3.18531	0.340633	5.49657e-05	5.04114e-05	2.2e-07	0.000101406	5.71429e-09	1.52029e-05	1.51429e-06	3.25
4	4096	2.3952	0.389105	5.508e-05	5.05657e-05	4.57143e-07	0.00010132	1.14286e-08	1.52314e-05	1.44857e-06	2.47
4	4096	2.39527	0.51008	5.52486e-05	5.05286e-05	5.4e-07	0.000101191	1.42857e-08	1.52571e-05	1.54286e-06	2.47
