N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	1.81588	0	3.34686e-05	3.158e-05	0	6.06143e-05	2.51429e-07	3.26543e-05	1.13429e-06
1	4096	1.81589	0	3.34714e-05	3.158e-05	0	6.06143e-05	2.51429e-07	3.26543e-05	1.13429e-06
1	4096	1.81588	0	3.34714e-05	3.15857e-05	0	6.06086e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	1.81587	0	3.34714e-05	3.15829e-05	0	6.06114e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	1.81587	0	3.34714e-05	3.15829e-05	0	6.06086e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	1.81588	0	3.34714e-05	3.15829e-05	0	6.06114e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	1.81586	0	3.34714e-05	3.15829e-05	0	6.06114e-05	2.48571e-07	3.26543e-05	1.13143e-06
1	4096	1.81586	0	3.34743e-05	3.15829e-05	0	6.06057e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	1.81588	0	3.34714e-05	3.15829e-05	0	6.06114e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	1.81588	0	3.34714e-05	3.15829e-05	0	6.06086e-05	2.48571e-07	3.26571e-05	1.13143e-06
2	4096	0.910068	1.72745	3.348e-05	3.15829e-05	0	6.06057e-05	2.51429e-07	3.26514e-05	1.55143e-06
2	4096	0.909746	1.11057	3.34714e-05	3.15829e-05	0	6.06086e-05	2.51429e-07	3.26514e-05	1.38571e-06
2	4096	0.909576	0.943168	3.34714e-05	3.15829e-05	0	6.06057e-05	2.51429e-07	3.26514e-05	1.31143e-06
2	4096	0.909581	0.943168	3.34686e-05	3.15829e-05	0	6.06114e-05	2.51429e-07	3.26514e-05	1.31143e-06
2	4096	0.909445	0.775194	3.34714e-05	3.158e-05	0	6.06086e-05	2.48571e-07	3.26543e-05	1.24286e-06
2	4096	0.910399	2.17339	3.348e-05	3.15829e-05	0	6.06114e-05	2.51429e-07	3.26514e-05	1.71143e-06
2	4096	0.909742	1.11057	3.34714e-05	3.158e-05	0	6.06114e-05	2.51429e-07	3.26514e-05	1.38571e-06
2	4096	0.909585	0.943168	3.34686e-05	3.158e-05	0	6.06143e-05	2.51429e-07	3.26514e-05	1.31143e-06
2	4096	0.909757	1.11057	3.34686e-05	3.15829e-05	0	6.06143e-05	2.51429e-07	3.26514e-05	1.38286e-06
2	4096	0.909733	1.11057	3.34743e-05	3.158e-05	0	6.06086e-05	2.48571e-07	3.26543e-05	1.38857e-06
3	4096	0.686836	69.6233	3.35543e-05	3.15771e-05	0	6.06114e-05	2.48571e-07	3.266e-05	5.72371e-05
3	4096	0.689687	70.2844	3.35486e-05	3.15829e-05	0	6.06057e-05	2.48571e-07	3.266e-05	5.99771e-05
3	4096	0.687874	69.7243	3.35629e-05	3.158e-05	0	6.06171e-05	2.48571e-07	3.26629e-05	5.81714e-05
3	4096	0.694837	70.8636	3.35514e-05	3.158e-05	0	6.06143e-05	2.48571e-07	3.26629e-05	6.29914e-05
3	4096	0.694183	70.0607	3.35543e-05	3.158e-05	0	6.06114e-05	2.48571e-07	3.266e-05	5.97714e-05
3	4096	0.688127	69.6952	3.35486e-05	3.15829e-05	0	6.06086e-05	2.48571e-07	3.266e-05	5.76143e-05
3	4096	0.693594	70.4601	3.35486e-05	3.158e-05	0	6.06114e-05	2.48571e-07	3.266e-05	6.07686e-05
3	4096	0.686196	69.138	3.35514e-05	3.15829e-05	0	6.06086e-05	2.48571e-07	3.26629e-05	5.68286e-05
3	4096	0.690475	69.8491	3.35457e-05	3.15771e-05	0	6.06143e-05	2.48571e-07	3.266e-05	5.87629e-05
3	4096	0.691368	70.1697	3.35514e-05	3.158e-05	0	6.06143e-05	2.48571e-07	3.266e-05	5.86657e-05
