N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	3.14851	0	0.00011188	0.000108969	0	9.708e-05	2.51429e-07	0.0001595	2.38857e-06	3.64
1	4096	3.14913	0	0.00011192	0.000109046	0	9.71114e-05	2.51429e-07	0.000159497	2.38286e-06	3.57
1	4096	3.14861	0	0.000111894	0.000108951	0	9.70914e-05	2.51429e-07	0.000159517	2.39143e-06	3.57
1	4096	3.14864	0	0.0001119	0.00010896	0	9.70886e-05	2.51429e-07	0.000159509	2.39143e-06	3.56
1	4096	3.14864	0	0.0001119	0.000108954	0	9.70914e-05	2.51429e-07	0.000159509	2.39429e-06	3.57
1	4096	3.14777	0	0.000111809	0.000108874	0	9.72057e-05	2.51429e-07	0.000159351	2.42e-06	3.57
1	4096	3.14862	0	0.000111894	0.000108954	0	9.70743e-05	2.51429e-07	0.000159529	2.38857e-06	3.56
1	4096	3.14864	0	0.000111889	0.000108963	0	9.71e-05	2.51429e-07	0.000159511	2.38857e-06	3.56
1	4096	3.149	0	0.00011188	0.000108971	0	9.71286e-05	2.51429e-07	0.000159577	2.38857e-06	3.56
1	4096	3.14919	0	0.000111917	0.000109057	0	9.71286e-05	2.51429e-07	0.000159486	2.38286e-06	3.57
2	4096	1.9841	78.6644	0.000114506	0.000110909	0	9.868e-05	2.51429e-07	0.000165114	0.000184491	2.47
2	4096	1.96851	78.4716	0.000114491	0.000110931	0	9.86886e-05	2.48571e-07	0.000165051	0.000180323	2.39
2	4096	1.97051	78.3108	0.0001145	0.0001109	0	9.86771e-05	2.51429e-07	0.000165049	0.000178897	2.39
2	4096	1.98571	78.4591	0.00011452	0.000111046	0	9.86143e-05	2.48571e-07	0.000165111	0.000181406	2.41
2	4096	1.98275	78.5718	0.00011446	0.000110903	0	9.86914e-05	2.51429e-07	0.000165006	0.000184334	2.39
2	4096	1.98802	78.7948	0.000114434	0.000110914	0	9.87286e-05	2.51429e-07	0.000164966	0.000185611	2.41
2	4096	1.99057	78.8681	0.000114463	0.000110943	0	9.86886e-05	2.48571e-07	0.000165006	0.000188723	2.41
2	4096	1.99117	78.7651	0.000114506	0.000110937	0	9.866e-05	2.51429e-07	0.000164991	0.000188129	2.41
2	4096	1.97342	78.6255	0.000114523	0.000110937	0	9.86714e-05	2.48571e-07	0.000165066	0.000182311	2.39
2	4096	1.9766	78.5774	0.000114474	0.00011094	0	9.86657e-05	2.48571e-07	0.000165029	0.00018168	2.40
3	4096	1.88847	91.6753	0.000119294	0.000115863	0	0.000101597	2.48571e-07	0.000172223	0.00057718	2.38
3	4096	1.92128	91.6989	0.000119171	0.000115794	0	0.000101563	2.48571e-07	0.00017206	0.000585777	2.34
3	4096	1.91307	91.691	0.000119289	0.000115806	0	0.000101586	2.48571e-07	0.000172214	0.000583709	2.35
3	4096	1.93233	91.8637	0.000119263	0.000115897	0	0.00010162	2.48571e-07	0.000172063	0.00060108	2.36
3	4096	1.90795	91.5265	0.000119223	0.000115769	0	0.000101583	2.48571e-07	0.000172026	0.000568897	2.34
3	4096	1.941	91.9077	0.000119246	0.000115831	0	0.000101589	2.48571e-07	0.000172074	0.000607817	2.37
3	4096	1.91222	91.7587	0.000119251	0.000115791	0	0.000101591	2.48571e-07	0.000172271	0.000584194	2.34
3	4096	1.95095	91.9847	0.000119166	0.0001158	0	0.000101557	2.48571e-07	0.000172097	0.000608954	2.38
3	4096	1.93893	91.8645	0.000119137	0.000115763	0	0.000101543	2.48571e-07	0.0001721	0.000601863	2.37
3	4096	1.93926	91.9392	0.00011926	0.000115891	0	0.000101626	2.48571e-07	0.000172103	0.000608083	2.37
4	4096	2.1935	95.4706	0.000124169	0.000120917	0	0.00010464	2.48571e-07	0.0001798	0.00126754	2.77
4	4096	2.20732	95.4458	0.000123966	0.000120689	0	0.0001045	2.51429e-07	0.000179623	0.00128359	2.72
4	4096	2.12746	95.235	0.000123909	0.000120666	0	0.000104514	2.48571e-07	0.000179754	0.00119947	2.63
4	4096	2.21342	95.4443	0.000123817	0.000120537	0	0.000104431	2.48571e-07	0.000179394	0.00127851	2.72
