N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	1.68225	0	1.46429e-05	4.06171e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.19429e-06
1	4096	1.68226	0	1.464e-05	4.062e-05	0	6.06114e-05	2.48571e-07	9.76571e-06	1.19429e-06
1	4096	1.68224	0	1.46429e-05	4.06229e-05	0	6.06057e-05	2.51429e-07	9.76e-06	1.19429e-06
1	4096	1.68226	0	1.46429e-05	4.062e-05	0	6.06086e-05	2.51429e-07	9.76e-06	1.19429e-06
1	4096	1.68225	0	1.464e-05	4.062e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.19429e-06
1	4096	1.68226	0	1.46429e-05	4.062e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.19714e-06
1	4096	1.68226	0	1.464e-05	4.062e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.19714e-06
1	4096	1.68217	0	1.464e-05	4.062e-05	0	6.06057e-05	2.51429e-07	9.76e-06	1.19429e-06
1	4096	1.68227	0	1.46429e-05	4.062e-05	0	6.06086e-05	2.51429e-07	9.76e-06	1.19429e-06
1	4096	1.68225	0	1.46429e-05	4.062e-05	0	6.06086e-05	2.51429e-07	9.76286e-06	1.19429e-06
2	4096	0.842554	1.39624	1.464e-05	4.062e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.29714e-06
2	4096	0.842548	1.3012	1.464e-05	4.06171e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.29429e-06
2	4096	0.842561	1.4674	1.464e-05	4.062e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.3e-06
2	4096	0.842566	1.4674	1.464e-05	4.06171e-05	0	6.06143e-05	2.51429e-07	9.76e-06	1.3e-06
2	4096	0.842559	1.11057	1.464e-05	4.062e-05	0	6.06086e-05	2.51429e-07	9.76e-06	1.3e-06
2	4096	0.842552	1.41998	1.464e-05	4.062e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.29714e-06
2	4096	0.84255	1.34875	1.46371e-05	4.062e-05	0	6.06143e-05	2.48571e-07	9.76286e-06	1.29429e-06
2	4096	0.842555	1.39624	1.464e-05	4.06171e-05	0	6.06114e-05	2.51429e-07	9.76e-06	1.29714e-06
2	4096	0.842553	1.39624	1.46429e-05	4.062e-05	0	6.06057e-05	2.51429e-07	9.76e-06	1.29714e-06
2	4096	0.842565	1.4674	1.464e-05	4.06229e-05	0	6.06086e-05	2.48571e-07	9.76286e-06	1.3e-06
3	4096	0.562965	2.26676	1.46371e-05	4.06171e-05	0	6.06171e-05	2.48571e-07	9.76e-06	1.46571e-06
3	4096	0.562949	2.12664	1.464e-05	4.06171e-05	0	6.06114e-05	2.48571e-07	9.76e-06	1.45143e-06
3	4096	0.562953	2.19675	1.46429e-05	4.062e-05	0	6.06057e-05	2.48571e-07	9.76e-06	1.45143e-06
3	4096	0.563203	2.33667	1.46371e-05	4.06171e-05	0	6.06143e-05	2.48571e-07	9.76e-06	1.45143e-06
3	4096	0.56281	2.4994	1.46371e-05	4.06171e-05	0	6.06171e-05	2.48571e-07	9.76e-06	1.44857e-06
3	4096	0.563203	2.31338	1.464e-05	4.06171e-05	0	6.06143e-05	2.48571e-07	9.76286e-06	1.45143e-06
3	4096	0.56286	2.4994	1.46429e-05	4.06171e-05	0	6.06114e-05	2.48571e-07	9.76e-06	1.48571e-06
3	4096	0.562808	2.52261	1.464e-05	4.062e-05	0	6.06086e-05	2.48571e-07	9.76e-06	1.44857e-06
3	4096	0.562817	2.61531	1.46371e-05	4.06171e-05	0	6.06114e-05	2.48571e-07	9.76e-06	1.45429e-06
