N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	2.6093	0	5.57771e-05	0.000152046	0	9.71657e-05	2.51429e-07	4.08314e-05	2.40571e-06	3.03
1	4096	2.61001	0	5.58657e-05	0.000152011	0	9.724e-05	2.51429e-07	4.08457e-05	2.40571e-06	3.02
1	4096	2.61021	0	5.57171e-05	0.000152223	0	9.72086e-05	2.51429e-07	4.08371e-05	2.40857e-06	3.02
1	4096	2.61	0	5.58743e-05	0.000151997	0	9.72457e-05	2.51429e-07	4.08457e-05	2.40571e-06	3.03
1	4096	2.61019	0	5.57086e-05	0.000152217	0	9.72229e-05	2.51429e-07	4.08343e-05	2.40857e-06	3.02
1	4096	2.61001	0	5.58743e-05	0.000152009	0	9.72343e-05	2.51429e-07	4.08429e-05	2.40571e-06	3.02
1	4096	2.60968	0	5.58286e-05	0.000152017	0	9.71657e-05	2.51429e-07	4.08714e-05	2.40571e-06	3.02
1	4096	2.60989	0	5.58686e-05	0.000151971	0	9.726e-05	2.51429e-07	4.08257e-05	2.40857e-06	3.03
1	4096	2.60994	0	5.58629e-05	0.00015198	0	9.726e-05	2.51429e-07	4.08314e-05	2.41143e-06	3.03
1	4096	2.6091	0	5.57371e-05	0.000152037	0	9.71286e-05	2.51429e-07	4.08486e-05	2.39429e-06	3.03
2	4096	1.31725	1.63305	5.64114e-05	0.000152997	0	9.79429e-05	2.51429e-07	4.22371e-05	2.93714e-06	1.82
2	4096	1.31723	1.51479	5.65229e-05	0.000152909	0	9.79543e-05	2.51429e-07	4.22314e-05	2.88857e-06	1.75
2	4096	1.31711	1.41998	5.63886e-05	0.000152991	0	9.794e-05	2.48571e-07	4.22257e-05	2.88286e-06	1.74
2	4096	1.31709	1.41998	5.63886e-05	0.000152989	0	9.79371e-05	2.51429e-07	4.22257e-05	2.88286e-06	1.75
2	4096	1.31713	1.53846	5.63886e-05	0.000152989	0	9.79486e-05	2.48571e-07	4.22286e-05	2.90571e-06	1.74
2	4096	1.31722	1.4674	5.64629e-05	0.000152986	0	9.79657e-05	2.51429e-07	4.22429e-05	2.88571e-06	1.74
2	4096	1.31705	1.3725	5.63943e-05	0.000152977	0	9.794e-05	2.51429e-07	4.22143e-05	2.88e-06	1.74
2	4096	1.31716	1.56212	5.64143e-05	0.000152971	0	9.79371e-05	2.51429e-07	4.222e-05	2.92857e-06	1.74
2	4096	1.31721	1.58578	5.64029e-05	0.000152994	0	9.79314e-05	2.51429e-07	4.22314e-05	2.93143e-06	1.74
2	4096	1.31737	1.58578	5.654e-05	0.000152937	0	9.79343e-05	2.48571e-07	4.224e-05	2.89714e-06	1.74
3	4096	1.07462	79.358	5.86657e-05	0.0001589	0	0.000100849	2.48571e-07	4.50943e-05	0.000112454	1.57
3	4096	1.06894	80.6051	5.86914e-05	0.000158851	0	0.000100831	2.48571e-07	4.50857e-05	0.000121531	1.50
3	4096	1.07137	79.8653	5.86514e-05	0.000158771	0	0.000100786	2.48571e-07	4.50943e-05	0.000116323	1.49
3	4096	1.06473	79.628	5.87143e-05	0.000158834	0	0.000100857	2.48571e-07	4.51343e-05	0.000114334	1.49
3	4096	1.06814	79.7738	5.86829e-05	0.000158783	0	0.000100823	2.48571e-07	4.51371e-05	0.000115886	1.50
3	4096	1.06317	80.1848	5.86629e-05	0.0001588	0	0.000100777	2.48571e-07	4.51171e-05	0.000119803	1.49
3	4096	1.05933	79.627	5.86914e-05	0.000158843	0	0.000100849	2.48571e-07	4.51371e-05	0.000114243	1.49
3	4096	1.05869	79.7658	5.87057e-05	0.000158949	0	0.000100903	2.48571e-07	4.51571e-05	0.000114169	1.48
3	4096	1.07141	79.8127	5.864e-05	0.000158814	0	0.000100791	2.48571e-07	4.50943e-05	0.00011572	1.50
3	4096	1.06746	79.6856	5.87286e-05	0.00015876	0	0.000100823	2.48571e-07	4.51e-05	0.000114489	1.49
4	4096	0.984292	89.1858	6.12343e-05	0.000164669	0	0.000103466	2.48571e-07	4.888e-05	0.000276869	1.57
4	4096	0.97995	88.7765	6.12743e-05	0.000164614	0	0.000103509	2.51429e-07	4.90286e-05	0.000267451	1.50
4	4096	0.988327	88.9503	6.12257e-05	0.0001646	0	0.000103466	2.51429e-07	4.89286e-05	0.000270789	1.50
4	4096	0.992135	89.0502	6.10914e-05	0.000164389	0	0.00010334	2.51429e-07	4.87314e-05	0.000271237	1.50
4	4096	0.978037	89.1384	6.126e-05	0.000164743	0	0.000103497	2.48571e-07	4.90257e-05	0.000277189	1.49
4	4096	0.989722	88.8289	6.12114e-05	0.000164566	0	0.000103443	2.4e-07	4.89057e-05	0.000265291	1.50
4	4096	0.979435	89.0061	6.11943e-05	0.000164683	0	0.000103471	2.51429e-07	4.89543e-05	0.00026806	1.49
4	4096	0.991329	88.8976	6.11629e-05	0.000164583	0	0.000103423	2.51429e-07	4.89343e-05	0.000268834	1.50
4	4096	0.988289	89.0925	6.11686e-05	0.000164591	0	0.000103457	2.48571e-07	4.89714e-05	0.000274737	1.49
4	4096	0.9989	88.9673	6.11314e-05	0.000164483	0	0.000103391	2.51429e-07	4.88429e-05	0.000270989	1.50
5	4096	0.983458	92.6089	6.36371e-05	0.000170343	0	0.000105931	2.42857e-07	5.204e-05	0.0004847	1.60
5	4096	0.989852	92.7218	6.354e-05	0.000170226	0	0.000105794	2.42857e-07	5.17086e-05	0.000491994	1.60
5	4096	0.990608	92.6534	6.368e-05	0.000170409	0	0.000105949	2.42857e-07	5.20971e-05	0.000481789	1.60
5	4096	0.985277	92.7422	6.36686e-05	0.000170554	0	0.000105949	2.42857e-07	5.19457e-05	0.000489077	1.59
5	4096	0.981825	92.6231	6.36514e-05	0.000170557	0	0.000105991	2.42857e-07	5.22086e-05	0.000481906	1.59
5	4096	0.980688	92.6851	6.37714e-05	0.00017072	0	0.000106086	2.42857e-07	5.23286e-05	0.000485414	1.59
5	4096	0.988586	92.6917	6.36229e-05	0.000170454	0	0.000105906	2.42857e-07	5.17829e-05	0.000487469	1.59
5	4096	0.992784	92.6885	6.356e-05	0.000170283	0	0.000105814	2.42857e-07	5.16257e-05	0.000490166	1.59
5	4096	0.994932	92.6806	6.35943e-05	0.000170454	0	0.000105871	2.42857e-07	5.16486e-05	0.000488057	1.60
5	4096	0.987858	92.6755	6.36686e-05	0.000170531	0	0.000105974	2.42857e-07	5.20571e-05	0.000481537	1.59
6	4096	1.01219	94.424	6.59514e-05	0.000176157	0	0.000108177	2.4e-07	5.40771e-05	0.000725083	1.72
6	4096	1.01508	94.5553	6.61457e-05	0.000176726	0	0.00010842	2.4e-07	5.43771e-05	0.00073024	1.72
6	4096	1.02775	94.56	6.616e-05	0.000176709	0	0.00010842	2.4e-07	5.42171e-05	0.000732006	1.74
6	4096	1.02017	94.3247	6.57514e-05	0.0001757	0	0.000107989	2.4e-07	5.37543e-05	0.000703543	1.72
6	4096	1.01612	94.4926	6.59429e-05	0.0001763	0	0.000108143	2.4e-07	5.37514e-05	0.000727571	1.73
6	4096	1.0081	94.3566	6.58771e-05	0.000175917	0	0.000108109	2.4e-07	5.40429e-05	0.000720154	1.72
6	4096	1.01864	94.3619	6.576e-05	0.000175831	0	0.000107974	2.4e-07	5.36343e-05	0.000717106	1.73
6	4096	1.02384	94.5291	6.608e-05	0.000176583	0	0.000108389	2.4e-07	5.42286e-05	0.000734986	1.74
6	4096	1.01852	94.5788	6.62314e-05	0.000176729	0	0.000108414	2.4e-07	5.44371e-05	0.000738971	1.73
6	4096	1.02183	94.4985	6.602e-05	0.000176403	0	0.000108217	2.4e-07	5.39829e-05	0.00072448	1.72
7	4096	1.05209	95.5132	6.84314e-05	0.000182337	0	0.000110489	2.4e-07	5.59257e-05	0.000982171	1.93
7	4096	1.04959	95.6847	6.89286e-05	0.000183549	0	0.000111029	2.4e-07	5.62914e-05	0.00101874	1.85
7	4096	1.05462	95.6148	6.87429e-05	0.000182877	0	0.000110751	2.4e-07	5.57257e-05	0.00099768	1.86
7	4096	1.04455	95.524	6.86543e-05	0.000182583	0	0.000110643	2.4e-07	5.58629e-05	0.000975626	1.85
7	4096	1.06407	95.5542	6.85286e-05	0.000182631	0	0.000110609	2.4e-07	5.58486e-05	0.000995066	1.87
7	4096	1.03957	95.5772	6.87029e-05	0.000183051	0	0.000110749	2.4e-07	5.61229e-05	0.00100314	1.85
7	4096	1.04213	95.5222	6.848e-05	0.000182511	0	0.000110594	2.4e-07	5.59971e-05	0.000986974	1.85
7	4096	1.04678	95.6619	6.89371e-05	0.00018332	0	0.000110923	2.4e-07	5.61229e-05	0.00101524	1.85
7	4096	1.05686	95.5815	6.86829e-05	0.00018288	0	0.000110754	2.4e-07	5.616e-05	0.00099006	1.86
7	4096	1.04254	95.6472	6.89114e-05	0.000183469	0	0.000110894	2.4e-07	5.59286e-05	0.00101115	1.85
8	4096	1.09126	96.3921	7.21514e-05	0.00019116	0	0.000113866	2.51429e-07	5.81714e-05	0.00130501	2.07
8	4096	1.09651	96.357	7.17771e-05	0.000190631	0	0.000113626	2.48571e-07	5.82971e-05	0.00129783	2.00
8	4096	1.08798	96.2814	7.15657e-05	0.000189531	0	0.000113283	2.51429e-07	5.75886e-05	0.0012755	2.00
8	4096	1.08496	96.3905	7.19457e-05	0.000190734	0	0.000113697	2.51429e-07	5.82686e-05	0.00131698	1.99
8	4096	1.09204	96.4155	7.202e-05	0.000190869	0	0.000113791	2.48571e-07	5.83371e-05	0.00133113	2.00
8	4096	1.09506	96.4086	7.19657e-05	0.000190757	0	0.000113726	2.51429e-07	5.816e-05	0.00132915	2.00
8	4096	1.08426	96.3159	7.17029e-05	0.000190063	0	0.00011348	2.51429e-07	5.77514e-05	0.0012876	1.99
8	4096	1.09006	96.4509	7.22257e-05	0.000191351	0	0.000113946	2.51429e-07	5.80657e-05	0.00133348	2.00
8	4096	1.09161	96.3185	7.17114e-05	0.000190046	0	0.000113411	2.48571e-07	5.81114e-05	0.00128705	1.99
8	4096	1.08728	96.4001	7.20514e-05	0.000190843	0	0.000113743	2.48571e-07	5.80686e-05	0.00131031	1.98
9	4096	1.12712	96.8542	7.49743e-05	0.000197957	0	0.000116337	2.31429e-07	6.00943e-05	0.00162773	2.12
9	4096	1.13565	96.8748	7.50057e-05	0.000198097	0	0.000116351	2.31429e-07	6.00771e-05	0.0016341	2.14
9	4096	1.13639	96.83	7.46829e-05	0.000197343	0	0.000116097	2.31429e-07	5.99457e-05	0.00160307	2.14
9	4096	1.12862	96.7255	7.40457e-05	0.000195543	0	0.000115514	2.31429e-07	5.94943e-05	0.00156295	2.13
9	4096	1.14025	96.8884	7.51257e-05	0.000198189	0	0.000116457	2.31429e-07	6.01657e-05	0.00164381	2.15
9	4096	1.12296	96.8603	7.49571e-05	0.0001976	0	0.000116369	2.31429e-07	6.01514e-05	0.00164331	2.13
9	4096	1.12065	96.752	7.42629e-05	0.000196123	0	0.00011572	2.31429e-07	5.98429e-05	0.00159661	2.13
9	4096	1.14159	96.7949	7.44286e-05	0.000196711	0	0.000115834	2.31429e-07	5.96257e-05	0.00159312	2.15
9	4096	1.13038	96.8554	7.49e-05	0.000197571	0	0.000116269	2.31429e-07	5.98371e-05	0.00162307	2.13
9	4096	1.13297	96.8569	7.48286e-05	0.000197569	0	0.00011618	2.31429e-07	5.99686e-05	0.00164356	2.13
10	4096	1.15629	97.0414	7.67029e-05	0.000201663	0	0.000117863	2.28571e-07	6.12971e-05	0.00184262	2.27
10	4096	1.17956	97.1685	7.77e-05	0.00020418	0	0.000118709	2.28571e-07	6.18286e-05	0.00193691	2.27
10	4096	1.17861	97.1401	7.75086e-05	0.000203766	0	0.00011856	2.28571e-07	6.186e-05	0.00193886	2.29
10	4096	1.17036	97.2221	7.80771e-05	0.000205114	0	0.000119086	2.28571e-07	6.24e-05	0.001996	2.27
10	4096	1.1848	97.1167	7.71e-05	0.000202849	0	0.000118191	2.28571e-07	6.14086e-05	0.00191449	2.29
10	4096	1.16999	97.166	7.74629e-05	0.000203534	0	0.00011848	2.28571e-07	6.16686e-05	0.00195063	2.27
10	4096	1.17394	97.1737	7.78371e-05	0.00020428	0	0.000118854	2.28571e-07	6.21571e-05	0.00194446	2.28
10	4096	1.17721	97.1737	7.78571e-05	0.000204549	0	0.00011886	2.28571e-07	6.20171e-05	0.0019244	2.28
10	4096	1.17494	97.2026	7.79143e-05	0.00020462	0	0.00011894	2.28571e-07	6.22514e-05	0.00197046	2.28
10	4096	1.18644	97.2144	7.80714e-05	0.000205037	0	0.000119054	2.28571e-07	6.21286e-05	0.00196229	2.29
11	4096	1.2273	97.4487	8.05914e-05	0.000210931	0	0.000121391	2.51429e-07	6.41229e-05	0.00231387	2.42
11	4096	1.21941	97.4318	8.03114e-05	0.000210209	0	0.0001211	2.51429e-07	6.388e-05	0.00232885	2.41
11	4096	1.22699	97.4748	8.07143e-05	0.000211391	0	0.00012142	2.51429e-07	6.42886e-05	0.00232447	2.43
11	4096	1.23514	97.4651	8.05143e-05	0.000211054	0	0.000121343	2.48571e-07	6.44514e-05	0.00232653	2.43
11	4096	1.24186	97.535	8.14629e-05	0.000212894	0	0.000122106	2.51429e-07	6.51829e-05	0.00239717	2.45
11	4096	1.21863	97.4496	8.07286e-05	0.00021108	0	0.0001214	2.51429e-07	6.43257e-05	0.00230035	2.42
11	4096	1.21046	97.4402	8.02514e-05	0.0002105	0	0.000121089	2.51429e-07	6.39686e-05	0.00230127	2.41
11	4096	1.22078	97.4343	8.03971e-05	0.000210586	0	0.000121174	2.51429e-07	6.40371e-05	0.00231719	2.42
11	4096	1.22097	97.4675	8.08057e-05	0.000211477	0	0.000121537	2.51429e-07	6.43057e-05	0.00234279	2.42
11	4096	1.21763	97.4641	8.05686e-05	0.000211123	0	0.00012132	2.51429e-07	6.42143e-05	0.00231696	2.42
12	4096	1.2764	97.7006	8.39371e-05	0.000219406	0	0.000125291	2.4e-07	6.69086e-05	0.00275927	2.58
12	4096	1.28411	97.665	8.33286e-05	0.000218223	0	0.00012472	2.4e-07	6.64771e-05	0.00274411	2.59
12	4096	1.27282	97.6624	8.37629e-05	0.0002188	0	0.000125157	2.4e-07	6.66543e-05	0.00272647	2.57
12	4096	1.26862	97.6155	8.28286e-05	0.000216674	0	0.000124223	2.4e-07	6.60086e-05	0.00268594	2.57
12	4096	1.26945	97.5822	8.23629e-05	0.000215709	0	0.000123863	2.4e-07	6.55514e-05	0.00265606	2.57
12	4096	1.27695	97.6663	8.35686e-05	0.000218237	0	0.000124894	2.4e-07	6.64971e-05	0.00272609	2.58
12	4096	1.25867	97.5677	8.23286e-05	0.00021576	0	0.000123769	2.4e-07	6.56343e-05	0.00261691	2.57
12	4096	1.272	97.6824	8.38114e-05	0.00021906	0	0.000125151	2.4e-07	6.68829e-05	0.00274186	2.57
12	4096	1.2873	97.6298	8.29657e-05	0.000217051	0	0.000124331	2.4e-07	6.61086e-05	0.00267259	2.59
12	4096	1.28195	97.6913	8.40429e-05	0.000219514	0	0.000125306	2.4e-07	6.70229e-05	0.00274662	2.59
