N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	1.68225	0	1.46429e-05	4.204e-05	0	6.06057e-05	2.51429e-07	8.34286e-06	1.19429e-06
1	4096	1.68222	0	1.46429e-05	4.20371e-05	0	6.06057e-05	2.51429e-07	8.34286e-06	1.19429e-06
1	4096	1.68227	0	1.46429e-05	4.204e-05	0	6.06057e-05	2.51429e-07	8.34571e-06	1.19429e-06
1	4096	1.68213	0	1.464e-05	4.20343e-05	0	6.06086e-05	2.51429e-07	8.34286e-06	1.19429e-06
1	4096	1.68226	0	1.46429e-05	4.20371e-05	0	6.06114e-05	2.48571e-07	8.34857e-06	1.19429e-06
1	4096	1.68216	0	1.464e-05	4.20371e-05	0	6.06057e-05	2.51429e-07	8.34286e-06	1.19429e-06
1	4096	1.68224	0	1.46429e-05	4.20371e-05	0	6.06057e-05	2.48571e-07	8.34571e-06	1.19429e-06
1	4096	1.68212	0	1.464e-05	4.20343e-05	0	6.06029e-05	2.48571e-07	8.34571e-06	1.19429e-06
1	4096	1.68224	0	1.464e-05	4.20371e-05	0	6.06114e-05	2.51429e-07	8.34286e-06	1.19429e-06
1	4096	1.68221	0	1.464e-05	4.20371e-05	0	6.06086e-05	2.51429e-07	8.34286e-06	1.19429e-06
2	4096	0.842486	1.39624	1.46371e-05	4.20314e-05	0	6.06114e-05	2.51429e-07	8.34286e-06	1.29714e-06
2	4096	0.842495	1.4674	1.464e-05	4.20314e-05	0	6.06057e-05	2.45714e-07	8.34857e-06	1.29714e-06
2	4096	0.842506	1.4437	1.464e-05	4.20371e-05	0	6.06057e-05	2.48571e-07	8.34571e-06	1.29714e-06
2	4096	0.842487	1.0389	1.464e-05	4.20314e-05	0	6.06086e-05	2.51429e-07	8.34286e-06	1.28857e-06
2	4096	0.842526	1.11057	1.464e-05	4.20343e-05	0	6.06057e-05	2.51429e-07	8.34286e-06	1.28857e-06
2	4096	0.842486	1.3725	1.464e-05	4.20343e-05	0	6.06057e-05	2.51429e-07	8.34286e-06	1.29429e-06
2	4096	0.842516	1.13444	1.464e-05	4.20343e-05	0	6.06029e-05	2.51429e-07	8.34286e-06	1.3e-06
2	4096	0.842487	1.41998	1.46343e-05	4.20343e-05	0	6.06086e-05	2.51429e-07	8.34286e-06	1.29714e-06
2	4096	0.842491	0.991056	1.46371e-05	4.20343e-05	0	6.06057e-05	2.48571e-07	8.34571e-06	1.29714e-06
2	4096	0.84255	1.08669	1.46371e-05	4.20343e-05	0	6.06143e-05	2.51429e-07	8.34286e-06	1.3e-06
3	4096	0.562775	2.59215	1.46371e-05	4.20343e-05	0	6.06057e-05	2.48571e-07	8.34286e-06	1.45714e-06
3	4096	0.562782	2.75404	1.464e-05	4.20314e-05	0	6.06057e-05	2.48571e-07	8.34286e-06	1.46286e-06
3	4096	0.562835	2.52261	1.46429e-05	4.204e-05	0	6.06086e-05	2.48571e-07	8.34571e-06	1.45429e-06
3	4096	0.562939	2.35995	1.46371e-05	4.20343e-05	0	6.06114e-05	2.48571e-07	8.34286e-06	1.47143e-06
