N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.9872	0	5.57229e-05	0.000153071	0	9.71457e-05	2.51429e-07	3.04686e-05	2.42286e-06	10.47
1	4096	9.98665	0	5.57314e-05	0.000153091	0	9.71657e-05	2.51429e-07	3.05e-05	2.40857e-06	10.40
1	4096	9.98657	0	5.57429e-05	0.000153071	0	9.71571e-05	2.48571e-07	3.04971e-05	2.40857e-06	10.40
1	4096	9.98654	0	5.57343e-05	0.000153074	0	9.71514e-05	2.51429e-07	3.04943e-05	2.41429e-06	10.40
1	4096	9.98649	0	5.57229e-05	0.000153071	0	9.71571e-05	2.51429e-07	3.04943e-05	2.40857e-06	10.41
1	4096	9.98651	0	5.57229e-05	0.000153089	0	9.716e-05	2.51429e-07	3.04971e-05	2.40571e-06	10.41
1	4096	9.98651	0	5.57286e-05	0.000153086	0	9.71514e-05	2.51429e-07	3.04886e-05	2.40857e-06	10.40
1	4096	9.98647	0	5.57286e-05	0.000153071	0	9.71514e-05	2.51429e-07	3.04971e-05	2.40571e-06	10.40
1	4096	9.98722	0	5.57371e-05	0.000153063	0	9.71314e-05	2.51429e-07	3.04771e-05	2.42e-06	10.40
1	4096	9.98641	0	5.572e-05	0.000153026	0	9.70771e-05	2.51429e-07	3.04743e-05	2.41143e-06	10.41
2	4096	5.00542	1.4911	5.58771e-05	0.00015336	0	9.728e-05	2.51429e-07	3.06457e-05	2.77143e-06	5.42
2	4096	5.00551	1.56212	5.58657e-05	0.000153383	0	9.72943e-05	2.51429e-07	3.06714e-05	2.78857e-06	5.43
2	4096	5.00589	1.53846	5.59171e-05	0.00015342	0	9.73314e-05	2.48571e-07	3.07314e-05	2.77143e-06	5.43
2	4096	5.00578	1.53846	5.58857e-05	0.000153377	0	9.73286e-05	2.48571e-07	3.07086e-05	2.78286e-06	5.42
2	4096	5.00528	1.51479	5.58657e-05	0.000153403	0	9.73371e-05	2.51429e-07	3.06486e-05	2.76286e-06	5.43
2	4096	5.00506	1.4437	5.586e-05	0.000153346	0	9.72257e-05	2.51429e-07	3.058e-05	2.75429e-06	5.44
2	4096	5.0056	1.53846	5.58886e-05	0.000153386	0	9.72971e-05	2.51429e-07	3.06714e-05	2.77429e-06	5.43
2	4096	5.00484	1.39624	5.58371e-05	0.000153323	0	9.72171e-05	2.51429e-07	3.05743e-05	2.73714e-06	5.42
2	4096	5.00558	1.51479	5.58743e-05	0.000153397	0	9.72943e-05	2.51429e-07	3.06886e-05	2.77143e-06	5.43
2	4096	5.00606	1.70386	5.59086e-05	0.000153431	0	9.73343e-05	2.48571e-07	3.07286e-05	2.80571e-06	5.43
3	4096	3.34394	3.14495	5.58171e-05	0.000153151	0	9.72657e-05	2.48571e-07	3.05857e-05	3.19143e-06	3.84
3	4096	3.34549	4.58887	5.59343e-05	0.000153451	0	9.73486e-05	2.48571e-07	3.07571e-05	3.51143e-06	3.77
3	4096	3.34502	3.48728	5.58857e-05	0.00015342	0	9.72886e-05	2.48571e-07	3.06714e-05	3.30286e-06	3.77
3	4096	3.34519	3.66886	5.59314e-05	0.000153491	0	9.73429e-05	2.48571e-07	3.07257e-05	3.29143e-06	3.77
3	4096	3.34562	3.7594	5.58514e-05	0.000153637	0	9.72971e-05	2.48571e-07	3.06829e-05	3.29429e-06	3.77
3	4096	3.34431	2.93839	5.58457e-05	0.000153246	0	9.72514e-05	2.48571e-07	3.06457e-05	3.12857e-06	3.77
3	4096	3.34495	3.09912	5.58686e-05	0.000153434	0	9.72543e-05	2.48571e-07	3.06457e-05	3.19143e-06	3.77
3	4096	3.34515	3.12204	5.57857e-05	0.000153591	0	9.72171e-05	2.48571e-07	3.056e-05	3.18571e-06	3.78
3	4096	3.34571	3.6462	5.59057e-05	0.000153591	0	9.73343e-05	2.48571e-07	3.07171e-05	3.28571e-06	3.78
3	4096	3.34537	3.82719	5.58543e-05	0.000153574	0	9.72829e-05	2.48571e-07	3.06086e-05	3.32857e-06	3.78
4	4096	2.5167	6.56934	5.60914e-05	0.000153937	0	9.75686e-05	2.48571e-07	3.08086e-05	4.05714e-06	3.03
4	4096	2.51611	6.41992	5.60571e-05	0.000153917	0	9.75686e-05	2.45714e-07	3.076e-05	4.08e-06	3.02
4	4096	2.516	6.78198	5.61171e-05	0.00015402	0	9.76171e-05	2.51429e-07	3.08057e-05	4.13143e-06	3.02
4	4096	2.51668	6.3129	5.608e-05	0.000153903	0	9.758e-05	2.48571e-07	3.07857e-05	4e-06	3.03
4	4096	2.51674	6.63323	5.61057e-05	0.000153991	0	9.76143e-05	2.48571e-07	3.082e-05	4.07429e-06	3.03
4	4096	2.51639	6.09812	5.606e-05	0.000153903	0	9.75743e-05	2.45714e-07	3.07457e-05	3.95714e-06	3.02
4	4096	2.51613	6.24857	5.60657e-05	0.000153886	0	9.75686e-05	2.48571e-07	3.08029e-05	3.96857e-06	3.03
4	4096	2.51608	6.4413	5.60229e-05	0.000153786	0	9.754e-05	2.51429e-07	3.07771e-05	4.02857e-06	3.02
4	4096	2.51619	6.41992	5.60571e-05	0.000153889	0	9.758e-05	2.48571e-07	3.08e-05	3.99143e-06	3.03
4	4096	2.51626	6.41992	5.60771e-05	0.000153894	0	9.75914e-05	2.48571e-07	3.08371e-05	3.98286e-06	3.03
5	4096	2.02516	12.31	5.64714e-05	0.000154926	0	9.80286e-05	2.42857e-07	3.10886e-05	5.73429e-06	2.63
5	4096	2.02147	9.72008	5.62286e-05	0.000154331	0	9.77057e-05	2.42857e-07	3.08229e-05	5.08e-06	2.63
5	4096	2.0216	10.0768	5.64143e-05	0.000154863	0	9.796e-05	2.42857e-07	3.09171e-05	5.01143e-06	2.64
5	4096	2.02205	10.1951	5.638e-05	0.000154631	0	9.78743e-05	2.42857e-07	3.10429e-05	5.14571e-06	2.63
5	4096	2.0222	9.13931	5.63829e-05	0.00015462	0	9.78771e-05	2.42857e-07	3.10229e-05	4.82571e-06	2.63
5	4096	2.02178	10.3524	5.65086e-05	0.000155023	0	9.80257e-05	2.42857e-07	3.10629e-05	5.18286e-06	2.63
5	4096	2.02215	9.46065	5.63457e-05	0.00015458	0	9.786e-05	2.42857e-07	3.10086e-05	4.91429e-06	2.63
5	4096	2.0231	11.8192	5.65971e-05	0.000155229	0	9.808e-05	2.42857e-07	3.106e-05	5.65143e-06	2.63
5	4096	2.02371	11.1304	5.64286e-05	0.000154894	0	9.79657e-05	2.42857e-07	3.09657e-05	5.32286e-06	2.63
5	4096	2.02259	11.0918	5.65143e-05	0.000155	0	9.79914e-05	2.42857e-07	3.10114e-05	5.4e-06	2.63
6	4096	1.68957	15.0207	5.66914e-05	0.000155543	0	9.82886e-05	2.4e-07	3.11857e-05	6.71143e-06	2.47
6	4096	1.6891	14.9325	5.65771e-05	0.000155203	0	9.81629e-05	2.4e-07	3.11914e-05	6.70857e-06	2.40
6	4096	1.68978	14.13	5.66029e-05	0.000155237	0	9.81371e-05	2.4e-07	3.11371e-05	6.55143e-06	2.40
