N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.21367	0	3.866e-05	3.25229e-05	0	6.45371e-05	4.08571e-07	1.86057e-05	1.16286e-06
1	4096	9.21425	0	3.86629e-05	3.25229e-05	0	6.454e-05	4.08571e-07	1.86086e-05	1.16286e-06
1	4096	9.2137	0	3.86629e-05	3.252e-05	0	6.45371e-05	4.08571e-07	1.86086e-05	1.16286e-06
1	4096	9.21373	0	3.86629e-05	3.25229e-05	0	6.45343e-05	4.08571e-07	1.86057e-05	1.16286e-06
1	4096	9.21375	0	3.866e-05	3.25257e-05	0	6.45343e-05	4.08571e-07	1.86057e-05	1.16286e-06
1	4096	9.21371	0	3.866e-05	3.252e-05	0	6.454e-05	4.08571e-07	1.86057e-05	1.16286e-06
1	4096	9.21328	0	3.866e-05	3.252e-05	0	6.45343e-05	4.08571e-07	1.86057e-05	1.16286e-06
1	4096	9.21332	0	3.86571e-05	3.25171e-05	0	6.454e-05	4.08571e-07	1.86057e-05	1.16286e-06
1	4096	9.21339	0	3.86571e-05	3.25229e-05	0	6.45371e-05	4.08571e-07	1.86057e-05	1.16286e-06
1	4096	9.21282	0	3.86571e-05	3.25171e-05	0	6.45314e-05	4.08571e-07	1.86057e-05	1.16286e-06
2	4096	4.6152	0.0488043	3.866e-05	3.25171e-05	0	6.454e-05	5.34286e-07	1.86057e-05	1.16857e-06
2	4096	4.61474	0.0488043	3.86571e-05	3.25143e-05	0	6.45343e-05	5.31429e-07	1.86e-05	1.16857e-06
2	4096	4.61502	0.0731886	3.86571e-05	3.252e-05	0	6.45343e-05	5.25714e-07	1.86057e-05	1.16857e-06
2	4096	4.61522	0.0488043	3.866e-05	3.252e-05	0	6.45371e-05	5.34286e-07	1.86057e-05	1.16571e-06
2	4096	4.61543	0.0488043	3.86686e-05	3.252e-05	0	6.45371e-05	5.31429e-07	1.86057e-05	1.16857e-06
2	4096	4.61503	0.0488043	3.86571e-05	3.252e-05	0	6.45343e-05	5.34286e-07	1.86057e-05	1.16857e-06
2	4096	4.61451	0.0488043	3.86514e-05	3.25143e-05	0	6.45314e-05	5.34286e-07	1.86e-05	1.16857e-06
2	4096	4.61447	0.0731886	3.86543e-05	3.25171e-05	0	6.45257e-05	5.31429e-07	1.86e-05	1.16857e-06
2	4096	4.6152	0.0488043	3.86629e-05	3.252e-05	0	6.45314e-05	5.25714e-07	1.86057e-05	1.17143e-06
2	4096	4.61518	0.0488043	3.86571e-05	3.252e-05	0	6.454e-05	5.37143e-07	1.86086e-05	1.17143e-06
3	4096	3.08264	0.194932	3.866e-05	3.252e-05	0	6.45371e-05	5e-07	1.86057e-05	1.30857e-06
3	4096	3.08281	0.292113	3.86543e-05	3.25171e-05	0	6.454e-05	5.57143e-07	1.86057e-05	1.37143e-06
3	4096	3.08266	0.219245	3.86571e-05	3.252e-05	0	6.45371e-05	5.05714e-07	1.86057e-05	1.31143e-06
3	4096	3.08268	0.267835	3.86543e-05	3.252e-05	0	6.45371e-05	5.54286e-07	1.86057e-05	1.36857e-06
3	4096	3.08269	0.292113	3.86571e-05	3.25171e-05	0	6.45371e-05	5.57143e-07	1.86029e-05	1.37714e-06
3	4096	3.08258	0.316379	3.86571e-05	3.252e-05	0	6.454e-05	6.25714e-07	1.86057e-05	1.36571e-06
3	4096	3.08328	0.219245	3.86571e-05	3.25171e-05	0	6.45371e-05	6.31429e-07	1.86086e-05	1.31143e-06
3	4096	3.08266	0.194932	3.86543e-05	3.25171e-05	0	6.454e-05	5.02857e-07	1.86086e-05	1.30857e-06
