N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	10.4379	0	0.000121117	0.000122926	0	0.000102437	6.97143e-07	9.94143e-05	2.45429e-06	10.86
1	4096	10.438	0	0.000121106	0.000122937	0	0.000102434	6.97143e-07	9.94257e-05	2.45143e-06	10.85
1	4096	10.438	0	0.000121109	0.000122943	0	0.000102426	6.97143e-07	9.94229e-05	2.45143e-06	10.85
1	4096	10.4379	0	0.000121111	0.000122934	0	0.000102437	6.97143e-07	9.94314e-05	2.45714e-06	10.86
1	4096	10.437	0	0.000121117	0.000122963	0	0.000102346	6.91429e-07	9.95029e-05	2.46e-06	10.86
1	4096	10.4381	0	0.000121106	0.000122954	0	0.000102426	6.97143e-07	9.94257e-05	2.45714e-06	10.85
1	4096	10.438	0	0.000121126	0.000122957	0	0.000102406	6.97143e-07	9.94286e-05	2.45429e-06	10.85
1	4096	10.438	0	0.00012112	0.000122954	0	0.000102406	7e-07	9.94171e-05	2.45714e-06	10.85
1	4096	10.4373	0	0.000121143	0.000123003	0	0.000102523	6.91429e-07	9.93086e-05	2.46e-06	10.84
1	4096	10.4379	0	0.000121111	0.000122957	0	0.000102406	6.94286e-07	9.94686e-05	2.45714e-06	10.85
2	4096	5.23119	0.0488043	0.000121291	0.000123171	0	0.000102706	1.07429e-06	9.94829e-05	2.54571e-06	5.66
2	4096	5.23169	0.0488043	0.000121314	0.0001231	0	0.000102594	1.05429e-06	9.964e-05	2.56286e-06	5.66
2	4096	5.23168	0.0488043	0.0001213	0.000123097	0	0.000102571	1.09429e-06	9.96486e-05	2.56571e-06	5.65
2	4096	5.23101	0.0488043	0.000121274	0.000123157	0	0.000102694	1.08857e-06	9.94457e-05	2.54571e-06	5.66
2	4096	5.2316	0.0244081	0.000121286	0.000123086	0	0.000102603	1.09143e-06	9.96286e-05	2.53714e-06	5.65
2	4096	5.2305	0.0488043	0.000121251	0.000123049	0	0.000102391	1.06286e-06	9.97886e-05	2.56571e-06	5.65
2	4096	5.23124	0.0488043	0.000121254	0.00012308	0	0.000102526	1.08857e-06	9.95543e-05	2.54571e-06	5.65
2	4096	5.23095	0.0488043	0.0001213	0.000123117	0	0.000102657	1.05714e-06	9.94971e-05	2.52857e-06	5.64
2	4096	5.23042	0.0488043	0.00012124	0.000123034	0	0.000102394	1.06286e-06	9.97514e-05	2.57143e-06	5.66
2	4096	5.23027	0.0731886	0.000121266	0.000123046	0	0.000102469	1.04857e-06	9.96571e-05	2.56571e-06	5.65
3	4096	3.49688	0.413324	0.000121397	0.000123194	0	0.000102603	1.32857e-06	9.98286e-05	3.56571e-06	4.00
3	4096	3.49784	0.340633	0.000121483	0.000123254	0	0.000102789	1.39143e-06	9.96857e-05	3.38857e-06	3.92
3	4096	3.49633	0.292113	0.000121406	0.000123211	0	0.000102749	1.25714e-06	9.96314e-05	3.25143e-06	3.93
3	4096	3.49602	0.364875	0.00012144	0.000123269	0	0.000102774	1.49143e-06	9.96857e-05	3.14857e-06	3.93
3	4096	3.49645	0.292113	0.000121409	0.000123254	0	0.000102789	1.22857e-06	9.96343e-05	3.22857e-06	3.93
3	4096	3.49742	0.364875	0.000121471	0.000123271	0	0.00010282	1.36571e-06	9.97143e-05	3.33143e-06	3.92
3	4096	3.49737	0.340633	0.000121454	0.000123263	0	0.00010278	1.37143e-06	9.96714e-05	3.38857e-06	3.93
3	4096	3.4966	0.316379	0.000121443	0.00012324	0	0.00010278	1.26286e-06	9.96686e-05	3.26286e-06	3.92
3	4096	3.49654	0.292113	0.000121417	0.000123226	0	0.000102774	1.27429e-06	9.96514e-05	3.25714e-06	3.92
3	4096	3.49629	0.292113	0.000121414	0.000123131	0	0.000102743	1.22e-06	9.96343e-05	3.25429e-06	3.92
4	4096	2.62975	0.43753	0.000121634	0.000123351	0	0.000102871	1.91429e-06	9.99371e-05	3.76286e-06	3.21
4	4096	2.63069	0.43753	0.000121683	0.000123403	0	0.000102926	2.15143e-06	9.99629e-05	3.7e-06	3.14
4	4096	2.63072	0.485909	0.000121729	0.000123474	0	0.000102963	2.17429e-06	0.000100023	3.56286e-06	3.14
4	4096	2.63071	0.461725	0.000121634	0.00012336	0	0.000102894	2.03429e-06	9.99086e-05	3.67143e-06	3.14
