N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	1.6185	0	1.65257e-05	2.12486e-05	0	6.46171e-05	3.45714e-07	7.68e-06	1.16286e-06
1	4096	1.61853	0	1.65257e-05	2.12457e-05	0	6.462e-05	3.45714e-07	7.68e-06	1.16286e-06
1	4096	1.61847	0	1.65229e-05	2.12486e-05	0	6.46143e-05	3.45714e-07	7.68e-06	1.16286e-06
1	4096	1.61877	0	1.65286e-05	2.12514e-05	0	6.46286e-05	3.42857e-07	7.68286e-06	1.16286e-06
1	4096	1.61853	0	1.65257e-05	2.12486e-05	0	6.46171e-05	3.45714e-07	7.68e-06	1.16286e-06
1	4096	1.61884	0	1.65286e-05	2.12514e-05	0	6.46314e-05	3.45714e-07	7.68286e-06	1.16286e-06
1	4096	1.61872	0	1.65257e-05	2.12514e-05	0	6.46257e-05	3.45714e-07	7.68e-06	1.16286e-06
1	4096	1.61874	0	1.65286e-05	2.12514e-05	0	6.46257e-05	3.45714e-07	7.68e-06	1.16286e-06
1	4096	1.61837	0	1.65229e-05	2.12457e-05	0	6.46143e-05	3.45714e-07	7.68e-06	1.16286e-06
1	4096	1.61852	0	1.65257e-05	2.12457e-05	0	6.46229e-05	3.45714e-07	7.68e-06	1.16286e-06
2	4096	0.810818	0.799225	1.65286e-05	2.12514e-05	0	6.46314e-05	3.54286e-07	7.68e-06	1.23143e-06
2	4096	0.810761	0.70303	1.65257e-05	2.12486e-05	0	6.46286e-05	3.57143e-07	7.68e-06	1.22857e-06
2	4096	0.810788	0.775194	1.65257e-05	2.12514e-05	0	6.46286e-05	3.57143e-07	7.68e-06	1.23143e-06
2	4096	0.810774	0.70303	1.65257e-05	2.12457e-05	0	6.46371e-05	3.57143e-07	7.68286e-06	1.22857e-06
2	4096	0.81059	0.727096	1.65257e-05	2.12429e-05	0	6.46171e-05	3.57143e-07	7.68e-06	1.22857e-06
2	4096	0.810578	0.70303	1.652e-05	2.12429e-05	0	6.46171e-05	3.54286e-07	7.68e-06	1.23429e-06
2	4096	0.81057	0.70303	1.652e-05	2.12429e-05	0	6.46171e-05	3.57143e-07	7.68e-06	1.22571e-06
2	4096	0.810549	0.751151	1.652e-05	2.12457e-05	0	6.46143e-05	3.54286e-07	7.68e-06	1.23143e-06
2	4096	0.81076	0.751151	1.65257e-05	2.12457e-05	0	6.46314e-05	3.57143e-07	7.68286e-06	1.22857e-06
2	4096	0.810651	0.654863	1.65257e-05	2.12457e-05	0	6.462e-05	3.57143e-07	7.68e-06	1.22857e-06
3	4096	0.541735	1.60942	1.65257e-05	2.12457e-05	0	6.462e-05	3.6e-07	7.68286e-06	1.35429e-06
3	4096	0.541789	1.63305	1.65257e-05	2.12486e-05	0	6.46286e-05	3.57143e-07	7.68e-06	1.36571e-06
3	4096	0.54156	1.53846	1.65171e-05	2.12429e-05	0	6.46257e-05	3.54286e-07	7.68286e-06	1.35143e-06
3	4096	0.54176	1.65666	1.65257e-05	2.12457e-05	0	6.46286e-05	3.57143e-07	7.68e-06	1.36857e-06
3	4096	0.541719	1.63305	1.65229e-05	2.12429e-05	0	6.46257e-05	3.6e-07	7.68286e-06	1.36571e-06
3	4096	0.541724	1.63305	1.65229e-05	2.12457e-05	0	6.462e-05	3.57143e-07	7.68e-06	1.35143e-06
3	4096	0.541669	1.60942	1.65257e-05	2.12457e-05	0	6.46229e-05	3.54286e-07	7.68e-06	1.37714e-06
3	4096	0.541781	1.65666	1.65257e-05	2.12457e-05	0	6.46286e-05	3.62857e-07	7.68e-06	1.35429e-06
3	4096	0.54177	1.60942	1.65257e-05	2.12486e-05	0	6.46257e-05	3.54286e-07	7.68571e-06	1.36286e-06
3	4096	0.541695	1.63305	1.65229e-05	2.12429e-05	0	6.46171e-05	3.57143e-07	7.68286e-06	1.35143e-06
4	4096	0.425429	60.0896	1.65257e-05	2.12457e-05	0	6.46343e-05	1.92e-06	7.68286e-06	1.80229e-05
4	4096	0.425254	60.2214	1.65257e-05	2.12457e-05	0	6.46314e-05	1.92857e-06	7.68286e-06	1.78143e-05
4	4096	0.425253	60.2908	1.65171e-05	2.12457e-05	0	6.462e-05	1.89714e-06	7.68e-06	1.79314e-05
4	4096	0.425194	59.9335	1.65257e-05	2.12457e-05	0	6.46343e-05	1.98857e-06	7.68e-06	1.75914e-05
4	4096	0.426277	61.2525	1.65257e-05	2.12457e-05	0	6.46343e-05	1.83143e-06	7.68286e-06	1.89086e-05
4	4096	0.425219	60.2253	1.65257e-05	2.12457e-05	0	6.46229e-05	1.89143e-06	7.68571e-06	1.78686e-05
4	4096	0.425593	60.4289	1.65257e-05	2.12457e-05	0	6.46257e-05	1.89143e-06	7.68e-06	1.81971e-05
4	4096	0.425671	60.3907	1.65257e-05	2.12457e-05	0	6.46343e-05	1.92286e-06	7.68571e-06	1.82343e-05
4	4096	0.424701	59.4817	1.652e-05	2.12457e-05	0	6.46286e-05	1.92e-06	7.68e-06	1.73686e-05
4	4096	0.425587	60.4748	1.65257e-05	2.12457e-05	0	6.46343e-05	1.93429e-06	7.68286e-06	1.8e-05
5	4096	0.371029	77.4201	1.65257e-05	2.12486e-05	0	6.46314e-05	3.20857e-06	7.68571e-06	5.02e-05
5	4096	0.373169	77.9524	1.65257e-05	2.12457e-05	0	6.46314e-05	3.15143e-06	7.68571e-06	5.18343e-05
5	4096	0.37054	77.209	1.652e-05	2.124e-05	0	6.46257e-05	3.24571e-06	7.68286e-06	4.96686e-05
5	4096	0.372113	77.0584	1.652e-05	2.12429e-05	0	6.46229e-05	3.18e-06	7.68e-06	4.92714e-05
5	4096	0.371532	77.5439	1.65257e-05	2.12486e-05	0	6.46286e-05	3.16286e-06	7.68286e-06	5.07657e-05
5	4096	0.370356	77.0686	1.65257e-05	2.12486e-05	0	6.46314e-05	3.22857e-06	7.67714e-06	4.88457e-05
5	4096	0.372064	77.7161	1.652e-05	2.124e-05	0	6.46314e-05	3.21429e-06	7.68286e-06	5.07429e-05
5	4096	0.372351	77.5721	1.65257e-05	2.12457e-05	0	6.46343e-05	3.18286e-06	7.68286e-06	5.02429e-05
5	4096	0.371445	77.1543	1.65257e-05	2.124e-05	0	6.46286e-05	3.21429e-06	7.68e-06	4.92657e-05
5	4096	0.372612	77.5807	1.65229e-05	2.124e-05	0	6.46343e-05	3.18857e-06	7.68857e-06	5.10629e-05
6	4096	0.339147	84.3149	1.65229e-05	2.12429e-05	0	6.46257e-05	4.16857e-06	7.67714e-06	8.97857e-05
6	4096	0.340654	83.9787	1.65229e-05	2.12457e-05	0	6.46257e-05	4.18e-06	7.68286e-06	8.69771e-05
6	4096	0.340891	84.254	1.65229e-05	2.12457e-05	0	6.46229e-05	4.14857e-06	7.68286e-06	8.95114e-05
6	4096	0.339304	84.1682	1.65229e-05	2.12429e-05	0	6.46314e-05	4.20857e-06	7.67429e-06	8.826e-05
6	4096	0.338779	84.469	1.65257e-05	2.12457e-05	0	6.46229e-05	4.20571e-06	7.68e-06	9.09e-05
6	4096	0.339478	84.2213	1.65257e-05	2.12429e-05	0	6.46286e-05	4.18286e-06	7.68e-06	8.934e-05
6	4096	0.337667	84.0075	1.65229e-05	2.12457e-05	0	6.46257e-05	4.24e-06	7.68286e-06	8.702e-05
6	4096	0.338169	83.9076	1.65257e-05	2.12457e-05	0	6.46257e-05	4.21714e-06	7.68286e-06	8.68486e-05
6	4096	0.339133	84.0641	1.65229e-05	2.12457e-05	0	6.46257e-05	4.11143e-06	7.68e-06	8.85886e-05
6	4096	0.339005	83.8084	1.65257e-05	2.12457e-05	0	6.462e-05	4.22e-06	7.68e-06	8.592e-05
7	4096	0.326453	87.8515	1.65143e-05	2.12429e-05	0	6.46343e-05	4.63429e-06	7.67714e-06	0.000136663
7	4096	0.321178	87.9313	1.65143e-05	2.124e-05	0	6.46314e-05	4.73143e-06	7.68286e-06	0.000137449
7	4096	0.323496	88.067	1.65143e-05	2.12457e-05	0	6.464e-05	4.72857e-06	7.68e-06	0.000139749
7	4096	0.324138	87.9544	1.65143e-05	2.12457e-05	0	6.46314e-05	4.68857e-06	7.67714e-06	0.000138551
7	4096	0.327091	88.168	1.65143e-05	2.12457e-05	0	6.46314e-05	4.69714e-06	7.68286e-06	0.000140877
7	4096	0.321996	87.9699	1.65143e-05	2.12457e-05	0	6.46371e-05	4.74857e-06	7.68286e-06	0.000138483
7	4096	0.322296	87.8327	1.65143e-05	2.12429e-05	0	6.46343e-05	4.74e-06	7.68286e-06	0.000136303
7	4096	0.322098	88.0698	1.65143e-05	2.12457e-05	0	6.46286e-05	4.70857e-06	7.68e-06	0.000139526
7	4096	0.327152	88.0447	1.65143e-05	2.124e-05	0	6.46314e-05	4.68571e-06	7.68286e-06	0.000139991
7	4096	0.3218	87.9742	1.65143e-05	2.12429e-05	0	6.46371e-05	4.74571e-06	7.68e-06	0.000138237
8	4096	0.321602	90.4359	1.652e-05	2.12343e-05	0	6.46314e-05	4.79429e-06	7.68e-06	0.000198066
8	4096	0.313981	90.3884	1.65257e-05	2.12343e-05	0	6.46314e-05	4.9e-06	7.68e-06	0.000198374
8	4096	0.317986	90.4884	1.65257e-05	2.12343e-05	0	6.46257e-05	4.85714e-06	7.68e-06	0.000199786
8	4096	0.315417	90.366	1.65229e-05	2.12343e-05	0	6.46257e-05	4.83429e-06	7.68e-06	0.000196497
8	4096	0.316771	90.5003	1.65171e-05	2.12343e-05	0	6.46314e-05	4.79429e-06	7.68e-06	0.00019968
8	4096	0.321782	90.4868	1.65114e-05	2.12343e-05	0	6.46343e-05	4.83429e-06	7.68e-06	0.000200394
8	4096	0.317542	90.4102	1.65229e-05	2.12343e-05	0	6.46314e-05	4.84571e-06	7.68e-06	0.000198097
8	4096	0.317246	90.3809	1.65229e-05	2.12343e-05	0	6.46286e-05	4.86571e-06	7.68286e-06	0.000198017
8	4096	0.319652	90.504	1.65257e-05	2.12343e-05	0	6.46229e-05	4.80571e-06	7.68286e-06	0.000200343
8	4096	0.32012	90.4967	1.65229e-05	2.12343e-05	0	6.46343e-05	4.82571e-06	7.68e-06	0.000199137
9	4096	0.311474	91.8955	1.65229e-05	2.12314e-05	0	6.46343e-05	4.94571e-06	7.68e-06	0.000259146
9	4096	0.317386	91.8522	1.65229e-05	2.12371e-05	0	6.46257e-05	4.90857e-06	7.68571e-06	0.000257789
9	4096	0.31309	91.838	1.65114e-05	2.12371e-05	0	6.46343e-05	4.97143e-06	7.67714e-06	0.000257843
9	4096	0.313446	91.924	1.652e-05	2.12429e-05	0	6.46314e-05	4.94e-06	7.68571e-06	0.00025798
9	4096	0.317244	91.8941	1.65171e-05	2.124e-05	0	6.46286e-05	4.92857e-06	7.68571e-06	0.000261257
9	4096	0.319667	91.8247	1.65171e-05	2.12343e-05	0	6.46314e-05	4.90857e-06	7.69429e-06	0.000260526
9	4096	0.312015	92.0019	1.652e-05	2.12371e-05	0	6.46286e-05	4.97429e-06	7.68e-06	0.000263743
9	4096	0.312591	91.9318	1.65257e-05	2.12457e-05	0	6.46171e-05	4.94571e-06	7.68286e-06	0.000261529
9	4096	0.316879	91.8565	1.652e-05	2.12429e-05	0	6.46257e-05	4.97429e-06	7.67714e-06	0.000259066
9	4096	0.314378	91.9434	1.65171e-05	2.12371e-05	0	6.46343e-05	4.91714e-06	7.68e-06	0.000260331
10	4096	0.312395	93.0385	1.652e-05	2.12343e-05	0	6.46314e-05	4.95143e-06	7.67429e-06	0.000327997
10	4096	0.317162	92.7781	1.65257e-05	2.12371e-05	0	6.46343e-05	4.95714e-06	7.68e-06	0.000317626
10	4096	0.316193	93.0533	1.65229e-05	2.12343e-05	0	6.46343e-05	4.94857e-06	7.68286e-06	0.000330846
10	4096	0.314683	93.0414	1.65143e-05	2.12343e-05	0	6.464e-05	4.96e-06	7.68571e-06	0.000327923
10	4096	0.312034	92.9429	1.652e-05	2.12343e-05	0	6.46343e-05	5.00857e-06	7.67714e-06	0.000323691
10	4096	0.316051	92.9589	1.65171e-05	2.12343e-05	0	6.464e-05	4.95714e-06	7.68e-06	0.000325537
10	4096	0.317182	92.9564	1.652e-05	2.12343e-05	0	6.46371e-05	4.96286e-06	7.68571e-06	0.000325351
10	4096	0.313458	92.9385	1.65171e-05	2.12371e-05	0	6.46343e-05	4.98857e-06	7.67714e-06	0.000322746
10	4096	0.310686	92.9262	1.652e-05	2.12343e-05	0	6.46343e-05	5.01714e-06	7.68571e-06	0.000324689
10	4096	0.314571	92.952	1.65143e-05	2.12343e-05	0	6.464e-05	4.97143e-06	7.68e-06	0.000324923
11	4096	0.315214	93.6292	1.65171e-05	2.12371e-05	0	6.46286e-05	4.98857e-06	7.67714e-06	0.000379663
11	4096	0.312614	93.6171	1.65171e-05	2.12371e-05	0	6.46314e-05	4.98286e-06	7.68571e-06	0.000386611
11	4096	0.312069	93.6934	1.65171e-05	2.12371e-05	0	6.46286e-05	4.96e-06	7.68e-06	0.000386626
11	4096	0.311184	93.6507	1.65171e-05	2.12371e-05	0	6.46286e-05	5.04286e-06	7.67714e-06	0.000381663
11	4096	0.310296	93.6649	1.65171e-05	2.12371e-05	0	6.46286e-05	4.96571e-06	7.68286e-06	0.000384074
11	4096	0.315387	93.7397	1.65171e-05	2.12343e-05	0	6.46314e-05	4.99714e-06	7.68286e-06	0.000390834
11	4096	0.313085	93.5486	1.65171e-05	2.12371e-05	0	6.46286e-05	4.93143e-06	7.67429e-06	0.00038376
11	4096	0.312255	93.6903	1.65171e-05	2.12371e-05	0	6.46314e-05	4.96e-06	7.68e-06	0.000388389
11	4096	0.314477	93.6464	1.65171e-05	2.12371e-05	0	6.46314e-05	4.96571e-06	7.68286e-06	0.000383423
11	4096	0.31738	93.6625	1.65171e-05	2.12343e-05	0	6.46314e-05	4.92e-06	7.68571e-06	0.000385031
12	4096	0.337692	94.2474	1.78029e-05	2.28943e-05	0	6.96771e-05	5.37714e-06	8.27714e-06	0.0004888
12	4096	0.335778	94.298	1.78429e-05	2.29571e-05	0	6.98771e-05	5.41143e-06	8.30286e-06	0.000492826
12	4096	0.33626	94.3316	1.786e-05	2.29743e-05	0	6.99057e-05	5.47429e-06	8.31714e-06	0.000491831
12	4096	0.333298	94.2499	1.78543e-05	2.296e-05	0	6.98771e-05	5.40571e-06	8.30571e-06	0.000488191
12	4096	0.337263	94.3484	1.78886e-05	2.30029e-05	0	7.00314e-05	5.41429e-06	8.33143e-06	0.000500031
12	4096	0.335118	94.3277	1.786e-05	2.29714e-05	0	6.99e-05	5.42286e-06	8.31429e-06	0.000498111
12	4096	0.332957	94.1921	1.78057e-05	2.29057e-05	0	6.97314e-05	5.43429e-06	8.28857e-06	0.000482471
12	4096	0.335287	94.1713	1.77686e-05	2.28429e-05	0	6.956e-05	5.36857e-06	8.26857e-06	0.000481669
12	4096	0.333918	94.2137	1.78571e-05	2.29657e-05	0	6.99029e-05	5.39714e-06	8.30286e-06	0.000488623
12	4096	0.341192	94.2574	1.78257e-05	2.29314e-05	0	6.98e-05	5.33143e-06	8.29429e-06	0.0004922
