N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.91576	0	6.58229e-05	0.000111311	0	0.000103234	6.17143e-07	3.81829e-05	2.45429e-06	10.41
1	4096	9.91513	0	6.57543e-05	0.000111137	0	0.000103309	6.2e-07	3.82714e-05	2.44857e-06	10.33
1	4096	9.91556	0	6.57914e-05	0.00011124	0	0.000103214	6.17143e-07	3.82543e-05	2.44857e-06	10.33
1	4096	9.91572	0	6.578e-05	0.000111197	0	0.000103317	6.17143e-07	3.82571e-05	2.45143e-06	10.33
1	4096	9.91567	0	6.57657e-05	0.000111194	0	0.000103317	6.2e-07	3.82514e-05	2.45143e-06	10.33
1	4096	9.91543	0	6.57914e-05	0.000111223	0	0.000103211	6.17143e-07	3.826e-05	2.45143e-06	10.33
1	4096	9.91538	0	6.57914e-05	0.000111223	0	0.000103206	6.17143e-07	3.82686e-05	2.44857e-06	10.34
1	4096	9.91555	0	6.57829e-05	0.000111229	0	0.000103237	6.17143e-07	3.826e-05	2.44571e-06	10.33
1	4096	9.91561	0	6.57943e-05	0.000111246	0	0.000103229	6.17143e-07	3.82514e-05	2.44857e-06	10.34
1	4096	9.91347	0	6.58914e-05	0.000111117	0	0.000102943	6.11429e-07	3.83543e-05	2.44571e-06	10.33
2	4096	4.9687	0.0244081	6.58743e-05	0.000111374	0	0.00010336	8.34286e-07	3.83486e-05	2.46857e-06	5.46
2	4096	4.96887	0	6.58743e-05	0.00011138	0	0.000103383	8.37143e-07	3.838e-05	2.46571e-06	5.39
2	4096	4.96917	0.0244081	6.58914e-05	0.000111377	0	0.00010348	8.37143e-07	3.84286e-05	2.47714e-06	5.39
2	4096	4.9688	0.0244081	6.58857e-05	0.000111389	0	0.000103357	8.42857e-07	3.83571e-05	2.46571e-06	5.39
2	4096	4.96865	0.0244081	6.58571e-05	0.000111311	0	0.000103457	8.37143e-07	3.83829e-05	2.46571e-06	5.41
2	4096	4.96777	0	6.598e-05	0.000111257	0	0.000103086	8.34286e-07	3.84543e-05	2.46e-06	5.39
2	4096	4.96886	0.0244081	6.58571e-05	0.000111357	0	0.000103449	8.34286e-07	3.83629e-05	2.47143e-06	5.40
2	4096	4.96919	0.0488043	6.58886e-05	0.000111366	0	0.0001035	8.57143e-07	3.83971e-05	2.48e-06	5.40
2	4096	4.96888	0.0244081	6.58686e-05	0.000111334	0	0.000103454	8.48571e-07	3.83743e-05	2.46857e-06	5.40
2	4096	4.96893	0	6.58943e-05	0.000111386	0	0.000103369	8.28571e-07	3.83943e-05	2.46857e-06	5.40
3	4096	3.32043	2.47619	6.582e-05	0.000111451	0	0.000103511	9.14286e-07	3.83086e-05	3.1e-06	3.82
3	4096	3.32143	2.33667	6.594e-05	0.000111469	0	0.00010356	9.48571e-07	3.84829e-05	3.05143e-06	3.76
3	4096	3.32041	2.10325	6.59343e-05	0.000111486	0	0.000103411	9.91429e-07	3.84029e-05	2.97143e-06	3.75
3	4096	3.32028	2.00957	6.586e-05	0.000111366	0	0.00010344	9e-07	3.834e-05	2.96e-06	3.75
3	4096	3.32038	2.24344	6.60057e-05	0.000111397	0	0.000103266	9.74286e-07	3.85086e-05	3.01143e-06	3.75
3	4096	3.32053	2.2201	6.59743e-05	0.000111563	0	0.000103426	9.94286e-07	3.83543e-05	3.01714e-06	3.74
3	4096	3.31973	1.13444	6.58914e-05	0.000111377	0	0.000103343	9.11429e-07	3.82943e-05	2.75429e-06	3.75
3	4096	3.32027	2.17339	6.60343e-05	0.000111337	0	0.000103186	9.05714e-07	3.85057e-05	2.99714e-06	3.74
3	4096	3.32006	1.91571	6.59229e-05	0.000111429	0	0.000103411	8.94286e-07	3.83143e-05	2.94e-06	3.75
3	4096	3.32067	2.45296	6.60029e-05	0.000111443	0	0.000103306	9.22857e-07	3.85114e-05	3.09429e-06	3.75
4	4096	2.49684	2.15002	6.60086e-05	0.00011158	0	0.000103629	1.13143e-06	3.85514e-05	3.05429e-06	3.07
4	4096	2.49653	2.19675	6.592e-05	0.000111643	0	0.000103637	1.12286e-06	3.84057e-05	3.07143e-06	3.00
4	4096	2.49689	2.2201	6.60257e-05	0.000111829	0	0.000103746	1.39714e-06	3.85029e-05	3.06571e-06	3.00
4	4096	2.49679	2.24344	6.59514e-05	0.000111689	0	0.000103674	1.11429e-06	3.84829e-05	3.08857e-06	3.01
4	4096	2.49665	2.17339	6.59486e-05	0.000111643	0	0.000103631	1.16286e-06	3.84314e-05	3.06857e-06	3.02
4	4096	2.49678	2.29008	6.59486e-05	0.000111666	0	0.000103669	1.12286e-06	3.84514e-05	3.12286e-06	3.00
4	4096	2.49673	2.19675	6.59429e-05	0.000111714	0	0.000103669	1.21714e-06	3.84257e-05	3.05143e-06	3.01
4	4096	2.49681	2.17339	6.59457e-05	0.00011166	0	0.000103677	1.14e-06	3.84686e-05	3.06571e-06	3.01
4	4096	2.49665	2.15002	6.594e-05	0.000111637	0	0.000103666	1.14857e-06	3.84286e-05	3.05429e-06	3.01
4	4096	2.49682	2.26676	6.594e-05	0.000111726	0	0.000103654	1.18286e-06	3.84371e-05	3.08e-06	3.01
5	4096	2.0062	3.96249	6.62e-05	0.00011202	0	0.000103866	1.57429e-06	3.86829e-05	3.53714e-06	2.62
5	4096	2.00627	4.14229	6.62457e-05	0.000112063	0	0.000103857	1.75429e-06	3.86857e-05	3.59429e-06	2.61
5	4096	2.00608	4.05247	6.62057e-05	0.000112023	0	0.000103874	1.58286e-06	3.86857e-05	3.55714e-06	2.61
