N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.0089	0	1.46371e-05	2.26657e-05	0	6.17086e-05	3.45714e-07	5.32e-06	1.16286e-06
1	4096	9.00705	0	1.46343e-05	2.26629e-05	0	6.16943e-05	3.45714e-07	5.32e-06	1.16571e-06
1	4096	9.00842	0	1.464e-05	2.26657e-05	0	6.17029e-05	3.45714e-07	5.32e-06	1.16286e-06
1	4096	9.00835	0	1.46371e-05	2.26657e-05	0	6.17e-05	3.45714e-07	5.32e-06	1.16286e-06
1	4096	9.00827	0	1.464e-05	2.26657e-05	0	6.17e-05	3.42857e-07	5.32286e-06	1.16286e-06
1	4096	9.00914	0	1.464e-05	2.26686e-05	0	6.17086e-05	3.45714e-07	5.32e-06	1.16286e-06
1	4096	9.00845	0	1.46371e-05	2.26686e-05	0	6.17029e-05	3.45714e-07	5.32e-06	1.16286e-06
1	4096	9.00847	0	1.46371e-05	2.26657e-05	0	6.17029e-05	3.45714e-07	5.32e-06	1.16286e-06
1	4096	9.00834	0	1.46371e-05	2.26657e-05	0	6.17e-05	3.45714e-07	5.32e-06	1.16286e-06
1	4096	9.00825	0	1.46371e-05	2.26657e-05	0	6.17e-05	3.45714e-07	5.32e-06	1.16286e-06
2	4096	4.51247	0.14627	1.46371e-05	2.26657e-05	0	6.17e-05	4.42857e-07	5.32286e-06	1.16857e-06
2	4096	4.51245	0.170607	1.46343e-05	2.26629e-05	0	6.17057e-05	4.51429e-07	5.32e-06	1.16857e-06
2	4096	4.51246	0.097561	1.46343e-05	2.26629e-05	0	6.17057e-05	4.48571e-07	5.32e-06	1.16571e-06
2	4096	4.51245	0.14627	1.46371e-05	2.26657e-05	0	6.17e-05	4.51429e-07	5.32e-06	1.16571e-06
2	4096	4.51244	0.121921	1.46343e-05	2.26657e-05	0	6.17029e-05	4.51429e-07	5.31714e-06	1.16571e-06
2	4096	4.51244	0.14627	1.46343e-05	2.26629e-05	0	6.17057e-05	4.48571e-07	5.32e-06	1.16857e-06
2	4096	4.51224	0.170607	1.46343e-05	2.26629e-05	0	6.17e-05	4.51429e-07	5.32e-06	1.16857e-06
2	4096	4.51214	0.097561	1.46343e-05	2.26629e-05	0	6.17e-05	4.48571e-07	5.32e-06	1.16571e-06
2	4096	4.51264	0.170607	1.46343e-05	2.26657e-05	0	6.17086e-05	4.48571e-07	5.32e-06	1.16857e-06
2	4096	4.51266	0.14627	1.46371e-05	2.26657e-05	0	6.17057e-05	4.4e-07	5.32286e-06	1.16571e-06
3	4096	3.01375	1.0628	1.46343e-05	2.266e-05	0	6.16971e-05	4.77143e-07	5.32e-06	1.28286e-06
3	4096	3.01431	0.895233	1.46343e-05	2.26657e-05	0	6.17114e-05	4.34286e-07	5.32e-06	1.27143e-06
3	4096	3.01419	1.08669	1.46343e-05	2.266e-05	0	6.17143e-05	4.94286e-07	5.32e-06	1.28571e-06
3	4096	3.01421	1.08669	1.46343e-05	2.26657e-05	0	6.17086e-05	4.97143e-07	5.32e-06	1.28571e-06
3	4096	3.01439	1.11057	1.46343e-05	2.26657e-05	0	6.17143e-05	4.88571e-07	5.32e-06	1.28571e-06
3	4096	3.0143	0.895233	1.46371e-05	2.266e-05	0	6.17114e-05	4.34286e-07	5.32286e-06	1.27143e-06
3	4096	3.0135	1.11057	1.46314e-05	2.266e-05	0	6.16914e-05	4.82857e-07	5.32e-06	1.28857e-06
3	4096	3.01406	0.871249	1.46371e-05	2.266e-05	0	6.17029e-05	4.22857e-07	5.32286e-06	1.27143e-06
3	4096	3.01422	0.871249	1.46371e-05	2.26657e-05	0	6.17029e-05	4.25714e-07	5.32e-06	1.27143e-06
3	4096	3.01432	1.08669	1.46371e-05	2.26657e-05	0	6.17114e-05	4.74286e-07	5.32e-06	1.28286e-06
4	4096	2.26548	1.91571	1.46314e-05	2.26629e-05	0	6.17114e-05	6.25714e-07	5.31714e-06	1.35429e-06
4	4096	2.26508	1.98612	1.46286e-05	2.26629e-05	0	6.16943e-05	6.02857e-07	5.31714e-06	1.36286e-06
4	4096	2.2655	2.24344	1.46314e-05	2.26629e-05	0	6.17114e-05	6e-07	5.31714e-06	1.38286e-06
4	4096	2.26513	2.10325	1.46286e-05	2.266e-05	0	6.17e-05	6.08571e-07	5.31429e-06	1.36286e-06
4	4096	2.2655	1.72745	1.46314e-05	2.26629e-05	0	6.17086e-05	6.62857e-07	5.31714e-06	1.33143e-06
4	4096	2.26545	1.91571	1.464e-05	2.26629e-05	0	6.17e-05	6.05714e-07	5.32e-06	1.36286e-06
4	4096	2.26539	1.91571	1.46314e-05	2.26629e-05	0	6.17057e-05	6.08571e-07	5.32e-06	1.36286e-06
4	4096	2.26562	1.89222	1.46343e-05	2.26629e-05	0	6.17114e-05	6.14286e-07	5.32e-06	1.34857e-06
4	4096	2.26498	1.91571	1.46314e-05	2.26629e-05	0	6.17114e-05	6.6e-07	5.31714e-06	1.34e-06
4	4096	2.26559	1.77458	1.46314e-05	2.26629e-05	0	6.17143e-05	6.57143e-07	5.32e-06	1.34571e-06
5	4096	1.81785	2.33667	1.46314e-05	2.26629e-05	0	6.17029e-05	7.54286e-07	5.32286e-06	1.41714e-06
5	4096	1.81769	2.35995	1.46314e-05	2.266e-05	0	6.16943e-05	7.4e-07	5.32e-06	1.40857e-06
5	4096	1.81786	2.35995	1.46314e-05	2.26629e-05	0	6.17e-05	7.45714e-07	5.32286e-06	1.42e-06
5	4096	1.81764	2.40648	1.46314e-05	2.266e-05	0	6.16943e-05	7.6e-07	5.32e-06	1.42e-06
5	4096	1.81803	2.33667	1.46343e-05	2.26629e-05	0	6.17057e-05	7.37143e-07	5.32e-06	1.4e-06
5	4096	1.81771	2.5458	1.46314e-05	2.266e-05	0	6.17029e-05	7.28571e-07	5.31714e-06	1.42857e-06
5	4096	1.81793	2.40648	1.46314e-05	2.26629e-05	0	6.17086e-05	7.4e-07	5.32286e-06	1.41429e-06
5	4096	1.81808	2.47619	1.46314e-05	2.26629e-05	0	6.17171e-05	7.4e-07	5.32286e-06	1.42286e-06
5	4096	1.81785	2.35995	1.46314e-05	2.26629e-05	0	6.17029e-05	7.57143e-07	5.32e-06	1.41429e-06
5	4096	1.81728	2.31338	1.46286e-05	2.26486e-05	0	6.16886e-05	7.54286e-07	5.32286e-06	1.40286e-06
6	4096	1.51612	3.60085	1.462e-05	2.26343e-05	0	6.16629e-05	9.11429e-07	5.31714e-06	1.59714e-06
6	4096	1.51647	4.18713	1.462e-05	2.26371e-05	0	6.16543e-05	8.68571e-07	5.32e-06	1.65429e-06
6	4096	1.5161	3.57815	1.462e-05	2.26371e-05	0	6.16543e-05	9.25714e-07	5.31714e-06	1.59429e-06
6	4096	1.51605	4.45533	1.46171e-05	2.26371e-05	0	6.16629e-05	8.4e-07	5.31429e-06	1.69143e-06
6	4096	1.51628	4.67768	1.462e-05	2.26371e-05	0	6.16657e-05	8.57143e-07	5.31714e-06	1.71143e-06
