N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.80032	0	6.16771e-05	0.000106089	0	0.00010038	7.05714e-07	2.24886e-05	2.44571e-06	10.29
1	4096	9.8055	0	6.19286e-05	0.0001067	0	0.000100526	6.77143e-07	2.24657e-05	2.45143e-06	10.22
1	4096	9.80544	0	6.19229e-05	0.000106683	0	0.000100529	6.8e-07	2.246e-05	2.44857e-06	10.23
1	4096	9.80858	0	6.20657e-05	0.000106931	0	0.000100651	6.65714e-07	2.24914e-05	2.44571e-06	10.22
1	4096	9.80833	0	6.22457e-05	0.00010708	0	0.000100623	6.51429e-07	2.24914e-05	2.45714e-06	10.23
1	4096	9.80704	0	6.20086e-05	0.000106883	0	0.000100583	6.68571e-07	2.24686e-05	2.44857e-06	10.22
1	4096	9.80679	0	6.20371e-05	0.000106926	0	0.000100569	6.65714e-07	2.24714e-05	2.45429e-06	10.23
1	4096	9.80723	0	6.20714e-05	0.000106986	0	0.000100566	6.65714e-07	2.24714e-05	2.45714e-06	10.22
1	4096	9.80748	0	6.21029e-05	0.00010702	0	0.000100563	6.62857e-07	2.24743e-05	2.46e-06	10.22
1	4096	9.80766	0	6.21057e-05	0.000107046	0	0.000100577	6.62857e-07	2.24743e-05	2.45429e-06	10.22
2	4096	4.91474	0.0244081	6.23229e-05	0.000107191	0	0.000100709	8.6e-07	2.25571e-05	2.47429e-06	5.40
2	4096	4.91502	0.0244081	6.23714e-05	0.000107223	0	0.000100723	8.65714e-07	2.25743e-05	2.47429e-06	5.34
2	4096	4.91501	0.0488043	6.23714e-05	0.000107229	0	0.000100734	8.54286e-07	2.25714e-05	2.47429e-06	5.34
2	4096	4.91497	0.0244081	6.238e-05	0.000107231	0	0.000100717	8.57143e-07	2.256e-05	2.47143e-06	5.35
2	4096	4.91443	0.0244081	6.218e-05	0.000107143	0	0.000100674	8.74286e-07	2.25314e-05	2.47143e-06	5.34
2	4096	4.91509	0.0244081	6.23771e-05	0.000107237	0	0.000100737	8.57143e-07	2.25829e-05	2.47714e-06	5.34
2	4096	4.91503	0.0244081	6.23771e-05	0.000107226	0	0.000100734	8.57143e-07	2.25686e-05	2.47143e-06	5.35
2	4096	4.91517	0.0244081	6.23829e-05	0.000107234	0	0.000100737	8.57143e-07	2.25971e-05	2.47714e-06	5.34
2	4096	4.91464	0	6.23057e-05	0.00010718	0	0.0001007	8.62857e-07	2.25457e-05	2.46857e-06	5.33
2	4096	4.9142	0.0731886	6.21514e-05	0.0001071	0	0.000100654	8.74286e-07	2.25314e-05	2.47429e-06	5.35
3	4096	3.28303	2.26676	6.18886e-05	0.000106503	0	0.000100571	9.97143e-07	2.254e-05	3.02857e-06	3.78
3	4096	3.28437	2.29008	6.21971e-05	0.000107166	0	0.000100726	9.62857e-07	2.25657e-05	3.04286e-06	3.72
3	4096	3.28473	2.15002	6.24e-05	0.0001073	0	0.000100754	9.31429e-07	2.25829e-05	3e-06	3.72
3	4096	3.28461	2.05643	6.242e-05	0.000107349	0	0.000100811	1.00857e-06	2.26171e-05	2.96571e-06	3.71
3	4096	3.28472	2.17339	6.24029e-05	0.000107277	0	0.000100766	9.45714e-07	2.25857e-05	3.00571e-06	3.72
3	4096	3.28278	2.12664	6.19371e-05	0.000106583	0	0.000100623	1.05143e-06	2.25686e-05	2.98571e-06	3.71
3	4096	3.28291	2.2201	6.18943e-05	0.000106451	0	0.00010058	9.74286e-07	2.25514e-05	3.01429e-06	3.71
3	4096	3.28455	2.15002	6.23314e-05	0.000107229	0	0.000100763	9.65714e-07	2.258e-05	3e-06	3.72
3	4096	3.28432	2.05643	6.23429e-05	0.00010726	0	0.000100786	1.01714e-06	2.25857e-05	2.95714e-06	3.72
3	4096	3.28463	2.24344	6.23371e-05	0.00010724	0	0.000100763	9.62857e-07	2.25743e-05	3.02857e-06	3.71
4	4096	2.4694	2.00957	6.24514e-05	0.000107431	0	0.000100923	1.27143e-06	2.26514e-05	3.01429e-06	2.98
4	4096	2.46942	2.10325	6.24657e-05	0.00010744	0	0.00010092	1.23714e-06	2.26714e-05	3.03429e-06	2.98
4	4096	2.46988	2.07985	6.25343e-05	0.000107551	0	0.000100983	1.45429e-06	2.26971e-05	3.04286e-06	2.98
4	4096	2.46975	2.07985	6.246e-05	0.000107466	0	0.000100897	1.22857e-06	2.26314e-05	3.00286e-06	2.98
4	4096	2.46955	2.00957	6.22771e-05	0.000107311	0	0.000100789	1.22857e-06	2.26314e-05	3.00857e-06	2.98
4	4096	2.46954	2.31338	6.23429e-05	0.000107426	0	0.000100846	1.42286e-06	2.26514e-05	3.07714e-06	2.97
4	4096	2.47004	2.52261	6.23486e-05	0.000107449	0	0.000100846	1.38e-06	2.26143e-05	3.11429e-06	2.99
