N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	1.94367	0	8.26114e-05	3.04829e-05	0	0.00996966	0	1.43e-05	1.02286e-06	2.01
1	192	1.94379	0	8.24343e-05	3.03743e-05	0	0.00997056	0	1.43029e-05	1.01714e-06	2.01
1	192	1.94389	0	8.24286e-05	3.04171e-05	0	0.00997104	0	1.43229e-05	1.02e-06	2.01
1	192	1.94394	0	8.24143e-05	3.03971e-05	0	0.00997133	0	1.43057e-05	1.01714e-06	2.01
1	192	1.94376	0	8.24143e-05	3.03486e-05	0	0.00997047	0	1.43e-05	1.03143e-06	2.01
1	192	1.9435	0	8.24257e-05	3.03743e-05	0	0.00996913	0	1.432e-05	1.02e-06	2.01
1	192	1.94349	0	8.24314e-05	3.03943e-05	0	0.00996901	0	1.43057e-05	1.02857e-06	2.01
1	192	1.94365	0	8.24743e-05	3.03829e-05	0	0.00996975	0	1.432e-05	1.02857e-06	2.01
1	192	1.94348	0	8.24771e-05	3.04229e-05	0	0.00996887	0	1.43171e-05	1.02e-06	2.01
1	192	1.94352	0	8.238e-05	3.04e-05	0	0.00996919	0	1.43114e-05	1.03429e-06	2.01
2	192	1.34001	5.88235	8.646e-05	3.23829e-05	1.41714e-06	0.0113087	0	1.51714e-05	0.00246724	1.40
2	192	1.33683	5.88235	8.55686e-05	3.23057e-05	7.08571e-07	0.0113117	0	1.51829e-05	0.00242831	1.40
2	192	1.33683	5.41872	8.56629e-05	3.22457e-05	6.8e-07	0.0113114	0	1.51914e-05	0.00242792	1.40
2	192	1.33682	5.41872	8.55486e-05	3.22971e-05	7.85714e-07	0.0113113	0	1.51686e-05	0.00242847	1.40
2	192	1.33676	5.41872	8.55743e-05	3.23229e-05	7.08571e-07	0.0113108	0	1.518e-05	0.00242839	1.41
2	192	1.33994	5.88235	8.63886e-05	3.23371e-05	1.62286e-06	0.0113081	0	1.51857e-05	0.00246713	1.40
2	192	1.33996	5.88235	8.64086e-05	3.24286e-05	1.44e-06	0.0113085	0	1.51714e-05	0.00246732	1.41
2	192	1.34	5.88235	8.64657e-05	3.23886e-05	1.34857e-06	0.0113088	0	1.51571e-05	0.00246743	1.41
2	192	1.33995	5.88235	8.63914e-05	3.24e-05	1.39429e-06	0.0113083	0	1.52086e-05	0.00246749	1.41
2	192	1.33986	5.88235	8.63743e-05	3.23543e-05	1.55429e-06	0.0113083	0	1.51743e-05	0.00246671	1.41
3	192	1.09124	10.6977	8.00286e-05	3.22943e-05	5.11429e-07	0.0115615	0	1.56029e-05	0.00527659	1.16
3	192	1.09097	10.6977	8.002e-05	3.22371e-05	6.37143e-07	0.0115598	0	1.56257e-05	0.00527517	1.16
3	192	1.09105	10.6977	7.99429e-05	3.23829e-05	6.48571e-07	0.011559	0	1.55714e-05	0.00527549	1.16
3	192	1.09087	10.6977	8.01086e-05	3.22686e-05	6.6e-07	0.011559	0	1.55886e-05	0.00527368	1.16
3	192	1.09114	10.6977	8.004e-05	3.22943e-05	5.94286e-07	0.0115604	0	1.56143e-05	0.00527576	1.16
3	192	1.09125	11.1111	8.00629e-05	3.22914e-05	6.08571e-07	0.0115613	0	1.56057e-05	0.00527636	1.15
