N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.296537	0	2.32543e-05	1.25314e-05	0	0.00146261	1.62857e-07	2.63686e-05	2.4e-06	0.70
1	192	0.296505	0	2.32543e-05	1.25429e-05	0	0.00146247	1.62857e-07	2.632e-05	2.43714e-06	0.69
1	192	0.296439	0	2.31943e-05	1.25457e-05	0	0.00146214	1.6e-07	2.63657e-05	2.43143e-06	0.69
1	192	0.296532	0	2.32714e-05	1.25343e-05	0	0.00146258	1.62857e-07	2.63543e-05	2.4e-06	0.69
1	192	0.296513	0	2.324e-05	1.25571e-05	0	0.00146246	1.62857e-07	2.63771e-05	2.40857e-06	0.68
1	192	0.296421	0	2.32571e-05	1.25286e-05	0	0.00146199	1.62857e-07	2.63629e-05	2.42e-06	0.69
1	192	0.296467	0	2.32086e-05	1.25457e-05	0	0.00146229	1.65714e-07	2.63486e-05	2.42e-06	0.69
1	192	0.296476	0	2.326e-05	1.25571e-05	0	0.00146225	1.62857e-07	2.63857e-05	2.4e-06	0.68
1	192	0.296505	0	2.32457e-05	1.25143e-05	0	0.00146244	1.62857e-07	2.63886e-05	2.40286e-06	0.68
1	192	0.296505	0	2.32571e-05	1.25429e-05	0	0.00146243	1.62857e-07	2.63657e-05	2.40571e-06	0.68
2	192	0.161193	9.43396	2.496e-05	1.34486e-05	0	0.00136664	1.62857e-07	2.83771e-05	0.000215069	0.65
2	192	0.162005	17.5966	2.48829e-05	1.34543e-05	0	0.00136668	1.6e-07	2.83486e-05	0.000223583	0.54
2	192	0.162223	19.6653	2.48343e-05	1.34514e-05	0	0.0013669	1.6e-07	2.83543e-05	0.000225743	0.56
2	192	0.16141	11.1111	2.49257e-05	1.34457e-05	0	0.00136711	1.62857e-07	2.842e-05	0.000216829	0.55
2	192	0.162288	20.332	2.48314e-05	1.34543e-05	0	0.00136675	1.62857e-07	2.836e-05	0.000226577	0.56
2	192	0.161487	12.3288	2.49114e-05	1.34429e-05	0	0.00136691	1.62857e-07	2.83971e-05	0.000217926	0.56
2	192	0.162279	20.332	2.48457e-05	1.34314e-05	0	0.00136664	1.62857e-07	2.83543e-05	0.000226589	0.56
2	192	0.161903	16.8831	2.48857e-05	1.34686e-05	0	0.00136651	1.6e-07	2.84343e-05	0.000222617	0.56
2	192	0.162057	17.9487	2.48914e-05	1.34571e-05	0	0.00136677	1.62857e-07	2.83514e-05	0.000224	0.56
2	192	0.161494	12.7273	2.488e-05	1.344e-05	0	0.00136687	1.65714e-07	2.83686e-05	0.000218106	0.57
3	192	0.128866	36.2126	2.80714e-05	1.53771e-05	0	0.00138536	1.54286e-07	3.15943e-05	0.000504094	0.63
3	192	0.155631	24.7059	3.10229e-05	1.83771e-05	0	0.00158186	1.62857e-07	3.51314e-05	0.00069682	0.57
3	192	0.156608	37.8641	2.78057e-05	1.50914e-05	0	0.00155432	1.62857e-07	3.13971e-05	0.000750766	0.57
3	192	0.154396	20	2.77257e-05	1.50943e-05	0	0.00155378	1.62857e-07	3.14571e-05	0.000719423	0.56
3	192	0.154841	24.7059	2.76743e-05	1.50943e-05	0	0.00155325	1.62857e-07	3.14029e-05	0.000725457	0.55
3	192	0.128373	32.6316	2.80743e-05	1.53314e-05	0	0.00138513	1.6e-07	3.16457e-05	0.000498097	0.53
3	192	0.155302	30.4348	2.76514e-05	1.50743e-05	0	0.00155358	1.62857e-07	3.14143e-05	0.000734831	0.56
3	192	0.16409	18.9873	2.91943e-05	1.64657e-05	0	0.00154373	1.6e-07	3.30657e-05	0.000878074	0.56
3	192	0.12864	31.4286	2.80457e-05	1.53743e-05	0	0.00139274	1.6e-07	3.15743e-05	0.000495209	0.53
3	192	0.127471	25.8687	2.81457e-05	1.52971e-05	0	0.00138528	1.57143e-07	3.16343e-05	0.000484946	0.53
4	192	0.130201	56.1644	3.37629e-05	1.90114e-05	0	0.00142578	1.6e-07	3.85714e-05	0.00113817	0.63
4	192	0.124101	43.0267	3.19629e-05	1.72429e-05	0	0.00149729	1.54286e-07	3.638e-05	0.000936966	0.61
4	192	0.142163	40.1869	3.32543e-05	1.87371e-05	0	0.00169331	1.62857e-07	3.77086e-05	0.0010918	0.63
4	192	0.127395	42.8571	3.38343e-05	1.90086e-05	0	0.00142781	1.6e-07	3.84943e-05	0.00107733	0.61
4	192	0.130343	57.1429	3.37343e-05	1.90086e-05	0	0.00142692	1.6e-07	3.84743e-05	0.00113691	0.61
