N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	56.7993	0	0.00019158	0.00154566	0	0.0381371	2.54286e-07	0.000136469	2.48857e-06	57.10
1	192	56.8597	0	0.000191183	0.00154507	0	0.038453	2.51429e-07	0.000136491	2.51143e-06	57.10
1	192	56.8585	0	0.000191274	0.00154517	0	0.0384465	2.48571e-07	0.00013652	2.52e-06	57.11
2	192	33.4509	8.13397	0.0001995	0.00162074	0	0.0505552	2.45714e-07	0.000144749	0.0381153	33.70
2	192	33.4502	7.24638	0.000199429	0.00162083	0	0.0505502	2.45714e-07	0.000144763	0.038115	33.70
2	192	33.4514	8.13397	0.000199397	0.00162088	0	0.0505595	2.48571e-07	0.00014486	0.0381161	33.71
3	192	27.7322	16.1572	0.000217966	0.0017108	0	0.131321	2.54286e-07	0.000156814	0.103614	28.00
3	192	27.734	17.9487	0.000218123	0.00171161	0	0.131342	2.51429e-07	0.000156623	0.103624	28.00
3	192	27.7328	16.5217	0.000218309	0.00171129	0	0.131331	2.45714e-07	0.000156597	0.103611	27.98
4	192	24.6549	20.9877	0.000246409	0.00182778	0	0.0930342	2.51429e-07	0.000175823	0.129405	24.96
4	192	24.6494	17.2414	0.000246163	0.00182493	0	0.092964	2.48571e-07	0.00017532	0.129378	24.95
4	192	24.6568	14.2857	0.000246291	0.00182531	0	0.0930218	2.51429e-07	0.000175671	0.129396	24.95
5	192	23.3326	25.5814	0.000288649	0.00204325	0	0.0715936	2.45714e-07	0.000204666	0.195896	23.68
5	192	23.3316	22.5806	0.000288486	0.00204177	0	0.0715609	2.45714e-07	0.000205191	0.19587	23.69
5	192	23.3325	26.1538	0.000288794	0.00204174	0	0.0715734	2.45714e-07	0.0002049	0.195901	23.68
6	192	25.5299	34.0206	0.000347826	0.00238006	0	0.0645751	2.48571e-07	0.000246497	0.285842	25.99
6	192	25.5301	30.1818	0.000347971	0.00237952	0	0.0645518	2.4e-07	0.000246526	0.285803	25.94
6	192	25.5306	24.1107	0.000347563	0.0023779	0	0.128459	2.4e-07	0.00024634	0.285796	25.94
7	192	28.8069	56.0641	0.000412414	0.00274347	0	0.130194	2.45714e-07	0.00029152	0.282192	29.32
7	192	28.8034	40.5573	0.000413083	0.00274768	0	0.130226	2.4e-07	0.000291777	0.2821	29.26
7	192	28.802	35.786	0.000412589	0.00274504	0	0.130199	2.42857e-07	0.00029194	0.28208	29.25
8	192	27.8941	37.8641	0.000475503	0.00308331	0	0.202975	2.4e-07	0.000334674	0.28851	28.40
8	192	27.8971	36.6337	0.000475646	0.00308276	0	0.203027	2.4e-07	0.000334737	0.288479	28.40
8	192	27.8977	63.0769	0.000475483	0.0030848	0	0.202934	2.42857e-07	0.000334749	0.288673	28.40
9	192	30.4553	58.4416	0.00054476	0.00350228	0	0.333296	2.4e-07	0.000384563	0.370108	31.01
9	192	30.4703	83.5616	0.0005447	0.00350155	0	0.333292	2.4e-07	0.000383791	0.370782	31.03
9	192	30.4517	46.2185	0.000544871	0.00350303	0	0.333326	2.42857e-07	0.000384394	0.369975	31.01
10	192	29.1043	88.4685	0.000597949	0.00375907	0	0.335054	2.34286e-07	0.000420223	0.272805	29.71
10	192	29.0986	85.3435	0.000597989	0.00375801	0	0.33503	2.4e-07	0.000420329	0.27239	29.71
10	192	29.0803	51.145	0.000598426	0.00375838	0	0.335053	2.4e-07	0.000420726	0.271424	29.69
11	192	29.3597	92.02	0.00065638	0.00403629	0	0.400938	2.37143e-07	0.000461057	0.331477	30.09
11	192	29.406	90.0104	0.00065798	0.00405532	0	0.402424	2.42857e-07	0.00046198	0.272725	30.07
11	192	31.1716	88.6859	0.000663966	0.00410157	0	0.338601	2.34286e-07	0.000465157	0.459634	31.83
12	192	30.3402	94.2011	0.000729814	0.00446593	0	0.401086	2.4e-07	0.000512946	0.457771	31.06
12	192	30.3267	92.0332	0.000731169	0.00446519	0	0.401071	2.37143e-07	0.000512557	0.456747	31.03
12	192	30.3337	93.3953	0.000730346	0.00446559	0	0.401086	2.37143e-07	0.000512451	0.45724	31.04
