N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	56.841	0	0.000190431	0.00157541	0	0.0383757	2.48571e-07	8.67857e-05	2.42857e-06	57.13
1	192	56.841	0	0.00019042	0.00157541	0	0.0383757	2.51429e-07	8.68514e-05	2.42857e-06	57.09
1	192	56.8377	0	0.000190323	0.00157521	0	0.0383589	2.51429e-07	8.68e-05	2.44e-06	57.09
2	192	33.445	8.13397	0.000199354	0.00165505	0	0.0505096	2.51429e-07	9.09714e-05	0.0381153	33.70
2	192	33.4505	8.13397	0.00019928	0.00165485	0	0.0505597	2.48571e-07	9.10229e-05	0.0381212	33.70
2	192	33.4509	8.13397	0.000199174	0.00165517	0	0.0505584	2.48571e-07	9.104e-05	0.0381224	33.70
3	192	27.732	15.4185	0.000218046	0.00175026	0	0.131305	2.48571e-07	9.79371e-05	0.103632	28.05
3	192	27.7324	16.5217	0.000218123	0.00174918	0	0.131301	2.48571e-07	9.80114e-05	0.103634	27.99
3	192	27.7321	16.5217	0.000218003	0.00174992	0	0.131301	2.45714e-07	9.80314e-05	0.103632	27.99
4	192	24.6556	23.506	0.000246214	0.00186994	0	0.0929996	2.42857e-07	0.00010948	0.129425	25.01
4	192	24.6542	15.4185	0.000246357	0.00187263	0	0.0930164	2.48571e-07	0.000109737	0.12941	24.96
4	192	24.6541	22.5806	0.000246114	0.00187009	0	0.0930163	2.42857e-07	0.000109194	0.129424	24.95
5	192	23.3327	25.8687	0.000288729	0.00209897	0	0.0715916	2.45714e-07	0.00012636	0.195898	23.69
5	192	23.3315	25.8687	0.000288883	0.00209854	0	0.0715813	2.48571e-07	0.000126437	0.195901	23.69
5	192	23.3267	23.2	0.000288834	0.00209777	0	0.0715732	2.48571e-07	0.000126523	0.195893	23.68
6	192	25.5292	32.8671	0.00034754	0.00244802	0	0.0645677	2.48571e-07	0.000150177	0.285881	26.00
6	192	25.533	34.471	0.000347446	0.00244531	0	0.064567	2.42857e-07	0.00014984	0.285872	25.94
6	192	25.5328	30.9353	0.000347903	0.00244888	0	0.0645674	2.42857e-07	0.000150254	0.285867	25.94
7	192	28.8017	37.0492	0.000412529	0.00282715	0	0.194119	2.42857e-07	0.000176726	0.218265	29.31
7	192	28.8026	37.4593	0.000413811	0.002826	0	0.19411	2.45714e-07	0.000176514	0.218261	29.24
7	192	28.8016	35.5705	0.000412654	0.00282645	0	0.130216	2.4e-07	0.000176631	0.282152	29.26
8	192	27.9002	71.2144	0.000475471	0.00318226	0	0.202961	2.37143e-07	0.00020148	0.288839	28.41
8	192	27.9004	64.5756	0.000474994	0.00318238	0	0.202962	2.42857e-07	0.000201654	0.288745	28.40
8	192	27.9019	69.906	0.000475374	0.00318198	0	0.202902	2.37143e-07	0.00020156	0.288835	28.40
9	192	30.4713	83.4483	0.00054476	0.00361251	0	0.333275	2.37143e-07	0.00023026	0.370914	31.09
9	192	30.4615	70.5972	0.000545071	0.00361281	0	0.33329	2.42857e-07	0.000230197	0.370349	31.01
9	192	30.4559	62.8627	0.000545146	0.00361424	0	0.333261	2.42857e-07	0.000230151	0.370242	31.01
10	192	29.116	90.8353	0.000597094	0.00388029	0	0.271089	2.34286e-07	0.00025148	0.273316	29.80
10	192	29.1059	88.2569	0.000598154	0.00388348	0	0.335004	2.37143e-07	0.0002515	0.272865	29.70
10	192	29.0859	71.7231	0.000599906	0.00388177	0	0.39889	2.4e-07	0.000251686	0.271808	29.69
11	192	29.3233	90.1285	0.000674617	0.00430856	0	0.340951	2.42857e-07	0.000281283	0.336866	30.05
11	192	29.3315	90.4525	0.000672551	0.0042987	0	0.340853	2.4e-07	0.000280983	0.400873	29.99
11	192	29.3362	92.0825	0.000671903	0.00430846	0	0.340931	2.37143e-07	0.000281589	0.337463	29.99
12	192	30.3204	91.7241	0.000731397	0.00461712	0	0.40102	2.4e-07	0.000305017	0.456544	31.11
12	192	30.3317	92.9386	0.000730811	0.00461684	0	0.40104	2.4e-07	0.000306051	0.457115	31.03
12	192	30.3247	92.02	0.000730634	0.00461424	0	0.400972	2.4e-07	0.00030534	0.520696	31.03
