N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.297264	0	3.05571e-05	1.46743e-05	0	0.00146549	4.4e-07	1.74029e-05	2.49714e-06	0.71
1	192	0.297267	0	3.05229e-05	1.46629e-05	0	0.00146552	4.4e-07	1.744e-05	2.49429e-06	0.69
1	192	0.297331	0	3.05486e-05	1.46543e-05	0	0.0014658	4.45714e-07	1.74543e-05	2.50571e-06	0.69
1	192	0.297353	0	3.05486e-05	1.464e-05	0	0.00146596	4.54286e-07	1.744e-05	2.47143e-06	0.69
1	192	0.297288	0	3.05486e-05	1.46543e-05	0	0.00146561	4.42857e-07	1.74514e-05	2.49429e-06	0.68
1	192	0.297242	0	3.05714e-05	1.46543e-05	0	0.00146534	4.45714e-07	1.74314e-05	2.49714e-06	0.69
1	192	0.297223	0	3.05571e-05	1.464e-05	0	0.00146525	4.45714e-07	1.744e-05	2.49143e-06	0.69
1	192	0.297184	0	3.05714e-05	1.46543e-05	0	0.00146503	4.45714e-07	1.74343e-05	2.49429e-06	0.70
1	192	0.297228	0	3.05629e-05	1.464e-05	0	0.00146529	4.45714e-07	1.74543e-05	2.47429e-06	0.69
1	192	0.297263	0	3.05229e-05	1.46429e-05	0	0.00146553	4.45714e-07	1.74229e-05	2.49714e-06	0.68
2	192	0.161513	5.41872	3.25857e-05	1.57943e-05	0	0.00136998	2.72857e-06	1.88314e-05	0.000212149	0.64
2	192	0.161506	5.41872	3.25486e-05	1.57886e-05	0	0.00137041	2.74e-06	1.88171e-05	0.0002117	0.56
2	192	0.161553	5.41872	3.26114e-05	1.576e-05	0	0.0013703	2.74571e-06	1.88114e-05	0.00021218	0.56
2	192	0.16156	5.41872	3.258e-05	1.58143e-05	0	0.00137035	2.73143e-06	1.88086e-05	0.000212234	0.56
