N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	1.95896	0	5.56286e-05	6.64743e-05	0	0.010026	5.28571e-07	2.76714e-05	2.49429e-06	2.37
1	192	1.95899	0	5.56514e-05	6.65029e-05	0	0.0100261	5.28571e-07	2.76771e-05	2.49429e-06	2.37
1	192	1.95883	0	5.57114e-05	6.64629e-05	0	0.0100252	5.28571e-07	2.76771e-05	2.49429e-06	2.36
1	192	1.95865	0	5.57657e-05	6.64086e-05	0	0.0100243	5.31429e-07	2.76029e-05	2.5e-06	2.38
1	192	1.96041	0	5.56514e-05	6.65371e-05	0	0.0100335	5.34286e-07	2.76029e-05	2.48571e-06	2.36
1	192	1.9573	0	5.58714e-05	6.626e-05	0	0.0100174	5.34286e-07	2.75486e-05	2.50857e-06	2.37
1	192	1.95885	0	5.57e-05	6.64629e-05	0	0.0100254	5.31429e-07	2.76686e-05	2.5e-06	2.38
1	192	1.95878	0	5.56714e-05	6.652e-05	0	0.010025	5.31429e-07	2.76629e-05	2.48857e-06	2.36
1	192	1.95869	0	5.57e-05	6.64657e-05	0	0.0100245	5.31429e-07	2.76514e-05	2.50286e-06	2.37
1	192	1.95867	0	5.56629e-05	6.64971e-05	0	0.0100244	5.31429e-07	2.76686e-05	2.50571e-06	2.37
2	192	1.34776	5.41872	5.85629e-05	7.07571e-05	0	0.0113745	8.25714e-06	2.97857e-05	0.00244764	1.76
2	192	1.34779	5.88235	5.85171e-05	7.06886e-05	0	0.0113755	8.22857e-06	2.97857e-05	0.00244694	1.77
2	192	1.34787	5.88235	5.85286e-05	7.074e-05	0	0.0113756	8.27429e-06	2.976e-05	0.00244709	1.77
2	192	1.3477	5.41872	5.86171e-05	7.07543e-05	0	0.0113748	8.26571e-06	2.97943e-05	0.00244719	1.77
