N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	1.95609	0	5.28114e-05	6.95057e-05	0	0.0100236	5.37143e-07	1.49429e-05	2.51429e-06	2.44
1	192	1.95783	0	5.29343e-05	6.97057e-05	0	0.0100324	5.25714e-07	1.49371e-05	2.49143e-06	2.37
1	192	1.95626	0	5.28257e-05	6.95143e-05	0	0.0100244	5.4e-07	1.49543e-05	2.50286e-06	2.37
1	192	1.95776	0	5.28886e-05	6.96886e-05	0	0.010032	5.37143e-07	1.49343e-05	2.49714e-06	2.37
1	192	1.95586	0	5.27914e-05	6.95657e-05	0	0.0100223	5.42857e-07	1.49257e-05	2.50286e-06	2.37
1	192	1.95594	0	5.28371e-05	6.95971e-05	0	0.0100227	5.4e-07	1.494e-05	2.52e-06	2.37
1	192	1.95586	0	5.28486e-05	6.95229e-05	0	0.0100223	5.37143e-07	1.49371e-05	2.51143e-06	2.36
1	192	1.95564	0	5.27771e-05	6.96714e-05	0	0.010021	5.4e-07	1.49086e-05	2.54286e-06	2.36
1	192	1.95556	0	5.278e-05	6.96543e-05	0	0.0100207	5.4e-07	1.49171e-05	2.51143e-06	2.37
1	192	1.95545	0	5.27629e-05	6.96657e-05	0	0.0100201	5.34286e-07	1.49343e-05	2.49714e-06	2.37
2	192	1.34649	5.41872	5.59229e-05	7.41086e-05	0	0.0113717	8.26857e-06	1.58086e-05	0.00244814	1.83
2	192	1.34667	5.88235	5.59457e-05	7.428e-05	0	0.0113728	8.24286e-06	1.58029e-05	0.00244841	1.76
2	192	1.34654	5.41872	5.58114e-05	7.41629e-05	0	0.0113722	8.22571e-06	1.58143e-05	0.00244838	1.77
2	192	1.34667	5.88235	5.59686e-05	7.41543e-05	0	0.0113731	8.23429e-06	1.58086e-05	0.00244829	1.77
2	192	1.34658	5.41872	5.59114e-05	7.42571e-05	0	0.011373	8.24e-06	1.58114e-05	0.00244823	1.77
2	192	1.3466	5.88235	5.592e-05	7.42486e-05	0	0.0113717	8.24857e-06	1.58171e-05	0.00244858	1.77
2	192	1.34673	5.88235	5.59514e-05	7.41943e-05	0	0.0113733	8.26286e-06	1.582e-05	0.00244855	1.77
2	192	1.34654	5.41872	5.58286e-05	7.41629e-05	0	0.0113724	8.24571e-06	1.57971e-05	0.00244859	1.77
2	192	1.34651	5.41872	5.58657e-05	7.41486e-05	0	0.0113727	8.24286e-06	1.58086e-05	0.00244814	1.76
2	192	1.34676	5.41872	5.58371e-05	7.41943e-05	0	0.0113736	8.22857e-06	1.58143e-05	0.00244881	1.77
3	192	1.09839	10.6977	5.686e-05	7.39371e-05	0	0.0116122	9.74857e-06	1.598e-05	0.00531281	1.60
3	192	1.09877	10.6977	5.68971e-05	7.388e-05	0	0.0116154	9.77714e-06	1.60143e-05	0.00531546	1.53
3	192	1.09863	10.6977	5.68771e-05	7.37943e-05	0	0.0116156	9.75429e-06	1.6e-05	0.00531499	1.53
3	192	1.09857	11.1111	5.69486e-05	7.38114e-05	0	0.0116151	9.78e-06	1.60343e-05	0.0053145	1.52
3	192	1.09854	10.6977	5.69857e-05	7.37486e-05	0	0.0116143	9.75429e-06	1.59829e-05	0.00531446	1.53
3	192	1.0986	10.6977	5.68971e-05	7.38343e-05	0	0.0116151	9.77143e-06	1.59743e-05	0.00531465	1.52
3	192	1.09871	10.6977	5.69114e-05	7.38314e-05	0	0.0116147	9.82571e-06	1.602e-05	0.0053148	1.52
3	192	1.09856	10.6977	5.68486e-05	7.38571e-05	0	0.0116148	9.78e-06	1.60343e-05	0.00531464	1.52
3	192	1.09856	10.6977	5.69257e-05	7.37771e-05	0	0.0116161	9.74571e-06	1.604e-05	0.00531345	1.52
3	192	1.09856	10.6977	5.68886e-05	7.38029e-05	0	0.011615	9.81143e-06	1.602e-05	0.00531434	1.52
4	192	1.04605	16.1572	6.57314e-05	8.67457e-05	0	0.0130781	1.16886e-05	1.85171e-05	0.00841971	1.56
4	192	1.04601	15.7895	6.57857e-05	8.67371e-05	0	0.0130794	1.16514e-05	1.84286e-05	0.00841893	1.55
4	192	1.04613	15.7895	6.57571e-05	8.67029e-05	0	0.0130814	1.164e-05	1.85571e-05	0.00841796	1.54
4	192	1.04599	15.7895	6.57429e-05	8.67943e-05	0	0.0130775	1.15914e-05	1.85371e-05	0.00841839	1.55
4	192	1.04614	15.7895	6.59029e-05	8.67657e-05	0	0.0130793	1.15714e-05	1.84514e-05	0.00841906	1.55
4	192	1.04603	15.7895	6.57629e-05	8.69829e-05	0	0.0130766	1.16257e-05	1.852e-05	0.00841905	1.55
4	192	1.04602	16.1572	6.58229e-05	8.67657e-05	0	0.0130786	1.15914e-05	1.84943e-05	0.00841931	1.55
4	192	1.04599	16.1572	6.57343e-05	8.68171e-05	0	0.0130772	1.16229e-05	1.84971e-05	0.00841974	1.55
4	192	1.04616	16.1572	6.57771e-05	8.676e-05	0	0.013081	1.16057e-05	1.84743e-05	0.00841887	1.55
4	192	1.04634	15.7895	6.58971e-05	8.68714e-05	0	0.0130819	1.16286e-05	1.84857e-05	0.00841716	1.54
5	192	1.01211	19.6653	7.936e-05	0.000105911	0	0.0144613	1.28629e-05	2.21257e-05	0.0114062	1.69
5	192	1.01045	19.6653	7.98457e-05	0.000106931	0	0.0144311	1.29343e-05	2.21714e-05	0.0114018	1.61
5	192	1.01044	19.6653	7.98286e-05	0.000106654	0	0.0144299	1.29771e-05	2.22229e-05	0.0114046	1.61
5	192	1.01029	19.3277	7.98114e-05	0.000106671	0	0.0144271	1.29029e-05	2.22171e-05	0.0114035	1.61
5	192	1.0104	20	7.99257e-05	0.00010686	0	0.01443	1.30857e-05	2.22514e-05	0.0114026	1.61
5	192	1.01044	19.6653	7.98457e-05	0.000106997	0	0.0144314	1.29514e-05	2.21829e-05	0.0114039	1.62
5	192	1.00997	19.3277	7.98314e-05	0.00010674	0	0.0144265	1.294e-05	2.23829e-05	0.0114055	1.61
5	192	1.0104	19.3277	7.99714e-05	0.000106963	0	0.014429	1.29857e-05	2.22371e-05	0.0114047	1.61
5	192	1.01041	19.3277	7.994e-05	0.000106809	0	0.01443	1.29657e-05	2.22886e-05	0.0114015	1.61
5	192	1.01365	19.6653	7.95029e-05	0.000106329	0	0.0144369	1.31914e-05	2.218e-05	0.0114911	1.61
6	192	1.23436	29.6703	9.83686e-05	0.000134537	0	0.0172577	1.54657e-05	2.762e-05	0.0206891	1.94
6	192	1.23264	29.1513	9.81829e-05	0.000134043	0	0.0172714	1.54514e-05	2.75743e-05	0.0205828	1.94
6	192	1.23479	29.4118	9.81857e-05	0.000134146	0	0.0172736	1.53886e-05	2.754e-05	0.0206883	1.94
6	192	1.23189	28.8889	9.778e-05	0.000133926	0	0.0172621	1.53543e-05	2.74457e-05	0.0205795	1.93
6	192	1.23188	29.4118	9.80886e-05	0.000133717	0	0.0172587	1.53829e-05	2.74857e-05	0.0205842	1.94
6	192	1.23446	29.4118	9.82371e-05	0.000134606	0	0.0172588	1.54743e-05	2.758e-05	0.0206901	1.94
6	192	1.23189	28.8889	9.79686e-05	0.00013374	0	0.0172609	1.54829e-05	2.748e-05	0.0205837	1.94
6	192	1.23444	29.4118	9.83343e-05	0.000134311	0	0.017258	1.55e-05	2.75171e-05	0.0206891	1.94
6	192	1.23344	29.1513	9.82686e-05	0.000134171	0	0.017316	1.54429e-05	2.76571e-05	0.0205887	1.94
6	192	1.23189	28.8889	9.81143e-05	0.000133783	0	0.0172608	1.53829e-05	2.74886e-05	0.020582	1.93
7	192	1.16213	29.4118	0.000109014	0.000146129	0	0.0200527	1.81286e-05	3.04943e-05	0.0215135	2.04
7	192	1.1641	29.4118	0.000108846	0.000146069	0	0.0200904	1.83571e-05	3.05e-05	0.0215446	1.97
7	192	1.16201	29.927	0.000109074	0.000146163	0	0.0200537	1.81314e-05	3.04143e-05	0.0215114	1.95
7	192	1.16185	29.6703	0.0001092	0.000146143	0	0.0200472	1.80857e-05	3.04886e-05	0.0215095	1.97
7	192	1.16192	29.6703	0.000108986	0.000146177	0	0.0200467	1.80657e-05	3.05086e-05	0.0215152	1.96
7	192	1.16171	28.8889	0.000109166	0.000146189	0	0.0200473	1.80429e-05	3.05171e-05	0.0215113	1.97
7	192	1.1619	29.6703	0.000109017	0.000146246	0	0.0200456	1.80714e-05	3.056e-05	0.021513	1.96
7	192	1.16179	29.1513	0.000109089	0.000146197	0	0.0200547	1.808e-05	3.05743e-05	0.0215094	1.96
7	192	1.16201	29.6703	0.000109111	0.000146289	0	0.0200473	1.80029e-05	3.04914e-05	0.0215135	1.96
7	192	1.1622	29.4118	0.000109023	0.000146083	0	0.0200581	1.82829e-05	3.04971e-05	0.0215127	1.96
8	192	1.32254	32.1555	0.000130486	0.000177811	0	0.0234915	2.09657e-05	3.65114e-05	0.029698	2.29
8	192	1.32187	32.3944	0.000130446	0.00017778	0	0.0234791	2.12114e-05	3.65171e-05	0.0296783	2.23
8	192	1.32322	32.3944	0.000130674	0.000178203	0	0.0234693	2.10286e-05	3.66286e-05	0.029734	2.22
8	192	1.32075	31.9149	0.000130854	0.000178377	0	0.0234561	2.09229e-05	3.65486e-05	0.0296818	2.22
8	192	1.32197	31.9149	0.000130703	0.000177934	0	0.0234746	2.12343e-05	3.65257e-05	0.0296805	2.22
8	192	1.32133	31.9149	0.000130543	0.000178023	0	0.0234804	2.12543e-05	3.65457e-05	0.0296771	2.22
8	192	1.30634	32.3944	0.000133917	0.000184406	0	0.0224299	2.22086e-05	3.76143e-05	0.0301467	2.21
8	192	1.32116	32.1555	0.000130511	0.000177866	0	0.0234608	2.10943e-05	3.64829e-05	0.0296819	2.23
8	192	1.32199	31.9149	0.000130897	0.000178554	0	0.023463	2.09886e-05	3.65771e-05	0.0297167	2.23
8	192	1.32024	32.3944	0.00013056	0.000178394	0	0.023444	2.12171e-05	3.65171e-05	0.0296559	2.22
9	192	1.28031	33.3333	0.000151374	0.000207706	0	0.0271682	2.47943e-05	4.24371e-05	0.0313794	2.35
9	192	1.28031	33.3333	0.000151629	0.000207703	0	0.0271702	2.49343e-05	4.23286e-05	0.0313784	2.29
9	192	1.28032	33.101	0.000151437	0.000207694	0	0.0271675	2.48829e-05	4.24057e-05	0.0313776	2.27
9	192	1.28033	33.3333	0.000151366	0.000207769	0	0.0271681	2.48029e-05	4.23829e-05	0.0313768	2.28
9	192	1.28034	33.101	0.000151391	0.000207774	0	0.02717	2.48686e-05	4.23743e-05	0.0313801	2.28
9	192	1.28036	33.3333	0.000151357	0.000207974	0	0.0271715	2.47743e-05	4.24257e-05	0.0313809	2.28
9	192	1.28027	33.101	0.000151306	0.00020786	0	0.0271697	2.48771e-05	4.24143e-05	0.0313784	2.28
9	192	1.28041	33.3333	0.000151497	0.000207851	0	0.0271703	2.47429e-05	4.23057e-05	0.0313809	2.29
9	192	1.28027	33.3333	0.000151511	0.00020752	0	0.0271695	2.48886e-05	4.24229e-05	0.0313788	2.28
9	192	1.28031	33.3333	0.000151591	0.000208006	0	0.0271673	2.47829e-05	4.24086e-05	0.0313796	2.28
10	192	1.38157	39.0476	0.000171563	0.000236154	0	0.0295208	2.83371e-05	4.79943e-05	0.0402659	2.49
10	192	1.38361	38.8535	0.000171626	0.000236597	0	0.0296726	2.84543e-05	4.79429e-05	0.0402335	2.48
10	192	1.38207	38.8535	0.000171397	0.000236249	0	0.029529	2.84857e-05	4.79143e-05	0.0402853	2.47
10	192	1.38454	39.0476	0.000171454	0.000236109	0	0.0296574	2.84371e-05	4.794e-05	0.0403027	2.49
10	192	1.38472	38.8535	0.000171686	0.000236677	0	0.0296717	2.84886e-05	4.796e-05	0.040227	2.49
10	192	1.38206	38.8535	0.000171597	0.000236043	0	0.0295285	2.84886e-05	4.79543e-05	0.0402867	2.49
10	192	1.38477	39.0476	0.000171534	0.000236297	0	0.0296593	2.84314e-05	4.79371e-05	0.0403054	2.47
10	192	1.38175	39.0476	0.000171449	0.000236426	0	0.0295263	2.84914e-05	4.79314e-05	0.0402664	2.49
10	192	1.38211	38.8535	0.000171414	0.000236043	0	0.0295292	2.842e-05	4.79286e-05	0.040285	2.49
10	192	1.38218	39.0476	0.0001714	0.000236231	0	0.0295358	2.844e-05	4.79486e-05	0.0402844	2.47
11	192	1.46175	42.6866	0.00019808	0.000277214	0	0.0299062	3.18057e-05	5.51914e-05	0.0522539	2.73
11	192	1.44962	42.1687	0.000191834	0.000265303	0	0.0310204	3.06971e-05	5.32829e-05	0.050481	2.65
11	192	1.4952	42.515	0.0001939	0.000269003	0	0.0320042	3.056e-05	5.39629e-05	0.0507851	2.69
11	192	1.50186	43.3628	0.000194351	0.000270017	0	0.032049	3.04029e-05	5.42e-05	0.0511909	2.70
11	192	1.44167	41.994	0.000191703	0.000265051	0	0.0310031	3.07314e-05	5.32971e-05	0.0501191	2.63
11	192	1.49527	42.515	0.000193743	0.000269071	0	0.032006	3.072e-05	5.40886e-05	0.0507898	2.69
11	192	1.45627	42.3423	0.000192751	0.000267109	0	0.0309238	3.08829e-05	5.35171e-05	0.0508279	2.64
11	192	1.44172	41.8182	0.00019166	0.000265037	0	0.0310077	3.06886e-05	5.32857e-05	0.0501212	2.65
11	192	1.43774	42.3423	0.000193129	0.000268009	0	0.0297409	3.096e-05	5.39e-05	0.051309	2.63
11	192	1.49516	42.6866	0.000193889	0.000269023	0	0.0319952	3.06571e-05	5.39886e-05	0.0507888	2.70
12	192	1.48164	43.1953	0.000203237	0.000276706	0	0.0347949	3.29286e-05	5.65314e-05	0.0544799	2.78
12	192	1.48149	43.1953	0.000203037	0.000276654	0	0.0347959	3.29486e-05	5.65371e-05	0.0544608	2.78
12	192	1.48148	43.0267	0.000203017	0.000276514	0	0.0347995	3.28971e-05	5.65543e-05	0.0544558	2.78
12	192	1.48158	43.0267	0.000203126	0.000276686	0	0.0348044	3.30457e-05	5.65829e-05	0.0544533	2.78
12	192	1.48144	43.1953	0.000202949	0.000276691	0	0.0347907	3.29829e-05	5.652e-05	0.054461	2.77
12	192	1.55813	44.186	0.000201463	0.000273711	0	0.0341026	3.28886e-05	5.61657e-05	0.0588335	2.85
12	192	1.48142	43.0267	0.000203151	0.000276614	0	0.034794	3.30314e-05	5.654e-05	0.0544529	2.78
12	192	1.48155	43.0267	0.000202991	0.000276517	0	0.0347953	3.29629e-05	5.64943e-05	0.0544631	2.77
12	192	1.48147	43.0267	0.000203077	0.000276349	0	0.0347956	3.30629e-05	5.65686e-05	0.0544569	2.78
12	192	1.48147	43.0267	0.000203231	0.000276529	0	0.0348	3.28629e-05	5.65343e-05	0.0544564	2.78
