N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	96	1.98206e+06
10	200	1	76	1.84952e+06
10	200	1	82	1.62105e+06
10	200	1	76	1.73469e+06
10	200	1	76	2.10232e+06
10	200	500	797	2.42542e+06
10	200	500	805	2.50911e+06
10	200	500	781	2.46916e+06
10	200	500	777	2.48835e+06
10	200	500	821	2.4035e+06
10	200	1000	1046	2.54615e+06
10	200	1000	919	2.50588e+06
10	200	1000	1092	2.54715e+06
10	200	1000	916	2.50806e+06
10	200	1000	1072	2.45676e+06
10	200	1500	1133	2.53542e+06
10	200	1500	1121	2.54635e+06
10	200	1500	1164	2.48814e+06
10	200	1500	1136	2.52561e+06
10	200	1500	1119	2.64639e+06
10	200	2000	1355	2.62608e+06
10	200	2000	1403	2.65407e+06
10	200	2000	1436	2.70434e+06
10	200	2000	1368	2.61775e+06
10	200	2000	1344	2.60043e+06
10	200	2500	1715	2.53754e+06
10	200	2500	1751	2.57517e+06
10	200	2500	1682	2.71986e+06
10	200	2500	1813	2.6556e+06
10	200	2500	1756	2.60259e+06
