N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
5	200	1	119	267060
5	200	1	99	305713
5	200	1	102	308119
5	200	1	92	312549
5	200	1	114	271932
5	200	500	494	312933
5	200	500	462	273009
5	200	500	477	304921
5	200	500	456	258141
5	200	500	483	285997
5	200	1000	535	273529
5	200	1000	684	322589
5	200	1000	649	281558
5	200	1000	610	278847
5	200	1000	783	258464
5	200	1500	801	279892
5	200	1500	671	322884
5	200	1500	695	232807
5	200	1500	868	259100
5	200	1500	748	305961
5	200	2000	841	336938
5	200	2000	807	320847
5	200	2000	752	248863
5	200	2000	1103	315450
5	200	2000	1046	282196
5	200	2500	837	243668
5	200	2500	857	285555
5	200	2500	907	228660
5	200	2500	1001	221534
5	200	2500	909	294901
