GRID_SIZE	N_THREADS_PER_PROC	N_PROCS	TIME_P1	TIME_P2	TIME_P3	TIME_P4	ENERGY_P1	ENERGY_P2	ENERGY_P3	ENERGY_P4	
16	8	4	0.001617	0.001875	0.001769	0.001913	0.751343	0.854797	0.854797	0.834229	
16	8	4	0.001815	0.001728	0.001726	0.001840	0.786804	0.786804	0.786804	0.815491	
16	8	4	0.001456	0.001444	0.001846	0.001806	0.816711	0.827637	0.858582	0.858582	
16	8	4	0.001691	0.001777	0.001754	0.001824	0.789795	0.790649	0.742676	0.790649	
16	8	4	0.001752	0.001554	0.001873	0.001774	0.976685	0.875305	0.906677	0.862183	
16	8	4	0.001675	0.001705	0.001907	0.001817	0.894226	0.894226	0.894226	0.894226	
16	8	4	0.001665	0.001559	0.001606	0.001462	0.809021	0.809021	0.809021	0.805481	
16	8	4	0.001712	0.001794	0.001553	0.001616	0.815430	0.815430	0.815430	0.844910	
16	8	4	0.001418	0.001664	0.001695	0.001521	0.821228	0.821228	0.821228	0.754272	
16	8	4	0.001531	0.001406	0.001760	0.001622	0.919373	0.796936	0.796936	0.911133	
16	8	4	0.001668	0.001614	0.001337	0.001428	0.893982	0.904968	0.773193	0.860718	
16	8	4	0.001771	0.001676	0.001566	0.001507	0.687988	0.747253	0.747253	0.759216	
16	8	4	0.001760	0.001793	0.001551	0.001589	0.785095	0.878784	0.826416	0.826416	
16	8	4	0.001796	0.001870	0.001900	0.001766	0.893433	0.893433	0.893433	0.893433	
16	8	4	0.001687	0.001694	0.001512	0.001388	0.841858	0.841858	0.841858	0.830017	
16	8	4	0.001714	0.001604	0.001786	0.001589	0.871643	0.827087	0.908508	0.842529	
16	8	4	0.001640	0.001685	0.002235	0.001594	0.697998	0.802185	0.815125	0.756531	
16	8	4	0.002174	0.001442	0.001731	0.001662	0.823181	0.818054	0.818054	0.806641	
16	8	4	0.001607	0.001783	0.001653	0.001451	0.830261	0.830261	0.830261	0.790344	
16	8	4	0.001493	0.001543	0.001486	0.001389	0.808899	0.909851	0.796631	0.796631	
16	8	4	0.001698	0.001721	0.001708	0.001839	0.881226	0.881226	0.911377	0.911377	
16	8	4	0.001840	0.001717	0.001838	0.001840	0.829834	0.829834	0.829834	0.829834	
16	8	4	0.001901	0.001746	0.001758	0.001537	0.862793	0.862793	0.862793	0.770264	
16	8	4	0.001506	0.001508	0.001393	0.001379	0.853088	0.755798	0.759521	0.759521	
16	8	4	0.001640	0.001772	0.001754	0.001550	0.859924	0.889954	0.889954	0.852112	
16	8	4	0.001773	0.001662	0.001581	0.001348	0.841003	0.841003	0.869751	0.766418	
16	8	4	0.001433	0.001535	0.001544	0.001396	0.864563	0.820190	0.859985	0.803040	
16	8	4	0.001938	0.001803	0.001832	0.001819	0.827087	0.827087	0.827087	0.827087	
16	8	4	0.001415	0.001483	0.001734	0.001569	0.773560	0.722778	0.722778	0.834473	
16	8	4	0.001474	0.001802	0.001662	0.001397	0.835938	0.942322	0.857239	0.828674	
