N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.00950373	0	1.53686e-05	3.4e-07	0	1.85143e-05	0	1.14857e-06	3.77143e-07
1	100	0.00950107	0	1.53686e-05	3.4e-07	0	1.84971e-05	0	1.14e-06	3.82857e-07
1	100	0.00949957	0	1.536e-05	3.4e-07	0	1.84914e-05	0	1.15429e-06	3.74286e-07
1	100	0.00949984	0	1.536e-05	3.4e-07	0	1.84943e-05	0	1.15714e-06	3.74286e-07
1	100	0.00950167	0	1.53857e-05	3.37143e-07	0	1.84943e-05	0	1.14286e-06	3.8e-07
1	100	0.0094997	0	1.53657e-05	3.37143e-07	0	1.84914e-05	0	1.14286e-06	3.77143e-07
1	100	0.00949911	0	1.53629e-05	3.4e-07	0	1.85e-05	0	1.13714e-06	3.74286e-07
1	100	0.00949911	0	1.53657e-05	3.4e-07	0	1.84943e-05	0	1.14571e-06	3.74286e-07
1	100	0.00949929	0	1.53486e-05	3.37143e-07	0	1.85057e-05	0	1.14857e-06	3.8e-07
1	100	0.00949833	0	1.53457e-05	3.37143e-07	0	1.85029e-05	0	1.15143e-06	3.74286e-07
2	200	0.0102806	6.10329	1.65257e-05	3.42857e-07	3.85714e-07	1.91771e-05	3.71429e-08	1.16e-06	3.07714e-06
2	200	0.0101564	5.66038	1.64886e-05	3.42857e-07	4.02857e-07	1.91314e-05	4.57143e-08	1.15714e-06	2.96571e-06
2	200	0.0100374	5.21327	1.64771e-05	3.4e-07	3.91429e-07	1.91086e-05	0	1.15143e-06	2.91429e-06
2	200	0.0100322	5.21327	1.646e-05	3.42857e-07	3.88571e-07	1.91086e-05	0	1.15429e-06	2.90571e-06
2	200	0.0100326	5.21327	1.648e-05	3.4e-07	3.94286e-07	1.90971e-05	0	1.14571e-06	2.89143e-06
2	200	0.010251	6.10329	1.65114e-05	3.42857e-07	4e-07	1.91543e-05	3.42857e-08	1.16e-06	3.24286e-06
2	200	0.0102779	6.10329	1.65171e-05	3.42857e-07	3.91429e-07	1.91657e-05	3.42857e-08	1.15429e-06	3.1e-06
2	200	0.0100354	5.66038	1.64514e-05	3.42857e-07	3.71429e-07	1.91257e-05	0	1.15714e-06	2.94571e-06
2	200	0.010281	6.10329	1.654e-05	3.4e-07	4.02857e-07	1.91486e-05	4e-08	1.15714e-06	3.10286e-06
2	200	0.0102739	6.10329	1.65e-05	3.4e-07	4e-07	1.91543e-05	3.71429e-08	1.15429e-06	3.10286e-06
3	300	0.0107119	13.5447	1.70571e-05	3.65714e-07	8.2e-07	1.92229e-05	6.28571e-08	1.21429e-06	7e-06
3	300	0.0108266	15.9664	1.71171e-05	3.65714e-07	7.74286e-07	1.93343e-05	1.31429e-07	1.21143e-06	8.91714e-06
3	300	0.0107953	11.7647	1.70486e-05	3.65714e-07	7.51429e-07	1.93057e-05	1.2e-07	1.21143e-06	6.31143e-06
3	300	0.010754	10.9792	1.70629e-05	3.65714e-07	7.77143e-07	1.92971e-05	1.45714e-07	1.21714e-06	5.80286e-06
3	300	0.0107187	14.5299	1.70114e-05	3.65714e-07	8.51429e-07	1.91571e-05	4.28571e-08	1.21143e-06	7.74286e-06
3	300	0.0105573	10.9792	1.70886e-05	3.65714e-07	8.05714e-07	1.92743e-05	9.71429e-08	1.21429e-06	5.21429e-06
3	300	0.0107216	13.0435	1.71057e-05	3.65714e-07	8.45714e-07	1.92514e-05	8.85714e-08	1.21429e-06	6.98571e-06
3	300	0.010795	11.7647	1.70371e-05	3.65714e-07	7.85714e-07	1.928e-05	1.2e-07	1.21429e-06	6.28857e-06
