N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0155035	0	4.57029e-05	1.31429e-07	0	3.44857e-05	0	2.92571e-06	1.03714e-06	0.08
1	100	0.0155013	0	4.56686e-05	1.31429e-07	0	3.452e-05	0	2.90857e-06	1.03714e-06	0.06
1	100	0.0155017	0	4.56571e-05	1.34286e-07	0	3.45486e-05	0	2.90857e-06	1.02857e-06	0.06
1	100	0.0155011	0	4.57029e-05	1.34286e-07	0	3.45086e-05	0	2.90286e-06	1.04e-06	0.06
1	100	0.0155074	0	4.56257e-05	1.34286e-07	0	3.45857e-05	0	2.92286e-06	1.02857e-06	0.06
1	100	0.0155063	0	4.56714e-05	1.31429e-07	0	3.45686e-05	0	2.91429e-06	1.02857e-06	0.06
1	100	0.0155059	0	4.56429e-05	1.31429e-07	0	3.45857e-05	0	2.90571e-06	1.04e-06	0.06
1	100	0.0155039	0	4.55971e-05	1.31429e-07	0	3.46114e-05	0	2.90857e-06	1.04e-06	0.06
1	100	0.0155057	0	4.56571e-05	1.37143e-07	0	3.45457e-05	0	2.92286e-06	1.02286e-06	0.06
1	100	0.0155018	0	4.56514e-05	1.34286e-07	0	3.456e-05	0	2.89143e-06	1.05143e-06	0.06
2	200	0.0172237	0	5.34686e-05	2.11429e-07	1.94286e-07	3.856e-05	0	3.12857e-06	1.04e-06	0.08
2	200	0.0172252	0	5.34343e-05	2.11429e-07	2.02857e-07	3.86114e-05	0	3.13143e-06	1.02857e-06	0.06
2	200	0.0172405	0	5.35657e-05	2.11429e-07	2.11429e-07	3.862e-05	0	3.12571e-06	1.02286e-06	0.06
2	200	0.0172315	0	5.35343e-05	2.11429e-07	2.25714e-07	3.85914e-05	0	3.11714e-06	1.03714e-06	0.06
2	200	0.0172283	0	5.34686e-05	2.11429e-07	2.08571e-07	3.85686e-05	0	3.1e-06	1.05714e-06	0.06
2	200	0.0172361	0	5.34743e-05	2.17143e-07	1.97143e-07	3.85886e-05	0	3.13714e-06	1.02e-06	0.06
2	200	0.0172324	0	5.34629e-05	2.08571e-07	1.97143e-07	3.86714e-05	0	3.12857e-06	1.04286e-06	0.06
2	200	0.0172433	0	5.35314e-05	2.08571e-07	1.94286e-07	3.864e-05	0	3.12571e-06	1.06286e-06	0.06
2	200	0.0172439	0	5.35571e-05	2.14286e-07	2.11429e-07	3.86371e-05	0	3.12571e-06	1.03143e-06	0.06
2	200	0.0172395	0	5.35114e-05	2.08571e-07	2.08571e-07	3.86486e-05	0	3.12571e-06	1.03143e-06	0.06
3	300	0.0183311	0.332226	5.882e-05	2.57143e-07	4.94286e-07	4.12257e-05	0	3.41429e-06	1.70857e-06	0.09
3	300	0.0183811	0.990099	5.93371e-05	2.48571e-07	4.14286e-07	4.14857e-05	0	3.43429e-06	2.38571e-06	0.06
3	300	0.0182676	0.332226	5.86857e-05	2.57143e-07	4.74286e-07	4.11314e-05	0	3.39429e-06	1.63429e-06	0.06
3	300	0.0183385	0.332226	5.88457e-05	2.6e-07	5.02857e-07	4.12457e-05	0	3.40857e-06	1.70286e-06	0.06
3	300	0.0183227	0.332226	5.87657e-05	2.54286e-07	5.08571e-07	4.11914e-05	0	3.41143e-06	1.74e-06	0.06
3	300	0.0185724	1.63934	5.91543e-05	2.57143e-07	4.8e-07	4.13971e-05	0	3.39143e-06	3.15143e-06	0.06
3	300	0.0185753	1.63934	5.91229e-05	2.57143e-07	4.8e-07	4.138e-05	0	3.37714e-06	3.20857e-06	0.06
3	300	0.018553	0.990099	5.886e-05	2.6e-07	5.02857e-07	4.12543e-05	0	3.41429e-06	2.48286e-06	0.06
3	300	0.0183381	0.332226	5.88886e-05	2.62857e-07	5e-07	4.12657e-05	0	3.40857e-06	1.71429e-06	0.06
3	300	0.0183848	0.990099	5.882e-05	2.51429e-07	6.42857e-07	4.10514e-05	0	3.4e-06	2.50286e-06	0.06
4	400	0.0202173	3.38164	6.57314e-05	3.65714e-07	1.03143e-06	4.43086e-05	0	3.88e-06	5.2e-06	0.08
4	400	0.0202245	3.38164	6.58714e-05	3.62857e-07	9.85714e-07	4.43143e-05	0	3.90857e-06	5.19714e-06	0.07
4	400	0.0203228	2.91262	6.58143e-05	3.51429e-07	8.05714e-07	4.44343e-05	0	3.89429e-06	4.84571e-06	0.06
4	400	0.0199219	3.1477	6.59143e-05	3.57143e-07	8.88571e-07	4.43657e-05	0	3.9e-06	4.29143e-06	0.07
4	400	0.020184	2.91262	6.57429e-05	3.6e-07	8.45714e-07	4.44457e-05	0	3.86e-06	4.71714e-06	0.07
4	400	0.0201755	2.91262	6.57943e-05	3.51429e-07	8.25714e-07	4.44029e-05	0	3.88286e-06	4.65429e-06	0.06
4	400	0.0201839	3.1477	6.57314e-05	3.51429e-07	9.88571e-07	4.42286e-05	0	3.86857e-06	5.13143e-06	0.06
4	400	0.0201893	2.91262	6.598e-05	3.54286e-07	8.2e-07	4.44886e-05	0	3.87429e-06	4.67429e-06	0.07
