N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.010328	0	1.68057e-05	3.71429e-08	0	1.34886e-05	8.57143e-09	6.85143e-06	1.13143e-06
1	100	0.0103326	0	1.68657e-05	3.71429e-08	0	1.34829e-05	8.57143e-09	6.84571e-06	1.13429e-06
1	100	0.010327	0	1.68114e-05	3.71429e-08	0	1.34943e-05	8.57143e-09	6.84857e-06	1.12857e-06
1	100	0.0103324	0	1.68657e-05	3.71429e-08	0	1.34914e-05	8.57143e-09	6.84857e-06	1.13143e-06
1	100	0.0103273	0	1.68143e-05	3.71429e-08	0	1.34829e-05	8.57143e-09	6.84857e-06	1.13143e-06
1	100	0.0103259	0	1.68114e-05	3.71429e-08	0	1.34829e-05	8.57143e-09	6.84571e-06	1.13143e-06
1	100	0.0103305	0	1.68314e-05	3.71429e-08	0	1.34886e-05	8.57143e-09	6.84857e-06	1.13143e-06
1	100	0.01033	0	1.68429e-05	3.71429e-08	0	1.34771e-05	8.57143e-09	6.84571e-06	1.14e-06
1	100	0.0103296	0	1.68286e-05	3.71429e-08	0	1.34943e-05	8.57143e-09	6.84571e-06	1.13143e-06
1	100	0.0103266	0	1.68086e-05	3.71429e-08	0	1.34771e-05	8.57143e-09	6.84857e-06	1.14e-06
2	200	0.0110849	0	1.952e-05	5.42857e-08	0	1.50171e-05	1.14286e-08	8.60571e-06	1.12857e-06
2	200	0.0110919	0	1.95257e-05	5.42857e-08	0	1.50143e-05	1.14286e-08	8.64e-06	1.12857e-06
2	200	0.0110974	0	1.95571e-05	5.42857e-08	0	1.50143e-05	1.14286e-08	8.65714e-06	1.12857e-06
2	200	0.0110926	0	1.95286e-05	5.42857e-08	0	1.50229e-05	1.14286e-08	8.63143e-06	1.13143e-06
2	200	0.0110971	0	1.95429e-05	5.42857e-08	0	1.50143e-05	1.14286e-08	8.66e-06	1.12286e-06
2	200	0.011088	0	1.952e-05	5.42857e-08	0	1.50171e-05	1.14286e-08	8.61143e-06	1.13143e-06
2	200	0.0110804	0	1.95086e-05	5.42857e-08	0	1.50143e-05	1.14286e-08	8.61429e-06	1.12857e-06
2	200	0.011089	0	1.95171e-05	5.42857e-08	0	1.50171e-05	1.14286e-08	8.62286e-06	1.12857e-06
2	200	0.0110901	0	1.95286e-05	5.42857e-08	0	1.49971e-05	1.14286e-08	8.64571e-06	1.13143e-06
2	200	0.011091	0	1.95371e-05	5.42857e-08	0	1.50143e-05	1.14286e-08	8.64286e-06	1.12571e-06
3	300	0.0114226	2.5974	2.05886e-05	6e-08	0	1.54457e-05	1.42857e-08	9.54857e-06	2.18571e-06
3	300	0.0113627	0.990099	2.04886e-05	6.28571e-08	0	1.54629e-05	1.42857e-08	9.46e-06	1.67143e-06
3	300	0.0113604	0.990099	2.04971e-05	6.28571e-08	0	1.54514e-05	1.42857e-08	9.45143e-06	1.67714e-06
3	300	0.0113979	3.22581	2.05657e-05	6e-08	0	1.54343e-05	1.42857e-08	9.63714e-06	2.22571e-06
3	300	0.0113638	0.990099	2.054e-05	6e-08	0	1.546e-05	1.42857e-08	9.44857e-06	1.66857e-06
3	300	0.011396	2.91262	2.04486e-05	6e-08	0	1.54514e-05	1.42857e-08	9.41714e-06	2.27714e-06
3	300	0.0114144	2.5974	2.05286e-05	6e-08	0	1.546e-05	1.42857e-08	9.51143e-06	2.18857e-06
3	300	0.0113845	2.5974	2.04743e-05	6e-08	0	1.54514e-05	1.42857e-08	9.48286e-06	2.24857e-06
3	300	0.0113839	1.31579	2.04286e-05	6e-08	0	1.54514e-05	1.42857e-08	9.48857e-06	1.93429e-06
3	300	0.0113744	2.5974	2.04286e-05	6e-08	0	1.54486e-05	1.42857e-08	9.46571e-06	2.24571e-06
4	400	0.0117818	5.88235	2.12457e-05	7.71429e-08	0	1.56314e-05	1.71429e-08	1.028e-05	3.67714e-06
4	400	0.0119538	8.25688	2.12771e-05	7.71429e-08	0	1.57514e-05	1.42857e-08	1.02057e-05	4.68e-06
