N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0185565	0	5.52543e-05	1.57143e-07	0	3.08029e-05	8.57143e-09	2.70714e-05	2.40286e-06	0.43
1	100	0.0185524	0	5.52571e-05	1.54286e-07	0	3.078e-05	8.57143e-09	2.704e-05	2.41714e-06	0.41
1	100	0.0185521	0	5.52229e-05	1.57143e-07	0	3.07829e-05	8.57143e-09	2.70571e-05	2.43714e-06	0.41
1	100	0.0185543	0	5.52543e-05	1.54286e-07	0	3.07714e-05	8.57143e-09	2.70629e-05	2.43429e-06	0.41
1	100	0.01856	0	5.528e-05	1.48571e-07	0	3.08029e-05	8.57143e-09	2.70743e-05	2.41429e-06	0.41
1	100	0.0185475	0	5.52429e-05	1.51429e-07	0	3.07543e-05	8.57143e-09	2.70543e-05	2.4e-06	0.41
1	100	0.018557	0	5.52714e-05	1.57143e-07	0	3.07971e-05	8.57143e-09	2.70686e-05	2.40857e-06	0.41
1	100	0.0185565	0	5.52486e-05	1.54286e-07	0	3.07714e-05	8.57143e-09	2.70971e-05	2.41143e-06	0.41
1	100	0.0185482	0	5.52286e-05	1.51429e-07	0	3.07657e-05	8.57143e-09	2.70371e-05	2.42571e-06	0.41
1	100	0.0185536	0	5.52771e-05	1.57143e-07	0	3.076e-05	8.57143e-09	2.70343e-05	2.42286e-06	0.41
2	200	0.0219216	0.990099	6.57143e-05	2.42857e-07	0	3.56314e-05	1.14286e-08	3.72657e-05	3.98571e-06	0.51
2	200	0.0219295	0.990099	6.57229e-05	2.42857e-07	0	3.564e-05	1.14286e-08	3.73371e-05	3.99143e-06	0.42
2	200	0.0219199	0.990099	6.57114e-05	2.4e-07	0	3.56286e-05	1.14286e-08	3.72e-05	3.99143e-06	0.42
2	200	0.0219249	0.990099	6.57143e-05	2.42857e-07	0	3.56657e-05	1.14286e-08	3.72114e-05	3.99143e-06	0.42
2	200	0.0219136	0.990099	6.57314e-05	2.45714e-07	0	3.56257e-05	1.14286e-08	3.71743e-05	3.99714e-06	0.42
2	200	0.0219307	0.990099	6.56714e-05	2.4e-07	0	3.56457e-05	1.14286e-08	3.736e-05	3.99714e-06	0.42
2	200	0.0219232	0.990099	6.56914e-05	2.42857e-07	0	3.564e-05	1.14286e-08	3.726e-05	4.00571e-06	0.42
2	200	0.021936	0.990099	6.57029e-05	2.4e-07	0	3.56e-05	1.14286e-08	3.74286e-05	3.99429e-06	0.42
2	200	0.0219227	0.990099	6.56686e-05	2.4e-07	0	3.564e-05	1.14286e-08	3.72857e-05	3.98571e-06	0.42
2	200	0.021946	0.990099	6.57343e-05	2.42857e-07	0	3.56886e-05	1.14286e-08	3.73286e-05	3.99714e-06	0.42
3	300	0.0245391	4.4586	7.34286e-05	3.02857e-07	0	3.91286e-05	1.42857e-08	4.50114e-05	9.86857e-06	0.45
3	300	0.0245371	4.7619	7.35257e-05	3.05714e-07	0	3.90743e-05	1.42857e-08	4.50743e-05	1.04114e-05	0.43
3	300	0.0244883	4.7619	7.338e-05	2.97143e-07	0	3.884e-05	1.42857e-08	4.47143e-05	1.034e-05	0.43
3	300	0.0243816	2.91262	7.356e-05	3.11429e-07	0	3.90371e-05	1.42857e-08	4.52343e-05	6.95429e-06	0.42
3	300	0.0243123	2.91262	7.33629e-05	3.05714e-07	0	3.902e-05	1.42857e-08	4.46971e-05	7e-06	0.43
3	300	0.0243013	2.91262	7.344e-05	3.02857e-07	0	3.88143e-05	1.42857e-08	4.47771e-05	6.94571e-06	0.43
3	300	0.0238503	1.63934	7.36029e-05	3.08571e-07	0	3.89429e-05	1.42857e-08	4.47371e-05	5.03429e-06	0.43
