N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0103057	0	1.578e-05	1.74286e-07	0	1.34943e-05	2.51429e-07	7.20286e-06	1.19429e-06
1	100	0.0103046	0	1.57886e-05	1.74286e-07	0	1.34943e-05	2.54286e-07	7.18857e-06	1.19429e-06
1	100	0.0103056	0	1.57971e-05	1.74286e-07	0	1.34914e-05	2.48571e-07	7.19429e-06	1.19143e-06
1	100	0.0103054	0	1.58e-05	1.74286e-07	0	1.34829e-05	2.48571e-07	7.19429e-06	1.2e-06
1	100	0.0103036	0	1.57886e-05	1.74286e-07	0	1.34943e-05	2.45714e-07	7.2e-06	1.19714e-06
1	100	0.010305	0	1.57914e-05	1.74286e-07	0	1.34943e-05	2.48571e-07	7.2e-06	1.19714e-06
1	100	0.0103046	0	1.57857e-05	1.74286e-07	0	1.34914e-05	2.54286e-07	7.19429e-06	1.19143e-06
1	100	0.0103048	0	1.57914e-05	1.74286e-07	0	1.35029e-05	2.48571e-07	7.19143e-06	1.18857e-06
1	100	0.0103064	0	1.58114e-05	1.74286e-07	0	1.34914e-05	2.51429e-07	7.19429e-06	1.19429e-06
1	100	0.0103054	0	1.57943e-05	1.74286e-07	0	1.34886e-05	2.51429e-07	7.19714e-06	1.19714e-06
2	200	0.0110357	0	1.818e-05	2.48571e-07	0	1.50171e-05	2.51429e-07	8.99143e-06	1.19143e-06
2	200	0.0110317	0	1.81743e-05	2.48571e-07	0	1.50086e-05	2.51429e-07	8.96857e-06	1.19714e-06
2	200	0.0110347	0	1.816e-05	2.48571e-07	0	1.50143e-05	2.48571e-07	9.01143e-06	1.19429e-06
2	200	0.0110293	0	1.81543e-05	2.48571e-07	0	1.502e-05	2.45714e-07	8.97429e-06	1.19143e-06
2	200	0.01103	0	1.81686e-05	2.48571e-07	0	1.50057e-05	2.51429e-07	8.96857e-06	1.19429e-06
2	200	0.0110317	0	1.81743e-05	2.48571e-07	0	1.50143e-05	2.48571e-07	8.97143e-06	1.19429e-06
2	200	0.0110327	0	1.81629e-05	2.48571e-07	0	1.50171e-05	2.51429e-07	8.98286e-06	1.19143e-06
2	200	0.0110348	0	1.81714e-05	2.48571e-07	0	1.50114e-05	2.51429e-07	9.00571e-06	1.19143e-06
2	200	0.0110323	0	1.81857e-05	2.48571e-07	0	1.50143e-05	2.48571e-07	8.97429e-06	1.19143e-06
2	200	0.0110324	0	1.818e-05	2.48571e-07	0	1.50029e-05	2.48571e-07	8.98e-06	1.19143e-06
3	300	0.0113001	2.5974	1.89714e-05	2.88571e-07	0	1.54429e-05	2.48571e-07	9.73429e-06	2.28286e-06
3	300	0.0113205	1.96078	1.89743e-05	2.88571e-07	0	1.54543e-05	2.48571e-07	9.78286e-06	2.06e-06
3	300	0.0113632	2.5974	1.89686e-05	2.91429e-07	0	1.54486e-05	2.48571e-07	9.74571e-06	2.38e-06
3	300	0.0113656	2.5974	1.896e-05	2.91429e-07	0	1.54457e-05	2.48571e-07	9.77143e-06	2.34286e-06
3	300	0.0113168	1.31579	1.89886e-05	2.91429e-07	0	1.54543e-05	2.45714e-07	9.78857e-06	1.97429e-06
3	300	0.011366	3.84615	1.89514e-05	2.91429e-07	0	1.54429e-05	2.45714e-07	9.74286e-06	2.66857e-06
3	300	0.0113563	2.5974	1.89514e-05	2.91429e-07	0	1.54429e-05	2.48571e-07	9.74857e-06	2.32571e-06
3	300	0.0113145	1.31579	1.89857e-05	2.91429e-07	0	1.54543e-05	2.48571e-07	9.78286e-06	1.96e-06
3	300	0.0113444	3.22581	1.89286e-05	2.88571e-07	0	1.54457e-05	2.48571e-07	9.74e-06	2.52e-06
3	300	0.0113196	1.31579	1.90114e-05	2.91429e-07	0	1.54486e-05	2.45714e-07	9.80857e-06	1.97429e-06
4	400	0.0116098	6.54206	1.95286e-05	3.31429e-07	0	1.56486e-05	2.48571e-07	1.05171e-05	3.75429e-06
4	400	0.0115993	4.53461	1.95429e-05	3.34286e-07	0	1.566e-05	2.45714e-07	1.05657e-05	3.02571e-06
4	400	0.0115742	4.98812	1.954e-05	3.37143e-07	0	1.56514e-05	2.48571e-07	1.05514e-05	3.31429e-06
4	400	0.0116621	5.43735	1.95171e-05	3.34286e-07	0	1.568e-05	2.45714e-07	1.048e-05	3.40857e-06
4	400	0.0117391	6.97674	1.95943e-05	3.34286e-07	0	1.56629e-05	2.51429e-07	1.062e-05	4.09143e-06
4	400	0.0118667	5.88235	1.95086e-05	3.34286e-07	0	1.56657e-05	2.48571e-07	1.044e-05	4.2e-06
4	400	0.0116466	6.54206	1.95771e-05	3.34286e-07	0	1.56743e-05	2.48571e-07	1.05771e-05	3.94571e-06
4	400	0.0115778	4.7619	1.948e-05	3.31429e-07	0	1.56457e-05	2.48571e-07	1.04714e-05	3.28857e-06
4	400	0.0115987	4.7619	1.95257e-05	3.34286e-07	0	1.56657e-05	2.51429e-07	1.05257e-05	3.07143e-06
4	400	0.0115714	4.98812	1.95029e-05	3.31429e-07	0	1.56571e-05	2.51429e-07	1.04914e-05	3.09714e-06
5	500	0.0117885	6.36704	1.99657e-05	3.51429e-07	0	1.58e-05	2.42857e-07	1.10143e-05	4.29429e-06
5	500	0.0120196	11.5044	2.00257e-05	3.6e-07	0	1.58286e-05	2.42857e-07	1.10486e-05	6.46571e-06
5	500	0.0123691	13.7931	2.01086e-05	3.57143e-07	0	1.58943e-05	2.42857e-07	1.10429e-05	8.21143e-06
5	500	0.0119768	10.0719	2.00029e-05	3.6e-07	0	1.58457e-05	2.42857e-07	1.09914e-05	5.59714e-06
5	500	0.0122558	12.2807	1.99829e-05	3.57143e-07	0	1.588e-05	2.42857e-07	1.09629e-05	7.15714e-06
5	500	0.0120747	11.032	1.99914e-05	3.6e-07	0	1.58457e-05	2.42857e-07	1.09886e-05	6.71143e-06
5	500	0.0119704	8.08824	1.99486e-05	3.57143e-07	0	1.58143e-05	2.42857e-07	1.09571e-05	4.99714e-06
5	500	0.0118292	7.0632	1.99571e-05	3.51429e-07	0	1.58086e-05	2.42857e-07	1.09714e-05	4.35143e-06
5	500	0.0125174	12.4343	2.00829e-05	3.54286e-07	0	1.59571e-05	2.42857e-07	1.09657e-05	7.30857e-06
5	500	0.0123184	11.8166	2.00057e-05	3.57143e-07	0	1.58771e-05	2.42857e-07	1.09314e-05	6.78e-06
6	600	0.0126277	13.5447	2.06914e-05	3.71429e-07	0	1.62057e-05	2.4e-07	1.16429e-05	8.09429e-06
6	600	0.0125824	12.6638	2.06429e-05	3.8e-07	0	1.61486e-05	2.4e-07	1.15771e-05	7.64857e-06
6	600	0.0130241	13.0435	2.064e-05	3.74286e-07	0	1.62114e-05	2.4e-07	1.14571e-05	7.97714e-06
6	600	0.0124973	13.5447	2.06314e-05	3.77143e-07	0	1.62e-05	2.4e-07	1.15114e-05	7.66e-06
6	600	0.0125789	13.0435	2.06486e-05	3.8e-07	0	1.618e-05	2.4e-07	1.16171e-05	8.14571e-06
6	600	0.0126712	10.847	2.07571e-05	3.77143e-07	0	1.62229e-05	2.4e-07	1.15886e-05	6.77714e-06
6	600	0.01256	13.1693	2.07543e-05	3.77143e-07	0	1.624e-05	2.4e-07	1.15629e-05	7.57143e-06
6	600	0.0128048	14.0401	2.06571e-05	3.77143e-07	0	1.61829e-05	2.4e-07	1.15143e-05	8.07143e-06
6	600	0.0129662	14.2857	2.07029e-05	3.74286e-07	0	1.62286e-05	2.4e-07	1.15e-05	7.69143e-06
6	600	0.0126863	14.408	2.05829e-05	3.8e-07	0	1.61457e-05	2.4e-07	1.146e-05	7.52857e-06
7	700	0.0140018	16.368	2.17457e-05	3.91429e-07	0	1.68657e-05	2.4e-07	1.22629e-05	9.67143e-06
7	700	0.0140838	18.9815	2.20314e-05	3.94286e-07	0	1.708e-05	2.4e-07	1.24571e-05	1.27543e-05
7	700	0.0134287	17.1598	2.18657e-05	3.97143e-07	0	1.7e-05	2.4e-07	1.22143e-05	1.12886e-05
7	700	0.0139347	17.9367	2.15571e-05	3.71429e-07	0	1.67314e-05	2.4e-07	1.20943e-05	1.14429e-05
7	700	0.0135093	16.368	2.19314e-05	3.94286e-07	0	1.69943e-05	2.4e-07	1.23771e-05	1.00114e-05
7	700	0.0156873	23.2456	2.19057e-05	3.97143e-07	0	1.70543e-05	2.4e-07	1.214e-05	1.48257e-05
7	700	0.0135626	17.8404	2.19886e-05	3.88571e-07	0	1.70657e-05	2.4e-07	1.23857e-05	1.20571e-05
7	700	0.0154938	21.875	2.22943e-05	3.94286e-07	0	1.72829e-05	2.4e-07	1.25371e-05	1.412e-05
7	700	0.0150421	20.7248	2.19286e-05	3.91429e-07	0	1.70714e-05	2.4e-07	1.22143e-05	1.32971e-05
7	700	0.0131426	13.0435	2.16657e-05	3.94286e-07	0	1.68486e-05	2.4e-07	1.21829e-05	7.9e-06
8	800	0.0141128	19.6787	2.28514e-05	3.62857e-07	0	1.75114e-05	2.42857e-07	1.30114e-05	1.22914e-05
8	800	0.014801	26.6055	2.26714e-05	3.74286e-07	0	1.73829e-05	2.42857e-07	1.28943e-05	1.84886e-05
8	800	0.0191614	28.3154	2.29629e-05	3.85714e-07	0	1.77314e-05	2.42857e-07	1.28286e-05	2.184e-05
8	800	0.0142265	19.6787	2.28171e-05	3.77143e-07	0	1.74886e-05	2.37143e-07	1.29429e-05	1.19657e-05
8	800	0.0165552	27.4047	2.25486e-05	3.71429e-07	0	1.74629e-05	2.42857e-07	1.25657e-05	2.02971e-05
8	800	0.0175161	28.3154	2.25743e-05	3.82857e-07	0	1.73714e-05	2.45714e-07	1.27286e-05	2.00229e-05
8	800	0.0163759	25.9259	2.28257e-05	3.82857e-07	0	1.76257e-05	2.48571e-07	1.274e-05	1.81229e-05
8	800	0.016216	23.445	2.28171e-05	3.62857e-07	0	1.75457e-05	2.48571e-07	1.28857e-05	1.58429e-05
8	800	0.0141242	23.0029	2.30429e-05	3.74286e-07	0	1.76571e-05	2.37143e-07	1.30829e-05	1.45543e-05
8	800	0.0157206	24.812	2.28057e-05	3.62857e-07	0	1.75e-05	2.42857e-07	1.29143e-05	1.65914e-05
9	900	0.0170763	26.8887	2.294e-05	3.68571e-07	0	1.75686e-05	2.31429e-07	1.30314e-05	2.04429e-05
9	900	0.0167229	29.078	2.36171e-05	3.8e-07	0	1.802e-05	2.31429e-07	1.34e-05	2.23886e-05
9	900	0.0173605	29.8519	2.36686e-05	3.77143e-07	0	1.80943e-05	2.31429e-07	1.33314e-05	2.27e-05
9	900	0.0179789	33.3827	2.328e-05	3.6e-07	0	1.78057e-05	2.31429e-07	1.31771e-05	2.94629e-05
9	900	0.0173524	29.7972	2.36971e-05	3.71429e-07	0	1.816e-05	2.31429e-07	1.32829e-05	2.40857e-05
9	900	0.0186625	30.9286	2.43657e-05	3.88571e-07	0	1.86971e-05	2.31429e-07	1.35914e-05	2.638e-05
9	900	0.0186032	31.0345	2.32514e-05	3.65714e-07	0	1.78686e-05	2.31429e-07	1.30486e-05	2.54857e-05
9	900	0.016282	30.7692	2.402e-05	3.74286e-07	0	1.83e-05	2.31429e-07	1.366e-05	2.47829e-05
9	900	0.0188757	28.8538	2.306e-05	3.62857e-07	0	1.76829e-05	2.31429e-07	1.29514e-05	2.14543e-05
9	900	0.0173533	28.4579	2.306e-05	3.71429e-07	0	1.77143e-05	2.34286e-07	1.29686e-05	2.16429e-05
10	1000	0.0212761	36.0205	2.47371e-05	3.88571e-07	0	1.89086e-05	2.28571e-07	1.38457e-05	3.40343e-05
10	1000	0.0184973	28.3668	2.39343e-05	3.71429e-07	0	1.82257e-05	2.28571e-07	1.35171e-05	2.12543e-05
10	1000	0.0189376	31.4599	2.42257e-05	3.6e-07	0	1.84971e-05	2.28571e-07	1.35914e-05	2.45057e-05
10	1000	0.0203084	31.6473	2.486e-05	3.88571e-07	0	1.90314e-05	2.28571e-07	1.38029e-05	2.686e-05
10	1000	0.0204254	32.7052	2.40743e-05	3.77143e-07	0	1.83457e-05	2.28571e-07	1.35371e-05	2.76829e-05
10	1000	0.0202748	37.3826	2.40829e-05	3.8e-07	0	1.84429e-05	2.31429e-07	1.35229e-05	3.40914e-05
10	1000	0.0213493	35.0227	2.46971e-05	3.77143e-07	0	1.88971e-05	2.28571e-07	1.376e-05	3.08486e-05
10	1000	0.0210586	35.1912	2.31486e-05	3.74286e-07	0	1.77743e-05	2.28571e-07	1.29486e-05	3.19857e-05
10	1000	0.0203865	35.9795	2.36457e-05	3.74286e-07	0	1.81571e-05	2.28571e-07	1.31829e-05	3.08114e-05
10	1000	0.0215264	34.2538	2.47257e-05	3.85714e-07	0	1.89e-05	2.28571e-07	1.38514e-05	3.08914e-05
11	1100	0.0218888	36.8179	2.33371e-05	3.82857e-07	0	1.78686e-05	2.51429e-07	1.30286e-05	3.49971e-05
11	1100	0.0213212	35.6349	2.42571e-05	3.91429e-07	0	1.84457e-05	2.42857e-07	1.37343e-05	3.23714e-05
11	1100	0.021409	36.2319	2.49657e-05	3.94286e-07	0	1.89886e-05	2.42857e-07	1.40429e-05	3.24714e-05
11	1100	0.0215847	36.3794	2.60571e-05	4.11429e-07	0	1.97086e-05	2.45714e-07	1.46914e-05	3.58971e-05
11	1100	0.0226449	35.0266	2.34943e-05	3.8e-07	0	1.78943e-05	2.37143e-07	1.32571e-05	3.22914e-05
11	1100	0.0223165	39.6268	2.52514e-05	4.08571e-07	0	1.916e-05	2.42857e-07	1.42743e-05	3.99429e-05
11	1100	0.021992	37.818	2.41229e-05	3.91429e-07	0	1.838e-05	2.48571e-07	1.35771e-05	3.79743e-05
11	1100	0.0220565	38.1675	2.44657e-05	3.94286e-07	0	1.86657e-05	2.37143e-07	1.37e-05	3.75657e-05
11	1100	0.0227328	38.6503	2.56229e-05	4.05714e-07	0	1.94743e-05	2.42857e-07	1.43371e-05	4.25714e-05
11	1100	0.0203543	35.6349	2.53943e-05	4.02857e-07	0	1.91686e-05	2.37143e-07	1.44514e-05	3.27114e-05
12	1200	0.0235697	40.4467	2.62886e-05	3.85714e-07	0	2.00229e-05	2.4e-07	1.486e-05	4.40057e-05
12	1200	0.0247323	42.0849	2.70429e-05	4.25714e-07	0	2.05743e-05	2.4e-07	1.53e-05	5.28714e-05
12	1200	0.0239514	42.5287	2.70514e-05	4.2e-07	0	2.05943e-05	2.4e-07	1.52743e-05	5.22057e-05
12	1200	0.0238219	43.316	2.75629e-05	4.22857e-07	0	2.08257e-05	2.4e-07	1.57429e-05	5.44314e-05
12	1200	0.0226548	40.77	2.69829e-05	4.31429e-07	0	2.04686e-05	2.4e-07	1.54086e-05	4.46114e-05
12	1200	0.0234041	40.03	2.75371e-05	4.45714e-07	0	2.08371e-05	2.4e-07	1.566e-05	4.396e-05
12	1200	0.0228434	41.0898	2.64314e-05	4.28571e-07	0	2.01286e-05	2.4e-07	1.50371e-05	4.51543e-05
12	1200	0.0254594	42.8843	2.80857e-05	4.28571e-07	0	2.13943e-05	2.4e-07	1.57114e-05	4.94286e-05
12	1200	0.0231845	41.4634	2.64057e-05	3.91429e-07	0	2.00686e-05	2.4e-07	1.50229e-05	4.58086e-05
12	1200	0.0220286	39.3327	2.79171e-05	4.34286e-07	0	2.11171e-05	2.4e-07	1.58343e-05	4.10686e-05
