N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0180654	0	5.02714e-05	5.8e-07	0	3.09e-05	8.57143e-09	2.65629e-05	2.43429e-06	0.49
1	100	0.0180773	0	5.03314e-05	5.91429e-07	0	3.09543e-05	8.57143e-09	2.65514e-05	2.44e-06	0.40
1	100	0.0180695	0	5.03457e-05	5.8e-07	0	3.086e-05	8.57143e-09	2.65771e-05	2.42e-06	0.41
1	100	0.0180726	0	5.03514e-05	5.8e-07	0	3.08514e-05	8.57143e-09	2.66114e-05	2.44857e-06	0.41
1	100	0.0180657	0	5.03286e-05	5.8e-07	0	3.08229e-05	8.57143e-09	2.65829e-05	2.45143e-06	0.41
1	100	0.0180676	0	5.03886e-05	5.8e-07	0	3.08286e-05	8.57143e-09	2.65943e-05	2.43429e-06	0.41
1	100	0.018071	0	5.03914e-05	5.82857e-07	0	3.08429e-05	8.57143e-09	2.65714e-05	2.45714e-06	0.41
1	100	0.0180687	0	5.036e-05	5.8e-07	0	3.084e-05	8.57143e-09	2.65914e-05	2.44e-06	0.41
1	100	0.0180684	0	5.03657e-05	5.8e-07	0	3.08086e-05	8.57143e-09	2.66086e-05	2.43714e-06	0.41
1	100	0.0180632	0	5.03314e-05	5.85714e-07	0	3.08286e-05	8.57143e-09	2.65857e-05	2.45714e-06	0.41
2	200	0.021692	1.96078	6.00371e-05	8.62857e-07	0	3.57171e-05	1.14286e-08	3.65629e-05	5.30286e-06	0.50
2	200	0.0216708	1.96078	5.99886e-05	8.68571e-07	0	3.57257e-05	1.14286e-08	3.64686e-05	5.25143e-06	0.42
2	200	0.0216622	1.96078	5.988e-05	8.65714e-07	0	3.56686e-05	1.14286e-08	3.64714e-05	5.29714e-06	0.42
2	200	0.0216756	1.96078	5.99486e-05	8.71429e-07	0	3.57314e-05	1.14286e-08	3.648e-05	5.32571e-06	0.42
2	200	0.0216905	1.96078	6.002e-05	8.65714e-07	0	3.57086e-05	1.14286e-08	3.66314e-05	5.28e-06	0.42
2	200	0.021697	1.96078	6.00486e-05	8.77143e-07	0	3.57143e-05	1.14286e-08	3.66e-05	5.29714e-06	0.42
2	200	0.0216891	1.96078	6.00314e-05	8.68571e-07	0	3.57086e-05	1.14286e-08	3.65857e-05	5.29143e-06	0.42
2	200	0.0216876	1.96078	5.99829e-05	8.71429e-07	0	3.57571e-05	1.14286e-08	3.65343e-05	5.32571e-06	0.42
2	200	0.02169	1.96078	5.99943e-05	8.68571e-07	0	3.57143e-05	1.14286e-08	3.65857e-05	5.33143e-06	0.42
2	200	0.0216921	1.96078	6.00571e-05	8.65714e-07	0	3.57857e-05	1.14286e-08	3.64514e-05	5.34286e-06	0.42
3	300	0.023616	2.91262	6.72657e-05	1.07714e-06	0	3.90086e-05	1.42857e-08	4.384e-05	7.08857e-06	0.51
3	300	0.0235296	1.96078	6.73886e-05	1.05429e-06	0	3.90171e-05	1.42857e-08	4.39514e-05	5.68e-06	0.42
3	300	0.0236073	2.91262	6.73314e-05	1.08286e-06	0	3.90743e-05	1.42857e-08	4.378e-05	6.85143e-06	0.42
3	300	0.0234944	2.5974	6.70886e-05	1.07429e-06	0	3.89971e-05	1.42857e-08	4.36229e-05	7.15714e-06	0.42
3	300	0.0237928	3.53698	6.72e-05	1.06857e-06	0	3.90371e-05	1.42857e-08	4.41829e-05	8.51429e-06	0.42
3	300	0.0237031	2.5974	6.72429e-05	1.05429e-06	0	3.90229e-05	1.42857e-08	4.384e-05	7.20857e-06	0.43
3	300	0.0238868	3.53698	6.74457e-05	1.09143e-06	0	3.90771e-05	1.42857e-08	4.364e-05	8.64e-06	0.43
3	300	0.0233367	1.96078	6.72714e-05	1.08286e-06	0	3.89743e-05	1.42857e-08	4.386e-05	5.43143e-06	0.43
3	300	0.0237428	4.7619	6.72914e-05	1.09143e-06	0	3.90486e-05	1.42857e-08	4.40257e-05	9.76286e-06	0.43
3	300	0.0238118	2.91262	6.75029e-05	1.06857e-06	0	3.91514e-05	1.42857e-08	4.42257e-05	7.03429e-06	0.43
4	400	0.0278027	12.854	7.66714e-05	1.36286e-06	0	4.32086e-05	1.71429e-08	5.21457e-05	2.15543e-05	0.53
4	400	0.0276835	12.854	7.65314e-05	1.39429e-06	0	4.31743e-05	1.42857e-08	5.21743e-05	2.21743e-05	0.51
4	400	0.0280585	10.7143	7.77371e-05	1.34e-06	0	4.37114e-05	1.71429e-08	5.28971e-05	2.00743e-05	0.51
4	400	0.0268325	6.75991	7.65571e-05	1.34571e-06	0	4.31543e-05	1.71429e-08	5.23343e-05	1.20914e-05	0.51
4	400	0.0274823	11.6998	7.784e-05	1.41143e-06	0	4.37286e-05	1.42857e-08	5.27771e-05	1.82886e-05	0.50
4	400	0.0275108	10.7143	7.74229e-05	1.39429e-06	0	4.354e-05	1.42857e-08	5.282e-05	1.82886e-05	0.51
4	400	0.0276118	9.09091	7.70771e-05	1.34e-06	0	4.34857e-05	1.71429e-08	5.26657e-05	2.09971e-05	0.51
4	400	0.0285028	13.9785	7.77e-05	1.37143e-06	0	4.37e-05	1.42857e-08	5.35229e-05	2.56829e-05	0.50
4	400	0.0274647	12.4726	7.78429e-05	1.37429e-06	0	4.36571e-05	1.71429e-08	5.29457e-05	2.06914e-05	0.50
4	400	0.0280585	13.2321	7.724e-05	1.37429e-06	0	4.35429e-05	1.71429e-08	5.23057e-05	2.01371e-05	0.51
5	500	0.0344436	17.0813	9.01343e-05	1.51714e-06	0	4.91686e-05	1.42857e-08	6.36429e-05	3.472e-05	0.71
5	500	0.0350996	20.1278	9.24943e-05	1.50857e-06	0	5.00971e-05	1.42857e-08	6.41343e-05	4.37143e-05	0.61
5	500	0.0345023	19.3548	8.96114e-05	1.44571e-06	0	4.896e-05	1.42857e-08	6.27371e-05	3.648e-05	0.62
5	500	0.032048	11.3475	9.13e-05	1.48286e-06	0	4.972e-05	1.14286e-08	6.41886e-05	2.38429e-05	0.62
5	500	0.0363546	20.7607	9.28714e-05	1.64e-06	0	5.032e-05	1.42857e-08	6.41771e-05	4.24486e-05	0.61
5	500	0.0363333	19.4847	9.10286e-05	1.46286e-06	0	4.96571e-05	1.42857e-08	6.34629e-05	4.80771e-05	0.62
5	500	0.035879	21.3836	9.04743e-05	1.62e-06	0	4.93971e-05	1.42857e-08	6.30371e-05	4.31886e-05	0.62
5	500	0.035468	21.9969	8.82629e-05	1.48571e-06	0	4.844e-05	1.42857e-08	6.10229e-05	4.08343e-05	0.61
5	500	0.0324411	15.3976	9.06343e-05	1.45143e-06	0	4.92714e-05	1.42857e-08	6.30029e-05	3.20886e-05	0.62
5	500	0.0349881	17.3554	9.17114e-05	1.52857e-06	0	4.99771e-05	1.42857e-08	6.41171e-05	3.49486e-05	0.61
6	600	0.0448224	29.4118	0.000112683	2.00571e-06	0	5.90429e-05	1.71429e-08	7.97886e-05	8.918e-05	0.81
6	600	0.0478919	31.3501	0.00011034	1.91143e-06	0	5.82686e-05	1.71429e-08	7.68943e-05	9.23143e-05	0.73
6	600	0.047798	27.0073	0.000109957	1.94286e-06	0	5.796e-05	1.71429e-08	7.69829e-05	7.50886e-05	0.72
6	600	0.0469821	32.8859	0.000108137	1.94e-06	0	5.74286e-05	1.71429e-08	7.556e-05	9.42914e-05	0.72
6	600	0.0457419	26.0173	0.000111637	1.97714e-06	0	5.874e-05	1.71429e-08	7.83514e-05	6.92e-05	0.72
6	600	0.044025	29.3286	0.000111951	1.9e-06	0	5.86543e-05	1.42857e-08	7.91943e-05	9.11743e-05	0.73
6	600	0.0482447	33.9934	0.00011274	1.94857e-06	0	5.90829e-05	1.71429e-08	7.88257e-05	9.39171e-05	0.73
6	600	0.0480826	30.2326	0.000108391	1.92857e-06	0	5.74114e-05	1.71429e-08	7.57457e-05	8.03314e-05	0.72
6	600	0.0469466	33.5548	0.00010904	1.96286e-06	0	5.82571e-05	1.71429e-08	7.53629e-05	8.922e-05	0.72
6	600	0.0429545	25.5583	0.000108094	1.84571e-06	0	5.71714e-05	1.42857e-08	7.56543e-05	6.23629e-05	0.73
7	700	0.0570553	37.1069	0.000130357	2.03143e-06	0	6.67543e-05	1.42857e-08	9.162e-05	0.000134491	0.93
7	700	0.0623417	37.3882	0.000132669	2.29143e-06	0	6.79486e-05	1.71429e-08	9.29314e-05	0.000142003	0.84
