N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0103063	0	1.57886e-05	2.02857e-07	0	1.34943e-05	2.48571e-07	7.17143e-06	1.19429e-06
1	100	0.0103045	0	1.57771e-05	2.02857e-07	0	1.34829e-05	2.51429e-07	7.17143e-06	1.2e-06
1	100	0.0103056	0	1.57829e-05	2.05714e-07	0	1.34886e-05	2.51429e-07	7.17429e-06	1.2e-06
1	100	0.0103076	0	1.58057e-05	2.02857e-07	0	1.34943e-05	2.48571e-07	7.17429e-06	1.19714e-06
1	100	0.0103051	0	1.57971e-05	2.02857e-07	0	1.34914e-05	2.45714e-07	7.17714e-06	1.19143e-06
1	100	0.0103043	0	1.57771e-05	2e-07	0	1.34886e-05	2.51429e-07	7.17143e-06	1.19714e-06
1	100	0.0103071	0	1.58e-05	2.08571e-07	0	1.34943e-05	2.51429e-07	7.17429e-06	1.19429e-06
1	100	0.0103051	0	1.57886e-05	2.02857e-07	0	1.34829e-05	2.48571e-07	7.17429e-06	1.19714e-06
1	100	0.0103056	0	1.58e-05	2.05714e-07	0	1.34857e-05	2.48571e-07	7.17714e-06	1.19429e-06
1	100	0.0103049	0	1.57943e-05	2.02857e-07	0	1.34886e-05	2.48571e-07	7.17429e-06	1.19714e-06
2	200	0.0110379	0	1.81743e-05	2.91429e-07	0	1.502e-05	2.45714e-07	8.96571e-06	1.19143e-06
2	200	0.0110404	0	1.81943e-05	2.91429e-07	0	1.50143e-05	2.51429e-07	8.96857e-06	1.19143e-06
2	200	0.0110345	0	1.81629e-05	2.91429e-07	0	1.50114e-05	2.51429e-07	8.94857e-06	1.19714e-06
2	200	0.011039	0	1.81686e-05	2.91429e-07	0	1.50171e-05	2.51429e-07	8.97429e-06	1.19429e-06
2	200	0.0110295	0	1.81457e-05	2.91429e-07	0	1.50143e-05	2.51429e-07	8.93429e-06	1.19714e-06
2	200	0.0110354	0	1.81771e-05	2.91429e-07	0	1.50171e-05	2.51429e-07	8.94571e-06	1.19429e-06
2	200	0.0110355	0	1.81629e-05	2.91429e-07	0	1.50171e-05	2.48571e-07	8.95429e-06	1.19714e-06
2	200	0.0110331	0	1.816e-05	2.88571e-07	0	1.502e-05	2.48571e-07	8.95429e-06	1.19143e-06
2	200	0.0110324	0	1.81657e-05	2.88571e-07	0	1.502e-05	2.51429e-07	8.94857e-06	1.19143e-06
2	200	0.0110329	0	1.81743e-05	2.88571e-07	0	1.49971e-05	2.48571e-07	8.95143e-06	1.19429e-06
3	300	0.0113482	3.22581	1.89229e-05	3.45714e-07	0	1.54457e-05	2.48571e-07	9.71143e-06	2.52857e-06
3	300	0.0113667	2.5974	1.89457e-05	3.42857e-07	0	1.54486e-05	2.48571e-07	9.75143e-06	2.34571e-06
