N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0180653	0	5.03971e-05	6.08571e-07	0	3.08514e-05	8.57143e-09	2.65171e-05	2.41143e-06	0.43
1	100	0.0180669	0	5.03886e-05	6.08571e-07	0	3.08571e-05	8.57143e-09	2.654e-05	2.42286e-06	0.41
1	100	0.0180593	0	5.03514e-05	6.11429e-07	0	3.08429e-05	8.57143e-09	2.65029e-05	2.42286e-06	0.41
1	100	0.0180629	0	5.03457e-05	6.14286e-07	0	3.08657e-05	8.57143e-09	2.64914e-05	2.43429e-06	0.41
1	100	0.0180678	0	5.036e-05	6.14286e-07	0	3.09057e-05	8.57143e-09	2.65171e-05	2.40571e-06	0.41
1	100	0.0180626	0	5.03429e-05	6.08571e-07	0	3.08714e-05	8.57143e-09	2.65057e-05	2.40286e-06	0.41
1	100	0.0180559	0	5.03429e-05	6.11429e-07	0	3.08429e-05	8.57143e-09	2.65029e-05	2.40286e-06	0.41
1	100	0.0180623	0	5.03657e-05	5.97143e-07	0	3.08486e-05	8.57143e-09	2.65343e-05	2.40571e-06	0.41
1	100	0.0180692	0	5.03457e-05	6.11429e-07	0	3.09143e-05	8.57143e-09	2.652e-05	2.41714e-06	0.41
1	100	0.0180652	0	5.034e-05	6.08571e-07	0	3.086e-05	8.57143e-09	2.65229e-05	2.41429e-06	0.41
2	200	0.021689	1.96078	6.00229e-05	9.17143e-07	0	3.576e-05	1.14286e-08	3.65057e-05	5.28857e-06	0.44
2	200	0.0216831	1.96078	6.004e-05	9.08571e-07	0	3.57314e-05	1.14286e-08	3.64286e-05	5.31714e-06	0.42
2	200	0.0216863	1.96078	6.01029e-05	9.14286e-07	0	3.56914e-05	1.14286e-08	3.64686e-05	5.3e-06	0.42
2	200	0.0216539	1.96078	5.99771e-05	9.11429e-07	0	3.56629e-05	1.14286e-08	3.62886e-05	5.31429e-06	0.42
2	200	0.0216771	1.96078	6.00286e-05	9.17143e-07	0	3.57114e-05	1.14286e-08	3.64171e-05	5.29714e-06	0.42
2	200	0.0216811	1.96078	6.006e-05	9.08571e-07	0	3.56514e-05	1.14286e-08	3.65143e-05	5.26e-06	0.42
