N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0100602	0	1.96171e-05	4.51429e-07	0	1.874e-05	1.54286e-07	1.70857e-06	1.16286e-06
1	100	0.0100627	0	1.96286e-05	4.51429e-07	0	1.874e-05	1.54286e-07	1.70857e-06	1.16857e-06
1	100	0.0100597	0	1.96114e-05	4.51429e-07	0	1.87286e-05	1.54286e-07	1.71714e-06	1.16571e-06
1	100	0.0100591	0	1.96029e-05	4.51429e-07	0	1.87457e-05	1.57143e-07	1.70286e-06	1.16571e-06
1	100	0.0100561	0	1.95857e-05	4.51429e-07	0	1.87371e-05	1.54286e-07	1.70857e-06	1.16286e-06
1	100	0.0100587	0	1.95971e-05	4.51429e-07	0	1.87514e-05	1.51429e-07	1.71429e-06	1.15714e-06
1	100	0.0100574	0	1.96029e-05	4.51429e-07	0	1.87257e-05	1.51429e-07	1.71429e-06	1.16286e-06
1	100	0.0100571	0	1.96029e-05	4.51429e-07	0	1.87286e-05	1.54286e-07	1.71143e-06	1.16286e-06
1	100	0.0100565	0	1.96e-05	4.51429e-07	0	1.87229e-05	1.54286e-07	1.71143e-06	1.16571e-06
1	100	0.0100561	0	1.95971e-05	4.51429e-07	0	1.872e-05	1.54286e-07	1.71714e-06	1.16571e-06
2	200	0.0107411	2.91262	2.10343e-05	4.54286e-07	3.97143e-07	1.94657e-05	4.54286e-07	1.73143e-06	3.38e-06
2	200	0.0107404	2.91262	2.10229e-05	4.57143e-07	3.97143e-07	1.946e-05	4.51429e-07	1.73143e-06	3.38e-06
2	200	0.010739	2.91262	2.10371e-05	4.57143e-07	3.97143e-07	1.946e-05	4.4e-07	1.72286e-06	3.38e-06
2	200	0.0107387	2.91262	2.10229e-05	4.57143e-07	3.97143e-07	1.94743e-05	4.37143e-07	1.72571e-06	3.37429e-06
2	200	0.0107375	2.91262	2.102e-05	4.54286e-07	3.97143e-07	1.946e-05	4.4e-07	1.72e-06	3.38286e-06
2	200	0.0107296	2.91262	2.10229e-05	4.57143e-07	3.85714e-07	1.94743e-05	4.11429e-07	1.72286e-06	3.38571e-06
2	200	0.0107298	2.91262	2.102e-05	4.57143e-07	3.85714e-07	1.948e-05	4.11429e-07	1.72571e-06	3.37714e-06
2	200	0.0107382	2.91262	2.10429e-05	4.54286e-07	3.97143e-07	1.94514e-05	4.4e-07	1.72286e-06	3.38e-06
2	200	0.0107375	2.91262	2.1e-05	4.57143e-07	3.97143e-07	1.94629e-05	4.4e-07	1.73143e-06	3.38857e-06
2	200	0.0107376	2.91262	2.102e-05	4.57143e-07	3.97143e-07	1.94686e-05	4.51429e-07	1.72286e-06	3.37429e-06
3	300	0.0113483	8.25688	2.16857e-05	4.88571e-07	4.91429e-07	1.99886e-05	8.65714e-07	1.82e-06	7.28286e-06
3	300	0.0113513	8.25688	2.17229e-05	4.88571e-07	4.91429e-07	1.99829e-05	8.65714e-07	1.82e-06	7.29143e-06
3	300	0.0113503	8.25688	2.16857e-05	4.88571e-07	4.94286e-07	1.99914e-05	8.74286e-07	1.82571e-06	7.29143e-06
3	300	0.0112232	7.12074	2.19257e-05	4.85714e-07	6.08571e-07	1.99857e-05	9.88571e-07	1.81143e-06	6.36286e-06
3	300	0.0113819	8.25688	2.16857e-05	4.88571e-07	4.91429e-07	1.99971e-05	8.74286e-07	1.82286e-06	7.11714e-06
3	300	0.0113816	8.25688	2.16829e-05	4.88571e-07	4.85714e-07	1.99943e-05	8.51429e-07	1.82e-06	7.14e-06
3	300	0.011351	7.97546	2.16886e-05	4.88571e-07	4.97143e-07	1.99829e-05	8.8e-07	1.82e-06	6.99429e-06
3	300	0.0112844	7.97546	2.16886e-05	4.85714e-07	5.02857e-07	1.99886e-05	8.77143e-07	1.82571e-06	7.01143e-06
3	300	0.0115109	9.36556	2.16514e-05	4.85714e-07	6.17143e-07	1.97657e-05	8.71429e-07	1.82571e-06	8.23429e-06
3	300	0.0111138	7.12074	2.16543e-05	4.85714e-07	5.37143e-07	1.98457e-05	9.42857e-07	1.81429e-06	6.15143e-06
4	400	0.0120088	13.4199	2.16571e-05	4.91429e-07	7.08571e-07	1.964e-05	1.11429e-06	1.82571e-06	1.13e-05
4	400	0.0126541	16.318	2.16657e-05	4.91429e-07	7.68571e-07	1.956e-05	1.27429e-06	1.82571e-06	1.48371e-05
4	400	0.0119752	13.0435	2.19057e-05	4.91429e-07	8.17143e-07	1.96857e-05	1.12857e-06	1.83429e-06	1.13029e-05
4	400	0.011983	12.2807	2.20429e-05	4.91429e-07	7.77143e-07	1.98914e-05	1.12e-06	1.83429e-06	1.04514e-05
4	400	0.0122273	13.9785	2.168e-05	4.91429e-07	6.31429e-07	1.97286e-05	1.14286e-06	1.82857e-06	1.18114e-05
4	400	0.0127659	17.5258	2.18571e-05	4.91429e-07	6.11429e-07	1.99514e-05	1.15429e-06	1.83143e-06	1.61171e-05
4	400	0.0128992	17.0124	2.17657e-05	4.94286e-07	6.28571e-07	1.98771e-05	1.08e-06	1.83143e-06	1.56629e-05
