N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0184483	0	7.068e-05	2.29143e-06	0	3.872e-05	3.2e-07	6.22286e-06	2.51429e-06	0.50
1	100	0.0184606	0	7.06629e-05	2.29143e-06	0	3.88257e-05	3.28571e-07	6.22857e-06	2.52857e-06	0.41
1	100	0.0184642	0	7.062e-05	2.29429e-06	0	3.89029e-05	3.17143e-07	6.24857e-06	2.55143e-06	0.41
1	100	0.018416	0	7.01171e-05	2.3e-06	0	3.89314e-05	3.28571e-07	6.22286e-06	2.51143e-06	0.41
1	100	0.0184578	0	7.06343e-05	2.27714e-06	0	3.88571e-05	3.31429e-07	6.2e-06	2.55429e-06	0.40
1	100	0.0184605	0	7.01971e-05	2.29143e-06	0	3.93543e-05	3.2e-07	6.21714e-06	2.49429e-06	0.41
1	100	0.0184528	0	7.00229e-05	2.28571e-06	0	3.94543e-05	3.25714e-07	6.21714e-06	2.48286e-06	0.41
1	100	0.0184192	0	7.04229e-05	2.29429e-06	0	3.86857e-05	3.31429e-07	6.23429e-06	2.51143e-06	0.41
1	100	0.0184418	0	7.04029e-05	2.28e-06	0	3.89343e-05	3.22857e-07	6.21429e-06	2.51429e-06	0.41
1	100	0.0184401	0	7.03e-05	2.3e-06	0	3.90171e-05	3.25714e-07	6.22857e-06	2.50286e-06	0.41
2	200	0.0215076	4.7619	7.74571e-05	2.42857e-06	1.92e-06	4.03486e-05	1.74857e-06	6.6e-06	1.218e-05	0.44
2	200	0.0215278	4.7619	7.75143e-05	2.40857e-06	1.69429e-06	4.03686e-05	1.51714e-06	6.58e-06	1.30771e-05	0.42
2	200	0.021546	4.7619	7.74829e-05	2.42e-06	1.70286e-06	4.044e-05	1.60571e-06	6.59143e-06	1.30714e-05	0.42
2	200	0.0215396	4.7619	7.73943e-05	2.42286e-06	1.7e-06	4.04886e-05	1.60286e-06	6.60286e-06	1.308e-05	0.42
2	200	0.0213246	4.7619	7.74257e-05	2.41143e-06	1.53143e-06	4.05029e-05	1.64857e-06	6.56e-06	1.26371e-05	0.42
2	200	0.0211686	3.84615	7.76457e-05	2.42286e-06	1.58286e-06	4.04571e-05	1.58571e-06	6.59143e-06	1.12171e-05	0.42
2	200	0.0215312	4.7619	7.75171e-05	2.42571e-06	1.76857e-06	4.02657e-05	1.48571e-06	6.59143e-06	1.30914e-05	0.42
2	200	0.021544	6.10329	7.72286e-05	2.41714e-06	1.32857e-06	4.07486e-05	1.29429e-06	6.57143e-06	1.59886e-05	0.42
2	200	0.0214389	3.84615	7.75286e-05	2.40571e-06	1.97143e-06	4.01371e-05	1.76857e-06	6.59429e-06	1.15086e-05	0.42
2	200	0.0214137	3.84615	7.75257e-05	2.40571e-06	1.86e-06	4.02829e-05	1.72286e-06	6.56e-06	1.14486e-05	0.42
3	300	0.0264574	15.493	8.56971e-05	2.82e-06	3.31143e-06	4.30057e-05	4.97714e-06	7.53143e-06	4.17286e-05	0.52
3	300	0.0276939	17.1271	8.50886e-05	2.82e-06	2.87429e-06	4.30429e-05	4.35714e-06	7.53714e-06	4.86543e-05	0.43
3	300	0.0262394	14.7727	8.60057e-05	2.82e-06	3.28571e-06	4.32686e-05	5.08571e-06	7.56e-06	3.92914e-05	0.43
3	300	0.0276492	20	8.55457e-05	2.86571e-06	2.63429e-06	4.36743e-05	4.28e-06	7.58857e-06	5.98571e-05	0.43
3	300	0.0261167	15.493	8.56657e-05	2.82571e-06	3.25429e-06	4.30343e-05	4.74286e-06	7.50857e-06	4.064e-05	0.43
3	300	0.0282968	18.4783	8.46714e-05	2.83143e-06	3.10286e-06	4.278e-05	4.25429e-06	7.56857e-06	5.20571e-05	0.43
3	300	0.0259938	12.7907	8.52714e-05	2.80857e-06	3.19714e-06	4.30829e-05	4.78857e-06	7.51714e-06	3.48714e-05	0.43
