N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0100398	0	1.74657e-05	5.42857e-08	0	1.60743e-05	1.14286e-08	6.37143e-07	1.16571e-06
1	100	0.0100247	0	1.73171e-05	5.42857e-08	0	1.60686e-05	1.14286e-08	6.4e-07	1.16286e-06
1	100	0.0100327	0	1.738e-05	5.42857e-08	0	1.60771e-05	1.14286e-08	6.37143e-07	1.16286e-06
1	100	0.010038	0	1.74486e-05	5.42857e-08	0	1.60829e-05	1.14286e-08	6.34286e-07	1.16857e-06
1	100	0.0100408	0	1.74743e-05	5.42857e-08	0	1.60714e-05	1.14286e-08	6.4e-07	1.16e-06
1	100	0.0100366	0	1.74371e-05	5.42857e-08	0	1.60743e-05	1.14286e-08	6.34286e-07	1.17143e-06
1	100	0.0100303	0	1.738e-05	5.71429e-08	0	1.60714e-05	1.14286e-08	6.4e-07	1.16571e-06
1	100	0.0100277	0	1.736e-05	5.42857e-08	0	1.60657e-05	1.14286e-08	6.4e-07	1.16571e-06
1	100	0.0100394	0	1.74743e-05	5.71429e-08	0	1.60743e-05	1.14286e-08	6.34286e-07	1.16286e-06
1	100	0.0100278	0	1.73686e-05	5.42857e-08	0	1.60686e-05	1.14286e-08	6.37143e-07	1.16e-06
2	200	0.0105742	0	1.946e-05	8e-08	4.85714e-08	1.78343e-05	1.71429e-08	6.74286e-07	1.16286e-06
2	200	0.0105858	0	1.95657e-05	8e-08	4.85714e-08	1.78286e-05	1.71429e-08	6.77143e-07	1.16e-06
2	200	0.0105899	0	1.95829e-05	8e-08	4.85714e-08	1.78314e-05	1.71429e-08	6.74286e-07	1.15714e-06
2	200	0.0105868	0	1.95943e-05	8e-08	4.85714e-08	1.78371e-05	1.71429e-08	6.74286e-07	1.16286e-06
2	200	0.0105858	0	1.95743e-05	8e-08	4.85714e-08	1.78429e-05	1.71429e-08	6.71429e-07	1.16286e-06
2	200	0.0105819	0	1.95314e-05	8e-08	4.85714e-08	1.78257e-05	1.71429e-08	6.71429e-07	1.16e-06
2	200	0.0105752	0	1.946e-05	8e-08	4.85714e-08	1.78371e-05	1.71429e-08	6.74286e-07	1.16286e-06
2	200	0.010575	0	1.94857e-05	8e-08	3.14286e-08	1.78514e-05	1.71429e-08	6.77143e-07	1.16e-06
2	200	0.0105766	0	1.946e-05	8e-08	4.85714e-08	1.784e-05	1.71429e-08	6.74286e-07	1.16e-06
2	200	0.0105722	0	1.944e-05	8.28571e-08	4.85714e-08	1.78286e-05	1.71429e-08	6.71429e-07	1.16286e-06
3	300	0.0106873	0	2.01714e-05	9.42857e-08	9.14286e-08	1.82943e-05	2e-08	6.88571e-07	1.16e-06
3	300	0.0106875	0	2.01829e-05	9.42857e-08	9.71429e-08	1.82829e-05	2e-08	6.88571e-07	1.16e-06
3	300	0.0106823	0	2.01429e-05	9.42857e-08	9.71429e-08	1.82914e-05	2e-08	6.91429e-07	1.15714e-06
3	300	0.0106893	0	2.01571e-05	9.42857e-08	1.05714e-07	1.82886e-05	2e-08	6.91429e-07	1.16286e-06
3	300	0.010688	0	2.01829e-05	9.42857e-08	1.05714e-07	1.82857e-05	2e-08	6.88571e-07	1.16e-06
3	300	0.0106768	0	2.00943e-05	9.42857e-08	9.14286e-08	1.82943e-05	2e-08	6.91429e-07	1.16e-06
3	300	0.0106808	0	2.01343e-05	9.42857e-08	1.05714e-07	1.82886e-05	2e-08	6.88571e-07	1.16e-06
3	300	0.0106784	0	2.01143e-05	9.42857e-08	8.28571e-08	1.83057e-05	2e-08	6.88571e-07	1.16e-06
3	300	0.0106832	0	2.01371e-05	9.42857e-08	1.05714e-07	1.82771e-05	2e-08	6.94286e-07	1.15714e-06
3	300	0.0106783	0	2.01286e-05	9.42857e-08	1.11429e-07	1.82714e-05	2e-08	6.91429e-07	1.15714e-06
4	400	0.0108202	0.249377	2.03114e-05	1.17143e-07	1.88571e-07	1.84514e-05	6.57143e-08	7.25714e-07	1.26857e-06
4	400	0.0108352	0.497512	2.03914e-05	1.2e-07	1.88571e-07	1.84486e-05	6.57143e-08	7.25714e-07	1.29714e-06
4	400	0.0108266	0.497512	2.04314e-05	1.17143e-07	1.68571e-07	1.84714e-05	6.85714e-08	7.22857e-07	1.29714e-06
4	400	0.0108331	0.497512	2.03771e-05	1.17143e-07	1.42857e-07	1.84829e-05	6.85714e-08	7.22857e-07	1.37143e-06
4	400	0.0108677	0.990099	2.04e-05	1.17143e-07	1.17143e-07	1.84943e-05	4.85714e-08	7.25714e-07	1.40857e-06
4	400	0.0108309	0.249377	2.04314e-05	1.17143e-07	1.97143e-07	1.844e-05	6.57143e-08	7.25714e-07	1.26571e-06
4	400	0.010827	0.497512	2.03971e-05	1.17143e-07	1.68571e-07	1.84686e-05	6.85714e-08	7.22857e-07	1.29429e-06
4	400	0.0108225	0.249377	2.03971e-05	1.17143e-07	1.8e-07	1.84657e-05	6.57143e-08	7.25714e-07	1.26286e-06
4	400	0.0108103	0.249377	2.04e-05	1.17143e-07	1.82857e-07	1.844e-05	5.14286e-08	7.22857e-07	1.18857e-06
4	400	0.0108294	0.497512	2.03771e-05	1.17143e-07	1.82857e-07	1.84514e-05	6.85714e-08	7.22857e-07	1.29429e-06
5	500	0.010974	2.34375	2.05486e-05	1.14286e-07	1.8e-07	1.85886e-05	1.14286e-07	7.28571e-07	2.06e-06
5	500	0.0109131	1.18577	2.04857e-05	1.14286e-07	2.11429e-07	1.85943e-05	9.14286e-08	7.31429e-07	1.44571e-06
5	500	0.0109375	1.5748	2.05886e-05	1.17143e-07	1.77143e-07	1.86286e-05	8.85714e-08	7.28571e-07	1.74857e-06
5	500	0.0108803	0.793651	2.05771e-05	1.14286e-07	1.82857e-07	1.86486e-05	8.57143e-08	7.28571e-07	1.53429e-06
