N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0174227	0	6.15314e-05	3.34286e-06	0	3.84829e-05	2.74286e-07	4.38857e-06	2.49429e-06	0.49
1	100	0.0174255	0	6.16057e-05	3.34857e-06	0	3.844e-05	2.74286e-07	4.4e-06	2.47714e-06	0.40
1	100	0.0174184	0	6.14829e-05	3.34857e-06	0	3.85229e-05	2.8e-07	4.39429e-06	2.46857e-06	0.41
1	100	0.0174341	0	6.14743e-05	3.34857e-06	0	3.86143e-05	2.82857e-07	4.40857e-06	2.48857e-06	0.41
1	100	0.0174239	0	6.14057e-05	3.34e-06	0	3.86057e-05	2.82857e-07	4.39714e-06	2.49714e-06	0.41
1	100	0.017419	0	6.14686e-05	3.32286e-06	0	3.85371e-05	2.8e-07	4.40571e-06	2.46286e-06	0.41
1	100	0.0174103	0	6.13829e-05	3.32857e-06	0	3.85714e-05	2.82857e-07	4.38857e-06	2.46857e-06	0.41
1	100	0.017426	0	6.14629e-05	3.34857e-06	0	3.86e-05	2.77143e-07	4.39714e-06	2.46857e-06	0.41
1	100	0.0174146	0	6.14286e-05	3.34286e-06	0	3.85343e-05	2.8e-07	4.38e-06	2.49143e-06	0.41
1	100	0.0174151	0	6.152e-05	3.33714e-06	0	3.84457e-05	2.77143e-07	4.38286e-06	2.46286e-06	0.41
2	200	0.0207278	6.54206	6.87114e-05	3.54e-06	1.61429e-06	4.01943e-05	1.90571e-06	4.67143e-06	1.44886e-05	0.51
2	200	0.0206795	5.66038	6.86714e-05	3.54571e-06	1.7e-06	4.01914e-05	1.65714e-06	4.64286e-06	1.41486e-05	0.42
2	200	0.021034	8.6758	6.86886e-05	3.54e-06	1.70571e-06	4.02286e-05	1.91429e-06	4.66e-06	1.74657e-05	0.42
2	200	0.0206604	5.66038	6.87086e-05	3.53143e-06	1.70286e-06	4.02029e-05	1.64286e-06	4.63143e-06	1.38971e-05	0.42
2	200	0.0206751	5.66038	6.86257e-05	3.54e-06	1.71429e-06	4.02229e-05	1.84e-06	4.66286e-06	1.38857e-05	0.42
2	200	0.0207296	6.54206	6.87143e-05	3.54857e-06	1.58286e-06	4.03229e-05	1.7e-06	4.61429e-06	1.47457e-05	0.42
2	200	0.0207344	6.54206	6.87286e-05	3.54857e-06	1.58286e-06	4.032e-05	1.88e-06	4.64857e-06	1.45343e-05	0.42
2	200	0.0207244	6.54206	6.86486e-05	3.54571e-06	1.61143e-06	4.02971e-05	1.89714e-06	4.64857e-06	1.44714e-05	0.42
2	200	0.0206781	5.66038	6.87057e-05	3.55143e-06	1.70571e-06	4.026e-05	1.84857e-06	4.64e-06	1.38914e-05	0.42
2	200	0.0207229	6.54206	6.87086e-05	3.53714e-06	1.57714e-06	4.03543e-05	1.78e-06	4.65143e-06	1.45e-05	0.42
3	300	0.0250411	20.6349	7.53657e-05	4.19714e-06	2.41714e-06	4.27971e-05	3.81714e-06	5.21714e-06	4.66829e-05	0.52
3	300	0.0260327	23.2737	7.55857e-05	4.22571e-06	2.34571e-06	4.28114e-05	3.57429e-06	5.21714e-06	5.57429e-05	0.42
3	300	0.0243795	18.0328	7.57e-05	4.18571e-06	2.34857e-06	4.30857e-05	4.05143e-06	5.19714e-06	3.90286e-05	0.43
3	300	0.0262678	24.4332	7.50857e-05	4.18286e-06	2.04571e-06	4.31286e-05	3.62286e-06	5.20857e-06	5.85229e-05	0.43
3	300	0.0259396	20	7.53429e-05	4.24857e-06	2.28286e-06	4.308e-05	3.79429e-06	5.21714e-06	4.86114e-05	0.43
3	300	0.0263509	22.4806	7.56743e-05	4.20571e-06	2.47714e-06	4.29257e-05	3.84286e-06	5.26e-06	5.30057e-05	0.43
3	300	0.026744	22.2798	7.52486e-05	4.22857e-06	2.27714e-06	4.29914e-05	3.83714e-06	5.24e-06	5.47429e-05	0.43
3	300	0.025704	19.7861	7.55114e-05	4.15429e-06	2.08e-06	4.32914e-05	3.51714e-06	5.18571e-06	4.58143e-05	0.43
3	300	0.0254174	21.0526	7.57657e-05	4.20857e-06	2.25143e-06	4.32114e-05	4.03143e-06	5.20571e-06	4.96971e-05	0.43
3	300	0.0258143	20.8443	7.55143e-05	4.16286e-06	1.57714e-06	4.36743e-05	4.06286e-06	5.22286e-06	4.92743e-05	0.43
4	400	0.0359038	32.7731	8.37543e-05	4.80857e-06	2.10857e-06	4.74486e-05	5.22857e-06	5.8e-06	0.000100829	0.54
4	400	0.0345716	34.2105	8.40514e-05	4.87143e-06	2.20286e-06	4.754e-05	5.55714e-06	5.85143e-06	0.000104526	0.52
4	400	0.0342435	30.6759	8.39257e-05	4.66857e-06	2.87429e-06	4.67114e-05	5.28e-06	5.75143e-06	9.36886e-05	0.51
4	400	0.0340277	30.3136	8.43286e-05	4.77714e-06	1.99143e-06	4.78514e-05	5.7e-06	5.78e-06	8.94886e-05	0.52
4	400	0.0353888	35.0649	8.45257e-05	4.90857e-06	2.28e-06	4.77686e-05	5.78286e-06	5.86286e-06	0.000112234	0.52
4	400	0.0343579	30.7958	8.46686e-05	4.86e-06	3.19429e-06	4.67343e-05	5.87714e-06	5.83714e-06	9.26686e-05	0.51
4	400	0.0349584	31.5068	8.45686e-05	4.84857e-06	2.74571e-06	4.71114e-05	5.62857e-06	5.86e-06	9.83229e-05	0.51
4	400	0.0339133	32.0883	8.522e-05	4.82286e-06	2.70286e-06	4.75543e-05	5.71143e-06	5.86857e-06	9.662e-05	0.51
4	400	0.0327646	28.8256	8.39371e-05	4.79714e-06	3.06571e-06	4.66714e-05	5.61429e-06	5.84286e-06	7.88629e-05	0.51
4	400	0.0336672	31.8569	8.51429e-05	4.87143e-06	2.91714e-06	4.71829e-05	5.43143e-06	5.86571e-06	0.000101149	0.52
5	500	0.0443597	40.4762	9.83457e-05	5.72286e-06	3.44286e-06	5.32229e-05	7.54e-06	6.74857e-06	0.000163991	0.72
5	500	0.046965	39.2467	9.80486e-05	5.79714e-06	3.72286e-06	5.27629e-05	7.66e-06	6.86571e-06	0.000165094	0.62
5	500	0.0459361	39.6864	9.77657e-05	5.68571e-06	3.48e-06	5.28429e-05	7.53143e-06	6.71429e-06	0.000161606	0.63
5	500	0.0473006	42.4626	9.90771e-05	5.76e-06	3.39714e-06	5.35943e-05	7.68571e-06	6.73143e-06	0.000181266	0.63
5	500	0.047168	41.5888	9.85486e-05	5.69429e-06	3.58e-06	5.31143e-05	8.3e-06	6.88571e-06	0.000178931	0.63
5	500	0.0468996	40.4762	9.77886e-05	5.67429e-06	3.14286e-06	5.31914e-05	6.63714e-06	6.65429e-06	0.000168066	0.63
5	500	0.0445542	39.6864	9.98429e-05	5.74571e-06	4.11429e-06	5.312e-05	7.89714e-06	6.80571e-06	0.000159597	0.62
5	500	0.0457663	40.4052	9.76029e-05	5.68571e-06	3.22e-06	5.30886e-05	7.37714e-06	6.69143e-06	0.000173403	0.63
5	500	0.0457384	42.4626	9.95229e-05	5.92571e-06	3.76286e-06	5.33857e-05	8.1e-06	7.01143e-06	0.000185394	0.63
5	500	0.0438541	39.0987	9.856e-05	5.69143e-06	4.12286e-06	5.25543e-05	7.32857e-06	6.72e-06	0.000154269	0.63
6	600	0.0602111	46.6192	0.000115443	6.64286e-06	4.44286e-06	5.97886e-05	8.89143e-06	7.69143e-06	0.000261614	0.83
6	600	0.0639527	48.8927	0.000113483	6.60286e-06	4.13714e-06	5.93171e-05	8.67429e-06	7.64857e-06	0.000287731	0.74
6	600	0.0649985	46.8085	0.000116509	6.57429e-06	4.17714e-06	6.05686e-05	9.19143e-06	7.72857e-06	0.0002633	0.75
6	600	0.0638126	48.8491	0.000119994	6.86e-06	5.00571e-06	6.15686e-05	1.01257e-05	7.93714e-06	0.000286243	0.75
6	600	0.0621761	47.2759	0.000117103	6.70286e-06	4.87714e-06	6.01314e-05	9.71143e-06	7.81143e-06	0.000268854	0.74
6	600	0.0643155	49.9165	0.000115963	6.74286e-06	3.30857e-06	6.13971e-05	8.67143e-06	7.77429e-06	0.000292994	0.75
6	600	0.0611786	48.3204	0.000119031	6.70286e-06	4.08857e-06	6.206e-05	9.28286e-06	7.82e-06	0.000274891	0.74
6	600	0.0664315	47.3222	0.000111346	6.48286e-06	3.39429e-06	5.92371e-05	8.41714e-06	7.59143e-06	0.00027362	0.74
6	600	0.063493	48.0519	0.000115114	6.75143e-06	4e-06	6.03029e-05	9.50286e-06	7.80571e-06	0.000273374	0.75
6	600	0.0641433	50.2488	0.0001171	6.88571e-06	3.71429e-06	6.156e-05	9.36286e-06	7.97714e-06	0.000309686	0.75
7	700	0.0793343	50.3898	0.000122037	7.02857e-06	3.94e-06	6.358e-05	8.93143e-06	8.21429e-06	0.000346109	0.94
7	700	0.0799383	50.565	0.000130529	7.27143e-06	5.08e-06	6.61914e-05	1.064e-05	8.63429e-06	0.00035934	0.84
7	700	0.0758587	49.9285	0.000125043	7.18286e-06	4.10857e-06	6.45343e-05	9.76857e-06	8.43429e-06	0.000341411	0.85
