N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.00951845	0	1.67743e-05	9.65714e-07	0	1.62486e-05	1.54286e-07	1.10857e-06	1.15714e-06
1	100	0.00951945	0	1.68e-05	9.62857e-07	0	1.62429e-05	1.54286e-07	1.10571e-06	1.16286e-06
1	100	0.00951863	0	1.67971e-05	9.68571e-07	0	1.62343e-05	1.54286e-07	1.10286e-06	1.16286e-06
1	100	0.00951493	0	1.67714e-05	9.65714e-07	0	1.62343e-05	1.57143e-07	1.10286e-06	1.16e-06
1	100	0.00951241	0	1.67629e-05	9.48571e-07	0	1.62314e-05	1.54286e-07	1.10286e-06	1.16286e-06
1	100	0.00951515	0	1.67914e-05	9.48571e-07	0	1.62314e-05	1.54286e-07	1.10286e-06	1.16286e-06
1	100	0.00951877	0	1.68143e-05	9.57143e-07	0	1.62429e-05	1.54286e-07	1.10571e-06	1.16286e-06
1	100	0.0095131	0	1.676e-05	9.54286e-07	0	1.62371e-05	1.57143e-07	1.10286e-06	1.16571e-06
1	100	0.00951909	0	1.68086e-05	9.6e-07	0	1.62343e-05	1.54286e-07	1.10286e-06	1.16571e-06
1	100	0.00951698	0	1.67914e-05	9.54286e-07	0	1.62371e-05	1.54286e-07	1.10571e-06	1.16e-06
2	200	0.0101925	2.91262	1.79857e-05	9.71429e-07	3.08571e-07	1.68857e-05	4.17143e-07	1.10857e-06	2.80857e-06
2	200	0.0101925	2.91262	1.80029e-05	9.68571e-07	3.08571e-07	1.688e-05	4.17143e-07	1.10857e-06	2.81143e-06
2	200	0.0101935	2.91262	1.80143e-05	9.68571e-07	3.08571e-07	1.68829e-05	4.14286e-07	1.11143e-06	2.8e-06
2	200	0.010171	3.84615	1.804e-05	9.62857e-07	3.34286e-07	1.68429e-05	3.91429e-07	1.11143e-06	3.58857e-06
2	200	0.010191	2.91262	1.80257e-05	9.74286e-07	2.85714e-07	1.68971e-05	4.14286e-07	1.11143e-06	2.8e-06
2	200	0.0101598	3.84615	1.79657e-05	9.77143e-07	3.14286e-07	1.68686e-05	3.88571e-07	1.11143e-06	3.58e-06
2	200	0.0101671	4.30622	1.79943e-05	9.74286e-07	3.28571e-07	1.68543e-05	3.51429e-07	1.10857e-06	3.65143e-06
2	200	0.010167	3.84615	1.80029e-05	9.71429e-07	3.37143e-07	1.68429e-05	3.88571e-07	1.11143e-06	3.58286e-06
2	200	0.0101688	3.84615	1.80086e-05	9.65714e-07	3.37143e-07	1.68429e-05	3.91429e-07	1.10857e-06	3.59429e-06
2	200	0.0101659	4.30622	1.79686e-05	9.8e-07	3.28571e-07	1.68514e-05	3.51429e-07	1.11429e-06	3.64571e-06
3	300	0.0105096	8.81459	1.85686e-05	1.04571e-06	3.51429e-07	1.74029e-05	7.68571e-07	1.15143e-06	5.44e-06
3	300	0.0105887	8.81459	1.86086e-05	1.04571e-06	3.71429e-07	1.73857e-05	8.28571e-07	1.15714e-06	5.77429e-06
3	300	0.0106219	12.2807	1.84771e-05	1.04857e-06	3.8e-07	1.72343e-05	8.2e-07	1.15143e-06	7.08571e-06
3	300	0.0109296	10.7143	1.84686e-05	1.04571e-06	4.05714e-07	1.722e-05	7.91429e-07	1.15143e-06	7.04857e-06
3	300	0.010576	9.36556	1.85714e-05	1.04571e-06	3.25714e-07	1.74e-05	8.31429e-07	1.15714e-06	6.05143e-06
3	300	0.0106364	10.4478	1.85229e-05	1.04857e-06	3.97143e-07	1.72743e-05	8.82857e-07	1.14857e-06	6.41429e-06
3	300	0.0109345	12.0235	1.84714e-05	1.05143e-06	3.71429e-07	1.72457e-05	8.17143e-07	1.15429e-06	8.04e-06
3	300	0.0105864	9.36556	1.85771e-05	1.03714e-06	3.68571e-07	1.73486e-05	7.85714e-07	1.15429e-06	6.11714e-06
3	300	0.0108203	10.9792	1.848e-05	1.04571e-06	4.34286e-07	1.72114e-05	8.34286e-07	1.15429e-06	6.80857e-06
3	300	0.0104991	9.09091	1.85086e-05	1.05143e-06	4e-07	1.72857e-05	8.45714e-07	1.15429e-06	6.17143e-06
4	400	0.0114087	18.0328	1.84943e-05	1.05143e-06	6.22857e-07	1.69914e-05	1.04571e-06	1.15714e-06	1.29086e-05
4	400	0.0116759	20	1.84543e-05	1.05714e-06	4.68571e-07	1.716e-05	1.00857e-06	1.15429e-06	1.46629e-05
4	400	0.012124	21.5686	1.88371e-05	1.06571e-06	5.48571e-07	1.73943e-05	1.07429e-06	1.15714e-06	1.636e-05
4	400	0.011551	21.5686	1.86057e-05	1.06286e-06	4.31429e-07	1.73286e-05	9.68571e-07	1.15714e-06	1.40514e-05
4	400	0.0119436	20.6349	1.88029e-05	1.06e-06	5.62857e-07	1.734e-05	1.18571e-06	1.16571e-06	1.47657e-05
