N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	100	0.0169632	0	5.86286e-05	3.46857e-06	0	3.72943e-05	2.97143e-07	3.78286e-06	2.46857e-06	0.50
1	100	0.0169606	0	5.85971e-05	3.47143e-06	0	3.73629e-05	2.85714e-07	3.74286e-06	2.46286e-06	0.41
1	100	0.0169583	0	5.85771e-05	3.47143e-06	0	3.73086e-05	2.94286e-07	3.77143e-06	2.46857e-06	0.41
1	100	0.0169575	0	5.85771e-05	3.46857e-06	0	3.72886e-05	2.88571e-07	3.76857e-06	2.46571e-06	0.41
1	100	0.0169549	0	5.85543e-05	3.48e-06	0	3.73257e-05	2.88571e-07	3.74286e-06	2.47714e-06	0.41
1	100	0.0169572	0	5.856e-05	3.47429e-06	0	3.73429e-05	2.94286e-07	3.76e-06	2.47429e-06	0.41
1	100	0.01696	0	5.85629e-05	3.46e-06	0	3.73629e-05	2.97143e-07	3.76e-06	2.46571e-06	0.41
1	100	0.0169614	0	5.85857e-05	3.47429e-06	0	3.73257e-05	3e-07	3.77429e-06	2.46571e-06	0.40
1	100	0.0169531	0	5.85286e-05	3.47429e-06	0	3.73343e-05	2.94286e-07	3.76286e-06	2.47143e-06	0.41
1	100	0.0169616	0	5.85829e-05	3.46857e-06	0	3.73314e-05	3.02857e-07	3.76857e-06	2.47143e-06	0.41
2	200	0.0198427	5.66038	6.55343e-05	3.73714e-06	1.94e-06	3.90229e-05	1.66857e-06	3.94857e-06	1.23857e-05	0.43
2	200	0.020494	8.6758	6.52543e-05	3.72571e-06	1.71143e-06	3.91e-05	1.94286e-06	3.96e-06	1.71457e-05	0.42
2	200	0.0204101	7.8341	6.53457e-05	3.75143e-06	1.76e-06	3.90571e-05	1.76286e-06	3.96e-06	1.63714e-05	0.42
2	200	0.0201805	7.40741	6.51857e-05	3.73714e-06	1.84e-06	3.89429e-05	1.90857e-06	3.94e-06	1.40457e-05	0.41
2	200	0.0204106	7.8341	6.52514e-05	3.74e-06	1.76571e-06	3.90686e-05	1.81143e-06	3.96286e-06	1.63771e-05	0.42
2	200	0.0193617	6.54206	6.52914e-05	3.72286e-06	1.66286e-06	3.91714e-05	1.41714e-06	3.95714e-06	1.26686e-05	0.42
2	200	0.0197338	5.66038	6.55771e-05	3.73143e-06	1.65429e-06	3.93771e-05	1.61429e-06	3.94857e-06	1.15343e-05	0.42
2	200	0.0198299	6.97674	6.53914e-05	3.72857e-06	1.56571e-06	3.93286e-05	1.73429e-06	3.95143e-06	1.28686e-05	0.42
2	200	0.0196786	4.7619	6.552e-05	3.72857e-06	1.92e-06	3.90371e-05	1.57429e-06	3.96571e-06	1.08286e-05	0.42
2	200	0.0201472	5.66038	6.54314e-05	3.74e-06	1.98e-06	3.89029e-05	1.64857e-06	3.95143e-06	1.21457e-05	0.42
3	300	0.0257722	20.2128	7.232e-05	4.33143e-06	2.36286e-06	4.18743e-05	3.46286e-06	4.38286e-06	4.562e-05	0.52
3	300	0.0246395	18.0328	7.26686e-05	4.36571e-06	2.20857e-06	4.22143e-05	3.77429e-06	4.4e-06	4.106e-05	0.43
3	300	0.025979	21.875	7.20286e-05	4.34571e-06	1.88571e-06	4.22829e-05	3.30571e-06	4.36e-06	5.18229e-05	0.43
3	300	0.0246139	20.4244	7.33486e-05	4.38286e-06	2.24286e-06	4.25771e-05	3.55429e-06	4.4e-06	4.79914e-05	0.43
3	300	0.0254375	20.2128	7.24714e-05	4.36286e-06	2.34286e-06	4.20971e-05	3.32e-06	4.39143e-06	4.33086e-05	0.43
3	300	0.0270256	25	7.27457e-05	4.39429e-06	2.15143e-06	4.22486e-05	3.94571e-06	4.4e-06	6.20029e-05	0.43
3	300	0.0252698	20.8443	7.286e-05	4.37714e-06	2.42857e-06	4.20771e-05	3.70286e-06	4.39714e-06	4.94771e-05	0.43
3	300	0.0250163	18.4783	7.25743e-05	4.33714e-06	2.37714e-06	4.20771e-05	3.63429e-06	4.37143e-06	4.17229e-05	0.43
3	300	0.0251716	20.4244	7.30514e-05	4.41143e-06	2.62571e-06	4.20286e-05	3.91143e-06	4.39714e-06	4.49457e-05	0.43
3	300	0.0248268	19.7861	7.29571e-05	4.39429e-06	2.65143e-06	4.19e-05	4.01714e-06	4.38571e-06	4.20914e-05	0.43
4	400	0.0349572	32.2034	8.22114e-05	5.08e-06	3.13429e-06	4.55886e-05	5.70571e-06	4.95143e-06	9.85286e-05	0.61
4	400	0.0351573	32.4324	8.22143e-05	5.08571e-06	3.42857e-06	4.54143e-05	5.89714e-06	4.98e-06	9.65857e-05	0.51
4	400	0.0344102	32.5464	8.24971e-05	5.04571e-06	2.31714e-06	4.65686e-05	4.95143e-06	4.95143e-06	9.84914e-05	0.51
4	400	0.0335113	32.9983	8.31686e-05	5.15143e-06	2.99429e-06	4.63314e-05	5.11429e-06	4.98857e-06	0.000101343	0.52
4	400	0.0328	31.5068	8.174e-05	4.99429e-06	3.00571e-06	4.57457e-05	6.03143e-06	4.92857e-06	8.98029e-05	0.51
4	400	0.0341724	34.4262	8.19314e-05	5.06e-06	3.2e-06	4.55571e-05	5.53429e-06	4.98857e-06	0.000104197	0.52
4	400	0.0327677	30.0699	8.182e-05	4.98857e-06	2.87714e-06	4.568e-05	5.56571e-06	4.90286e-06	8.68657e-05	0.52
4	400	0.033704	31.2715	8.198e-05	4.97714e-06	3.26e-06	4.53371e-05	5.76857e-06	4.90286e-06	9.53086e-05	0.51
4	400	0.0327514	32.6599	8.292e-05	5.20571e-06	3.97429e-06	4.51086e-05	5.97429e-06	5.00571e-06	9.68686e-05	0.51
4	400	0.0337051	31.6239	8.214e-05	5.05143e-06	3.59143e-06	4.51229e-05	6.15714e-06	5.00286e-06	9.86971e-05	0.52
5	500	0.0469208	42.1965	9.67486e-05	5.95429e-06	3.44286e-06	5.23143e-05	7.25429e-06	5.65143e-06	0.000187211	0.72
5	500	0.0467644	44.009	9.79257e-05	6.08571e-06	3.74286e-06	5.24914e-05	7.58e-06	5.78286e-06	0.000198934	0.62
5	500	0.048577	42.3299	9.57543e-05	5.95714e-06	3.59143e-06	5.16629e-05	7.18286e-06	5.66571e-06	0.000190611	0.62
5	500	0.0464197	40.9681	9.76029e-05	6.00286e-06	3.32571e-06	5.27743e-05	7.14e-06	5.68857e-06	0.000175014	0.63
5	500	0.0459539	40.6176	9.65286e-05	6.09143e-06	3.79143e-06	5.198e-05	8.22571e-06	5.76286e-06	0.000171503	0.63
5	500	0.0467655	41.0377	9.59457e-05	6.02571e-06	3.94857e-06	5.15257e-05	7.63143e-06	5.73429e-06	0.000173151	0.63
5	500	0.0488474	42.0626	9.56743e-05	5.82857e-06	3.33429e-06	5.18857e-05	6.6e-06	5.63143e-06	0.000183017	0.63
5	500	0.0489054	42.7918	9.43629e-05	5.97429e-06	3.44571e-06	5.11914e-05	6.82e-06	5.63714e-06	0.000182563	0.63
5	500	0.0468403	42.7262	9.99143e-05	6.12857e-06	3.90286e-06	5.31943e-05	7.44857e-06	5.87143e-06	0.00019216	0.63
5	500	0.0478961	42.8571	9.68971e-05	6.10857e-06	3.45429e-06	5.21429e-05	7.16571e-06	5.78571e-06	0.000190474	0.63
